Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,98.47,98.47,98.47,98.47,404,0.0,,,,,,,
2020-03-31,98.495,98.495,98.495,98.495,152,0.0,,,,,,,
2020-04-01,98.455,98.455,98.455,98.455,122,0.0,,,,,,,
2020-04-02,98.36,98.36,98.35,98.35,202,0.0,,,,,,,
2020-04-03,98.32,98.32,98.32,98.32,200,0.0,,98.41799999999999,,,,,
2020-04-04,98.215,98.215,98.215,98.215,151,0.0,,98.36699999999999,,,,,
2020-04-05,98.36,98.36,98.36,98.36,101,0.0,,98.33999999999999,,,,,
2020-04-06,98.355,98.415,98.355,98.375,600,0.0,,98.32399999999998,,,,,
2020-04-07,98.225,98.225,98.225,98.225,166,0.0,,98.29899999999998,,,,,
2020-04-08,98.28,98.28,98.28,98.28,200,0.0,,98.29099999999997,,,,,
2020-04-09,98.235,98.235,98.215,98.215,337,0.0,,98.29099999999997,,,,,
2020-04-10,98.215,98.245,98.215,98.23,1476,0.0,,98.26499999999996,,,,,
2020-04-11,98.23,98.27,98.23,98.27,815,0.0,,98.24399999999996,,,,,
2020-04-12,98.26,98.26,98.26,98.26,200,0.0,,98.25099999999995,,,,,
2020-04-13,98.22,98.22,98.22,98.22,201,0.0,,98.23899999999996,,35.11904761904768,,,
2020-04-14,98.29,98.29,98.29,98.29,100,0.0,,98.25399999999995,,40.462184873950136,,,
2020-04-15,98.225,98.225,98.225,98.225,222,0.0,,98.25299999999996,,37.38354037267083,,,
2020-04-16,98.23,98.23,98.225,98.225,518,0.0,,98.24399999999996,,37.38354037267083,,,
2020-04-17,98.24,98.24,98.24,98.24,101,0.0,,98.23999999999997,,38.63319780006653,,,
2020-04-18,98.23,98.24,98.23,98.24,400,0.0,,98.24399999999996,,38.63319780006653,,,
2020-04-19,98.27,98.27,98.24,98.24,238,0.0,,98.23399999999995,,38.63319780006653,,,
2020-04-20,98.17,98.17,98.17,98.17,216,0.0,,98.22299999999996,,34.607563485227686,,,
2020-04-21,98.15,98.15,98.15,98.15,100,0.0,,98.20799999999994,,33.53244693170441,,,
2020-04-22,98.125,98.125,98.125,98.125,159,0.0,,98.18499999999995,,32.18642551709105,,,
2020-04-23,98.09,98.09,98.09,98.09,115,0.0,,98.15499999999994,,30.349661774054056,,,
2020-04-24,98.0,98.0,98.0,98.0,201,0.0,,98.10699999999994,,26.2080086602693,-0.09236451423763015,,
2020-04-25,97.915,97.915,97.89,97.905,714,0.0,,98.05399999999995,,22.68843411209437,-0.10639697336651466,,
2020-04-26,97.88,97.91,97.85,97.91,1286,0.0,,98.00599999999994,,23.27246854584287,-0.11577970375678603,,
2020-04-27,97.87,97.87,97.87,97.87,243,0.0,,97.95499999999996,,21.850376895975344,-0.12500230216787145,,
2020-04-28,97.825,97.91,97.825,97.91,500,0.0,,97.91899999999994,,26.67560976800152,-0.1276125738327778,,
2020-04-29,98.05,98.09,98.05,98.09,215,0.0,,97.93699999999994,,43.5626997539326,-0.11384440976587484,,
2020-04-30,98.1,98.18,98.09,98.18,1119,0.0,,97.99199999999996,,49.789380829326866,-0.09458052726597543,,
2020-05-01,98.18,98.18,98.18,98.18,114,0.0,,98.04599999999998,,49.78938082932686,-0.07840990106501522,,
2020-05-02,98.14,98.25,98.14,98.25,600,0.0,,98.12199999999999,,54.33410245526828,-0.05926300132279039,-0.10147265630902622,0.04220965498623583
2020-05-03,98.24,98.24,98.2,98.21,430,0.0,,98.18199999999999,,51.467350256343494,-0.046777390398560215,-0.09053360312693302,0.04375621272837281
2020-05-04,98.235,98.235,98.185,98.22,300,0.0,,98.208,,52.14710240550008,-0.035664420125755214,-0.07955976652669747,0.04389534640094225
2020-05-05,98.26,98.32,98.255,98.32,641,0.0,,98.23599999999998,,58.41896537150336,-0.01857403691914783,-0.06736262060518754,0.04878858368603971
2020-05-06,98.4,98.4,98.4,98.4,105,0.0,,98.27999999999999,,62.63782557225225,0.001409300771740618,-0.053608236329801905,0.05501753710154252
2020-05-07,98.415,98.415,98.415,98.415,200,0.0,,98.31299999999999,,63.38791028869234,0.01824628271448603,-0.03923733252094432,0.05748361523543035
2020-05-08,98.45,98.48,98.445,98.48,579,0.0,,98.36699999999999,,66.52419831597282,0.03641490067288089,-0.024106885882179283,0.06052178655506017
2020-05-09,98.505,98.505,98.5,98.5,200,0.0,,98.423,,67.44818963601415,0.05183002983491747,-0.008919502738759934,0.060749532573677406
2020-05-10,98.47,98.47,98.47,98.47,105,0.0,,98.453,,64.56921172968806,0.06092359222868993,0.005049116254730038,0.05587447597395989
2020-05-11,98.39,98.39,98.39,98.39,401,0.0,,98.45100000000002,,57.51855722182097,0.06097212581664735,0.0162337181671135,0.04473840764953385
2020-05-12,98.39,98.39,98.3,98.315,471,0.0,,98.43100000000003,,51.80707318702524,0.05433240568393671,0.023853455670478144,0.03047895001345857
2020-05-13,98.305,98.305,98.22,98.22,811,0.0,,98.37900000000002,,45.626795652288074,0.04093282545821353,0.027269329628025224,0.013663495830188305
2020-05-14,98.205,98.205,98.205,98.205,100,0.0,,98.32000000000002,,44.719665088136296,0.02877152670063765,0.027569769042547713,0.001201757658089938
2020-05-15,98.22,98.22,98.22,98.22,101,0.0,,98.27000000000002,,45.87845498418354,0.02011214417889562,0.026078244069817295,-0.005966099890921676
2020-05-16,98.14,98.14,98.115,98.115,211,0.0,,98.21500000000003,,39.617957574176664,0.004722461072915962,0.02180708747043703,-0.017084626397521067
2020-05-17,98.155,98.155,98.155,98.155,100,0.0,,98.18300000000002,,42.819109919970856,-0.004197916985305028,0.016606086579288616,-0.020804003564593644
2020-05-18,98.09,98.09,98.09,98.09,115,0.0,,98.15700000000001,,39.18378695997561,-0.016324162848761148,0.010020036693678663,-0.02634419954243981
2020-05-19,98.26,98.26,98.26,98.26,100,0.0,,98.16800000000002,,50.92004758180666,-0.01207749892014931,0.0056005295709130685,-0.017678028491062377
2020-05-20,98.29,98.29,98.29,98.29,100,0.0,,98.18200000000002,,52.65636448267015,-0.006219542863007632,0.0032365150841289284,-0.00945605794713656
2020-05-21,98.215,98.215,98.215,98.215,100,0.0,,98.20200000000003,,48.077176177091616,-0.007542004153137327,0.0010808112366756772,-0.008622815389813004
2020-05-22,98.33,98.33,98.33,98.33,201,0.0,,98.23700000000004,,54.59709952565898,0.0006816173905264122,0.0010009724674458242,-0.00031935507691941193
