Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,155.33,155.49,155.33,155.49,1150,0.0,,,,,,,
2020-04-01,155.57,155.8,155.45,155.65,1209,0.0,,,,,,,
2020-04-02,155.76,155.935,155.73,155.845,1395,0.0,,,,,,,
2020-04-03,155.45,155.8,155.36,155.8,2152,0.0,,,,,,,
2020-04-04,155.8,155.95,155.77,155.84,1426,0.0,,155.72500000000002,,,,,
2020-04-05,155.845,156.28,155.83,156.28,1300,0.0,,155.883,,,,,
2020-04-06,156.305,156.305,156.22,156.265,850,0.0,,156.00600000000003,,,,,
2020-04-07,156.1,156.25,156.1,156.25,2819,0.0,,156.08700000000002,,,,,
2020-04-08,156.285,156.285,155.81,155.92,2244,0.0,,156.11100000000002,,,,,
2020-04-09,155.95,155.975,155.3,155.525,2290,0.0,,156.048,,,,,
2020-04-10,155.575,155.575,155.11,155.11,479,0.0,,155.81400000000002,,,,,
2020-04-11,155.04,155.13,154.9,154.97,1152,0.0,,155.555,,,,,
2020-04-12,154.82,154.82,154.75,154.82,631,0.0,,155.269,,,,,
2020-04-13,154.82,155.27,154.815,155.025,1010,0.0,,155.09,,,,,
2020-04-14,154.85,154.95,154.85,154.95,1100,0.0,,154.97500000000002,,39.69465648854924,,,
2020-04-15,155.045,155.175,155.045,155.105,2307,0.0,,154.97400000000002,,43.30665194590085,,,
2020-04-16,155.105,155.105,155.01,155.01,650,0.0,,154.98200000000003,,41.65968832335911,,,
2020-04-17,155.055,155.21,155.05,155.21,1500,0.0,,155.06000000000003,,46.290641954487754,,,
2020-04-18,155.12,155.12,155.07,155.07,657,0.0,,155.06900000000002,,43.677050429927476,,,
2020-04-19,155.19,155.29,155.19,155.29,1500,0.0,,155.13700000000003,,48.58926832426675,,,
2020-04-20,155.32,155.38,155.17,155.19,437,0.0,,155.15400000000005,,46.59979446845307,,,
2020-04-21,155.21,155.21,154.89,155.01,1307,0.0,,155.15400000000005,,43.17315178542026,,,
2020-04-22,154.92,155.0,154.81,155.0,1210,0.0,,155.11200000000002,,42.98404622804565,,,
2020-04-23,154.98,154.98,154.89,154.935,311,0.0,,155.08500000000004,,41.70531296685152,,,
2020-04-24,154.9,154.9,154.665,154.75,803,0.0,,154.97700000000003,,38.22026017389541,,,
2020-04-25,154.48,154.585,154.35,154.585,868,0.0,,154.85600000000005,,35.38051708208097,-0.33257674391708747,,
2020-04-26,154.6,154.62,154.565,154.57,694,0.0,,154.76800000000003,,35.12501530038652,-0.3430043410615724,,
2020-04-27,154.55,154.56,154.51,154.55,840,0.0,,154.67800000000003,,34.764528373868956,-0.34886067111992247,,
2020-04-28,154.54,154.54,154.22,154.225,2117,0.0,,154.536,,29.471406347778498,-0.37539926964291226,,
2020-04-29,154.17,154.25,153.94,153.945,2238,0.0,,154.375,,25.82345332338879,-0.4142497468943418,,
2020-04-30,154.02,154.195,154.01,154.015,1489,0.0,,154.261,,28.215681761461582,-0.43438331457687696,,
2020-05-01,154.04,154.205,154.01,154.01,450,0.0,,154.14899999999997,,28.145857368558993,-0.44560610048679905,,
2020-05-02,154.06,154.18,154.06,154.17,785,0.0,,154.07299999999995,,33.79211866274672,-0.43655721650753776,,
2020-05-03,154.13,154.29,154.12,154.29,850,0.0,,154.08599999999996,,37.74342184251786,-0.4149199744553016,-0.3939508198513724,-0.020969154603929174
2020-05-04,154.34,154.34,154.21,154.29,1277,0.0,,154.15499999999992,,37.74342184251786,-0.3932392865288534,-0.39380851318686866,0.0005692266580152316
2020-05-05,154.26,154.26,154.0,154.045,2121,0.0,,154.16099999999992,,33.07015010653055,-0.3913157927229065,-0.3933099690940763,0.0019941763711697758
2020-05-06,153.99,154.47,153.985,154.47,503,0.0,,154.25299999999993,,45.64321258964044,-0.35144620876985755,-0.38493721702923256,0.03349100825937501
2020-05-07,154.5,154.62,154.48,154.62,656,0.0,,154.34299999999993,,49.265723535152354,-0.3042384582793147,-0.368797465279249,0.06455900699993428
2020-05-08,154.57,154.57,154.32,154.33,615,0.0,,154.35099999999994,,43.262810197199165,-0.28691912717388846,-0.35242179765817694,0.06550267048428848
2020-05-09,154.34,154.34,154.34,154.34,100,0.0,,154.36099999999996,,43.51838087901043,-0.269282396226032,-0.33579391737174796,0.06651152114571596
2020-05-10,154.49,154.54,154.39,154.535,473,0.0,,154.45899999999997,,48.399469282023006,-0.23684014381703378,-0.3160031626608052,0.07916301884377142
2020-05-11,154.42,154.45,154.42,154.45,268,0.0,,154.45499999999998,,46.51256937097321,-0.21550401849583523,-0.2959033338278112,0.08039931533197597
2020-05-12,154.57,154.89,154.565,154.76,1201,0.0,,154.48299999999998,,53.615089014516776,-0.17160245001346652,-0.2710431570649423,0.09944070705147579
2020-05-13,154.755,154.825,154.73,154.825,400,0.0,,154.58199999999994,,54.96542886584663,-0.13006586558981326,-0.24284769876991652,0.11278183318010326
2020-05-14,154.73,154.915,154.73,154.915,1324,0.0,,154.69699999999995,,56.83900622296113,-0.0888612382995575,-0.21205040667584474,0.12318916837628724
2020-05-15,154.8,154.8,154.71,154.8,845,0.0,,154.74999999999994,,53.76124495951187,-0.06473953613996741,-0.1825882325686693,0.11784869642870188
2020-05-16,154.81,154.81,154.57,154.57,405,0.0,,154.77399999999994,,48.1460620972125,-0.06345057249771457,-0.15876070055447836,0.09531012805676378
2020-05-17,154.57,154.62,154.39,154.395,700,0.0,,154.70099999999994,,44.35040418008103,-0.0756777312110728,-0.14214410668579724,0.06646637547472445
2020-05-18,154.42,154.515,154.41,154.515,621,0.0,,154.63899999999995,,47.411953180989784,-0.07482234010373645,-0.12867975336938509,0.053857413265648635
2020-05-19,154.555,154.555,154.555,154.555,200,0.0,,154.56699999999995,,48.43039548307736,-0.07010860245432582,-0.11696552318637324,0.04685692073204742
2020-05-20,154.79,154.92,154.79,154.92,526,0.0,,154.59099999999995,,56.67556921474468,-0.036499735607037564,-0.1008723656705061,0.06437263006346854
2020-05-21,154.92,155.085,154.92,155.085,492,0.0,,154.69399999999996,,59.80425437599571,0.0034103422431996933,-0.08001582408776495,0.08342616633096464
2020-05-22,155.4,155.4,155.27,155.27,375,0.0,,154.86899999999997,,63.02809315201504,0.04939789221424462,-0.05413308082736304,0.10353097304160766
2020-05-23,155.42,155.56,155.42,155.46,1351,0.0,,155.05799999999996,,66.04054741786081,0.10002178017202823,-0.02330210862748479,0.12332388879951302
2020-05-24,155.43,155.45,155.43,155.45,200,0.0,,155.23699999999994,,65.73695614333818,0.1377468003079514,0.008907673159602447,0.12883912714834894
