Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,50.9,50.9,50.9,50.9,409,0.0,,,,,,,
2020-03-31,50.93,50.95,50.93,50.93,432,0.0,,,,,,,
2020-04-01,50.95,50.95,50.95,50.95,121,0.0,,,,,,,
2020-04-02,50.92,50.92,50.92,50.92,178,0.0,,,,,,,
2020-04-03,50.94,50.96,50.93,50.96,543,0.0,,50.932,,,,,
2020-04-04,50.98,51.005,50.98,51.005,1123,0.0,,50.953,,,,,
2020-04-05,51.0,51.0,51.0,51.0,366,0.0,,50.967,,,,,
2020-04-06,51.05,51.07,51.05,51.07,674,0.0,,50.991,,,,,
2020-04-07,51.075,51.075,51.065,51.07,1401,0.0,,51.020999999999994,,,,,
2020-04-08,51.07,51.07,51.05,51.055,1097,0.0,,51.03999999999999,,,,,
2020-04-09,51.055,51.09,51.055,51.09,614,0.0,,51.056999999999995,,,,,
2020-04-10,51.1,51.12,51.09,51.12,810,0.0,,51.080999999999996,,,,,
2020-04-11,51.13,51.13,51.13,51.13,466,0.0,,51.092999999999996,,,,,
2020-04-12,51.13,51.15,51.13,51.15,900,0.0,,51.108999999999995,,,,,
2020-04-13,51.15,51.175,51.135,51.17,2502,0.0,,51.13199999999999,,86.48648648648576,,,
2020-04-14,51.17,51.175,51.125,51.15,939,0.0,,51.14399999999999,,81.72888015716967,,,
2020-04-15,51.16,51.19,51.16,51.18,2044,0.0,,51.155999999999985,,83.21998612074833,,,
2020-04-16,51.19,51.19,51.16,51.19,1762,0.0,,51.167999999999985,,83.69758010144159,,,
2020-04-17,51.185,51.19,51.18,51.19,639,0.0,,51.17599999999998,,83.69758010144159,,,
2020-04-18,51.185,51.21,51.185,51.19,1627,0.0,,51.179999999999986,,83.69758010144159,,,
2020-04-19,51.19,51.23,51.19,51.23,1563,0.0,,51.195999999999984,,85.72709787073238,,,
2020-04-20,51.22,51.22,51.14,51.14,2040,0.0,,51.18799999999999,,65.86016588959735,,,
2020-04-21,51.155,51.16,51.155,51.16,1406,0.0,,51.18199999999998,,67.65409062501232,,,
2020-04-22,51.16,51.17,51.15,51.16,1701,0.0,,51.17599999999999,,67.65409062501232,,,
2020-04-23,51.18,51.19,51.15,51.15,869,0.0,,51.167999999999985,,65.65358119367443,,,
2020-04-24,51.155,51.155,51.15,51.155,815,0.0,,51.15299999999998,,66.19187857803719,0.0575157995393738,,
2020-04-25,51.17,51.17,51.11,51.11,998,0.0,,51.14699999999998,,57.46303761068022,0.05003254482172537,,
2020-04-26,51.12,51.14,51.11,51.12,984,0.0,,51.13899999999998,,58.76439451250822,0.04439714531562089,,
2020-04-27,51.11,51.11,51.1,51.1,467,0.0,,51.12699999999998,,55.13156555483096,0.037880554302979874,,
2020-04-28,51.13,51.14,51.11,51.12,1002,0.0,,51.120999999999974,,57.93225286212257,0.033938717420667786,,
2020-04-29,51.115,51.12,51.115,51.12,375,0.0,,51.11399999999997,,57.93225286212257,0.030463617670470455,,
2020-04-30,51.115,51.13,51.111000000000004,51.12,1615,0.0,,51.115999999999964,,57.93225286212257,0.027393797436886302,,
2020-05-01,51.14,51.14,51.115,51.115,545,0.0,,51.11499999999997,,56.82472388015498,0.024277627197619722,,
2020-05-02,51.14,51.14,51.14,51.14,309,0.0,,51.12299999999996,,60.854418358118096,0.023553817156063417,0.03660595787348973,-0.013052140717426317
2020-05-03,51.14,51.14,51.12,51.12,410,0.0,,51.122999999999955,,56.32528542199253,0.02112286835249222,0.03350933996929023,-0.012386471616798012
2020-05-04,51.14,51.14,51.13,51.13,1025,0.0,,51.12499999999996,,58.00812570558092,0.019775283183285808,0.03076252861208935,-0.010987245428803541
2020-05-05,51.15,51.15,51.14,51.14,421,0.0,,51.12899999999995,,59.68116256237086,0.019291844282243176,0.028468391746120116,-0.00917654746387694
2020-05-06,51.15,51.16,51.14,51.16,666,0.0,,51.13799999999994,,62.86761724468883,0.0202886731286398,0.026832448022624054,-0.006543774893984253
2020-05-07,51.17,51.18,51.17,51.18,1005,0.0,,51.145999999999944,,65.78009877698206,0.02243389603530943,0.025952737625161128,-0.003518841589851697
2020-05-08,51.185,51.19,51.18,51.18,1310,0.0,,51.157999999999944,,65.78009877698206,0.023858969297968713,0.025533983959722648,-0.0016750146617539353
2020-05-09,51.18,51.18,51.17,51.17,545,0.0,,51.165999999999954,,62.91837803491635,0.02390586180521126,0.025208359528820373,-0.0013024977236091133
2020-05-10,51.135,51.135,51.135,51.135,173,0.0,,51.16499999999995,,54.05461326103798,0.020878146683479315,0.024342316959752162,-0.0034641702762728474
2020-05-11,51.15,51.16,51.14,51.14,781,0.0,,51.16099999999995,,55.02928228938628,0.01866693800766228,0.02320724116933419,-0.0045403031616719075
2020-05-12,51.15,51.16,51.15,51.15,404,0.0,,51.15499999999995,,56.99425450498302,0.01751950171740191,0.022069693278947734,-0.004550191561545826
