Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,68.07,68.07,68.07,68.07,113,0.0,,,,,,,
2020-04-01,67.98,68.16,67.98,68.16,700,0.0,,,,,,,
2020-04-02,68.11,68.11,68.07,68.075,728,0.0,,,,,,,
2020-04-03,68.04,68.04,68.04,68.04,171,0.0,,,,,,,
2020-04-04,67.96,68.11,67.96,68.07,1292,0.0,,68.083,,,,,
2020-04-05,68.03,68.09,68.03,68.09,242,0.0,,68.087,,,,,
2020-04-06,67.97,67.97,67.97,67.97,168,0.0,,68.049,,,,,
2020-04-07,67.93,67.95,67.91,67.91,703,0.0,,68.01599999999999,,,,,
2020-04-08,67.91,67.99,67.9,67.98,1274,0.0,,68.00399999999999,,,,,
2020-04-09,67.97,67.99,67.81,67.81,1209,0.0,,67.952,,,,,
2020-04-10,67.8,67.94,67.79,67.94,1617,0.0,,67.922,,,,,
2020-04-11,67.93,67.98,67.9,67.94,1145,0.0,,67.91600000000001,,,,,
2020-04-12,67.95,67.99,67.95,67.99,900,0.0,,67.93200000000002,,,,,
2020-04-13,67.98,68.08,67.95,68.06,1098,0.0,,67.94800000000001,,,,,
2020-04-14,68.05,68.08,68.05,68.07,818,0.0,,68.00000000000001,,50.0,,,
2020-04-15,68.015,68.075,68.015,68.075,741,0.0,,68.02700000000002,,50.28478437754327,,,
2020-04-16,68.09,68.16,68.09,68.16,1490,0.0,,68.07100000000001,,54.97931190840575,,,
2020-04-17,68.17,68.28,68.15,68.15,1094,0.0,,68.10300000000002,,54.329327927688006,,,
2020-04-18,68.1,68.14,68.1,68.14,546,0.0,,68.11900000000001,,53.64631654042982,,,
2020-04-19,68.09,68.09,68.09,68.09,100,0.0,,68.12300000000002,,50.24504328589229,,,
2020-04-20,68.095,68.095,68.095,68.095,300,0.0,,68.12700000000001,,50.58246064071359,,,
2020-04-21,68.12,68.15,68.07,68.07,839,0.0,,68.10900000000001,,48.80045282964412,,,
2020-04-22,68.05,68.05,68.02,68.02,258,0.0,,68.08300000000001,,45.35866132112951,,,
2020-04-23,67.99,67.99,67.99,67.99,200,0.0,,68.05300000000003,,43.381678079736574,,,
2020-04-24,68.03,68.03,68.0,68.0,400,0.0,,68.03500000000001,,44.25388750361599,,,
2020-04-25,67.92,68.015,67.915,68.015,1100,0.0,,68.019,,45.6074525261356,0.0059419242148948115,,
2020-04-26,68.01,68.02,68.01,68.02,300,0.0,,68.009,,46.07745307174199,0.0036164298473977396,,
2020-04-27,68.07,68.13,68.06,68.1,700,0.0,,68.025,,53.065500160404746,0.008135014831879062,,
2020-04-28,68.19,68.19,68.17,68.17,200,0.0,,68.061,,58.17327792018711,0.017166555605101053,,
2020-04-29,68.17,68.21,68.17,68.21,900,0.0,,68.103,,60.79863070462179,0.02723780201597492,,
2020-04-30,68.2,68.2,68.2,68.2,200,0.0,,68.14,,59.78827441132386,0.034020256588419784,,
2020-05-01,68.21,68.21,68.21,68.21,105,0.0,,68.178,,60.4952665294065,0.03974417106439887,,
2020-05-02,68.38,68.38,68.33,68.33,306,0.0,,68.224,,67.80931740883796,0.05334844398927885,,
2020-05-03,68.38,68.38,68.36,68.37,701,0.0,,68.264,,69.81543848694727,0.06658998609294997,0.028422287138921674,0.0381676989540283
2020-05-04,68.325,68.325,68.325,68.325,296,0.0,,68.287,,64.91422061807191,0.0726158098369325,0.03726099167852384,0.03535481815840866
2020-05-05,68.355,68.355,68.34,68.34,496,0.0,,68.315,,65.77667894250716,0.07770594741599268,0.04534998282601761,0.03235596458997507
2020-05-06,68.32,68.36,68.32,68.36,507,0.0,,68.345,,66.94345593797681,0.08240385067689715,0.05276075639619353,0.029643094280703622
2020-05-07,68.42,68.42,68.42,68.42,107,0.0,,68.36300000000001,,70.22326608065708,0.08993179367985249,0.06019496385292532,0.029736829826927172
2020-05-08,68.37,68.37,68.37,68.37,106,0.0,,68.36300000000001,,64.48169022390493,0.09081628698780264,0.0663192284799008,0.024497058507901848
2020-05-09,68.37,68.37,68.37,68.37,408,0.0,,68.37200000000001,,64.48169022390493,0.09047432263378141,0.07115024731067691,0.019324075323104498
2020-05-10,68.39,68.39,68.385,68.385,502,0.0,,68.38100000000001,,65.46414136594137,0.09037193662840082,0.0749945851742217,0.015377351454179122
2020-05-11,68.485,68.5,68.485,68.5,507,0.0,,68.40900000000002,,71.88493880255001,0.09843562922669946,0.07968279398471725,0.018752835241982208
2020-05-12,68.46,68.52,68.46,68.52,303,0.0,,68.429,,72.83097889295021,0.10522700514586347,0.0847916362169465,0.020435368928916967
2020-05-13,68.56,68.61,68.56,68.58,1130,0.0,,68.471,,75.49496398957194,0.11413504035152755,0.09066031704386271,0.02347472330766484
2020-05-14,68.53,68.54,68.53,68.54,367,0.0,,68.50500000000001,,70.52990382287187,0.11662270280210407,0.09585279419551099,0.020769908606593085
2020-05-15,68.51,68.59,68.49,68.56,2104,0.0,,68.54,,71.53783113155052,0.11883813403487409,0.10044986216338361,0.018388271871490475
2020-05-16,68.47,68.47,68.45,68.45,515,0.0,,68.53,,59.48699772643306,0.11044466125102304,0.10244882198091151,0.007995839270111521
2020-05-17,68.48,68.48,68.47,68.47,316,0.0,,68.52000000000001,,60.78061004184023,0.1042053915628145,0.10280013589729212,0.0014052556655223813
2020-05-18,68.53,68.61,68.53,68.61,400,0.0,,68.52600000000001,,68.38953528258745,0.10929764019383015,0.10409963675659974,0.005198003437230411
2020-05-19,68.58,68.59,68.58,68.59,617,0.0,,68.536,,66.40743407489907,0.11044629493103741,0.10536896839148727,0.005077326539550148
2020-05-20,68.62,68.63,68.62,68.63,300,0.0,,68.55,,68.38120251944397,0.11327847405641478,0.10695086952447277,0.006327604531942005
2020-05-21,68.66,68.66,68.635,68.635,300,0.0,,68.587,,68.62932809999545,0.11460535543321271,0.10848176670622077,0.006123588726991938
2020-05-22,68.48,68.48,68.47,68.47,401,0.0,,68.58699999999999,,53.66341764020539,0.10117649776051962,0.10702071291708055,-0.005844215156560931
2020-05-23,68.445,68.445,68.445,68.445,119,0.0,,68.55399999999999,,51.81955804358657,0.08750800245842072,0.10311817082534859,-0.01561016836692787
2020-05-24,68.45,68.47,68.45,68.47,400,0.0,,68.52999999999997,,53.538752759154704,0.07779612719372153,0.0980537620990232,-0.020257634905301664
2020-05-25,68.515,68.515,68.48,68.48,200,0.0,,68.49999999999997,,54.242092439048406,0.0700982633573517,0.09246266235068891,-0.02236439899333721
2020-05-26,68.44,68.44,68.44,68.44,100,0.0,,68.46099999999998,,50.92146738695622,0.06007744965810957,0.08598561981217304,-0.025908170154063465
2020-05-27,68.43,68.43,68.405,68.405,319,0.0,,68.44799999999998,,48.14418535521202,0.048749718701060374,0.07853843958995052,-0.029788720888890147
2020-05-28,68.375,68.375,68.37,68.37,403,0.0,,68.43299999999998,,45.4732710547877,0.03652714067258955,0.07013617980647834,-0.03360903913388878
2020-05-29,68.38,68.38,68.38,68.38,353,0.0,,68.41499999999999,,46.38841911549914,0.027332503861998703,0.06157544461758241,-0.034242940755583706
2020-05-30,68.47,68.47,68.47,68.47,203,0.0,,68.41299999999998,,53.88927857585001,0.02699673423703075,0.05465970254147208,-0.02766296830444133
2020-05-31,68.44,68.44,68.44,68.44,204,0.0,,68.41299999999998,,51.312150175805776,0.024032849382862764,0.04853433190975022,-0.024501482526887455
2020-06-01,68.45,68.45,68.415,68.45,900,0.0,,68.42199999999998,,52.13387310144536,0.022234559546888022,0.04327437743717778,-0.02103981789028976
2020-06-02,68.44,68.44,68.42,68.42,200,0.0,,68.43199999999999,,49.438163674552236,0.018179095321585237,0.038255321014059276,-0.02007622569247404
2020-06-03,68.39,68.39,68.39,68.39,358,0.0,,68.43399999999998,,46.83041475359622,0.012401405739694837,0.033084537959186394,-0.020683132219491557
2020-06-04,68.37,68.37,68.35,68.37,1014,0.0,,68.41399999999999,,45.12165165730198,0.006137957711260356,0.027695221909601185,-0.02155726419834083
2020-06-05,68.39,68.39,68.31,68.33,500,0.0,,68.39199999999998,,41.83391488257158,-0.002030133566989889,0.021750150814282974,-0.023780284381272863
2020-06-06,68.33,68.34,68.33,68.34,301,0.0,,68.36999999999999,,42.953016258952296,-0.007608779057719062,0.01587836483988257,-0.02348714389760163
2020-06-07,68.38,68.38,68.32,68.32,400,0.0,,68.35,,41.24389095372697,-0.013488244566900676,0.01000504295852592,-0.023493287525426596
2020-06-08,68.29,68.29,68.28,68.28,331,0.0,,68.328,,37.98819682363692,-0.0211318344152005,0.0037776674837806364,-0.024909501898981137
2020-06-09,68.31,68.31,68.31,68.31,101,0.0,,68.316,,41.704932873538674,-0.024486420941187248,-0.0018751502012129407,-0.022611270739974307
