Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,13.91,13.98,13.91,13.975,4320,0.0,,,,,,,
2020-04-01,13.96,14.01,13.96,13.96,5351,0.0,,,,,,,
2020-04-02,13.98,14.01,13.97,13.99,18900,0.0,,,,,,,
2020-04-03,13.99,13.99,13.97,13.99,6276,0.0,,,,,,,
2020-04-04,13.995,14.05,13.99,14.05,4787,0.0,,13.993,,,,,
2020-04-05,14.08,14.13,14.08,14.13,3687,0.0,,14.024000000000001,,,,,
2020-04-06,14.15,14.17,14.135,14.15,19052,0.0,,14.062000000000001,,,,,
2020-04-07,14.17,14.24,14.17,14.21,4847,0.0,,14.106000000000003,,,,,
2020-04-08,14.205,14.215,14.15,14.155,2612,0.0,,14.139000000000005,,,,,
2020-04-09,14.1,14.17,14.09,14.165,2412,0.0,,14.162000000000003,,,,,
2020-04-10,14.18,14.2,14.165,14.185,3058,0.0,,14.173000000000005,,,,,
2020-04-11,14.18,14.21,14.16,14.16,5318,0.0,,14.175000000000002,,,,,
2020-04-12,14.15,14.15,14.11,14.115,3905,0.0,,14.156,,,,,
2020-04-13,14.11,14.11,14.06,14.06,4650,0.0,,14.137,,,,,
2020-04-14,14.06,14.07,14.035,14.065,2800,0.0,,14.117,,59.37499999999998,,,
2020-04-15,14.04,14.05,14.02,14.05,4450,0.0,,14.09,,57.44186046511641,,,
2020-04-16,14.05,14.055,14.035,14.04,1011,0.0,,14.066000000000003,,56.1298216991026,,,
2020-04-17,14.02,14.04,13.97,13.97,6582,0.0,,14.037000000000003,,47.88469038933637,,,
2020-04-18,14.0,14.005,13.92,13.93,14403,0.0,,14.011000000000001,,43.914942998785584,,,
2020-04-19,13.925,13.945,13.91,13.945,7748,0.0,,13.987,,45.73182756423065,,,
2020-04-20,13.955,13.96,13.945,13.96,7157,0.0,,13.969000000000003,,47.561262956764644,,,
2020-04-21,13.955,13.98,13.925,13.925,9052,0.0,,13.946000000000003,,43.846995375545696,,,
2020-04-22,13.895,13.92,13.89,13.89,12132,0.0,,13.930000000000003,,40.4454652029136,,,
2020-04-23,13.89,13.9,13.85,13.89,7064,0.0,,13.922000000000002,,40.4454652029136,,,
2020-04-24,13.88,13.92,13.88,13.91,13649,0.0,,13.915000000000003,,43.35757436195451,,,
2020-04-25,13.89,13.91,13.88,13.9,1503,0.0,,13.903000000000002,,42.245265130749985,-0.07866257128765675,,
2020-04-26,13.9,13.96,13.9,13.96,1475,0.0,,13.910000000000005,,50.457711746681404,-0.0721140012583028,,
2020-04-27,13.97,14.02,13.97,13.97,8088,0.0,,13.926000000000005,,51.69067287964266,-0.065363822446038,,
2020-04-28,13.96,13.96,13.89,13.89,635,0.0,,13.926000000000005,,42.56438164897864,-0.06571210032878128,,
2020-04-29,13.86,13.9,13.85,13.9,10519,0.0,,13.924000000000007,,43.897770905527935,-0.06443839097391013,,
2020-04-30,13.905,13.92,13.895,13.92,8754,0.0,,13.928000000000006,,46.569424702507504,-0.06111068830585786,,
2020-05-01,13.93,13.93,13.895,13.9,1426,0.0,,13.916000000000007,,44.297649132770815,-0.05940253734592282,,
2020-05-02,13.905,13.915,13.905,13.915,638,0.0,,13.905000000000006,,46.40919621554352,-0.05619070924516478,,
2020-05-03,13.915,13.915,13.89,13.89,4007,0.0,,13.905000000000006,,43.452699248877586,-0.0550282717389301,-0.06422478810339606,0.00919651636446596
2020-05-04,13.89,13.89,13.83,13.84,2759,0.0,,13.893000000000006,,38.20989211672429,-0.05747903127975462,-0.06287563673866778,0.005396605458913156
2020-05-05,13.855,13.875,13.81,13.82,7164,0.0,,13.873000000000005,,36.322064554283166,-0.06033955193105811,-0.06236841977714584,0.0020288678460877313
2020-05-06,13.81,13.845,13.81,13.845,1917,0.0,,13.862000000000004,,40.29311686292214,-0.0598987683737473,-0.06187448949646614,0.001975721122718835
2020-05-07,13.87,13.87,13.85,13.85,983,0.0,,13.849,,41.08445341018348,-0.058471957684986364,-0.06119398313417018,0.002722025449183818
2020-05-08,13.82,13.84,13.815,13.825,3078,0.0,,13.836000000000002,,38.34772844278707,-0.058682040960913895,-0.06069159469951893,0.0020095537386050355
2020-05-09,13.82,13.82,13.82,13.82,137,0.0,,13.831999999999999,,37.80532640569949,-0.058576755311445794,-0.06026862682190431,0.0016918715104585133
2020-05-10,13.845,13.87,13.825,13.865,6487,0.0,,13.840999999999998,,45.30369598765163,-0.05423698159392387,-0.059062297776308226,0.004825316182384354
2020-05-11,13.84,13.84,13.8,13.82,822,0.0,,13.835999999999995,,40.09755182350934,-0.05380853230989402,-0.05801154468302539,0.004203012373131372
2020-05-12,13.81,13.85,13.81,13.845,2663,0.0,,13.834999999999997,,43.951108591886715,-0.05086534802970277,-0.05658230535236087,0.005716957322658096
2020-05-13,13.835,13.84,13.815,13.815,639,0.0,,13.832999999999995,,40.57768853491885,-0.050372934727221264,-0.055340431227332954,0.00496749650011169
2020-05-14,13.825,13.83,13.81,13.83,1323,0.0,,13.834999999999997,,42.93608513263881,-0.04821650909448216,-0.0539156468007628,0.005699137706280638
2020-05-15,13.83,13.865,13.83,13.865,1028,0.0,,13.834999999999997,,48.111009301092544,-0.04318550315322334,-0.051769618071254915,0.008584114918031578
2020-05-16,13.865,13.91,13.865,13.905,8024,0.0,,13.851999999999999,,53.32103942378033,-0.035560806154764535,-0.048527855687956846,0.012967049533192311
2020-05-17,13.91,13.95,13.91,13.95,1515,0.0,,13.873,,58.38356355436108,-0.025592045758198623,-0.04394069370200521,0.018348647943806584
2020-05-18,13.955,13.97,13.94,13.94,3698,0.0,,13.898,,56.906563673063026,-0.018287836948829295,-0.038810122351370026,0.02052228540254073
2020-05-19,13.94,13.94,13.92,13.93,2425,0.0,,13.917999999999997,,55.39730668641094,-0.013154478628681687,-0.03367899360683236,0.020524514978150672
2020-05-20,13.93,13.98,13.93,13.96,2818,0.0,,13.936999999999998,,58.917478513049716,-0.0065895457154176995,-0.02826110402854943,0.02167155831313173
2020-05-21,13.98,14.035,13.98,14.03,5578,0.0,,13.961999999999998,,65.71653901297353,0.004213060364378407,-0.021766271149963864,0.02597933151434227
