Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,17.83,17.83,17.83,17.83,102,0.0,,,,,,,
2020-03-31,17.83,17.83,17.83,17.83,100,0.0,,,,,,,
2020-04-01,17.95,17.95,17.95,17.95,230,0.0,,,,,,,
2020-04-02,17.98,17.98,17.98,17.98,110,0.0,,,,,,,
2020-04-03,18.0,18.0,18.0,18.0,100,0.0,,17.918,,,,,
2020-04-04,17.945,17.945,17.945,17.945,100,0.0,,17.941,,,,,
2020-04-05,17.95,17.95,17.95,17.95,100,0.0,,17.965,,,,,
2020-04-06,17.99,17.99,17.99,17.99,100,0.0,,17.973,,,,,
2020-04-07,17.92,17.92,17.92,17.92,130,0.0,,17.961,,,,,
2020-04-08,17.93,17.93,17.93,17.93,110,0.0,,17.946999999999996,,,,,
2020-04-09,17.96,17.96,17.96,17.96,110,0.0,,17.95,,,,,
2020-04-10,17.935,17.935,17.935,17.935,110,0.0,,17.947,,,,,
2020-04-11,17.96,17.96,17.96,17.96,165,0.0,,17.941,,,,,
2020-04-12,17.96,17.96,17.96,17.96,100,0.0,,17.948999999999998,,,,,
2020-04-13,17.91,17.91,17.91,17.91,103,0.0,,17.945,,58.33333333333351,,,
2020-04-14,17.97,17.97,17.97,17.97,120,0.0,,17.946999999999996,,63.276836158192154,,,
2020-04-15,17.93,17.95,17.93,17.95,250,0.0,,17.949999999999996,,60.691954981242304,,,
2020-04-16,17.92,17.92,17.92,17.92,140,0.0,,17.941999999999997,,56.9348774251771,,,
2020-04-17,17.92,17.92,17.92,17.92,160,0.0,,17.933999999999997,,56.9348774251771,,,
2020-04-18,17.9,17.9,17.9,17.9,100,0.0,,17.932,,54.33429183446376,,,
2020-04-19,17.98,17.98,17.98,17.98,100,0.0,,17.934,,61.84222617693689,,,
2020-04-20,17.8,17.8,17.8,17.8,100,0.0,,17.904,,44.224194050092635,,,
2020-04-21,17.81,17.81,17.81,17.81,100,0.0,,17.881999999999998,,45.15893303639359,,,
2020-04-22,17.85,17.85,17.85,17.85,100,0.0,,17.868,,48.851450033932835,,,
2020-04-23,17.93,17.93,17.93,17.93,100,0.0,,17.873999999999995,,55.32960169892062,,,
2020-04-24,17.92,17.92,17.92,17.92,100,0.0,,17.861999999999995,,54.40207179397014,-0.02112158096638339,,
2020-04-25,17.89,17.89,17.89,17.89,100,0.0,,17.879999999999995,,51.607049079696665,-0.020510721917862185,,
2020-04-26,17.97,17.97,17.97,17.97,100,0.0,,17.911999999999995,,57.82913279415712,-0.013416621843745702,,
2020-04-27,17.98,17.98,17.92,17.92,200,0.0,,17.925999999999995,,53.22318212771768,-0.011694274243300384,,
2020-04-28,17.8,17.8,17.8,17.8,100,0.0,,17.899999999999995,,44.1371752266694,-0.01978423809772778,,
2020-04-29,17.88,17.88,17.88,17.88,100,0.0,,17.891999999999992,,50.236435053066884,-0.01951530108227928,,
2020-04-30,17.91,17.91,17.91,17.91,100,0.0,,17.895999999999994,,52.33799832868593,-0.01668903645670028,,
2020-05-01,17.93,17.93,17.93,17.93,100,0.0,,17.887999999999995,,53.74056882319071,-0.012689096519775234,,
2020-05-02,17.92,17.92,17.92,17.92,100,0.0,,17.887999999999995,,52.90230313806751,-0.010208356153011522,-0.01618102525342064,0.005972669100409118
2020-05-03,17.83,17.83,17.83,17.83,200,0.0,,17.893999999999995,,45.954678391850585,-0.015327908786993305,-0.016010401960135173,0.0006824931731418682
2020-05-04,17.79,17.79,17.79,17.79,100,0.0,,17.875999999999994,,43.23687382358262,-0.022355160465618695,-0.01727935366123188,-0.005075806804386816
2020-05-05,17.89,17.89,17.89,17.89,100,0.0,,17.871999999999993,,51.03358574091893,-0.019628874339577607,-0.017749257796901025,-0.0018796165426765814
2020-05-06,17.9,17.9,17.9,17.9,100,0.0,,17.865999999999993,,51.74734390619271,-0.01647148350761185,-0.01749370293904319,0.0010222194314313399
2020-05-07,17.88,17.92,17.88,17.92,200,0.0,,17.865999999999993,,53.21614658640597,-0.012214593442596566,-0.01643788103975387,0.004223287597157302
2020-05-08,17.88,17.88,17.88,17.88,100,0.0,,17.87599999999999,,49.94182508262779,-0.011931108708552074,-0.01553652657351351,0.0036054178649614355
2020-05-09,17.88,17.88,17.88,17.88,100,0.0,,17.893999999999988,,49.94182508262778,-0.011573038233635202,-0.01474382890553785,0.003170790671902648
2020-05-10,17.92,17.92,17.92,17.92,100,0.0,,17.899999999999988,,53.27599210639617,-0.00796972902127635,-0.01338900892868555,0.005419279907409199
2020-05-11,17.9,17.93,17.9,17.93,200,0.0,,17.905999999999988,,54.09910273104344,-0.004258079592549535,-0.011562823061458347,0.007304743468908812
2020-05-12,17.94,17.94,17.94,17.94,100,0.0,,17.90999999999999,,54.95370082368392,-0.0005038462271080846,-0.009351027694588296,0.008847181467480212
2020-05-13,17.95,17.95,17.95,17.95,100,0.0,,17.92399999999999,,55.83914842721687,0.003240967335301548,-0.006832628688610328,0.010073596023911877
2020-05-14,17.88,17.88,17.88,17.88,100,0.0,,17.92399999999999,,48.63279289830285,0.0005539583903448886,-0.005355311272819285,0.005909269663164174
2020-05-15,17.88,17.88,17.87,17.87,200,0.0,,17.91399999999999,,47.68600118841958,-0.0023552817618579525,-0.004755305370627018,0.002400023608769066
2020-05-16,17.91,17.91,17.91,17.91,100,0.0,,17.90999999999999,,51.73374926305046,-0.0014168769607465492,-0.004087619688650925,0.002670742727904376
2020-05-17,17.95,17.95,17.95,17.95,100,0.0,,17.911999999999992,,55.44623386440255,0.002525370412900685,-0.0027650216683406032,0.005290392081241288
2020-05-18,17.97,17.97,17.97,17.97,100,0.0,,17.91599999999999,,57.21811937033051,0.007180688208062946,-0.0007758796930598933,0.007956567901122839
2020-05-19,17.93,17.93,17.93,17.93,100,0.0,,17.925999999999995,,52.703650992237016,0.007555302569418387,0.000890356759435763,0.006664945809982625
2020-05-20,17.89,17.89,17.89,17.89,100,0.0,,17.929999999999993,,48.576205852023314,0.004571820344619226,0.0016266494764724557,0.0029451708681467706
2020-05-21,17.97,17.97,17.97,17.97,100,0.0,,17.941999999999993,,55.99827490276922,0.008564000136079386,0.0030141196083938422,0.005549880527685544
2020-05-22,17.9,17.9,17.89,17.89,200,0.0,,17.929999999999993,,48.46515074806153,0.0052124145010559175,0.003453778586926258,0.0017586359141296597
2020-05-23,17.87,17.87,17.87,17.87,100,0.0,,17.909999999999993,,46.77118907391114,0.0009316859892720686,0.0029493600673954202,-0.0020176740781233517
2020-05-24,17.9,17.9,17.9,17.9,100,0.0,,17.90399999999999,,49.615932979529404,-3.961624633319616e-05,0.002351564804649697,-0.0023911810509828933
2020-05-25,17.92,17.92,17.92,17.92,100,0.0,,17.90999999999999,,51.4777242801891,0.0007952850362720199,0.0020403088509741616,-0.0012450238147021417
2020-05-26,17.96,17.96,17.96,17.96,100,0.0,,17.907999999999994,,55.054858278124456,0.004631230086332039,0.002558493098045737,0.0020727369882863017
2020-05-27,17.92,17.92,17.92,17.92,100,0.0,,17.913999999999994,,51.00541762199061,0.004392939398073281,0.002925382358051246,0.0014675570400220351
2020-05-28,17.88,17.88,17.88,17.88,100,0.0,,17.91599999999999,,47.26177724965355,0.0009652992360642543,0.002533365733653848,-0.0015680664975895936
2020-05-29,17.87,17.87,17.87,17.87,100,0.0,,17.90999999999999,,46.34594848277975,-0.0025288951841524465,0.0015209135500925891,-0.004049808734245036
2020-05-30,17.85,17.88,17.85,17.88,200,0.0,,17.90199999999999,,47.44273393476486,-0.004439971779088836,0.00032873648425630416,-0.00476870826334514
2020-05-31,17.88,17.88,17.88,17.88,100,0.0,,17.88599999999999,,47.44273393476486,-0.005886656042598304,-0.0009143420211146176,-0.004972314021483687
2020-06-01,17.86,17.86,17.84,17.84,200,0.0,,17.86999999999999,,43.3334013087942,-0.01014389692092621,-0.002760253001076936,-0.007383643919849274
2020-06-02,17.92,17.92,17.82,17.82,200,0.0,,17.857999999999993,,41.402403292497844,-0.014959183684052135,-0.005200039137671976,-0.009759144546380159
2020-06-03,17.81,17.81,17.81,17.81,100,0.0,,17.845999999999993,,40.43224719789481,-0.0193590900234355,-0.00803184931482468,-0.011327240708610818
