Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,11.42,11.42,11.415,11.415,1555,0.0,,,,,,,
2020-03-31,11.41,11.41,11.4,11.4,4090,0.0,,,,,,,
2020-04-01,11.4,11.4,11.4,11.4,2738,0.0,,,,,,,
2020-04-02,11.405,11.43,11.4,11.4,18225,0.0,,,,,,,
2020-04-03,11.39,11.395,11.38,11.38,2851,0.0,,11.399,,,,,
2020-04-04,11.38,11.39,11.38,11.38,1560,0.0,,11.392,,,,,
2020-04-05,11.39,11.39,11.375,11.39,2760,0.0,,11.389999999999999,,,,,
2020-04-06,11.38,11.385,11.37,11.38,4883,0.0,,11.386,,,,,
2020-04-07,11.38,11.38,11.36,11.36,3712,0.0,,11.377999999999998,,,,,
2020-04-08,11.37,11.37,11.345,11.35,3049,0.0,,11.371999999999998,,,,,
2020-04-09,11.35,11.38,11.35,11.38,761,0.0,,11.371999999999998,,,,,
2020-04-10,11.37,11.37,11.35,11.35,1470,0.0,,11.363999999999999,,,,,
2020-04-11,11.35,11.35,11.33,11.33,3551,0.0,,11.353999999999997,,,,,
2020-04-12,11.33,11.34,11.32,11.325,2224,0.0,,11.346999999999998,,,,,
2020-04-13,11.305,11.31,11.305,11.31,3246,0.0,,11.338999999999997,,21.62162162162207,,,
2020-04-14,11.315,11.33,11.31,11.325,5820,0.0,,11.327999999999996,,27.915869980879464,,,
2020-04-15,11.33,11.39,11.33,11.39,1434,0.0,,11.335999999999995,,47.56606397774714,,,
2020-04-16,11.39,11.39,11.37,11.385,2110,0.0,,11.346999999999994,,46.51563317371546,,,
2020-04-17,11.385,11.42,11.385,11.415,3381,0.0,,11.364999999999995,,53.19450366261761,,,
2020-04-18,11.415,11.45,11.415,11.44,1581,0.0,,11.390999999999995,,57.91128034856576,,,
2020-04-19,11.45,11.45,11.425,11.43,1563,0.0,,11.411999999999992,,55.501923279075896,,,
2020-04-20,11.44,11.45,11.425,11.425,2272,0.0,,11.418999999999992,,54.285796359637175,,,
2020-04-21,11.425,11.45,11.425,11.45,4444,0.0,,11.431999999999992,,59.11016926369711,,,
2020-04-22,11.47,11.485,11.455,11.46,1047,0.0,,11.440999999999992,,60.8882114543142,,,
2020-04-23,11.45,11.46,11.45,11.45,9809,0.0,,11.442999999999993,,58.164450067412034,,,
2020-04-24,11.44,11.45,11.44,11.44,1898,0.0,,11.444999999999991,,55.49117031341681,0.030278016827503862,,
2020-04-25,11.44,11.44,11.43,11.43,900,0.0,,11.445999999999993,,52.87410537802937,0.02874938044510067,,
2020-04-26,11.43,11.46,11.43,11.46,2403,0.0,,11.447999999999993,,59.105203670433745,0.029617264983729186,,
2020-04-27,11.455,11.455,11.45,11.45,600,0.0,,11.445999999999994,,56.42693062714407,0.0291619920156041,,
