Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,244.27,244.27,244.27,244.27,113,0.0,,,,,,,
2020-03-31,244.0,244.005,244.0,244.005,229,0.0,,,,,,,
2020-04-01,243.935,243.935,243.935,243.935,101,0.0,,,,,,,
2020-04-02,244.27,244.27,244.27,244.27,149,0.0,,,,,,,
2020-04-03,244.4,244.4,244.4,244.4,100,0.0,,244.17600000000002,,,,,
2020-04-04,243.47,243.47,243.47,243.47,200,0.0,,244.01600000000002,,,,,
2020-04-05,243.62,243.62,243.62,243.62,100,0.0,,243.93900000000002,,,,,
2020-04-06,243.28,243.28,243.28,243.28,109,0.0,,243.80800000000005,,,,,
2020-04-07,243.215,243.24,243.13,243.24,304,0.0,,243.60200000000003,,,,,
2020-04-08,243.04,243.04,243.04,243.04,102,0.0,,243.33,,,,,
2020-04-09,242.9,242.9,242.8,242.82,610,0.0,,243.2,,,,,
2020-04-10,242.905,242.905,242.905,242.905,208,0.0,,243.05699999999996,,,,,
2020-04-11,243.28,243.53,243.28,243.53,304,0.0,,243.10699999999997,,,,,
2020-04-12,243.5,243.5,243.5,243.5,133,0.0,,243.15899999999996,,,,,
2020-04-13,243.595,243.595,243.53,243.53,310,0.0,,243.25699999999998,,39.275362318840585,,,
2020-04-14,243.48,243.48,243.41,243.475,20355,0.0,,243.38799999999998,,38.61245067952646,,,
2020-04-15,243.465,243.465,243.465,243.465,160,0.0,,243.49999999999994,,38.48526099963032,,,
2020-04-16,243.24,243.26,243.19,243.26,404,0.0,,243.44599999999997,,35.876282571964964,,,
2020-04-17,243.21,243.275,243.15,243.275,420,0.0,,243.40099999999998,,36.217006810123294,,,
2020-04-18,243.265,243.265,243.265,243.265,102,0.0,,243.348,,36.0793693343199,,,
2020-04-19,243.12,243.35,243.12,243.35,331,0.0,,243.323,,38.228275631421305,,,
2020-04-20,243.31,243.41,243.295,243.41,400,0.0,,243.31200000000004,,39.76757739372828,,,
2020-04-21,243.33,243.33,243.33,243.33,100,0.0,,243.32600000000002,,38.39379329850233,,,
2020-04-22,243.29,243.36,243.21,243.21,428,0.0,,243.31300000000002,,36.3645084487938,,,
2020-04-23,243.085,243.27,242.9,243.025,2253,0.0,,243.26500000000004,,33.43088089156049,,,
2020-04-24,243.13,243.13,243.13,243.13,230,0.0,,243.2210000000001,,36.559111532655876,-0.16987185012075656,,
2020-04-25,243.35,243.35,243.22,243.22,225,0.0,,243.18300000000008,,39.19660666321636,-0.16303642632396986,,
2020-04-26,243.48,243.61,243.45,243.45,873,0.0,,243.2070000000001,,45.43930454225726,-0.13747549398942738,,
2020-04-27,243.37,243.37,243.37,243.37,120,0.0,,243.23900000000012,,43.75649912230749,-0.12226421658783693,,
2020-04-28,243.15,243.15,243.15,243.15,280,0.0,,243.26400000000012,,39.431707499381666,-0.12650308225227036,,
2020-04-29,243.08,243.47,243.08,243.41,861,0.0,,243.32000000000016,,46.199461893311494,-0.10764175954204802,,
2020-04-30,243.4,243.445,243.37,243.445,300,0.0,,243.36500000000015,,47.057065596149975,-0.08884566044380904,,
2020-05-01,243.7,243.79,243.7,243.79,778,0.0,,243.43300000000013,,54.71920132008301,-0.04558551829626367,,
2020-05-02,243.76,243.82,243.69,243.78,1200,0.0,,243.51500000000016,,54.47311378216078,-0.01197047224567882,-0.10813271997800673,0.09616224773232791
2020-05-03,243.67,243.72,243.67,243.72,200,0.0,,243.62900000000013,,52.93486143732542,0.009716193147170316,-0.08456293735297134,0.09427913050014165
2020-05-04,243.82,243.82,243.82,243.82,100,0.0,,243.7110000000001,,55.2052785825758,0.034573652436193925,-0.06073561939513829,0.09530927183133221
2020-05-05,243.79,243.79,243.79,243.79,100,0.0,,243.78000000000011,,54.35809701400331,0.051261705697527304,-0.038336154376605175,0.08959786007413248
2020-05-06,243.83,243.83,243.83,243.83,100,0.0,,243.7880000000001,,55.342146984718916,0.06694309550974253,-0.01728030439933563,0.08422339990907816
2020-05-07,243.75,243.75,243.74,243.74,200,0.0,,243.78000000000011,,52.594499956260385,0.0712867132200472,0.0004330991245409376,0.07085361409550626
2020-05-08,243.78,243.78,243.78,243.78,100,0.0,,243.7920000000001,,53.694863693935446,0.07706833150342618,0.015760145600317986,0.061308185903108194
2020-05-09,243.84,243.84,243.68,243.68,200,0.0,,243.76400000000012,,50.53666938707728,0.07274260985644787,0.027156638451543966,0.045585971404903905
2020-05-10,243.68,243.68,243.68,243.68,100,0.0,,243.74200000000013,,50.53666938707728,0.06852453608908604,0.03543021797905238,0.03309431811003366
2020-05-11,243.76,243.76,243.76,243.76,100,0.0,,243.72800000000015,,53.09627352924137,0.07082063742697642,0.04250830186863719,0.02831233555833923
2020-05-12,243.78,243.78,243.78,243.78,100,0.0,,243.73600000000016,,53.740758285517,0.07340794602592382,0.048688230700094516,0.024719715325829304
2020-05-13,243.82,243.82,243.82,243.82,100,0.0,,243.74400000000014,,55.07045323069566,0.07778936505897605,0.054508457571870825,0.02328090748710522
2020-05-14,243.79,243.83,243.75,243.83,400,0.0,,243.77400000000011,,55.4154874926411,0.0811333330756554,0.05983343267262775,0.02129990040302765
2020-05-15,243.69,243.69,243.69,243.69,100,0.0,,243.77600000000012,,49.66513432382433,0.07166056348103211,0.06219885883430863,0.009461704646723482
2020-05-16,243.79,243.79,243.79,243.79,100,0.0,,243.7820000000001,,53.38593960276007,0.07139944128033449,0.06403897532351381,0.007360465956820675
2020-05-17,243.82,243.82,243.82,243.82,200,0.0,,243.7900000000001,,54.473218394554934,0.07277435190624715,0.06578605064006048,0.006988301266186672
2020-05-18,243.71,243.82,243.71,243.82,200,0.0,,243.7900000000001,,54.473218394554934,0.07302222374241296,0.06723328526053098,0.005788938481881986
2020-05-19,243.82,243.82,243.82,243.82,100,0.0,,243.7880000000001,,54.47321839455494,0.07238426322950886,0.06826348085432656,0.004120782375182305
2020-05-20,243.71,243.71,243.71,243.71,100,0.0,,243.7920000000001,,49.216002648081854,0.06228461595327417,0.06706770787411609,-0.00478309192084192
2020-05-21,243.78,243.78,243.78,243.78,100,0.0,,243.7900000000001,,52.366473993617944,0.05924603628153591,0.06550337355560006,-0.006257337274064148
2020-05-22,243.79,243.79,243.79,243.79,100,0.0,,243.7840000000001,,52.81679554065514,0.05698793498564214,0.06380028584160848,-0.006812350855966334
2020-05-23,243.79,243.79,243.79,243.79,100,0.0,,243.7780000000001,,52.81679554065514,0.054569332147167415,0.061954095102720264,-0.007384762955552848
2020-05-24,243.8,243.8,243.8,243.8,100,0.0,,243.77400000000011,,53.328513893719496,0.05285026346007271,0.06013332877419075,-0.007283065314118042
2020-05-25,243.8,243.8,243.8,243.8,100,0.0,,243.7920000000001,,53.328513893719496,0.05090113256892437,0.05828688953313748,-0.007385756964213112
2020-05-26,243.8,243.8,243.8,243.8,100,0.0,,243.7960000000001,,53.328513893719496,0.048793965830071784,0.056388304792524345,-0.007594338962452561
2020-05-27,243.81,243.81,243.81,243.81,100,0.0,,243.8000000000001,,53.95225728403352,0.04738471592548876,0.05458758701911723,-0.007202871093628466
2020-05-28,243.81,243.81,243.81,243.81,100,0.0,,243.8040000000001,,53.95225728403352,0.04574060598966412,0.05281819081322661,-0.007077584823562494
2020-05-29,243.78,243.78,243.78,243.78,100,0.0,,243.8000000000001,,51.55499423780746,0.04153806280930894,0.05056216521244308,-0.009024102403134143
2020-05-30,243.79,243.79,243.79,243.79,100,0.0,,243.7980000000001,,52.31557622998762,0.03856982455909019,0.04816369708177251,-0.009593872522682317
2020-05-31,243.79,243.79,243.79,243.79,100,0.0,,243.7960000000001,,52.31557622998762,0.035804739610199476,0.04569190558745791,-0.00988716597725843
2020-06-01,243.8,243.8,243.8,243.8,100,0.0,,243.7940000000001,,53.16829604164787,0.03402805209063331,0.04335913488809299,-0.009331082797459679
2020-06-02,243.78,243.78,243.78,243.78,100,0.0,,243.7880000000001,,51.1964004293545,0.030652834779374416,0.040817874866349274,-0.010165040086974858
2020-06-03,243.81,243.81,243.81,243.81,100,0.0,,243.7940000000001,,53.95500559735118,0.03005227609074268,0.03866475511122796,-0.00861247902048528
2020-06-04,243.78,243.78,243.78,243.78,100,0.0,,243.7920000000001,,50.859077590153944,0.026846114427684142,0.0363010269745192,-0.00945491254683506
2020-06-05,243.71,243.71,243.71,243.71,100,0.0,,243.77600000000012,,44.450041069416855,0.018444180196752313,0.032729657618965825,-0.014285477422213512
2020-06-06,243.78,243.78,243.78,243.78,100,0.0,,243.7720000000001,,51.08786287348576,0.017235323688794324,0.029630790832931526,-0.012395467144137202
2020-06-07,243.7,243.7,243.7,243.7,100,0.0,,243.75600000000014,,44.537776734442375,0.009710033562157605,0.02564663937877674,-0.015936605816619136
2020-06-08,243.74,243.74,243.74,243.74,100,0.0,,243.74200000000013,,48.119469825070595,0.006894378522048328,0.02189618720743106,-0.015001808685382732
2020-06-09,243.74,243.785,243.74,243.785,200,0.0,,243.74300000000017,,51.88405654611792,0.008199556157052257,0.0191568609973553,-0.010957304840303043
2020-06-10,245.32,245.32,245.32,245.32,100,0.0,,244.06500000000014,,86.87361776782409,0.13157883144194216,0.04164125508627267,0.08993757635566949
2020-06-11,245.09,245.09,245.09,245.09,100,0.0,,244.32700000000014,,77.75024544295619,0.2083964536003009,0.07499229478907832,0.13340415881122258
2020-06-12,244.685,244.685,244.685,244.685,103,0.0,,244.52400000000011,,64.8378215071055,0.23389861963772773,0.1067735597588082,0.12712505987891953
2020-06-13,245.0,245.0,245.0,245.0,200,0.0,,244.77600000000012,,69.13177970699681,0.2763416429475569,0.14068717639655795,0.13565446655099897
2020-06-14,245.35,245.35,245.35,245.35,130,0.0,,245.08900000000008,,73.06731541460387,0.3343657592963041,0.17942289297650718,0.1549428663197969
2020-06-15,246.08,246.08,246.08,246.08,109,0.0,,245.24100000000007,,79.06307985353612,0.43424943154337825,0.23038820068988142,0.20386123085349683
2020-06-16,246.935,247.13,246.935,247.13,205,0.0,,245.64900000000011,,84.43164994396146,0.5913178422036935,0.30257412899264385,0.2887437132110497
2020-06-17,246.36,246.36,246.36,246.36,100,0.0,,245.9840000000001,,70.21324210206622,0.6462139720121627,0.37130209759654764,0.27491187441561504
2020-06-18,247.46,247.46,247.46,247.46,100,0.0,,246.4760000000001,,76.34242476450697,0.7696087862836123,0.4509634353339606,0.3186453509496517
2020-06-19,247.07,247.07,247.07,247.07,100,0.0,,246.8200000000001,,70.78139699153772,0.8264040534616868,0.5260515589595058,0.30035249450218093
2020-06-20,246.74,246.74,246.74,246.74,121,0.0,,246.95200000000014,,66.37553237575744,0.8351592735760107,0.5878731018828068,0.24728617169320388
2020-06-21,246.555,246.555,246.555,246.555,100,0.0,,246.83700000000016,,63.97149620188114,0.8177434571576327,0.633847172937772,0.1838962842198607
2020-06-22,247.17,247.17,247.06,247.06,337,0.0,,246.97700000000015,,67.43840909144133,0.8350644732724675,0.6740906330047112,0.1609738402677563
2020-06-23,247.24,247.24,247.24,247.24,200,0.0,,246.93300000000013,,68.59829621077715,0.8534776400487658,0.7099680344135222,0.14350960563524362
2020-06-24,246.62,246.62,246.62,246.62,275,0.0,,246.84300000000016,,60.59203889036994,0.8087189799441887,0.7297182235196555,0.07900075642453319
2020-06-25,246.315,246.315,246.315,246.315,121,0.0,,246.75800000000018,,57.06371006602088,0.7401049986093255,0.7317955785375896,0.008309420071735962
2020-06-26,246.125,246.125,246.125,246.125,100,0.0,,246.67200000000017,,54.91830616963651,0.6627566656704857,0.7179877959641688,-0.055231130293683095
2020-06-27,245.27,245.27,245.27,245.27,100,0.0,,246.31400000000016,,46.454362532956765,0.5263982092008632,0.6796698786115077,-0.15327166941064452
2020-06-28,245.205,245.205,245.205,245.205,100,0.0,,245.90700000000015,,45.87550931383066,0.40838063550867787,0.6254120299909418,-0.21703139448226394
2020-06-29,245.005,245.005,245.005,245.005,105,0.0,,245.5840000000002,,44.05642622903336,0.2953083981656732,0.5593913036258882,-0.26408290546021496
2020-06-30,244.97,244.97,244.97,244.97,200,0.0,,245.3150000000002,,43.72963512742213,0.20056167776115785,0.4876253784529422,-0.28706370069178433
2020-07-01,244.99,244.99,244.99,244.99,100,0.0,,245.0880000000002,,43.98532258873472,0.12563975519054793,0.41522825380046335,-0.2895884986099154
2020-07-02,245.02,245.02,245.02,245.02,100,0.0,,245.03800000000018,,44.39348342606103,0.06790161351622714,0.34576292574361617,-0.277861312227389
2020-07-03,244.62,244.62,244.62,244.62,100,0.0,,244.9210000000002,,40.188583957327154,-0.010017461738783595,0.2746068482471362,-0.2846243099859198
2020-07-04,244.7,244.7,244.7,244.7,100,0.0,,244.8600000000002,,41.38439976076189,-0.06456924478197834,0.20677162964131332,-0.2713408744232917
2020-07-05,244.32,244.32,244.32,244.32,102,0.0,,244.7300000000002,,37.54462084221667,-0.1368868042057727,0.1380399428718961,-0.27492674707766884
2020-07-06,244.47,244.47,244.47,244.47,200,0.0,,244.6260000000002,,39.914528260267005,-0.18002008518786283,0.07442793725994433,-0.2544480224478072
2020-07-07,244.355,244.355,244.345,244.345,600,0.0,,244.4910000000002,,38.60005167479696,-0.2217339653284114,0.015195556742273186,-0.23692952207068457
2020-07-08,243.915,244.06,243.915,244.06,239,0.0,,244.3790000000002,,35.71230393185368,-0.2746239401926118,-0.04276834264470382,-0.23185559754790802
2020-07-09,244.155,244.155,244.155,244.155,201,0.0,,244.27000000000015,,37.3936351751254,-0.30535398955692017,-0.0952854720271471,-0.21006851752977307
2020-07-10,244.665,244.665,244.665,244.665,200,0.0,,244.33900000000017,,45.616511167768856,-0.28526666083035934,-0.13328170978778955,-0.1519849510425698
2020-07-11,245.0,245.0,245.0,245.0,102,0.0,,244.44500000000016,,50.23975771273759,-0.23955417637696996,-0.15453620310562566,-0.0850179732713443
2020-07-12,244.83,244.83,244.83,244.83,134,0.0,,244.54200000000014,,48.0092991841989,-0.21457084324254083,-0.1665431311330087,-0.048027712109532134
2020-07-13,245.19,245.19,245.19,245.19,100,0.0,,244.76800000000017,,52.78927349748021,-0.16383380624841948,-0.16600126615609084,0.002167459907671365
2020-07-14,245.15,245.15,245.15,245.15,100,0.0,,244.96700000000018,,52.21484489392279,-0.12540639770600137,-0.15788229246607294,0.032475894760071566
2020-07-15,245.55,245.55,245.55,245.55,100,0.0,,245.14400000000018,,57.227209350829035,-0.061961489045103235,-0.138698131781879,0.07673664273677577
2020-07-16,245.77,245.77,245.77,245.77,105,0.0,,245.29800000000017,,59.729208621399266,0.006002031860674606,-0.1097580990533683,0.1157601309140429
2020-07-17,245.95,245.95,245.95,245.95,101,0.0,,245.52200000000022,,61.70307610183966,0.07354037978558381,-0.07309840328557787,0.14663878307116168
2020-07-18,245.67,245.67,245.67,245.67,142,0.0,,245.61800000000022,,57.02105580597179,0.10328079049844519,-0.037822564528773264,0.14110335502721844
2020-07-19,246.4,246.4,246.4,246.4,100,0.0,,245.86800000000022,,64.5694401235304,0.1836383112506894,0.00646961062711927,0.17716870062357015
2020-07-20,246.77,246.77,246.77,246.77,105,0.0,,246.11200000000022,,67.66887571287141,0.27401940800814373,0.059979570103324165,0.21403983790481956
2020-07-21,246.655,246.655,246.655,246.655,100,0.0,,246.28900000000021,,65.74383278165868,0.33253429113142374,0.1144905143089441,0.21804377682247966
2020-07-22,246.625,246.625,246.625,246.625,106,0.0,,246.4240000000002,,65.22256911120516,0.3721965580669462,0.16603172306054453,0.20616483500640165
2020-07-23,246.58,246.58,246.58,246.58,100,0.0,,246.60600000000017,,64.39776807749534,0.3954396839216656,0.21191331523276877,0.18352636868889685
2020-07-24,246.26,246.26,246.26,246.26,207,0.0,,246.57800000000015,,58.71186659276242,0.3836166094896214,0.2462539740841393,0.1373626354054821
2020-07-25,246.0,246.0,246.0,246.0,102,0.0,,246.42400000000015,,54.50127399777552,0.34924107699171714,0.2668513946656549,0.08238968232606225
2020-07-26,246.705,246.705,246.705,246.705,100,0.0,,246.43400000000014,,62.37970871570491,0.3745680406814813,0.2883947238688202,0.0861733168126611
2020-07-27,246.74,246.74,246.74,246.74,100,0.0,,246.45700000000016,244.45808333333352,62.724792368454835,0.39293454453323307,0.3093026880017028,0.08363185653153027
