Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,90.97,91.02,90.965,91.015,805,0.0,,,,,,,
2020-04-01,91.03,91.08,91.0,91.0,705,0.0,,,,,,,
2020-04-02,90.895,90.92,90.895,90.9,415,0.0,,,,,,,
2020-04-03,90.93,90.99,90.93,90.96,753,0.0,,,,,,,
2020-04-04,90.96,90.96,90.87,90.87,333,0.0,,90.94899999999998,,,,,
2020-04-05,90.87,90.87,90.87,90.87,331,0.0,,90.92,,,,,
2020-04-06,90.73,90.73,90.69,90.69,771,0.0,,90.85799999999999,,,,,
2020-04-07,90.73,90.78,90.705,90.78,668,0.0,,90.83399999999999,,,,,
2020-04-08,90.77,90.92,90.77,90.92,1009,0.0,,90.826,,,,,
2020-04-09,91.01,91.01,91.01,91.01,204,0.0,,90.854,,,,,
2020-04-10,90.935,90.955,90.92,90.95,607,0.0,,90.87,,,,,
2020-04-11,90.97,90.98,90.95,90.98,623,0.0,,90.92800000000001,,,,,
2020-04-12,90.96,91.08,90.96,91.03,928,0.0,,90.97800000000002,,,,,
2020-04-13,91.04,91.11,91.04,91.05,773,0.0,,91.004,,,,,
2020-04-14,91.03,91.06,91.02,91.02,1194,0.0,,91.00600000000001,,50.26178010471181,,,
2020-04-15,91.09,91.09,91.0,91.0,327,0.0,,91.01600000000002,,49.15320992516735,,,
2020-04-16,91.0,91.0,90.93,90.93,323,0.0,,91.00600000000001,,45.38054879583811,,,
2020-04-17,90.9,90.92,90.9,90.92,320,0.0,,90.98400000000001,,44.85094130581322,,,
2020-04-18,90.93,90.93,90.93,90.93,106,0.0,,90.96000000000002,,45.53545624097883,,,
2020-04-19,90.895,90.9,90.895,90.9,221,0.0,,90.93600000000004,,43.779858101811485,,,
2020-04-20,90.91,90.91,90.83,90.85,706,0.0,,90.90600000000003,,40.94635251339024,,,
2020-04-21,90.8,90.8,90.725,90.77,4578,0.0,,90.87400000000004,,36.838146953857844,,,
2020-04-22,90.82,90.92,90.76,90.76,969,0.0,,90.84200000000004,,36.34723565492774,,,
2020-04-23,90.77,90.85,90.765,90.835,805,0.0,,90.82300000000004,,42.532695936530686,,,
2020-04-24,90.785,90.81,90.785,90.81,400,0.0,,90.80500000000004,,41.099024298606665,,,
2020-04-25,90.885,90.93,90.88,90.88,1180,0.0,,90.81100000000004,,46.53342731852168,-0.041780930464057064,,
2020-04-26,90.81,90.81,90.8,90.8,209,0.0,,90.81700000000004,,41.78817422474057,-0.04403597907553092,,
2020-04-27,90.835,90.89,90.835,90.89,221,0.0,,90.84300000000003,,48.18922975597478,-0.038121433354348255,,
2020-04-28,90.89,90.89,90.84,90.84,1201,0.0,,90.84400000000004,,45.21461074896519,-0.037041701711189035,,
2020-04-29,90.78,90.83,90.78,90.83,307,0.0,,90.84800000000004,,44.621359257663634,-0.03657135125901334,,
2020-04-30,90.77,90.83,90.77,90.83,416,0.0,,90.83800000000004,,44.621359257663634,-0.03578607553428981,,
2020-05-01,90.79,90.92,90.79,90.92,601,0.0,,90.86200000000002,,51.29206301030571,-0.027583525316501323,,
2020-05-02,90.95,90.95,90.94,90.94,454,0.0,,90.87200000000003,,52.65683108819705,-0.01924724209382589,,
2020-05-03,90.965,91.04,90.965,91.04,316,0.0,,90.912,,58.863283522705736,-0.004519416297213752,-0.03163196167844104,0.027112545381227288
2020-05-04,91.12,91.12,91.12,91.12,188,0.0,,90.97000000000001,,63.03790718945477,0.013452748259069836,-0.022615019690938865,0.0360677679500087
2020-05-05,91.175,91.21,91.175,91.2,707,0.0,,91.04400000000001,,66.67944344070575,0.03376196267484488,-0.011339623217782117,0.045101585892627
2020-05-06,91.105,91.105,91.105,91.105,115,0.0,,91.081,,59.21834680159875,0.04171064106128597,-0.0007295703619685009,0.04244021142325447
2020-05-07,91.03,91.03,91.03,91.03,124,0.0,,91.09900000000002,,54.07409411530634,0.04147999716393258,0.007712343143211716,0.033767654020720864
2020-05-08,91.115,91.115,91.115,91.115,211,0.0,,91.114,,58.47661211257935,0.04760721351597397,0.015691317217764168,0.0319158962982098
2020-05-09,91.15,91.15,91.15,91.15,105,0.0,,91.12,,60.16974220221333,0.05465722959219477,0.02348449969265029,0.031172729899544477
2020-05-10,91.11,91.15,91.105,91.105,809,0.0,,91.10100000000001,,56.954212317069775,0.05596812845995203,0.02998122544611064,0.025986903013841385
