Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,49.02,49.02,49.02,49.02,102,0.0,,,,,,,
2020-03-31,49.09,49.09,49.09,49.09,202,0.0,,,,,,,
2020-04-01,49.11,49.11,49.1,49.1,300,0.0,,,,,,,
2020-04-02,49.11,49.11,49.11,49.11,125,0.0,,,,,,,
2020-04-03,49.115,49.115,49.09,49.09,237,0.0,,49.082,,,,,
2020-04-04,49.09,49.09,49.09,49.09,100,0.0,,49.096,,,,,
2020-04-05,49.07,49.07,49.07,49.07,116,0.0,,49.092,,,,,
2020-04-06,49.075,49.085,49.075,49.085,406,0.0,,49.089000000000006,,,,,
2020-04-07,49.12,49.12,49.12,49.12,100,0.0,,49.090999999999994,,,,,
2020-04-08,49.1,49.11,49.1,49.11,204,0.0,,49.095,,,,,
2020-04-09,49.095,49.095,49.09,49.09,301,0.0,,49.095,,,,,
2020-04-10,49.02,49.02,49.02,49.02,104,0.0,,49.085,,,,,
2020-04-11,49.06,49.06,49.06,49.06,202,0.0,,49.08,,,,,
2020-04-12,49.06,49.06,49.06,49.06,201,0.0,,49.068000000000005,,,,,
2020-04-13,49.04,49.04,49.04,49.04,300,0.0,,49.05400000000001,,52.94117647058774,,,
2020-04-14,49.07,49.07,49.07,49.07,100,0.0,,49.050000000000004,,57.02479338842956,,,
2020-04-15,49.08,49.08,49.08,49.08,100,0.0,,49.062000000000005,,58.323057953143866,,,
2020-04-16,49.1,49.1,49.1,49.1,106,0.0,,49.07000000000001,,60.86917802119519,,,
2020-04-17,49.1,49.11,49.1,49.11,200,0.0,,49.080000000000005,,62.11541395021839,,,
2020-04-18,49.12,49.12,49.12,49.12,150,0.0,,49.09600000000001,,63.37168379489496,,,
2020-04-19,49.14,49.14,49.14,49.14,100,0.0,,49.110000000000014,,65.81337792383952,,,
2020-04-20,49.155,49.155,49.155,49.155,100,0.0,,49.125000000000014,,67.56000821063984,,,
2020-04-21,49.15,49.15,49.15,49.15,101,0.0,,49.135000000000005,,66.34324812500108,,,
2020-04-22,49.165,49.18,49.15,49.18,374,0.0,,49.149,,69.85168914039356,,,
2020-04-23,49.18,49.18,49.18,49.18,425,0.0,,49.161,,69.85168914039356,,,
2020-04-24,49.19,49.19,49.19,49.19,236,0.0,,49.17100000000001,,71.0195606287054,0.03899255210937724,,
2020-04-25,49.2,49.21,49.2,49.21,410,0.0,,49.182,,73.25132824591607,0.041676582006203944,,
2020-04-26,49.27,49.275,49.27,49.27,301,0.0,,49.206,,78.58049563443123,0.04809083241532619,,
2020-04-27,49.22,49.22,49.22,49.22,226,0.0,,49.214,,66.66159315725636,0.04857959461716632,,
2020-04-28,49.2,49.2,49.2,49.2,100,0.0,,49.217999999999996,,62.573183299412825,0.04681347275688097,,
