Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,1006.98,1010.37,1005.51,1009.315,1870,0.0,,,,,,,
2020-04-01,1009.45,1011.82,1008.44,1008.48,5927,0.0,,,,,,,
2020-04-02,1011.79,1012.75,1003.07,1006.73,3177,0.0,,,,,,,
2020-04-03,1004.64,1004.64,999.29,1004.42,2086,0.0,,,,,,,
2020-04-04,1004.48,1005.03,1003.1,1003.1,1504,0.0,,1006.409,,,,,
2020-04-05,1003.01,1003.01,1000.19,1000.19,1031,0.0,,1004.5840000000001,,,,,
2020-04-06,993.565,1000.9,993.565,1000.9,714,0.0,,1003.068,,,,,
2020-04-07,1000.72,1000.72,987.175,987.175,430,0.0,,999.1569999999999,,,,,
2020-04-08,991.52,992.99,991.52,992.99,394,0.0,,996.8709999999999,,,,,
2020-04-09,994.67,994.68,992.01,992.01,748,0.0,,994.6529999999999,,,,,
2020-04-10,992.07,995.31,992.07,995.31,594,0.0,,993.6769999999997,,,,,
2020-04-11,995.65,995.65,994.37,995.15,833,0.0,,992.5269999999997,,,,,
2020-04-12,994.17,994.61,992.89,993.99,632,0.0,,993.8899999999996,,,,,
2020-04-13,993.375,993.375,989.01,991.75,1181,0.0,,993.6419999999996,,,,,
2020-04-14,993.765,995.67,993.71,994.8,957,0.0,,994.1999999999996,,31.975661244256614,,,
2020-04-15,997.97,997.99,996.015,997.99,1055,0.0,,994.7359999999996,,37.3232060974643,,,
2020-04-16,996.43,998.28,996.43,998.185,930,0.0,,995.3429999999996,,37.645894806888954,,,
2020-04-17,997.0,997.93,996.49,997.93,1237,0.0,,996.1309999999997,,37.37490847431979,,,
2020-04-18,999.18,999.18,998.525,998.71,649,0.0,,997.5229999999998,,38.825480949220974,,,
2020-04-19,998.98,998.98,991.6610000000001,991.6610000000001,938,0.0,,996.8951999999997,,31.683189811489427,,,
2020-04-20,991.06,993.85,991.06,993.85,472,0.0,,996.0671999999998,,35.642528145296296,,,
2020-04-21,984.3,985.75,984.3,984.34,796,0.0,,993.2982,,28.03952561641468,,,
2020-04-22,984.69,984.69,983.47,983.47,317,0.0,,990.4062,,27.46238934054763,,,
2020-04-23,981.5010000000001,981.5010000000001,977.54,977.54,576,0.0,,986.1722,,23.857782445809434,,,
2020-04-24,975.2,981.94,975.2,981.94,883,0.0,,984.2279999999998,,31.08567611995528,,,
2020-04-25,981.16,983.77,981.16,983.765,860,0.0,,982.2109999999999,,33.88888581439868,-6.517206230823376,,
2020-04-26,985.98,988.6,985.98,988.6,531,0.0,,983.0629999999999,,40.763577159826916,-6.011879740786526,,
