Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,203.53,203.53,203.53,203.53,100,0.0,,,,,,,
2020-04-01,203.48,203.48,203.48,203.48,100,0.0,,,,,,,
2020-04-02,203.75,203.75,203.75,203.75,100,0.0,,,,,,,
2020-04-03,203.63,203.63,203.63,203.63,110,0.0,,,,,,,
2020-04-04,203.6,203.6,203.6,203.6,100,0.0,,203.598,,,,,
2020-04-05,203.58,203.63,203.58,203.58,520,0.0,,203.608,,,,,
2020-04-06,203.535,203.535,203.535,203.535,101,0.0,,203.619,,,,,
2020-04-07,203.34,203.34,203.34,203.34,100,0.0,,203.53699999999998,,,,,
2020-04-08,203.21,203.21,203.21,203.21,222,0.0,,203.453,,,,,
2020-04-09,203.255,203.255,203.255,203.255,200,0.0,,203.384,,,,,
2020-04-10,203.295,203.295,203.295,203.295,200,0.0,,203.32699999999997,,,,,
2020-04-11,203.52,203.69,203.52,203.69,318,0.0,,203.35799999999998,,,,,
2020-04-12,203.9,204.38,203.9,204.38,322,0.0,,203.56599999999997,,,,,
2020-04-13,204.18,204.18,204.18,204.18,100,0.0,,203.75999999999993,,,,,
2020-04-14,204.2,204.24,204.2,204.24,400,0.0,,203.95699999999994,,65.50218340611377,,,
2020-04-15,204.18,204.18,204.18,204.18,100,0.0,,204.13399999999996,,63.704671675923045,,,
2020-04-16,204.05,204.06,204.05,204.06,221,0.0,,204.20799999999994,,60.14948392454622,,,
2020-04-17,204.14,204.28,204.14,204.28,200,0.0,,204.18799999999993,,64.10457490550806,,,
2020-04-18,204.19,204.19,204.19,204.19,116,0.0,,204.1899999999999,,61.41904436829455,,,
2020-04-19,204.22,204.22,204.22,204.22,100,0.0,,204.18599999999992,,61.99064798099355,,,
2020-04-20,204.1,204.1,204.1,204.1,100,0.0,,204.1699999999999,,58.271665841534336,,,
2020-04-21,204.22,204.4,204.22,204.4,207,0.0,,204.23799999999991,,64.07433056850161,,,
2020-04-22,204.32,204.32,204.32,204.32,136,0.0,,204.24599999999992,,61.613805034713124,,,
2020-04-23,204.5,204.5,204.5,204.5,102,0.0,,204.3079999999999,,64.8815375095765,,,
2020-04-24,204.13,204.13,204.13,204.13,100,0.0,,204.2899999999999,,54.59362496515721,,,
2020-04-25,204.23,204.23,204.1,204.11,300,0.0,,204.2919999999999,,54.094314455736786,0.27252224322327834,,
2020-04-26,203.895,203.895,203.66,203.66,401,0.0,,204.1439999999999,,44.28104289214432,0.21211009885712429,,
2020-04-27,203.56,203.705,203.55,203.69,1122,0.0,,204.0179999999999,,44.99741508634651,0.1647546000077682,,
2020-04-28,203.65,203.65,203.56,203.6,401,0.0,,203.83799999999988,,43.20287038222102,0.11859568096616613,,
2020-04-29,203.67,203.79,203.67,203.79,562,0.0,,203.76999999999987,,47.92454009663109,0.09623646313056611,,
2020-04-30,203.62,203.62,203.62,203.62,235,0.0,,203.67199999999985,,44.370339223989035,0.06406059202709002,,
2020-05-01,203.6,203.65,203.59,203.64,903,0.0,,203.66799999999986,,44.888177969869815,0.03971698256395939,,
2020-05-02,203.38,203.565,203.33,203.33,1057,0.0,,203.59599999999986,,38.85132802850941,-0.00453760584807128,,
2020-05-03,203.3,203.3,203.3,203.3,110,0.0,,203.53599999999986,,38.31431635288216,-0.04155145596178045,0.10243417766290008,-0.14398563362468053
2020-05-04,203.28,203.38,203.28,203.38,638,0.0,,203.45399999999987,,40.66941918702132,-0.06369562393166461,0.06920821734398715,-0.13290384127565175
2020-05-05,203.33,203.33,203.33,203.33,197,0.0,,203.39599999999984,,39.650502009832536,-0.08430777121367328,0.03850501963245506,-0.12281279084612834
