Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,10.08,10.08,10.08,10.08,100,0.0,,,,,,,
2020-03-31,10.07,10.07,10.07,10.07,200,0.0,,,,,,,
2020-04-01,10.06,10.06,10.06,10.06,200,0.0,,,,,,,
2020-04-02,10.06,10.06,10.06,10.06,200,0.0,,,,,,,
2020-04-03,10.08,10.08,10.08,10.08,100,0.0,,10.07,,,,,
2020-04-04,10.1,10.1,10.1,10.1,106,0.0,,10.074000000000002,,,,,
2020-04-05,10.11,10.11,10.11,10.11,101,0.0,,10.082,,,,,
2020-04-06,10.1,10.1,10.1,10.1,100,0.0,,10.09,,,,,
2020-04-07,10.09,10.09,10.085,10.09,1200,0.0,,10.096,,,,,
2020-04-08,10.09,10.09,10.09,10.09,126,0.0,,10.098000000000003,,,,,
2020-04-09,10.1,10.1,10.1,10.1,100,0.0,,10.098000000000003,,,,,
2020-04-10,10.105,10.105,10.105,10.105,100,0.0,,10.097000000000003,,,,,
2020-04-11,10.11,10.11,10.11,10.11,102,0.0,,10.099000000000002,,,,,
2020-04-12,10.12,10.12,10.12,10.12,100,0.0,,10.105,,,,,
2020-04-13,10.115,10.115,10.115,10.115,200,0.0,,10.110000000000003,,64.00000000000045,,,
2020-04-14,10.14,10.14,10.14,10.14,100,0.0,,10.118000000000002,,70.37974683544364,,,
2020-04-15,10.16,10.16,10.15,10.15,200,0.0,,10.127,,72.48055002714005,,,
2020-04-16,10.16,10.16,10.16,10.16,100,0.0,,10.137,,74.43333893637156,,,
2020-04-17,10.145,10.145,10.145,10.145,100,0.0,,10.142,,66.77862500055777,,,
2020-04-18,10.145,10.15,10.14,10.14,471,0.0,,10.147,,64.40113650302746,,,
2020-04-19,10.15,10.15,10.15,10.15,100,0.0,,10.149,,66.93652289482942,,,
2020-04-20,10.17,10.18,10.17,10.18,600,0.0,,10.155,,73.1212787829719,,,
2020-04-21,10.18,10.18,10.18,10.18,228,0.0,,10.159,,73.1212787829719,,,
2020-04-22,10.19,10.19,10.19,10.19,260,0.0,,10.168000000000001,,74.93390723765668,,,
2020-04-23,10.19,10.19,10.19,10.19,200,0.0,,10.178,,74.93390723765668,,,
2020-04-24,10.17,10.17,10.165,10.165,300,0.0,,10.181000000000001,,62.67849024527711,0.03583791201363695,,
2020-04-25,10.21,10.21,10.21,10.21,100,0.0,,10.187000000000001,,71.66247206090053,0.037319784853091065,,
2020-04-26,10.23,10.23,10.23,10.23,100,0.0,,10.197000000000001,,74.59009334163852,0.03965094123895341,,
2020-04-27,10.23,10.23,10.23,10.23,100,0.0,,10.205000000000002,,74.59009334163852,0.041025483236548865,,
2020-04-28,10.21,10.21,10.205,10.205,214,0.0,,10.208000000000002,,64.87377989183662,0.03964057473624294,,
2020-04-29,10.19,10.19,10.19,10.19,102,0.0,,10.213000000000001,,59.83728733054915,0.03690720682590509,,
2020-04-30,10.195,10.195,10.195,10.195,200,0.0,,10.21,,60.92623664164801,0.03474394471010278,,
2020-05-01,10.18,10.18,10.18,10.18,116,0.0,,10.2,,56.019115165498576,0.03145655764262045,,
2020-05-02,10.185,10.185,10.185,10.185,200,0.0,,10.190999999999999,,57.254981201630336,0.02892135059382106,0.03616708398343585,-0.007245733389614789
2020-05-03,10.19,10.19,10.19,10.19,175,0.0,,10.187999999999999,,58.51051992155215,0.027004349622895774,0.034334537111327834,-0.007330187488432061
2020-05-04,10.18,10.18,10.175,10.175,849,0.0,,10.184999999999999,,53.43931224184007,0.02399810271265146,0.03226725023159256,-0.008269147518941103
2020-05-05,10.17,10.17,10.17,10.17,100,0.0,,10.18,,51.82682793561012,0.020970438008466985,0.030007887786967447,-0.009037449778500461
2020-05-06,10.15,10.15,10.15,10.15,145,0.0,,10.174,,45.86522752327741,0.016763915086290382,0.027359093246832035,-0.010595178160541653
2020-05-07,10.14,10.14,10.14,10.14,229,0.0,,10.165,,43.19008467368748,0.012479443679042745,0.02438316333327418,-0.011903719654231433
2020-05-08,10.11,10.11,10.11,10.11,100,0.0,,10.149,,36.34187970865058,0.006587285810924826,0.02082398782880431,-0.014236702017879483
2020-05-09,10.1,10.1,10.1,10.1,100,0.0,,10.134,,34.3847398309299,0.0010981332269466293,0.016878816908432775,-0.015780683681486146
2020-05-10,10.1,10.1,10.1,10.1,100,0.0,,10.120000000000001,,34.3847398309299,-0.0032149992331724775,0.012860053680111725,-0.016075052913284205
2020-05-11,10.11,10.11,10.11,10.11,100,0.0,,10.112,,38.241984423684464,-0.005759875100977752,0.00913606792389383,-0.014895943024871582
2020-05-12,10.09,10.09,10.09,10.09,444,0.0,,10.102,,33.94413014274046,-0.009283525708507767,0.005452149197413512,-0.01473567490592128
2020-05-13,10.1,10.1,10.1,10.1,100,0.0,,10.100000000000001,,37.713427395931674,-0.011140704666447121,0.0021335784246413847,-0.013274283091088506
2020-05-14,10.1,10.1,10.1,10.1,100,0.0,,10.100000000000001,,37.713427395931674,-0.01246879980823401,-0.0007868972219336942,-0.011681902586300317
2020-05-15,10.1,10.1,10.09,10.09,204,0.0,,10.098,,35.37251946485793,-0.014164956402987983,-0.0034625090581445524,-0.01070244734484343
2020-05-16,10.11,10.11,10.11,10.11,100,0.0,,10.098,,42.99375593532109,-0.013736988419926988,-0.00551740493050104,-0.008219583489425947
2020-05-17,10.13,10.13,10.13,10.13,650,0.0,,10.106,,49.41756504082893,-0.011649697397073666,-0.006743863423815565,-0.004905833973258101
2020-05-18,10.14,10.14,10.14,10.14,100,0.0,,10.114,,52.31118453577488,-0.009083874545583015,-0.007211865648169056,-0.0018720088974139588
