Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,29.62,29.64,29.62,29.635,2865,0.0,,,,,,,
2020-04-01,29.63,29.65,29.63,29.65,1747,0.0,,,,,,,
2020-04-02,29.64,29.64,29.61,29.61,2065,0.0,,,,,,,
2020-04-03,29.61,29.62,29.61,29.61,2508,0.0,,,,,,,
2020-04-04,29.62,29.635,29.56,29.57,12395,0.0,,29.615,,,,,
2020-04-05,29.58,29.59,29.57,29.59,1503,0.0,,29.606,,,,,
2020-04-06,29.59,29.61,29.59,29.6,2252,0.0,,29.595999999999997,,,,,
2020-04-07,29.61,29.63,29.61,29.62,1407,0.0,,29.598000000000003,,,,,
2020-04-08,29.62,29.63,29.62,29.63,753,0.0,,29.601999999999997,,,,,
2020-04-09,29.63,29.635,29.62,29.63,6561,0.0,,29.613999999999997,,,,,
2020-04-10,29.63,29.635,29.6,29.6,1764,0.0,,29.615999999999996,,,,,
2020-04-11,29.61,29.61,29.6,29.6,3390,0.0,,29.615999999999996,,,,,
2020-04-12,29.6,29.61,29.59,29.595,2522,0.0,,29.610999999999997,,,,,
2020-04-13,29.6,29.6,29.57,29.58,5223,0.0,,29.601,,,,,
2020-04-14,29.58,29.59,29.57,29.57,3812,0.0,,29.589,,34.883720930231746,,,
2020-04-15,29.57,29.575,29.555,29.57,2394,0.0,,29.583,,34.883720930231746,,,
2020-04-16,29.555,29.56,29.535,29.535,2215,0.0,,29.57,,29.343674036345945,,,
2020-04-17,29.53,29.53,29.515,29.52,1822,0.0,,29.555,,27.339699184495387,,,
2020-04-18,29.52,29.54,29.52,29.54,3180,0.0,,29.547000000000004,,33.82860523597979,,,
2020-04-19,29.53,29.54,29.53,29.54,1640,0.0,,29.541000000000004,,33.82860523597979,,,
2020-04-20,29.54,29.54,29.53,29.53,901,0.0,,29.533000000000005,,32.1630067850583,,,
2020-04-21,29.54,29.56,29.535,29.54,7263,0.0,,29.534000000000002,,35.57886078707823,,,
2020-04-22,29.545,29.55,29.53,29.54,8032,0.0,,29.538,,35.57886078707823,,,
2020-04-23,29.55,29.56,29.55,29.56,2072,0.0,,29.542,,42.316165563544075,,,
2020-04-24,29.56,29.56,29.54,29.55,3618,0.0,,29.544000000000004,,40.060233791899954,,,
2020-04-25,29.54,29.55,29.54,29.54,643,0.0,,29.546000000000003,,37.88516252595806,-0.02683177282627014,,
2020-04-26,29.55,29.555,29.545,29.55,3206,0.0,,29.54800000000001,,41.31647962083619,-0.02502026624638276,,
2020-04-27,29.555,29.555,29.54,29.55,2502,0.0,,29.55000000000001,,41.31647962083619,-0.023315863470156017,,
2020-04-28,29.555,29.555,29.55,29.555,814,0.0,,29.549000000000014,,43.137971423333646,-0.02131593692502065,,
2020-04-29,29.55,29.555,29.53,29.545,4618,0.0,,29.548000000000012,,40.43475651785845,-0.0203038470457777,,
2020-04-30,29.55,29.555,29.54,29.545,2768,0.0,,29.549000000000017,,40.43475651785845,-0.019279516262376006,,
2020-05-01,29.545,29.545,29.53,29.54,2479,0.0,,29.547000000000015,,39.01696079022276,-0.01865612871113953,,
2020-05-02,29.54,29.54,29.51,29.51,4398,0.0,,29.53900000000001,,31.809915107982476,-0.02034827659878502,,
2020-05-03,29.51,29.52,29.495,29.5,3230,0.0,,29.52800000000001,,29.831820652111432,-0.02223986509653031,-0.021923497020270903,-0.00031636807625940594
2020-05-04,29.495,29.505,29.49,29.505,1506,0.0,,29.520000000000003,,32.10521927905644,-0.02306957272186949,-0.022152712160590622,-0.0009168605612788691
