Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,126.29,126.29,126.29,126.29,102,0.0,,,,,,,
2020-03-31,126.26,126.26,126.26,126.26,305,0.0,,,,,,,
2020-04-01,126.25,126.25,126.25,126.25,100,0.0,,,,,,,
2020-04-02,126.57,126.57,126.57,126.57,200,0.0,,,,,,,
2020-04-03,126.56,126.56,126.56,126.56,100,0.0,,126.38600000000001,,,,,
2020-04-04,126.805,126.805,126.805,126.805,100,0.0,,126.48900000000003,,,,,
2020-04-05,126.56,126.56,126.56,126.56,100,0.0,,126.54900000000002,,,,,
2020-04-06,126.865,126.865,126.865,126.865,100,0.0,,126.67200000000003,,,,,
2020-04-07,126.74,126.74,126.74,126.74,100,0.0,,126.70600000000005,,,,,
2020-04-08,126.81,126.81,126.81,126.81,100,0.0,,126.75600000000004,,,,,
2020-04-09,126.71,126.71,126.71,126.71,100,0.0,,126.73700000000004,,,,,
2020-04-10,126.69,126.69,126.69,126.69,100,0.0,,126.76300000000006,,,,,
2020-04-11,126.75,126.75,126.75,126.75,100,0.0,,126.74000000000005,,,,,
2020-04-12,126.785,126.785,126.785,126.785,100,0.0,,126.74900000000005,,,,,
2020-04-13,126.64,126.64,126.64,126.64,200,0.0,,126.71500000000006,,60.174418604651,,,
2020-04-14,126.54,126.54,126.54,126.54,200,0.0,,126.68100000000004,,56.62878787878791,,,
2020-04-15,126.03,126.03,126.03,126.03,100,0.0,,126.54900000000002,,42.78324038743751,,,
2020-04-16,125.845,125.845,125.845,125.845,200,0.0,,126.36800000000002,,39.05318279244853,,,
2020-04-17,125.94,125.94,125.94,125.94,100,0.0,,126.19900000000004,,41.856545269387844,,,
2020-04-18,125.74,125.74,125.74,125.74,100,0.0,,126.01900000000005,,37.90377343283844,,,
2020-04-19,125.77,125.77,125.77,125.77,300,0.0,,125.86500000000005,,38.836822215298454,,,
2020-04-20,125.89,125.89,125.89,125.89,100,0.0,,125.83700000000006,,42.5550474199257,,,
2020-04-21,125.855,125.855,125.855,125.855,100,0.0,,125.83900000000006,,41.75768899728204,,,
2020-04-22,125.82,125.82,125.82,125.82,100,0.0,,125.81500000000005,,40.93175087337488,,,
2020-04-23,125.81,125.81,125.81,125.81,100,0.0,,125.82900000000004,,40.68414956305543,,,
2020-04-24,125.97,125.97,125.97,125.97,100,0.0,,125.86900000000006,,46.28311869276099,-0.3183616255043802,,
2020-04-25,126.0,126.0,126.0,126.0,111,0.0,,125.89100000000005,,47.28781381888522,-0.2954469068753838,,
2020-04-26,126.01,126.01,126.01,126.01,100,0.0,,125.92200000000005,,47.639367635004966,-0.2733291426290094,,
2020-04-27,125.7,125.7,125.7,125.7,200,0.0,,125.89800000000005,,38.96395405615547,-0.27761489266242734,,
2020-04-28,125.81,125.81,125.81,125.81,200,0.0,,125.89800000000005,,42.935040900883116,-0.2690340427722475,,
2020-04-29,125.795,125.795,125.795,125.795,100,0.0,,125.86300000000003,,42.52870202098983,-0.2604418208608763,,
2020-04-30,125.82,125.82,125.82,125.82,101,0.0,,125.82700000000004,,43.488645467934,-0.24874772311422078,,
2020-05-01,125.53,125.53,125.515,125.515,300,0.0,,125.72800000000004,,35.662455295310366,-0.2610814331632696,,
2020-05-02,125.37,125.37,125.37,125.37,112,0.0,,125.66200000000003,,32.65387194731554,-0.2793362608864385,-0.2759326498298059,-0.0034036110566325606
2020-05-03,125.44,125.44,125.44,125.44,100,0.0,,125.58800000000005,,35.48354353592663,-0.28487111154264255,-0.27772034217237324,-0.0071507693702693165
2020-05-04,125.51,125.51,125.51,125.51,100,0.0,,125.53100000000006,,38.276465941353756,-0.2803770929793643,-0.27825169233377145,-0.0021254006455928565
2020-05-05,125.405,125.405,125.405,125.405,200,0.0,,125.44800000000005,,35.774734289242446,-0.28203702609383186,-0.27900875908578354,-0.003028267008048313
2020-05-06,125.82,125.82,125.82,125.82,100,0.0,,125.50900000000004,,49.7532321032908,-0.24701803322233218,-0.27261061391309327,0.02559258069076109
2020-05-07,125.81,125.81,125.81,125.81,100,0.0,,125.59700000000005,,49.473806302486565,-0.217564200821883,-0.26160133129485125,0.044037130472968256
2020-05-08,126.14,126.14,126.14,126.14,100,0.0,,125.73700000000004,,57.88052923371192,-0.1656836859688724,-0.24241780222965548,0.07673411626078308
2020-05-09,125.78,125.78,125.78,125.78,100,0.0,,125.79100000000003,,48.416486984694814,-0.15186637449180296,-0.22430751668208498,0.07244114219028203
2020-05-10,125.79,125.79,125.79,125.79,100,0.0,,125.86800000000002,,48.66757048763898,-0.13851245382468846,-0.2071485041106057,0.06863605028591724
2020-05-11,125.76,125.76,125.76,125.76,103,0.0,,125.85600000000004,,47.91408242379935,-0.12886465325843233,-0.19149173394017105,0.06262708068173872
2020-05-12,125.64,125.64,125.64,125.64,100,0.0,,125.82200000000003,,44.91833603236959,-0.12940994166655173,-0.1790753754854472,0.04966543381889546
2020-05-13,125.62,125.62,125.62,125.62,101,0.0,,125.71800000000003,,44.419850685547274,-0.12995784635475616,-0.169251869659309,0.03929402330455284
2020-05-14,125.63,125.63,125.63,125.63,100,0.0,,125.68800000000003,,44.75000401047884,-0.1281083945138306,-0.16102317463021332,0.032914780116382714
2020-05-15,125.5,125.5,125.5,125.5,100,0.0,,125.63000000000004,,41.31423675874794,-0.13556983943033174,-0.155932507590237,0.020362668159905256
2020-05-16,125.32,125.32,125.32,125.32,131,0.0,,125.54200000000006,,37.07028517721076,-0.1542297197560032,-0.15559195002339024,0.001362230267387049
2020-05-17,125.38,125.38,125.38,125.38,111,0.0,,125.49000000000005,,39.308302280966,-0.16230535568345772,-0.15693463115540374,-0.005370724528053983
2020-05-18,125.27,125.27,125.27,125.27,100,0.0,,125.42000000000004,,36.72932951389249,-0.17555771596072134,-0.16065924811646726,-0.014898467844254082
2020-05-19,125.32,125.32,125.32,125.32,100,0.0,,125.35800000000006,,38.698114567693615,-0.1799513575914915,-0.16451767001147213,-0.015433687580019367
2020-05-20,125.3,125.3,125.3,125.3,201,0.0,,125.31800000000005,,38.18625873965809,-0.18293838328408185,-0.16820181266599407,-0.01473657061808778
2020-05-21,125.35,125.35,125.35,125.35,102,0.0,,125.32400000000007,,40.31180699912929,-0.1792052736895755,-0.17040250487071038,-0.008802768818865131
