Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,1499.91,1499.91,1496.76,1496.76,684,0.0,,,,,,,
2020-04-01,1499.99,1502.45,1499.99,1502.45,998,0.0,,,,,,,
2020-04-02,1503.95,1505.81,1503.205,1505.08,1269,0.0,,,,,,,
2020-04-03,1502.06,1504.13,1502.06,1503.11,748,0.0,,,,,,,
2020-04-04,1502.16,1502.16,1502.13,1502.13,293,0.0,,1501.906,,,,,
2020-04-05,1500.58,1500.58,1500.58,1500.58,263,0.0,,1502.67,,,,,
2020-04-06,1503.42,1503.42,1502.01,1502.01,566,0.0,,1502.582,,,,,
2020-04-07,1508.93,1508.93,1508.045,1508.045,671,0.0,,1503.1750000000004,,,,,
2020-04-08,1508.525,1509.445,1507.505,1508.655,1300,0.0,,1504.2840000000006,,,,,
2020-04-09,1508.46,1508.46,1506.5,1506.5,1108,0.0,,1505.1580000000004,,,,,
2020-04-10,1508.57,1509.45,1506.44,1506.44,792,0.0,,1506.3300000000004,,,,,
2020-04-11,1507.14,1507.14,1502.82,1503.17,1342,0.0,,1506.5620000000004,,,,,
2020-04-12,1503.0,1503.35,1503.0,1503.35,632,0.0,,1505.6230000000003,,,,,
2020-04-13,1505.99,1511.0,1505.99,1509.43,1535,0.0,,1505.7780000000005,,,,,
2020-04-14,1508.785,1514.36,1508.335,1514.36,861,0.0,,1507.3500000000004,,73.4229438381688,,,
2020-04-15,1515.7,1516.15,1512.65,1516.15,1140,0.0,,1509.2920000000001,,74.7200420667227,,,
2020-04-16,1513.3,1513.725,1513.3,1513.725,492,0.0,,1511.4030000000002,,69.75327288924674,,,
2020-04-17,1512.66,1512.97,1512.66,1512.97,502,0.0,,1513.327,,68.23255588803406,,,
2020-04-18,1511.25,1514.1,1511.25,1514.1,406,0.0,,1514.261,,69.31096420910247,,,
2020-04-19,1524.59,1524.995,1521.52,1523.35,2485,0.0,,1516.0590000000002,,76.37960715149815,,,
2020-04-20,1524.44,1527.32,1524.44,1526.51,1257,0.0,,1518.131,,78.22481262851795,,,
2020-04-21,1524.87,1524.87,1521.3,1521.3,707,0.0,,1519.646,,68.696277355643,,,
2020-04-22,1527.34,1527.34,1525.79,1525.79,448,0.0,,1522.21,,71.87575508137961,,,
2020-04-23,1526.42,1528.35,1526.42,1528.35,593,0.0,,1525.06,,73.52674868251776,,,
2020-04-24,1530.45,1531.98,1529.05,1529.05,930,0.0,,1526.1999999999996,,73.9766023595136,,,
2020-04-25,1530.0,1530.0,1528.96,1528.96,231,0.0,,1526.6899999999998,,73.80295551377687,9.620386312616802,,
2020-04-26,1528.73,1528.73,1519.86,1519.86,458,0.0,,1526.4019999999998,,58.7791656287108,8.76633827591786,,
2020-04-27,1523.01,1523.2,1521.98,1521.98,919,0.0,,1525.6399999999999,,60.78211103402349,8.166427839462358,,
2020-04-28,1524.0,1525.0,1524.0,1525.0,335,0.0,,1524.97,,63.50273441909936,7.8442595164337945,,
2020-04-29,1525.74,1525.74,1525.74,1525.74,517,0.0,,1524.308,,64.15884296641184,7.561486505326457,,
2020-04-30,1521.75,1522.09,1521.625,1522.09,504,0.0,,1522.9339999999997,,58.566304065168815,6.9626018213498355,,
2020-05-01,1516.42,1516.42,1515.53,1516.04,897,0.0,,1522.1699999999998,,50.68058496464981,5.9314232020365125,,
2020-05-02,1517.57,1518.17,1517.57,1517.92,481,0.0,,1521.3580000000002,,52.80704776236831,5.205896668933065,,
2020-05-03,1518.465,1518.465,1514.6,1514.6,520,0.0,,1519.2780000000002,,48.80511207995057,4.3132944373685405,7.152457175493914,-2.8391627381253732
2020-05-04,1512.0,1513.35,1510.05,1513.27,1044,0.0,,1516.7840000000003,,47.25996490730004,3.458710986001506,6.413707937595432,-2.954996951593926
2020-05-05,1514.595,1514.92,1514.595,1514.92,419,0.0,,1515.3500000000004,,49.400241811838775,2.8813739687084308,5.707241143818032,-2.825867175109601
2020-05-06,1513.0,1513.0,1513.0,1513.0,549,0.0,,1514.7420000000004,,47.00958133388425,2.2430458330090914,5.014402081656244,-2.7713562486471526
2020-05-07,1512.82,1512.82,1512.82,1512.82,662,0.0,,1513.7220000000004,,46.781013866184026,1.703010446543658,4.352123754633727,-2.649113308090069
2020-05-08,1515.75,1520.01,1515.75,1520.01,647,0.0,,1514.8040000000005,,55.98664513798385,1.83405952613316,3.848510908933614,-2.0144513828004538
2020-05-09,1521.06,1521.75,1521.06,1521.75,291,0.0,,1516.5000000000005,,57.885215106190145,2.0546357619807623,3.4897358795430438,-1.4351001175622815
2020-05-10,1520.55,1520.56,1520.55,1520.56,287,0.0,,1517.6280000000002,,56.102799154689414,2.1091084736906396,3.213610398372563,-1.1045019246819234
2020-05-11,1523.13,1523.13,1523.13,1523.13,325,0.0,,1519.654,,59.03645892887613,2.3327653449882746,3.0374413876957056,-0.704676042707431
2020-05-12,1518.925,1518.925,1518.0,1518.0,354,0.0,,1520.69,,51.62054876205535,2.0721800977717066,2.844389129710906,-0.7722090319391994
2020-05-13,1514.97,1516.35,1514.55,1516.35,483,0.0,,1519.958,,49.46815779825938,1.7127793474132886,2.618067173251383,-0.9052878258380943
2020-05-14,1516.63,1516.63,1516.63,1516.63,458,0.0,,1518.9340000000004,,49.85030056885357,1.434014892318828,2.3812567170648724,-0.9472418247460443
