Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,73.43,74.43,73.43,74.0,801137,0.0,,,,,,
2019-10-11,75.55,76.21,75.24,75.28,1025543,0.0,,,,,,
2019-10-14,75.18,75.8,74.99,75.175,698378,0.0,,,,,,
2019-10-15,75.8,76.36,75.68,75.75,675004,0.0,,,,,,
2019-10-16,75.3,75.88,74.96,75.27,1942583,0.0,75.095,,,,,
2019-10-17,75.69,76.25,74.9,74.93,1250776,0.0,75.28099999999999,,,,,
2019-10-18,74.0,74.82,73.77,74.56,1958910,0.0,75.13699999999999,,,,,
2019-10-21,74.88,75.51,74.69,75.46,1365515,0.0,75.19399999999999,,,,,
2019-10-22,75.68,76.33,74.635,74.69,1136704,0.0,74.98199999999999,,,,,
2019-10-23,75.02,75.89,74.68,74.97,1516614,0.0,74.92199999999998,,,,,
2019-10-24,75.03,75.11,74.46,74.97,1200029,0.0,74.92999999999998,,,,,
2019-10-25,74.7,75.97,74.13,75.39,669048,0.0,75.09599999999998,,,,,
2019-10-28,75.69,76.555,75.69,76.17,730110,0.0,75.23799999999999,,,,,
2019-10-29,75.05,76.68,74.94,76.18,977879,0.0,75.53599999999999,,,,,
2019-10-30,76.04,76.15,75.24,76.12,740184,0.0,75.76599999999999,,66.64050235478808,,,
2019-10-31,75.21,75.83,75.18,75.75,492214,0.0,75.92199999999998,,62.71735424480053,,,
2019-11-01,76.51,77.35,76.315,76.97,877351,0.0,76.23799999999999,,69.1635514356575,,,
2019-11-04,77.68,77.845,76.73,76.75,785819,0.0,76.35399999999998,,66.91667720522747,,,
2019-11-05,76.82,76.91,75.47,75.58,1672479,0.0,76.23399999999998,,56.41937677830161,,,
2019-11-06,75.7,75.94,74.94,75.78,913003,0.0,76.16599999999998,,57.64258810108526,,,
2019-11-07,76.34,76.38,75.6841,75.91,675207,0.0,76.19799999999998,,58.45876721429253,,,
2019-11-08,75.9,76.65,75.65,76.63,864090,0.0,76.12999999999997,,62.74091872884294,,,
2019-11-11,76.25,76.85,76.13,76.85,864507,0.0,76.14999999999998,,63.963288686471024,,,
2019-11-12,77.0,77.55,76.72,77.05,821303,0.0,76.44399999999999,,65.08473344606193,,,
2019-11-13,76.82,77.5,76.56,77.15,890651,0.0,76.71799999999999,,65.66015451513573,,,
2019-11-14,77.21,77.45,76.48,76.75,865610,0.0,76.886,,61.30773879025217,0.6717058572984342,,
2019-11-15,76.93,78.31,76.61,78.26,1495153,0.0,77.21199999999999,,69.52122626960895,0.766799543070178,,
2019-11-18,78.14,78.5,77.5,77.94,1320602,0.0,77.42999999999999,,66.30880562555168,0.8070376211754677,,
2019-11-19,78.17,79.49,77.84,79.28,1422770,0.0,77.87599999999999,,72.1186919204462,0.9362607579112137,,
2019-11-20,79.16,79.36,78.21,78.51,1887526,0.0,78.14799999999998,,65.1646992145659,0.9654098165171519,,
2019-11-21,78.97,78.97,77.31,78.29,1848438,0.0,78.45599999999999,,63.28703563416521,0.9596957192253086,,
2019-11-22,78.61,79.19,78.23,79.11,1664147,0.0,78.62599999999999,,67.09303783030813,1.0096952644328496,,
2019-11-25,79.45,80.4624,79.3,80.26,2086756,0.0,79.08999999999999,,71.54788499136896,1.1291000902856752,,
2019-11-26,79.825,81.03,77.96,80.91,4075174,0.0,79.41599999999998,,73.71394566572593,1.261635494127205,0.9452600182270537,0.31637547590015125
2019-11-27,81.08,81.34,80.69,81.08,1352492,0.0,79.92999999999998,,74.26575338154088,1.3646574145828225,1.0291394974982075,0.335517917084615
2019-11-29,80.96,81.24,80.47,80.75,538858,0.0,80.42199999999998,,71.14364357798577,1.4034961566539295,1.104010829329352,0.29948532732457744
2019-12-02,80.78,80.99,80.02,80.36,1440516,0.0,80.67199999999998,,67.53042357204936,1.3868200012206984,1.1605726637076215,0.2262473375130769
2019-12-03,79.52,80.11,79.17,80.11,1660912,0.0,80.64199999999998,,65.2429709034337,1.338007400796144,1.1960596111253259,0.14194778967081811
2019-12-04,80.3,81.0,80.18,80.93,1211467,0.0,80.64599999999999,,68.95722573277324,1.3499290682607068,1.226833502552402,0.12309556570830482
2019-12-05,80.89,81.735,80.5,81.54,1337462,0.0,80.73799999999999,,71.40525156034923,1.3925465676331044,1.2599761155685425,0.13257045206456186
2019-12-06,82.24,82.42,81.82,82.19,1386921,0.0,81.02599999999998,,73.7781893397229,1.4619187216412968,1.3003646367830934,0.16155408485820333
2019-12-09,82.34,82.47,81.55,81.61,1428208,0.0,81.27599999999998,,68.32931888882916,1.4533422756745864,1.330960164561392,0.12238211111319441
2019-12-10,82.9,83.8,82.7,82.93,2808661,0.0,81.83999999999999,,73.18345485196835,1.5353596781146592,1.3718400672720454,0.1635196108426138
2019-12-11,82.93,83.47,82.57,83.41,1348153,0.0,82.33599999999998,,74.70188456212027,1.6204119486518636,1.421554443548009,0.19885750510385458
2019-12-12,83.49,84.98,83.17,84.81,1462988,0.0,82.98999999999998,,78.52185587137126,1.7802630215952462,1.4932961591574565,0.2869668624377897
2019-12-13,84.67,84.74,83.59,83.73,1230610,0.0,83.29799999999997,,69.76962575600295,1.7990607223731558,1.5544490718005963,0.2446116505725595
2019-12-16,84.47,84.97,84.0,84.43,942851,0.0,83.86199999999998,,71.95181263369136,1.8491266050638444,1.6133845784532461,0.2357420266105983
2019-12-17,84.76,84.86,83.78,83.93,1267380,0.0,84.06199999999998,,68.16671216630041,1.8273933039803296,1.656186323558663,0.1712069804216667
2019-12-18,83.75,84.05,83.36,83.43,1352043,0.0,84.06599999999999,,64.51193881442791,1.7496547540831955,1.6748800096635694,0.07477474441962606
2019-12-19,83.95,84.67,83.56,84.49,1331579,0.0,84.00199999999998,,68.3822001584823,1.753367801838067,1.6905775680984692,0.0627902337395978
2019-12-20,84.94,85.31,84.32,85.17,1669123,0.0,84.28999999999999,,70.59748810351837,1.7905404996307652,1.7105701544049283,0.0799703452258369
2019-12-23,85.42,85.44,84.76,85.25,617912,0.0,84.45399999999998,,70.85619650115629,1.8056411546007638,1.7295843544440954,0.07605680015666838
2019-12-24,85.45,85.45,84.98,85.31,242485,0.0,84.72999999999999,,71.06185314996884,1.8016813696957712,1.7440037574944307,0.05767761220134049
2019-12-26,85.31,85.64,85.09,85.48,507176,0.0,85.13999999999999,,71.67180806510864,1.7916082462551515,1.753524655246575,0.03808359100857639
2019-12-27,85.68,85.68,85.11,85.4,579006,0.0,85.32199999999997,,70.91430116093892,1.7569172436021887,1.754203172917698,0.0027140706844908102
2019-12-30,85.34,85.4,84.64,84.89,625632,0.0,85.26599999999998,,66.11680159825588,1.6690320735053916,1.7371689530352368,-0.06813687952984515
2019-12-31,84.84,85.34,84.67,85.29,680895,0.0,85.27399999999997,,67.94830055905217,1.6130646943867646,1.7123481013055424,-0.0992834069187778
2020-01-02,85.9,86.35,85.2,85.95,1199810,0.0,85.40199999999999,,70.75704461914906,1.6034826771925594,1.6905750164829458,-0.0870923392903864
2020-01-03,84.67,85.33,84.5,84.53,895182,0.0,85.21199999999999,,58.81500892600267,1.4644257386250956,1.6453451609113758,-0.18091942228628022
2020-01-06,84.0,84.82,83.6,84.78,1380173,0.0,85.088,,60.09204880642554,1.3587324022702347,1.5880226091831477,-0.22929020691291302
2020-01-07,83.96,85.26,83.94,85.09,1192756,0.0,85.128,,61.67880743377819,1.2851694475503734,1.527451976856593,-0.24228252930621963
2020-01-08,85.96,86.47,85.2,85.91,1453322,0.0,85.25199999999998,,65.57759431824289,1.278301953709473,1.477621972227169,-0.19932001851769598
2020-01-09,86.46,87.7,86.17,87.26,1318252,0.0,85.514,,70.83792968217087,1.3660462026522424,1.4553068183121838,-0.08926061565994137
2020-01-10,87.72,88.235,87.37,87.59,1251513,0.0,86.126,,71.9657152911119,1.445549005070049,1.453355255663757,-0.007806250593707986
2020-01-13,87.81,88.32,86.7384,87.46,1191004,0.0,86.662,,70.80405163662572,1.4809936621772408,1.458882936966454,0.02211072521078683
2020-01-14,87.27,88.21,86.7,87.99,1402187,0.0,87.242,,72.73627424961309,1.5341654743019149,1.4739394444335463,0.06022602986836856
2020-01-15,87.63,89.11,87.55,88.62,1395992,0.0,87.78400000000002,,74.86564679611581,1.6085973444930204,1.500871024445441,0.10772632004757932
2020-01-16,89.12,89.49,88.86,89.46,1183651,0.0,88.22400000000002,,77.40016352846801,1.7155898656456827,1.5438147926854895,0.17177507296019323
2020-01-17,89.97,90.28,89.205,90.11,2392517,0.0,88.72800000000002,,79.15206339905217,1.831716885173904,1.6013952111831724,0.23032167399073167
2020-01-21,89.8,90.15,89.46,89.59,4506201,0.0,89.15400000000002,,74.19683117881073,1.8603438448022729,1.6531849379069925,0.20715890689528038
2020-01-22,89.94,90.64,89.84200000000001,90.12,2534214,0.0,89.58000000000001,,75.85592001690586,1.9038510770489694,1.703318165735388,0.20053291131358142
2020-01-23,89.62,89.98,88.66,89.06,1846845,0.0,89.668,,66.6286675223721,1.8316832267915544,1.7289911779466212,0.10269204884493321
2020-01-24,89.45,89.46,87.58,88.24,1787364,0.0,89.424,,60.497886581353434,1.6888544754298636,1.7209638374432699,-0.032109362013406306
2020-01-27,86.54,87.17,86.21,86.56,1361562,0.0,88.71400000000001,,50.28842542867218,1.4236883086885825,1.6615087316923325,-0.23782042300374995
2020-01-28,86.85,87.48,86.19,87.16,1262059,0.0,88.228,,53.31837391731914,1.247575918122763,1.5787221689784188,-0.33114625085565574
2020-01-29,87.55,88.36,87.15,87.22,981851,0.0,87.648,,53.62278960637869,1.1001650603504203,1.4830107472528193,-0.38284568690239906
2020-01-30,84.9,85.02,83.6,84.34,2670546,0.0,86.70400000000001,,40.10407312270203,0.7423911397555685,1.3348868257533693,-0.5924956859978008
2020-01-31,84.03,84.335,82.34,82.53,2419108,0.0,85.56200000000001,,34.258522154725924,0.3092361747339112,1.1297566955494778,-0.8205205208155666
2020-02-03,83.29,83.69,82.11,82.14,1428939,0.0,84.67800000000001,,33.13771662897952,-0.06476542093530213,0.8908522722525218,-0.955617693187824
2020-02-04,82.85,83.9,82.78,83.54,1410777,0.0,83.95400000000002,,40.64475833415121,-0.24536763496747938,0.6636082908085217,-0.9089759257760011
2020-02-05,84.53,85.5,84.39,84.94,1790158,0.0,83.49800000000002,,47.047405269744566,-0.27238797205858134,0.47640903823510106,-0.7487970102936824
2020-02-06,85.31,85.39,84.58,84.83,663801,0.0,83.59600000000003,,46.62186617760971,-0.29922854417203837,0.3212815217536732,-0.6205100659257116
2020-02-07,84.61,84.77,82.92,83.16,1171705,0.0,83.72200000000002,,40.61559332385228,-0.4500668437575257,0.1670118486514334,-0.6170786924089591
2020-02-10,83.04,84.635,82.925,84.44,1525588,0.0,84.18200000000003,,46.323510832158526,-0.46100776971475455,0.0414079249781958,-0.5024156946929503
2020-02-11,85.03,85.67,84.84,85.095,1374677,0.0,84.49300000000002,,49.02367283466738,-0.4120753582029977,-0.04928873165804289,-0.3627866265449548
2020-02-12,85.4,86.06,85.29,85.405,1269995,0.0,84.58600000000003,,50.2980106436486,-0.3443126385490274,-0.1082935130362398,-0.2360191255127876
2020-02-13,85.1,85.68,84.66,85.49,1005231,0.0,84.71800000000003,,50.6622087185416,-0.2805177711443605,-0.14273836465786394,-0.13777940648649656
2020-02-14,85.72,85.86,85.115,85.82,1715152,0.0,85.25000000000003,,52.12882879037493,-0.20101446738121354,-0.15439358520253385,-0.046620882178679685
2020-02-18,85.66,86.08,84.53,84.82,2027112,0.0,85.32600000000002,,47.51908552242648,-0.21620687078753065,-0.16675624231953323,-0.049450628467997415
2020-02-19,84.7,85.84,83.45,85.36,3989212,0.0,85.37900000000002,,50.085933609896195,-0.18256893190884682,-0.16991878023739596,-0.012650151671450865
2020-02-20,84.9,84.99,83.36,84.34,1972636,0.0,85.16600000000003,,45.55368824582793,-0.2355013851303056,-0.18303530121597789,-0.05246608391432772
2020-02-21,83.9,85.09,83.4025,85.07,1507090,0.0,85.08200000000002,,49.103405306500505,-0.21605528568693444,-0.18963929811016922,-0.02641598757676522
2020-02-24,82.22,82.59,80.02,80.46,2276966,0.0,84.01000000000002,,34.01944826684283,-0.5661068569414169,-0.26493280987641876,-0.3011740470649982
2020-02-25,80.7,80.88,77.69,77.95,2188090,0.0,82.63600000000002,,28.82711726987253,-1.0341403460218288,-0.41877431710550084,-0.615366028916328
2020-02-26,78.66,80.27,78.09,78.1,1997636,0.0,81.18400000000001,,29.519436969764556,-1.377082363437836,-0.6104359263719679,-0.7666464370658681
2020-02-27,76.68,80.3,76.37,77.39,2320961,0.0,79.79400000000001,,28.124885128439075,-1.686714059550809,-0.8256915530077361,-0.8610225065430729
2020-02-28,74.97,77.06,74.17,77.06,3019606,0.0,78.19200000000001,,27.475192978093645,-1.936405968932192,-1.0478344361926273,-0.8885715327395647
2020-03-02,77.31,82.0,77.235,81.97,3010076,0.0,78.49400000000001,,47.06769512887292,-1.7182853170921675,-1.1819246123725353,-0.5363607047196322
2020-03-03,81.89,85.0,79.28,80.34,2651342,0.0,78.97200000000001,,42.92220277176757,-1.6578399594728666,-1.2771076817926015,-0.3807322776802651
2020-03-04,81.77,84.43,80.72,84.33,1552484,0.0,80.218,,53.67735398235675,-1.2732991241931018,-1.2763459702727018,0.0030468460796000407
2020-03-05,82.14,83.25,79.7,80.45,1956680,0.0,80.83000000000001,,44.8308818892979,-1.2670258301796764,-1.2744819422540967,0.007456112074420318
2020-03-06,77.95,78.9,76.495,78.56,2622492,0.0,81.13000000000001,,41.26342262619228,-1.3984410462069974,-1.299273763044677,-0.09916728316232049
2020-03-09,72.59,74.19,70.17,70.74,4193187,0.0,78.88400000000001,,30.46220513437777,-2.109282699263076,-1.4612755502883568,-0.6480071489747194
2020-03-10,73.05,73.62,69.66,72.91,3130412,0.0,77.398,,35.507152931432486,-2.46906709753479,-1.6628338597376433,-0.8062332377971466
2020-03-11,70.76,71.73,67.565,68.83,4536112,0.0,74.298,,30.95924891099959,-3.0482820295421504,-1.939923493698545,-1.1083585358436054
2020-03-12,64.0,67.14,62.155,63.42,4198390,0.0,70.89200000000001,,26.172296993114045,-3.8989115970175163,-2.3317211143623395,-1.5671904826551768
2020-03-13,66.53,69.51,63.75,69.2,2531546,0.0,69.02000000000001,,37.32277893834575,-4.059844601768674,-2.6773458118436064,-1.3824987899250676
