Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-08,225.82,228.06,224.33,224.39,49356153,0.0,,,,,,
2019-10-09,227.03,227.79,225.64,227.0,33424472,0.0,,,,,,
2019-10-10,227.93,230.44,227.3,230.09,51957764,0.0,,,,,,
2019-10-11,232.95,237.64,232.3075,236.22,75801862,0.0,,,,,,
2019-10-14,234.9,238.1342,234.6701,235.89,43035391,0.0,230.71800000000002,,,,,
2019-10-15,236.39,237.65,234.88,235.32,37286507,0.0,232.904,,,,,
2019-10-16,233.37,235.24,233.2,234.39,32693993,0.0,234.38199999999998,,,,,
2019-10-17,235.09,236.15,233.52,235.29,30936663,0.0,235.42199999999997,,,,,
2019-10-18,234.59,237.58,234.29,236.28,45791251,0.0,235.43399999999997,,,,,
2019-10-21,238.3659,240.99,238.32,240.53,17427391,0.0,236.362,,,,,
2019-10-22,241.16,242.2,239.6218,239.97,19060536,0.0,237.292,,,,,
2019-10-23,242.1,243.24,241.22,243.14,17199153,0.0,239.042,,,,,
2019-10-24,244.51,244.8,241.805,243.6,15641517,0.0,240.704,,,,,
2019-10-25,243.16,246.73,242.88,246.58,15414721,0.0,242.76399999999998,,,,,
2019-10-28,247.42,249.25,246.72,249.04,22187260,0.0,244.46599999999998,,91.87903499830101,,,
2019-10-29,248.97,249.75,242.57,243.29,32725739,0.0,245.12999999999997,,75.90749098447384,,,
2019-10-30,244.76,245.3,241.21,243.29,25443913,0.0,245.15999999999994,,75.90749098447384,,,
2019-10-31,247.24,249.17,237.26,248.84,29688327,0.0,246.20799999999994,,79.83201879188685,,,
2019-11-01,249.54,255.93,249.16,255.84,33985331,0.0,248.05999999999995,,83.48586973634909,,,
2019-11-04,257.33,257.845,255.38,257.48,23618001,0.0,249.74799999999996,,84.20774639550403,,,
2019-11-05,257.05,258.19,256.32,257.15,17738372,0.0,252.51999999999998,,83.41757801816551,,,
2019-11-06,256.84,257.49,255.365,257.24,15328064,0.0,255.31,,83.4631537385798,,,
2019-11-07,258.74,260.35,258.11,259.5,22267200,0.0,257.442,,84.60722509183229,,,
2019-11-08,258.69,260.44,256.85,260.14,15896858,0.0,258.302,,84.92528272036489,,,
2019-11-11,258.3,262.47,258.28,262.2,19401290,0.0,259.246,,85.93283460847744,,,
2019-11-12,261.55,262.79,260.92,261.98,19425255,0.0,260.212,,85.2773056833598,10.251758126646195,,
2019-11-13,261.13,264.78,261.07,264.47,24029891,0.0,261.658,,86.52977981883313,10.244049556647155,,
2019-11-14,263.75,264.88,262.1,262.69,20368211,0.0,262.296,,81.21111889783862,9.97927447124448,,
2019-11-15,263.68,265.78,263.01,265.75,23136341,0.0,263.418,,83.13075321178425,9.90220824226816,,
2019-11-18,265.8,267.43,264.23,267.12,18045658,0.0,264.402,,83.9227321941395,9.838270789454555,,
2019-11-19,267.9,268.0,265.3926,266.29,14685205,0.0,265.264,,81.42850151941305,9.609849471273463,,
2019-11-20,265.54,266.08299999999997,260.4,263.22,22181038,0.0,265.014,,72.80891333010936,9.076472661060109,,
2019-11-21,263.71,264.005,261.18,262.01,25411879,0.0,264.878,,69.6782319177022,8.458625044385144,,
2019-11-22,262.59,263.18,260.84,261.84,14301792,0.0,264.09599999999995,,69.2278474672986,7.864600557880436,9.469456546762189,-1.6048559888817522
2019-11-25,262.71,266.44,262.52,266.42,15137109,0.0,263.95599999999996,,74.08742087916382,7.6749278056857975,9.11055079854691,-1.4356229928611128
2019-11-26,266.94,267.16,262.5,264.1,14856696,0.0,263.5179999999999,,68.21113722811025,7.253789007747741,8.739198440387076,-1.4854094326393348
2019-11-27,265.58,267.98,265.31,267.8999,14459464,0.0,264.4539799999999,,72.11266068112201,7.144298621810549,8.42021847667177,-1.2759198548612218
2019-11-29,266.6,268.0,265.9,267.18,8827719,0.0,265.48797999999994,,70.35103192169707,6.919671127166737,8.120109006770765,-1.2004378796040278
2019-12-02,267.27,268.25,263.45,264.09,20260941,0.0,265.9379799999999,,63.21297375186778,6.4183285472929015,7.779752914875193,-1.3614243675822912
2019-12-03,258.31,259.53,256.29,259.52,25772086,0.0,264.55797999999993,,54.41869656451215,5.587837026909767,7.341369737282108,-1.7535327103723404
2019-12-04,261.07,263.31,260.68,261.74,14623003,0.0,264.08597999999995,,57.51106500081351,5.05058199496392,6.8832121888184705,-1.8326301938545502
2019-12-05,263.79,265.89,262.73,265.58,15381351,0.0,263.62199999999996,,62.27822321695109,4.878423984237543,6.482254547902285,-1.6038305636647419
2019-12-06,267.48,271.0,267.3,270.7,23057888,0.0,264.3259999999999,,67.51215486415508,5.096380825016126,6.205079803325054,-1.1086989783089276
2019-12-09,270.0,270.8,264.91,266.92,27858494,0.0,264.89199999999994,,60.80439648715192,4.907527856110278,5.945569413882099,-1.0380415577718214
2019-12-10,268.6,270.07,265.86,268.62,20404044,0.0,266.712,,62.60394292830802,4.839252420573132,5.724306015220305,-0.8850535946471734
2019-12-11,268.81,271.1,268.5,270.74,17110774,0.0,268.512,,64.77583402464587,4.89972890360724,5.559390592897692,-0.6596616892904521
2019-12-12,267.79,272.5599,267.32099999999997,271.46,30907462,0.0,269.688,,65.5084993526279,4.948709294547314,5.437254333227617,-0.48854503868030363
