Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,183.83,184.87,182.6,183.93,1721622,0.0,,,,,,
2019-10-11,185.71,187.71,184.74,184.92,2038669,0.0,,,,,,
2019-10-14,184.97,186.33,184.22,185.49,681200,0.0,,,,,,
2019-10-15,185.82,187.38,185.555,187.03,1212474,0.0,,,,,,
2019-10-16,184.59,186.985,184.16,186.56,1479087,0.0,185.586,,,,,
2019-10-17,186.96,187.3252,185.16,186.04,1213364,0.0,186.00799999999998,,,,,
2019-10-18,186.87,188.13,186.61,186.98,2782297,0.0,186.42000000000002,,,,,
2019-10-21,186.95,187.535,185.388,187.34,984984,0.0,186.79000000000002,,,,,
2019-10-22,187.27,188.11,182.34,182.74,1566379,0.0,185.93200000000002,,,,,
2019-10-23,182.39,184.84,181.965,184.14,1766618,0.0,185.44800000000004,,,,,
2019-10-24,185.05,187.015,184.65,185.0,1685922,0.0,185.24000000000007,,,,,
2019-10-25,184.67,184.83,183.02,183.02,1108573,0.0,184.44800000000004,,,,,
2019-10-28,184.41,185.93,182.56,182.84,1584704,0.0,183.54800000000003,,,,,
2019-10-29,182.55,185.75,182.37,184.79,1345855,0.0,183.95800000000003,,,,,
2019-10-30,185.15,187.04,184.28900000000002,186.57,1048585,0.0,184.44400000000002,,57.27673649393602,,,
2019-10-31,186.09,186.48,184.79,185.38,759967,0.0,184.52000000000004,,53.49730671736373,,,
2019-11-01,186.7,188.345,186.107,188.17,1225973,0.0,185.55000000000004,,60.138466681291554,,,
2019-11-04,188.51,189.17,187.39,187.86,995233,0.0,186.55400000000003,,59.12804758093639,,,
2019-11-05,188.0,188.0,185.48,186.93,1205775,0.0,186.98200000000003,,56.08371624649166,,,
2019-11-06,186.99,189.2675,186.91,189.21,1256867,0.0,187.51000000000005,,61.339126489322915,,,
2019-11-07,189.31,190.2,188.665,189.14,1296508,0.0,188.262,,61.0973848080086,,,
2019-11-08,188.66,189.71,188.27,189.67,1104027,0.0,188.562,,62.308593039012514,,,
2019-11-11,188.76,190.46,188.55,190.09,1070312,0.0,189.008,,63.28414797616582,,,
