Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,51.65,52.27,51.435,52.08,1973612,0.0,,,,,,
2019-10-11,52.29,52.9,52.29,52.43,3097904,0.0,,,,,,
2019-10-14,52.25,52.7,52.2,52.52,2210816,0.0,,,,,,
2019-10-15,52.6,53.03,52.57,52.84,2281155,0.0,,,,,,
2019-10-16,52.88,52.93,52.59,52.69,2080807,0.0,52.512,,,,,
2019-10-17,52.93,53.1,52.65,52.65,1489880,0.0,52.626,,,,,
2019-10-18,52.65,52.86,52.54,52.69,2242349,0.0,52.678,,,,,
2019-10-21,53.0,53.21,52.845,52.895,2085300,0.0,52.753,,,,,
2019-10-22,52.87,52.96,52.35,52.42,1965777,0.0,52.669000000000004,,,,,
2019-10-23,52.42,52.8,52.25,52.475,1934597,0.0,52.62600000000001,,,,,
2019-10-24,52.5,52.65,52.27,52.54,1755962,0.0,52.60400000000002,,,,,
2019-10-25,52.6,53.64,52.6,53.26,2284550,0.0,52.71800000000002,,,,,
2019-10-28,53.57,53.84,53.43,53.51,1844240,0.0,52.84100000000002,,,,,
2019-10-29,53.34,53.885,53.26,53.58,1858266,0.0,53.073000000000015,,,,,
2019-10-30,53.5,53.59,53.13,53.36,1607864,0.0,53.250000000000014,,70.98360655737699,,,
2019-10-31,52.98,53.21,52.88,53.17,1735559,0.0,53.37600000000001,,66.52091704088869,,,
2019-11-01,53.49,53.61,53.195,53.61,1893482,0.0,53.44600000000001,,71.05867006145186,,,
2019-11-04,53.87,53.93,53.39,53.45,1685520,0.0,53.43400000000001,,67.47708238859778,,,
2019-11-05,53.4,53.405,52.59,52.95,2966068,0.0,53.308000000000014,,57.69114610840794,,,
2019-11-06,52.95,53.72,52.84,53.69,2092341,0.0,53.37400000000001,,65.6346670116967,,,
2019-11-07,53.8,54.28,53.7,54.16,2193812,0.0,53.57200000000002,,69.5456181671642,,,
2019-11-08,54.08,54.23,53.87,54.13,1547631,0.0,53.67600000000001,,69.00579011534758,,,
2019-11-11,53.71,54.33,53.66,54.04,1229422,0.0,53.79400000000002,,67.31760422421809,,,
2019-11-12,54.06,54.17,53.87,53.97,1608326,0.0,53.99800000000001,,65.96586105665651,,,
2019-11-13,53.66,54.2,53.48,54.14,1339176,0.0,54.08800000000001,,67.66405264564546,,,
2019-11-14,54.16,54.29,54.005,54.18,1713122,0.0,54.092000000000006,,68.06778790251138,0.5654838667241933,,
2019-11-15,54.41,54.48,53.88,54.4,2000442,0.0,54.146,,70.26667032001103,0.5735071684028199,,
2019-11-18,54.26,54.55,54.14,54.39,2196160,0.0,54.215999999999994,,70.03061004243057,0.5724598159470204,,
2019-11-19,54.26,54.52,54.04,54.08,1851451,0.0,54.237999999999985,,62.96837157014645,0.5403861373455001,,
2019-11-20,53.98,54.27,53.84,54.13,1497019,0.0,54.23599999999999,,63.60586954605732,0.513087544283394,,
2019-11-21,54.22,54.22,53.75,53.87,1488186,0.0,54.17399999999999,,58.013180151882594,0.4651118654537214,,
2019-11-22,53.92,54.06,53.74,53.99,1425267,0.0,54.092,,59.77131399867097,0.4317963123483821,,
2019-11-25,54.12,54.35,54.055,54.28,1491274,0.0,54.07000000000001,,63.72455373665891,0.423907530714871,,
2019-11-26,54.29,54.74,54.04,54.72,1803533,0.0,54.198000000000015,,68.74334532600483,0.44799572139271504,0.5037484402902908,-0.055752718897575715
2019-11-27,54.97,54.99,54.525,54.82,1698855,0.0,54.33600000000001,,69.76710527733516,0.46974007908741555,0.49694676804971577,-0.02720668896230022
2019-11-29,54.83,55.07,54.755,54.87,900903,0.0,54.536000000000016,,70.29106441828763,0.4854116974626095,0.49463975393229453,-0.009228056469685053
2019-12-02,54.72,54.83,52.64,52.68,4497471,0.0,54.274000000000015,,38.67504012979398,0.3174574190105517,0.459203286947946,-0.1417458679373943
2019-12-03,52.07,52.24,51.29,51.74,4092899,0.0,53.766000000000005,,32.01814486596339,0.10726580576167066,0.38881579071069094,-0.2815499849490203
2019-12-04,51.66,52.52,51.66,52.33,2648581,0.0,53.28800000000001,,39.103215055798834,-0.01157110838787645,0.3087384108909775,-0.3203095192788539
2019-12-05,52.41,52.82,52.34,52.73,2415877,0.0,52.87000000000002,,43.40935787961297,-0.07263625641515858,0.23246347742975026,-0.30509973384490885
2019-12-06,53.3,53.33,52.98,52.98,2015562,0.0,52.49200000000002,,45.98040530496857,-0.09970853756000508,0.1660290744317992,-0.2657376119918043
2019-12-09,52.77,53.12,52.68,53.05,1606714,0.0,52.56600000000002,,46.710451300139624,-0.11419868902607533,0.1099835217402243,-0.22418221076629963
2019-12-10,53.04,53.33,52.925,53.165,1980295,0.0,52.85100000000002,,47.9548614766224,-0.11507617306330786,0.06497158277951788,-0.18004775584282573
