Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,64.01,65.79,63.84,65.46,860969,0.0,,,,,,
2019-10-11,66.53,69.3,66.25,68.91,1233264,0.0,,,,,,
2019-10-14,68.23,68.58,67.37,67.58,1032435,0.0,,,,,,
2019-10-15,67.9,68.732,67.13,67.85,666588,0.0,,,,,,
2019-10-16,67.86,68.93,67.46,67.59,590585,0.0,67.478,,,,,
2019-10-17,68.35,69.09,67.75,68.23,891814,0.0,68.03200000000001,,,,,
2019-10-18,68.23,68.74,67.11,67.14,800981,0.0,67.678,,,,,
2019-10-21,67.91,68.18,66.81,67.23,1010163,0.0,67.608,,,,,
2019-10-22,67.24,67.8724,64.88,66.8,1182953,0.0,67.398,,,,,
2019-10-23,67.39,68.16,66.9444,67.46,684702,0.0,67.372,,,,,
2019-10-24,68.17,69.68,68.06,69.43,1284643,0.0,67.612,,,,,
2019-10-25,63.79,65.49,62.5,63.59,5712146,0.0,66.902,,,,,
2019-10-28,62.75,64.58,62.59,63.74,2606942,0.0,66.204,,,,,
2019-10-29,63.45,64.48,62.75,63.02,1874297,0.0,65.448,,,,,
2019-10-30,62.86,63.44,61.82,62.69,2041848,0.0,64.494,,41.961694718514245,,,
2019-10-31,60.39,61.44,60.24,60.74,1819466,0.0,62.75599999999999,,37.403000517330604,,,
2019-11-01,61.46,64.5,61.12,64.48,2102162,0.0,62.93399999999999,,48.875071565899404,,,
2019-11-04,65.16,67.76,65.1,67.7,2111148,0.0,63.725999999999985,,56.30067852740306,,,
2019-11-05,68.37,68.66,66.74,67.38,1848974,0.0,64.59799999999998,,55.43890591855052,,,
2019-11-06,66.79,67.83,66.22,66.83,2143399,0.0,65.42599999999999,,53.91148837817427,,,
2019-11-07,67.64,72.28,67.0,71.4,2770008,0.0,67.55799999999999,,63.02674673135368,,,
2019-11-08,69.48,69.58,66.21,68.01,3243053,0.0,68.26399999999998,,54.42745798701231,,,
2019-11-11,67.49,67.89,66.62,67.72,1113059,0.0,68.268,,53.75182040147181,,,
2019-11-12,67.0,67.85,64.98,65.35,1612063,0.0,67.862,,48.45770258922059,,,
2019-11-13,63.72,65.47,63.37,65.16,1335313,0.0,67.52799999999999,,48.04912378291034,,,
2019-11-14,64.37,65.59,64.03,65.54,999455,0.0,66.356,,48.975749456044454,-0.07921612728334537,,
2019-11-15,66.1,67.37,65.62,66.15,947542,0.0,65.984,,50.50201429516507,-0.08890498957724446,,
2019-11-18,66.12,67.36,65.24,67.1,1097694,0.0,65.85999999999999,,52.866628141632816,-0.019699340496103446,,
2019-11-19,67.76,67.76,65.46,66.43,833088,0.0,66.076,,51.015605920327296,-0.018701189899800852,,
2019-11-20,65.71,66.5354,64.74,65.08,1424253,0.0,66.05999999999999,,47.41335194574942,-0.12539835179843806,,
2019-11-21,65.29,66.24,64.53,65.13,1265741,0.0,65.97799999999998,,47.561040305309085,-0.2035753492768606,,
2019-11-22,64.11,65.46,64.0705,64.9,984834,0.0,65.728,,46.90841478979502,-0.2808527649733321,,
2019-11-25,65.11,65.895,64.66,65.13,977976,0.0,65.33399999999999,,47.68154439301511,-0.3198495691232921,,
2019-11-26,65.15,65.78,64.32,65.59,1205869,0.0,65.166,,49.27259479297645,-0.31006245477783523,-0.1606955708006947,-0.14936688397714054
2019-11-27,65.73,65.935,64.74,65.51,862456,0.0,65.252,,48.993543070404506,-0.30524277881171713,-0.18960501240289918,-0.11563776640881795
2019-11-29,65.32,65.85,64.915,65.36,390419,0.0,65.298,,48.439599188122926,-0.30995394118797037,-0.21367479815991341,-0.09627914302805696
