Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,231.01,231.92,227.51,229.97,419512,0.0,,,,,,
2019-10-10,228.56,228.87,225.5,227.77,616810,0.0,,,,,,
2019-10-11,232.72,238.74,230.7562,236.47,501973,0.0,,,,,,
2019-10-14,236.37,236.7505,233.31,234.72,287781,0.0,,,,,,
2019-10-15,235.91,243.58,235.42,241.0,403398,0.0,233.98600000000002,,,,,
2019-10-16,238.77,239.99,235.59,239.02,397179,0.0,235.796,,,,,
2019-10-17,240.21,241.77,238.1201,241.43,350815,0.0,238.52800000000002,,,,,
2019-10-18,239.62,241.1233,237.1,239.32,309176,0.0,239.098,,,,,
2019-10-21,242.27,246.17,241.23,243.88,374221,0.0,240.92999999999998,,,,,
2019-10-22,245.56,246.12,239.94,241.58,435971,0.0,241.04599999999996,,,,,
2019-10-23,241.86,246.7822,240.0,246.71,310916,0.0,242.58399999999997,,,,,
2019-10-24,246.01,246.235,234.695,239.31,716628,0.0,242.15999999999994,,,,,
2019-10-25,242.6,245.26,240.01,244.33,664904,0.0,243.16199999999995,,,,,
2019-10-28,246.5,251.74,245.9154,248.88,595671,0.0,244.1619999999999,,,,,
2019-10-29,248.0,249.53,245.43,245.98,311190,0.0,245.04199999999992,,63.97277011694886,,,
2019-10-30,246.0,247.9,243.11,246.21,450781,0.0,244.94199999999992,,64.12786267196086,,,
2019-10-31,246.05,247.45,242.3622,244.58,943286,0.0,245.99599999999992,,62.08794874220257,,,
2019-11-01,173.66,189.34,173.31,185.32,9079843,0.0,234.1939999999999,,27.650647489729536,,,
2019-11-04,187.61,192.5668,187.0,191.25,2483287,0.0,222.66799999999995,,31.731225051795832,,,
2019-11-05,192.16,192.49,184.25,188.77,1699095,0.0,211.22599999999994,,30.945154874594365,,,
2019-11-06,189.9,192.78,188.4,190.43,1210575,0.0,200.06999999999994,,32.156653246738315,,,
2019-11-07,192.0,196.99,191.86,194.5,1234693,0.0,190.05399999999992,,35.16024596393687,,,
2019-11-08,194.86,194.93,192.0029,192.61,760855,0.0,191.51199999999994,,34.398645501516455,,,
2019-11-11,191.47,192.89,189.225,191.26,615324,0.0,191.51399999999995,,33.83488244362698,,,
2019-11-12,190.66,194.48,190.66,193.97,869731,0.0,192.55399999999995,,36.098920249287055,,,
2019-11-13,193.9,195.8516,190.25,190.69,544774,0.0,192.60599999999994,,34.557618646310715,-20.561070483156783,,
2019-11-14,189.59,191.13,187.8001,190.55,1083372,0.0,191.81599999999995,,34.489928634605945,-20.023128015662564,,
2019-11-15,192.48,193.91,190.21,192.59,783682,0.0,191.81199999999993,,36.44349253123778,-19.210744281692314,,
2019-11-18,192.09,195.49,191.52,192.98,583353,0.0,192.1559999999999,,36.83132169263066,-18.32422432736584,,
2019-11-19,195.49,196.3437,193.28,194.0,538833,0.0,192.1619999999999,,37.89865893640104,-17.339466820957767,,
2019-11-20,194.0,195.9197,192.5002,194.06,688873,0.0,192.83599999999987,,37.9650595366934,-16.36554607581229,,
2019-11-21,194.04,194.39,191.7,192.0,803977,0.0,193.1259999999999,,36.521226309631,-15.580331291714714,,
2019-11-22,193.26,194.74,192.18,194.49,874108,0.0,193.5059999999999,,39.51551548670692,-14.588948411960615,,
2019-11-25,195.0,198.56,194.99,197.95,501393,0.0,194.49999999999986,,43.50345478104118,-13.369956715150863,-17.262601824830416,3.8926451096795525
2019-11-26,198.0,199.2,194.9,196.21,567208,0.0,194.94199999999987,,42.00360103324506,-12.401345480155783,-16.29035055589549,3.889005075739707
2019-11-27,196.49,196.85,194.3325,195.67,495407,0.0,195.2639999999999,,41.52511942369214,-11.544213082593728,-15.341123061235137,3.796909978641409
2019-11-29,195.24,196.025,194.33,195.26,215751,0.0,195.91599999999988,,41.14190844808089,-10.773819174730676,-14.427662283934247,3.653843109203571
2019-12-02,195.39,195.39,190.89,193.12,554615,0.0,195.64199999999988,,39.112998549222425,-10.218167888801133,-13.585763404907626,3.3675955161064923
2019-12-03,190.0,192.18,188.17,191.91,576547,0.0,194.43399999999988,,37.97273182656935,-9.762906421035211,-12.821192008133144,3.0582855870979326
2019-12-04,193.07,195.04,191.3729,193.68,449891,0.0,193.92799999999988,,40.69630873775025,-9.153765311862088,-12.087706668878933,2.9339413570168453
2019-12-05,193.15,193.81,190.77,191.66,465860,0.0,193.12599999999992,,38.61254624069725,-8.73334119143459,-11.416833573390067,2.6834923819554763
2019-12-06,192.42,193.16,189.87,190.24,560872,0.0,192.1219999999999,,37.171669203982425,-8.417700171824066,-10.817006893076867,2.3993067212528008
2019-12-09,190.26,190.815,188.36,190.32,705280,0.0,191.56199999999987,,37.31359396643996,-8.068093103219525,-10.2672241351054,2.1991310318858748
2019-12-10,191.06,194.86,189.63,192.18,711143,0.0,191.61599999999987,,40.66934284419629,-7.553864281911473,-9.724552164466614,2.170687882555141
2019-12-11,192.14,193.51,190.0,191.21,821464,0.0,191.12199999999984,,39.482311660851266,-7.142273447189638,-9.20809642101122,2.0658229738215823
2019-12-12,191.61,194.9,190.338,192.68,864270,0.0,191.32599999999985,,42.23398977580424,-6.621143608621935,-8.690705858533363,2.069562249911428
2019-12-13,193.0,194.99,191.855,192.95,821884,0.0,191.86799999999985,,42.74889851022704,-6.11585791050058,-8.175736268926807,2.059878358426227
2019-12-16,194.17,200.86,194.0,198.63,839979,0.0,193.5299999999999,,52.36784247138828,-5.19717700273597,-7.58002441568864,2.38284741295267
2019-12-17,198.6,199.86,197.61,198.97,509820,0.0,194.88799999999986,,52.87820715960324,-4.391063163288038,-6.9422321652085195,2.5511690019204813
2019-12-18,199.0,200.232,198.75,200.02,562296,0.0,196.64999999999986,,54.49960862901026,-3.6256912017457807,-6.278923972515972,2.653232770770191
2019-12-19,199.45,205.52,198.38,203.68,882316,0.0,198.84999999999985,,59.70439498136948,-2.692756574306742,-5.561690492874126,2.868933918567384
2019-12-20,204.63,206.92,202.54,206.02,1095777,0.0,201.46399999999986,,62.64637667067698,-1.7444715348680973,-4.79824670127292,3.053775166404823
2019-12-23,206.5,208.59,204.0523,204.86,703358,0.0,202.70999999999987,,60.296207647985554,-1.0741687656797865,-4.053431114154294,2.9792623484745073
2019-12-24,204.87,204.87,203.7787,204.55,241780,0.0,203.82599999999988,,59.65216043478533,-0.561490883658422,-3.3550430680551195,2.7935521843966975
2019-12-26,204.64,205.8,204.21,205.61,323895,0.0,204.94399999999987,,61.179101060288424,-0.06886301730366995,-2.69780705790483,2.62894404060116
2019-12-27,205.71,205.92,203.95,204.43,471432,0.0,205.09399999999988,,58.52390855701915,0.2237526958494982,-2.1134951071539647,2.337247803003463
2019-12-30,204.35,204.69,201.64,203.13,663819,0.0,204.5159999999999,,55.65797353154978,0.34675642899404124,-1.6214447999243635,1.9682012289184048
2019-12-31,202.68,204.5795,202.1,203.4,467788,0.0,204.2239999999999,,56.138395246695495,0.46071369651193095,-1.2050131006371048,1.6657267971490357
2020-01-02,205.68,207.2351,203.1,204.72,541459,0.0,204.2579999999999,,58.5053711016728,0.6500453027265962,-0.8340014199643646,1.4840467226909608
2020-01-03,200.0,203.83,198.48,200.84,712701,0.0,203.3039999999999,,49.969349854388255,0.48145843804891797,-0.5709094483617082,1.052367886410626
2020-01-06,198.79,203.17,198.0,202.75,444804,0.0,202.9679999999999,,53.56126796727017,0.4962526786798378,-0.357477022953399,0.8537297016332368
2020-01-07,202.86,205.43,201.4,204.8,480271,0.0,203.30199999999988,,57.11965912934925,0.6657210703002931,-0.1528374043026606,0.8185584746029537
2020-01-08,204.85,207.79,204.63,207.0,603523,0.0,204.02199999999988,,60.608117706215324,0.966407461794347,0.07101156891674092,0.8953958928776061
2020-01-09,208.5,208.9,205.93,206.73,405251,0.0,204.42399999999984,,59.96337391442623,1.1694363159644183,0.2906965183262764,0.8787397976381419
2020-01-10,207.2,209.66,206.14,207.45,372410,0.0,205.74599999999987,,61.15023047545561,1.3726134944057549,0.5070799135421722,0.8655335808635827
2020-01-13,208.05,211.5,207.9,211.0906,522405,0.0,207.41411999999985,,66.54985883331744,1.806573808063149,0.7669786924463675,1.0395951156167815
2020-01-14,211.91,214.35,211.11,213.04,569531,0.0,209.06211999999988,,69.0318665793987,2.281491161406535,1.0698811862384012,1.211609975168134
2020-01-15,211.02,216.19,210.72,213.35,521332,0.0,210.33211999999986,,69.42044771728817,2.652306852357583,1.3863663194622378,1.2659405328953452
2020-01-16,215.99,219.41,214.57,219.25,519713,0.0,212.83611999999985,,75.67612630737933,3.3832615178906167,1.7857453591479135,1.5975161587427031
2020-01-17,220.0,222.72,219.1751,221.83,852327,0.0,215.71211999999983,,77.81351803969496,4.123203076152805,2.253236902548892,1.8699661736039133
2020-01-21,221.31,224.0,219.3,221.21,1070499,0.0,217.73599999999982,,76.08331340812906,4.606482609535959,2.7238860439463055,1.8825965655896537
2020-01-22,222.0,225.91,221.67,222.72,804222,0.0,219.67199999999985,,77.40125648710459,5.053080732733207,3.1897249817036863,1.8633557510295207
2020-01-23,224.14,230.98,221.48,230.0,1375661,0.0,223.00199999999987,,82.42862304928495,5.926135322329486,3.7370070498288466,2.1891282725006396
2020-01-24,234.75,241.89,234.34,238.05,2932401,0.0,226.76199999999986,,86.10864261820389,7.18478338742824,4.426562317348726,2.7582210700795144
2020-01-27,230.1,236.71,227.4229,234.98,1052303,0.0,229.39199999999988,,79.2886698120085,7.844125508090485,5.110074955497078,2.7340505525934073
2020-01-28,235.44,237.84,234.75,236.77,515215,0.0,232.50399999999985,,80.26988627691784,8.414104371765006,5.770880838750664,2.6432235330143428
2020-01-29,237.386,239.02,234.52,235.05,377743,0.0,234.96999999999986,,76.51856919517206,8.62757380203118,6.342219431406767,2.285354370624412
2020-01-30,229.11,233.63,228.15,231.68,603308,0.0,235.30599999999987,,69.65040152783534,8.427670092957328,6.75930956371688,1.6683605292404478
2020-01-31,230.54,230.54,222.84,223.34,916938,0.0,232.36399999999986,,56.20509850645535,7.509709408150684,6.909389532603642,0.6003198755470418
2020-02-03,225.65,227.38,223.64,225.23,499466,0.0,230.41399999999985,,58.175514891167666,6.855697938194993,6.898651213721912,-0.0429532755269193
2020-02-04,228.55,231.67,227.92,231.24,340547,0.0,229.30799999999985,,63.75929653484717,6.744598376968241,6.867840646371178,-0.1232422694029367
2020-02-05,233.8,234.63,229.555,229.88,604463,0.0,228.27399999999983,,61.75026941206073,6.472203012736827,6.788713119644308,-0.31651010690748116
2020-02-06,230.76,233.34,229.03,232.52,418145,0.0,228.44199999999984,,64.11409734216281,6.395628832638295,6.7100962622431055,-0.3144674296048109
2020-02-07,230.58,233.41,230.485,231.77,420927,0.0,230.12799999999984,,62.92436749252315,6.202921098001099,6.608661229394705,-0.405740131393606
2020-02-10,230.1,234.555,229.51,232.38,591067,0.0,231.55799999999982,,63.51734002449725,6.029911663763983,6.492911316268561,-0.4629996525045783
2020-02-11,233.81,234.62,230.26,231.58,603368,0.0,231.6259999999998,,62.11426089509548,5.761828355871501,6.346694724189149,-0.5848663683176483
2020-02-12,231.83,235.18,231.03,234.49,767751,0.0,232.54799999999977,,65.13150693603822,5.7182664667150505,6.221009072694329,-0.5027426059792788
2020-02-13,232.5,241.35,232.4,237.92,1232912,0.0,233.6279999999998,,68.3328335233654,5.892589585276596,6.155325175210783,-0.262735589934187
2020-02-14,217.5,227.0,217.0004,223.47,1984098,0.0,231.9679999999998,,48.23930343931498,4.80930895639716,5.886121931448059,-1.076812975050899
2020-02-18,223.18,226.3,220.39,225.8,738588,0.0,230.65199999999976,,50.75391704646638,4.091646823156623,5.527226909789772,-1.4355800866331494
2020-02-19,225.97,227.44,223.03,225.0501,669392,0.0,229.34601999999978,,49.91344968740795,3.4229263845988385,5.106366804751586,-1.6834404201527473
2020-02-20,224.4,228.76,223.64,228.32,665024,0.0,228.11201999999975,,53.527260101393566,3.120839130633641,4.709261269927998,-1.588422139294357
2020-02-21,223.49,224.57,220.27,223.48,910713,0.0,225.22401999999974,,48.006032701744275,2.4624990982605652,4.259908835594511,-1.797409737333946
2020-02-24,209.99,216.36,209.35,213.82,950088,0.0,223.29401999999973,,39.294265785384795,1.1480446672188407,3.6375360019193774,-2.4894913347005367
2020-02-25,216.38,217.49,202.51,205.98,1142778,0.0,219.33001999999973,,33.91496933103576,-0.5202947835086604,2.8059698448337698,-3.32626462834243
2020-02-26,207.1,209.13,202.81,203.22,668935,0.0,214.96399999999977,,32.241604454346444,-2.041639996659768,1.8364478765350625,-3.8780878731948305
2020-02-27,199.05,203.47,193.05,193.1,961773,0.0,207.91999999999976,,26.984265931220747,-4.017604024095391,0.6656374964089717,-4.683241520504363
2020-02-28,187.01,196.11,185.78,193.24,1093543,0.0,201.87199999999976,,27.161213339520287,-5.508771236199124,-0.5692442501126473,-4.939526986086476
2020-03-02,194.68,197.18,190.15,196.61,742185,0.0,198.42999999999978,,31.46664119053348,-6.345454707377854,-1.7244863415656888,-4.620968365812166
2020-03-03,196.49,198.85,188.62,191.66,607282,0.0,195.5659999999998,,28.77606666779097,-7.323534866194478,-2.844296046491447,-4.479238819703031
2020-03-04,197.73,201.86,193.28,201.7,605778,0.0,195.2619999999998,,39.985073053524424,-7.205466217219538,-3.7165300806370656,-3.4889361365824723
2020-03-05,196.93,201.96,195.9,196.58,451021,0.0,195.9579999999998,,36.80411141946576,-7.4392817632680135,-4.461080417163256,-2.9782013461047576
2020-03-06,191.56,195.31,186.79,190.7,733429,0.0,195.44999999999976,,33.50731441723876,-8.006752270704652,-5.170214787871536,-2.8365374828331165
2020-03-09,177.39,189.62,177.39,185.69,1077241,0.0,193.2659999999998,,30.96238707012391,-8.759764750654085,-5.888124780428045,-2.87163997022604
2020-03-10,189.51,200.435,184.47,199.94,1236505,0.0,194.92199999999977,,43.99239283951025,-8.11315327767258,-6.333130479876953,-1.7800227977956276
2020-03-11,194.68,196.09,181.155,182.21,1349533,0.0,191.02399999999975,,35.11263996587144,-8.928450234422968,-6.852194430786157,-2.076255803636811
2020-03-12,168.66,174.19,162.58,162.89,1946711,0.0,184.28599999999977,,28.388348966660075,-11.006663516954774,-7.68308824801988,-3.323575268934894
2020-03-13,171.47,177.05,157.43,176.99,967236,0.0,181.54399999999973,,37.756871458102665,-11.384674909058532,-8.42340558022761,-2.9612693288309213
2020-03-16,161.16,171.23,156.89,157.03,926505,0.0,175.81199999999973,,31.47873445461957,-13.143348507897002,-9.367394165761489,-3.7759543421355133
2020-03-17,160.91,172.26,157.6535,168.2,1370304,0.0,169.46399999999971,,37.719843910706544,-13.480390803193274,-10.189993493247846,-3.290397309945428
2020-03-18,157.73,185.32,157.73,177.0,1778643,0.0,168.4219999999997,,42.187429542431886,-12.88883829035484,-10.729762452669245,-2.159075837685595
2020-03-19,175.73,189.72,172.65,178.38,854849,0.0,171.5199999999997,,42.87941495243793,-12.168404403767994,-11.017490842888995,-1.1509135608789993
2020-03-20,180.53,187.767,163.51,164.32,1011307,0.0,168.9859999999997,,37.90175832835367,-12.586886066370653,-11.331369887585327,-1.2555161787853262
2020-03-23,163.95,167.65,156.63,162.04,858645,0.0,169.9879999999997,,37.148657005479315,-12.953196359676213,-11.655735182003504,-1.2974611776727087
2020-03-24,171.72,189.53,170.0,186.55,1326890,0.0,173.65799999999967,,48.902653297778755,-11.137363155175734,-11.55206077663795,0.41469762146221534
2020-03-25,187.5,196.6881,185.03,188.795,1374223,0.0,176.01699999999968,,49.82817917821561,-9.408691976092143,-11.123387016528788,1.714695040436645
2020-03-26,188.67,202.66,186.535,200.83,1099740,0.0,180.50699999999966,,54.577937389805626,-6.987041428649491,-10.29611789895293,3.30907647030344
2020-03-27,193.22,196.16,189.785,190.94,680445,0.0,185.83099999999968,,50.35881591093671,-5.799058333887871,-9.396705985939919,3.597647652052048
2020-03-30,191.01,206.94,189.08,205.73,960515,0.0,194.56899999999968,,55.85479436094768,-3.6223871532753833,-8.241842219407012,4.6194550661316285
2020-03-31,204.38,208.6182,199.22,202.83,1034039,0.0,197.82499999999968,,54.57882117611514,-2.107076260735397,-7.014889027672689,4.907812766937292
2020-04-01,194.59,199.56,188.99,192.73,778209,0.0,198.61199999999968,,50.271465858720944,-1.7015526126116072,-5.952221744660473,4.250669132048865
2020-04-02,190.25,198.13,189.06,193.88,610453,0.0,197.2219999999997,,50.74808428113211,-1.2727058499777684,-5.016318565723932,3.7436127157461634
2020-04-03,193.69,197.71,192.18,194.39,733712,0.0,197.91199999999967,,50.972504455365,-0.8815272655782849,-4.1893603056948026,3.3078330401165177
2020-04-06,200.3,208.57,198.72,207.37,918722,0.0,198.2399999999997,,56.41574575014522,0.47043917251906464,-3.2574004100520293,3.727839582571094
2020-04-07,213.0,215.44,207.37,209.1,726684,0.0,199.49399999999966,,57.099401270795084,1.6623167046749074,-2.273456987106642,3.9357736917815496
2020-04-08,212.13,215.87,210.31,214.15,709257,0.0,203.77799999999965,,59.115431689599006,2.9800291107266332,-1.222759767539987,4.20278887826662
2020-04-09,211.22,212.5,206.35,209.62,1304499,0.0,206.92599999999965,,56.54831899785866,3.6170969033799736,-0.2547884333559949,3.8718853367359687
2020-04-13,209.0,211.0,200.67,202.17,809120,0.0,208.4819999999997,,52.50975633704368,3.4807016195228186,0.49230957721976787,2.988392042303051
2020-04-14,206.81,210.63,205.0,207.35,669358,0.0,208.4779999999997,,54.92046497786365,3.747392475537623,1.1433261568833388,2.6040663186542843
2020-04-15,204.25,206.55,201.52,203.91,426679,0.0,207.43999999999974,,52.99648409968457,3.6392170211271377,1.6425043297320987,1.996712691395039
2020-04-16,205.0,210.76,203.0,205.21,703986,0.0,205.65199999999973,,53.65720547595859,3.6166953172884178,2.0373425272433625,1.5793527900450552
2020-04-17,209.97,211.82,205.45,209.81,667034,0.0,205.68999999999969,,56.01338160279015,3.9247857736280025,2.414831176520291,1.5099545971077117
2020-04-20,209.19,214.04,208.02,212.0,515810,0.0,207.65599999999966,,57.13086535181898,4.296141136587778,2.7910931685337883,1.5050479680539897
2020-04-21,210.08,210.72,200.0,200.01,660104,0.0,206.1879999999997,,49.68812302409098,3.581662960711924,2.949207126969416,0.6324558337425081
2020-04-22,206.88,212.81,205.03,211.74,470728,0.0,207.75399999999968,,55.76021942775058,3.9167964359008067,3.142724988755694,0.7740714471451127
2020-04-23,211.26,213.66,208.25,209.05,329824,0.0,208.52199999999965,,54.14632156077407,3.92014264653713,3.2982085203119813,0.6219341262251485
2020-04-24,211.34,216.92,210.6105,216.81,430336,0.0,209.92199999999966,,57.92923262948486,4.49712167029449,3.5379911503084833,0.9591305199860067
2020-04-27,219.0,220.61,215.745,217.92,584274,0.0,211.10599999999968,,58.45718388238819,4.986468521724987,3.8276866245917844,1.1587818971332027
2020-04-28,220.0,221.69,217.15,218.04,596440,0.0,214.71199999999968,,58.517790245716,5.32260672701409,4.126670645076246,1.1959360819378446
2020-04-29,221.83,224.0,220.51,221.81,734224,0.0,216.72599999999966,,60.469003945610254,5.826047124582345,4.466545940977466,1.3595011836048796
2020-04-30,220.8,221.34,217.09,219.3,660356,0.0,218.77599999999967,,58.496183587868686,5.9538588648471205,4.764008525751397,1.1898503390957238
2020-05-01,215.86,216.03,205.72,207.64,708712,0.0,216.94199999999964,,50.28829992690822,5.056003574571946,4.822407535515507,0.23359603905643933
2020-05-04,206.8,210.97,205.51,210.95,567405,0.0,215.54799999999963,,52.3330270567414,4.558983007267244,4.769722629865854,-0.21073962259861023
2020-05-05,213.65,221.55,212.51,219.8,1148097,0.0,215.89999999999964,,57.38061487690827,4.823608112572458,4.780499726407175,0.04310838616528301
2020-05-06,206.5,212.25,201.25,208.17,2429519,0.0,213.17199999999966,,49.902236305217606,4.048216293508773,4.634043039827494,-0.5858267463187214
2020-05-07,212.22,214.54,209.64,210.42,1048311,0.0,211.39599999999967,,51.22661632848153,3.5740692410399504,4.422048280069986,-0.8479790390300357
2020-05-08,213.28,218.77,211.93,217.87,1021536,0.0,213.44199999999972,,55.42819890269735,3.756158368125199,4.2888702976810285,-0.5327119295558296
2020-05-11,217.13,225.56,215.32,224.56,757975,0.0,216.1639999999997,,58.85582109010285,4.389690779737549,4.309034394092333,0.08065638564521649
2020-05-12,228.11,229.51,220.69,221.08,892523,0.0,216.4199999999997,,56.4250582568243,4.558416278525186,4.358910770978904,0.1995055075462826
2020-05-13,220.82,223.86,209.09,213.95,982863,0.0,217.5759999999997,,51.71262992118749,4.069885928247402,4.301105802432604,-0.23121987418520185
2020-05-14,209.84,212.5499,202.6,205.58,730802,0.0,216.60799999999966,,46.77408863955037,2.9730614552007637,4.035496932986236,-1.0624354777854723
2020-05-15,203.53,210.98,202.965,210.55,756474,0.0,215.1439999999997,,49.837443704935176,2.4763122360878356,3.723659993606556,-1.2473477575187206
2020-05-18,215.27,219.19,214.0,215.62,487301,0.0,213.35599999999968,,52.8205153106538,2.463345614434246,3.4715971177720943,-1.0082515033378483
2020-05-19,215.48,221.19,214.64,219.76,453074,0.0,213.0919999999997,,55.16515830245103,2.755370675937172,3.32835182940511,-0.5729811534679379
2020-05-20,222.48,225.58,221.94,224.82,637844,0.0,215.26599999999968,,57.91784248698798,3.3564117278162655,3.3339638090873414,0.022447918728924154
2020-05-21,223.0,226.61,222.37,223.31,501956,0.0,218.81199999999967,,56.79717038528955,3.668607290082633,3.4008925052863996,0.26771478479623356
2020-05-22,224.94,225.8,218.35,220.3,443816,0.0,220.76199999999966,,54.53204523033068,3.6312835022276886,3.4469707046746576,0.18431279755303098
2020-05-26,224.0,227.375,222.03,222.31,333530,0.0,222.09999999999962,,55.79971126672675,3.7210009504640595,3.501776753832538,0.21922419663152137
2020-05-27,223.28,227.44,218.77,227.21,408490,0.0,223.58999999999963,,58.8143163089073,4.139771020159657,3.629375607097962,0.5103954130616946
2020-05-28,227.4,229.31,222.39,223.06,441511,0.0,223.23799999999966,,55.369899124998604,4.089636219833864,3.7214277296451423,0.36820849018872126
2020-05-29,223.69,234.44,222.5,233.42,665225,0.0,225.25999999999968,,61.440847215691335,4.830190023341203,3.9431801883843547,0.887009834956848
2020-06-01,232.99,236.0,230.24,234.64,510114,0.0,228.12799999999964,,62.09474939078044,5.45267303152113,4.24507875701171,1.20759427450942
2020-06-02,234.7,234.7,226.0,230.38,819717,0.0,229.74199999999965,,58.37231809232223,5.538405610220252,4.503744127653419,1.0346614825668334
2020-06-03,230.4,232.96,228.0834,231.27,549276,0.0,230.55399999999963,,58.92630648018457,5.613456427033327,4.725686587529401,0.8877698395039264
2020-06-04,229.08,232.925,226.39,228.65,367348,0.0,231.67199999999966,,56.54082239544576,5.399283062120077,4.860405882447536,0.5388771796725411
2020-06-05,234.0,237.19,232.9,235.17,490305,0.0,232.02199999999965,,60.794329624101195,5.690067086052778,5.026338123168585,0.6637289628841936
2020-06-08,235.06,237.0,230.45,231.95,384483,0.0,231.48399999999964,,57.78629071919849,5.596179160802848,5.140306330695437,0.45587283010741064
