Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,45.46,46.67,45.46,46.35,746027,0.0,,,,,,
2019-10-11,47.08,48.52,47.04,47.99,1127713,0.0,,,,,,
2019-10-14,47.63,48.02,47.35,47.7,669920,0.0,,,,,,
2019-10-15,47.73,48.585,47.47,48.45,826094,0.0,,,,,,
2019-10-16,48.28,48.98,48.28,48.82,1238377,0.0,47.862,,,,,
2019-10-17,49.25,50.19,49.25,50.02,890710,0.0,48.596,,,,,
2019-10-18,50.1,51.05,49.7607,51.0,1587105,0.0,49.198,,,,,
2019-10-21,51.41,51.78,50.82,51.1,1249495,0.0,49.87800000000001,,,,,
2019-10-22,51.15,52.03,50.4,51.72,947996,0.0,50.532000000000004,,,,,
2019-10-23,51.57,51.702,50.52,50.86,1073597,0.0,50.94000000000001,,,,,
2019-10-24,51.03,51.16,50.35,50.92,602093,0.0,51.12000000000001,,,,,
2019-10-25,50.71,51.64,50.71,51.06,1049942,0.0,51.13200000000002,,,,,
2019-10-28,51.09,51.48,50.37,51.33,1903673,0.0,51.17800000000001,,,,,
2019-10-29,49.5,50.67,48.82,49.22,2763200,0.0,50.67800000000001,,,,,
2019-10-30,48.69,50.6,48.48,50.37,1514503,0.0,50.580000000000005,,69.07020872865274,,,
2019-10-31,49.92,50.0,49.21,49.69,724348,0.0,50.334,,64.58304899686092,,,
2019-11-01,50.18,50.51,49.82,50.26,1019096,0.0,50.174,,66.54501819768538,,,
2019-11-04,50.7,50.96,50.39,50.86,836741,0.0,50.080000000000005,,68.52177108687118,,,
2019-11-05,51.0,51.94,50.9394,51.89,1830722,0.0,50.614000000000004,,71.62167994016139,,,
2019-11-06,51.72,52.07,51.2855,52.025,828857,0.0,50.94500000000001,,72.01073525486007,,,
2019-11-07,52.46,52.61,51.65,51.87,501122,0.0,51.38100000000001,,70.8103951929881,,,
2019-11-08,51.91,52.2,51.71,52.08,793425,0.0,51.745000000000005,,71.50345629407235,,,
