Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,20.59,20.875,20.275,20.42,3187400,0.0,,,,,,
2019-10-11,20.72,21.59,20.72,21.42,5603870,0.0,,,,,,
2019-10-14,21.01,22.23,20.86,21.93,7950724,0.0,,,,,,
2019-10-15,21.81,22.52,21.435,22.18,5038811,0.0,,,,,,
2019-10-16,21.96,22.825,21.75,21.76,6076174,0.0,21.542,,,,,
2019-10-17,21.85,22.33,21.52,22.13,4037506,0.0,21.884,,,,,
2019-10-18,22.4,23.6,22.27,22.44,7945861,0.0,22.088,,,,,
2019-10-21,22.19,22.88,22.05,22.76,4393422,0.0,22.254,,,,,
2019-10-22,22.82,23.41,22.35,22.95,4469082,0.0,22.407999999999998,,,,,
2019-10-23,22.97,23.625,22.4,23.54,3191332,0.0,22.763999999999996,,,,,
2019-10-24,23.71,23.8,22.545,23.22,3963914,0.0,22.981999999999992,,,,,
2019-10-25,23.22,23.26,20.57,22.07,14008892,0.0,22.907999999999994,,,,,
2019-10-28,22.24,22.65,21.64,21.73,4578799,0.0,22.70199999999999,,,,,
2019-10-29,21.45,22.57,21.16,22.05,4202540,0.0,22.521999999999988,,,,,
2019-10-30,22.04,22.32,21.265,21.39,4321399,0.0,22.09199999999999,,57.18518518518518,,,
2019-10-31,20.95,22.295,20.93,21.66,4381187,0.0,21.77999999999999,,58.95334862886485,,,
2019-11-01,22.04,24.31,21.85,23.83,9434807,0.0,22.131999999999994,,69.76182663554584,,,
2019-11-04,24.4,24.84,24.345,24.52,6720212,0.0,22.689999999999994,,72.26287607973234,,,
2019-11-05,24.8,25.08,23.715,23.97,5316807,0.0,23.07399999999999,,67.4722713669293,,,
2019-11-06,23.85,24.615,23.23,23.63,4185475,0.0,23.521999999999995,,64.62030116593131,,,
2019-11-07,23.85,24.25,23.65,24.09,4971671,0.0,24.007999999999992,,66.67279625930823,,,
2019-11-08,23.74,24.495,23.39,24.44,3978104,0.0,24.129999999999992,,68.18514796232928,,,
2019-11-11,24.03,24.37,23.76,23.85,3330683,0.0,23.995999999999995,,62.995564004241025,,,
2019-11-12,24.05,24.34,23.54,23.79,3445024,0.0,23.959999999999997,,62.47481118530129,,,
2019-11-13,23.53,23.81,23.11,23.3,2609576,0.0,23.894,,58.240559105407435,,,
2019-11-14,23.41,24.03,23.275,23.4301,3206781,0.0,23.76202,,59.03444215693211,0.6471036459873964,,
2019-11-15,23.64,24.39,23.59,23.91,3579135,0.0,23.65602,,61.9109165606643,0.6370163877180239,,
2019-11-18,23.57,23.57,22.67,22.98,3484272,0.0,23.48202,,53.998006182989016,0.5476657849403885,,
2019-11-19,22.72,22.92,22.3,22.37,2438024,0.0,23.198020000000003,,49.52664745357607,0.422759577237791,,
2019-11-20,22.42,23.43,22.19,22.88,2578878,0.0,23.114020000000004,,53.02867550678053,0.36076457602079515,,
2019-11-21,23.05,23.33,22.5,23.22,3845424,0.0,23.072,,55.25747686579976,0.33520422377362635,,
2019-11-22,23.35,23.605,23.0245,23.41,3022101,0.0,22.972,,56.499673758903064,0.3265150107734378,,
2019-11-25,23.42,23.71,23.15,23.57,4106123,0.0,23.09,,57.56802552810679,0.3287497867901159,,
2019-11-26,23.5,23.74,22.795,22.88,3610267,0.0,23.192,,51.67405336567178,0.2717115083212427,0.4308322779514242,-0.1591207696301815
2019-11-27,22.96,23.41,22.84,23.21,3826224,0.0,23.258000000000003,,54.094740835649326,0.25025175728926286,0.394716173818992,-0.14446441652972913
2019-11-29,22.78,23.16,22.25,22.31,2749163,0.0,23.076000000000004,,47.15700415843105,0.15879181836347556,0.34753130272788874,-0.18873948436441318
2019-12-02,19.8,19.95,18.93,19.54,20741221,0.0,22.302000000000003,,33.090457699971466,-0.1356430832833766,0.2508964255256357,-0.3865395088090123
2019-12-03,19.25,19.3,18.33,18.37,14151342,0.0,21.262000000000008,,29.137001670900204,-0.45811324174420776,0.109094492071667,-0.5672077338158747
2019-12-04,18.61,19.16,18.5003,18.7,9254037,0.0,20.42600000000001,,31.618563608465976,-0.6792153517434976,-0.04856747669136591,-0.6306478750521316
2019-12-05,18.78,18.9824,18.44,18.59,6735800,0.0,19.50200000000001,,31.22602201116824,-0.8534780834894562,-0.20954959805098397,-0.6439284854384723
2019-12-06,18.5,20.17,18.33,19.991,9067268,0.0,19.03820000000001,,41.23308385023724,-0.8685217840483759,-0.3413440352504624,-0.5271777487979135
2019-12-09,19.78,20.74,19.54,20.63,7888996,0.0,19.256200000000007,,45.153050079951456,-0.8194361160070933,-0.43696245140178863,-0.3824736646053047
2019-12-10,20.61,21.06,20.59,20.93,4915376,0.0,19.768200000000007,,46.94242721184146,-0.747708756533072,-0.4991117124280453,-0.2485970441050267
2019-12-11,20.98,21.475,20.86,21.27,4122125,0.0,20.282200000000007,,48.97422893148422,-0.6558687027396601,-0.5304631104903683,-0.12540559224929182
2019-12-12,21.37,22.19,21.33,22.07,4998493,0.0,20.978200000000005,,53.487575435934765,-0.5126222936110345,-0.5268949471145016,0.01427265350346707
2019-12-13,22.18,22.32,21.3,21.35,4544848,0.0,21.250000000000004,,49.26412799865527,-0.45198624892494976,-0.5119132074765912,0.05992695855164143
2019-12-16,21.59,22.37,21.5,22.07,4497169,0.0,21.538000000000004,,53.24034571914579,-0.3418926384281562,-0.4779090936669042,0.136016455238748
2019-12-17,22.08,22.58,21.95,22.46,3543095,0.0,21.844000000000005,,55.284573107686306,-0.22062963717365136,-0.4264532023682536,0.20582356519460226
2019-12-18,22.43,22.9701,22.34,22.75,3132272,0.0,22.140000000000008,,56.79705215232849,-0.09997481126572794,-0.3611575241477485,0.26118271288202055
2019-12-19,22.8099,23.11,22.6,22.71,3196276,0.0,22.268000000000008,,56.51311130135103,-0.0074962461097669575,-0.29042526854015216,0.2829290224303852
2019-12-20,22.85,22.94,22.36,22.61,6206726,0.0,22.52000000000001,,55.76257859202893,0.057066689509401414,-0.22092687693024146,0.2779935664396429
2019-12-23,24.08,26.73,23.95,26.57,20828334,0.0,23.42000000000001,,71.7580008948471,0.422897289330578,-0.09216204367807758,0.5150593330086556
2019-12-24,26.73,26.81,25.78,26.17,5567955,0.0,24.162000000000006,,69.04236792253087,0.6727885309075106,0.06082807123904005,0.6119604596684705
2019-12-26,26.49,26.98,26.19,26.28,4195919,0.0,24.868000000000006,,69.38548747567839,0.8696800901953381,0.22259847503029967,0.6470816151650385
2019-12-27,26.37,26.52,26.06,26.12,3428098,0.0,25.550000000000004,,68.20140210048967,1.0012654418858489,0.37833186840140953,0.6229335734844393
2019-12-30,26.12,26.28,25.435,25.51,4857518,0.0,26.130000000000006,,63.735681546716734,1.0442879773483789,0.5115230901908034,0.5327648871575754
2019-12-31,25.23,25.695,24.78,25.59,2840615,0.0,25.934000000000008,,64.06797726196604,1.0724761407181802,0.6237137002962788,0.4487624404219014
2020-01-02,25.7,25.93,25.13,25.36,2666602,0.0,25.772000000000002,,62.30047842893979,1.0639913554299305,0.7117692313230092,0.35222212410692133
2020-01-03,25.71,26.14,25.53,25.69,5124939,0.0,25.654000000000003,,63.841808361202865,1.0715432603416417,0.7837240371267358,0.28781922321490594
2020-01-06,25.94,25.98,25.165,25.63,3833867,0.0,25.556,,63.33478951915385,1.0604623509665814,0.839071699894705,0.2213906510718764
2020-01-07,29.93,32.58,29.5,32.51,33467721,0.0,26.956,,81.48885869775663,1.5885275946075907,0.9889628788372822,0.5995647157703086
2020-01-08,32.51,33.21,32.04,32.73,12364451,0.0,28.383999999999997,,81.79919271321619,2.00170090407439,1.191510483884704,0.8101904201896861
2020-01-09,32.61,32.7,31.55,32.55,6248062,0.0,29.821999999999992,,80.60846802046346,2.28824180574696,1.4108567482571552,0.8773850574898048
2020-01-10,32.35,32.53,32.04,32.38,3957202,0.0,31.15999999999999,,79.4324301912952,2.4731015799263574,1.6233057145909957,0.8497958653353617
2020-01-13,32.38,32.6,31.85,31.98,3417327,0.0,32.42999999999999,,76.60059156478715,2.557842410637548,1.810213053800306,0.7476293568372419
