Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,113.93,115.785,113.93,115.05,2088656,0.0,,,,,,
2019-10-11,116.74,117.57,116.185,116.38,2405654,0.0,,,,,,
2019-10-14,116.14,117.0,115.94,116.41,1497023,0.0,,,,,,
2019-10-15,117.03,118.1867,116.73,117.59,1953597,0.0,,,,,,
2019-10-16,117.63,117.99,117.07,117.45,1742157,0.0,116.57600000000002,,,,,
2019-10-17,118.01,119.33,117.9581,119.12,2611382,0.0,117.39000000000003,,,,,
2019-10-18,119.73,119.98,116.67,116.75,5669361,0.0,117.46400000000003,,,,,
2019-10-21,117.55,119.38,117.49,119.08,3363900,0.0,117.99800000000005,,,,,
2019-10-22,118.67,119.3498,118.29,118.62,3639839,0.0,118.20400000000004,,,,,
2019-10-23,118.42,119.23,115.51,116.49,3493245,0.0,118.01200000000003,,,,,
2019-10-24,116.44,116.9,116.14,116.41,2179832,0.0,117.47000000000003,,,,,
2019-10-25,116.36,118.51,116.27,118.25,2017159,0.0,117.77000000000002,,,,,
2019-10-28,118.64,119.3,118.07,118.58,2085312,0.0,117.67000000000003,,,,,
2019-10-29,118.09,118.8342,117.075,117.41,2442260,0.0,117.42800000000003,,,,,
2019-10-30,117.44,118.17,116.86,118.05,1996438,0.0,117.74000000000001,,59.55414012738852,,,
2019-10-31,117.02,117.62,116.93,117.3,1390489,0.0,117.918,,56.64026095060578,,,
2019-11-01,118.41,119.45,118.17,119.15,1667596,0.0,118.098,,61.627648775536116,,,
2019-11-04,119.62,120.5,119.01,119.64,1733986,0.0,118.30999999999999,,62.84662106480781,,,
2019-11-05,119.84,119.96,117.7567,118.77,2026699,0.0,118.582,,59.24783708508149,,,
2019-11-06,118.89,119.72,118.89,119.66,1487221,0.0,118.904,,61.66614595070578,,,
2019-11-07,120.27,122.43,120.1,121.3,2353808,0.0,119.704,,65.70476934843467,,,
2019-11-08,121.01,121.81,120.89,121.47,1655716,0.0,120.168,,66.10342365870031,,,
2019-11-11,120.76,121.81,120.51,120.89,1432349,0.0,120.418,,63.39580790451815,,,
2019-11-12,120.87,121.225,120.41,120.91,1642174,0.0,120.846,,63.45140095423185,,,
2019-11-13,120.27,120.965,120.13,120.28,1389844,0.0,120.97,,60.34249099051131,,,
2019-11-14,120.0,120.98,119.8,120.96,1663573,0.0,120.90200000000002,,62.47941732012878,1.4462112740411612,,
2019-11-15,120.98,121.33,120.39,120.74,1975967,0.0,120.75600000000001,,61.328029630393665,1.3994305783635639,,
2019-11-18,120.56,120.85,119.4,119.66,2334221,0.0,120.51000000000002,,55.88357309000403,1.260677263193216,,
2019-11-19,120.01,120.445,119.86,119.995,1397009,0.0,120.32700000000003,,57.15417575135134,1.164324355145851,,
2019-11-20,119.83,120.23,118.93,119.3,2085888,0.0,120.13100000000001,,53.6987745063654,1.0201239359617915,,
2019-11-21,119.29,119.47,118.4909,118.79,2279076,0.0,119.697,,51.250184850517726,0.8548372948806957,,
2019-11-22,119.21,119.29,118.41,119.04,1345498,0.0,119.357,,52.39609027385009,0.7355404986504226,,
2019-11-25,119.14,120.59,119.14,120.59,1574348,0.0,119.543,,58.85384353857998,0.7573388434996389,,
2019-11-26,120.8355,121.04,119.6,119.79,3705290,0.0,119.502,,54.72730540936152,0.7019690129000224,1.0378281174040405,-0.335859104504018
2019-11-27,120.0,120.36,119.35,120.32,2247077,0.0,119.70599999999999,,56.884148565728914,0.6928676468986055,0.9688360233029535,-0.275968376404348
2019-11-29,120.07,120.89,119.78,120.16,1516684,0.0,119.97999999999999,,56.0165331812584,0.6650774866764522,0.9080843159776533,-0.2430068293012011
2019-12-02,120.25,120.355,117.07,117.31,4727009,0.0,119.63400000000001,,43.33697464647836,0.40837491115564717,0.8081424350132521,-0.39976752385760495
2019-12-03,116.04,116.75,114.645,116.59,3303176,0.0,118.83400000000002,,40.822976830556,0.14516491710196533,0.6755469314309948,-0.5303820143290294
2019-12-04,117.31,118.54,117.0,118.0,1982391,0.0,118.47600000000003,,47.273653645235214,0.04977059222113667,0.5503916635890231,-0.5006210713678865
2019-12-05,117.91,118.43,117.59,118.29,2179847,0.0,118.07000000000002,,48.516685439941135,-0.0024018343062550684,0.4398329640099675,-0.4422347983162226
2019-12-06,120.21,121.44,119.91,120.62,2527580,0.0,118.16200000000003,,57.239221424172044,0.14261865014444197,0.38039010123686245,-0.23777145109242048
2019-12-09,120.44,121.53,120.11,120.47,2435844,0.0,118.79400000000005,,56.574685535466124,0.24264759209133047,0.35284159940775606,-0.11019400731642559
2019-12-10,120.45,121.47,120.03,120.91,2095486,0.0,119.65800000000004,,58.110968253676056,0.353352346128446,0.35294374875189405,0.0004085973765519668
2019-12-11,120.88,121.38,120.1,120.62,1615669,0.0,120.18200000000004,,56.6875073655652,0.41292612953498065,0.36494022490851136,0.04798590462646929
2019-12-12,120.6,123.07,120.05,122.63,2430820,0.0,121.05000000000004,,63.38261412337759,0.6152369156280315,0.4149995630524154,0.2002373525756161
2019-12-13,122.47,124.99,122.08,124.74,2935890,0.0,121.87400000000005,,68.82961639834473,0.9350503586852312,0.5190097221789787,0.41604063650625256
2019-12-16,125.65,126.33,123.34200000000001,123.65,2548696,0.0,122.51000000000003,,63.568913956157495,1.0880090350555776,0.6328095847542985,0.45519945030127906
2019-12-17,123.99,125.4,123.2505,124.93,2882126,0.0,123.31400000000005,,66.77989367053456,1.2975577526100608,0.7657592183254509,0.5317985342846099
2019-12-18,125.03,125.07,124.08,124.25,2266510,0.0,124.04000000000005,,63.5741441043632,1.3927021010916434,0.8911477948786894,0.5015543062129539
2019-12-19,124.18,124.895,123.88,124.81,1473326,0.0,124.47600000000004,,65.06162162248759,1.4960465097186244,1.0121275378466765,0.4839189718719479
2019-12-20,125.86,126.275,124.83,125.81,4284984,0.0,124.69000000000005,,67.60556647043292,1.6397374679338554,1.1376495238641122,0.5020879440697432
2019-12-23,125.74,125.74,123.7,124.47,2550418,0.0,124.85400000000007,,61.177422365419595,1.6267348002342885,1.2354665791381474,0.3912682210961411
2019-12-24,124.95,125.33,124.38,124.73,800363,0.0,124.81400000000008,,61.93372696102892,1.6187499773900953,1.312123258788537,0.3066267186015583
2019-12-26,124.98,125.43700000000001,124.53,125.42,1201490,0.0,125.04800000000007,,63.941350396888424,1.6490895039094227,1.3795165078127143,0.2695729960967084
2019-12-27,125.84,125.97,125.11,125.19,1450504,0.0,125.12400000000007,,62.75328111993147,1.635719167092276,1.4307570396686269,0.20496212742364905
2019-12-30,125.2,125.46,124.18,124.3,1856284,0.0,124.82200000000007,,58.24351140999671,1.5356060067131097,1.4517268330775235,0.08387917363558617
2019-12-31,124.29,124.574,123.78,124.46,1706981,0.0,124.82000000000008,,58.816512837129096,1.4524335191600528,1.4518681702940293,0.0005653488660235517
2020-01-02,124.66,126.27,124.23,125.89,2252326,0.0,125.05200000000006,,63.62135367272274,1.4847920144485727,1.458452939124938,0.026339075323634775
2020-01-03,124.32,125.1,123.94,124.56,1542832,0.0,124.88000000000008,,56.96461727680141,1.3871265390826153,1.4441876591164733,-0.05706112003385799
2020-01-06,123.37,124.16,123.1204,124.09,1711741,0.0,124.66000000000008,,54.78320964822588,1.2573074169117575,1.4068116106755304,-0.14950419376377289
2020-01-07,123.47,124.4,123.36,123.41,1478312,0.0,124.48200000000008,,51.69856010740763,1.0870239745623707,1.3428540834528986,-0.25583010889052793
2020-01-08,124.05,126.36,123.8,125.55,2715484,0.0,124.70000000000007,,59.43886397066909,1.1119355342651431,1.2966703736153478,-0.18473483935020463
2020-01-09,127.0673,127.88,126.3903,127.81,2151164,0.0,125.08400000000009,,65.69169318939205,1.2990664082856682,1.297149580549412,0.0019168277362562325
2020-01-10,127.53,128.17,126.92,127.255,2062577,0.0,125.62300000000009,,63.118386364540555,1.3866012365548812,1.3150399117505058,0.07156132480437538
2020-01-13,127.87,128.95,127.6306,128.56,2696788,0.0,126.51700000000008,,66.4466604233919,1.5434834953235992,1.3607286284651248,0.18275486685847442
