Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,376.0,377.86,373.5,374.93,2493869,0.0,,,,,,
2019-10-10,373.82,374.54,370.33,371.04,2392916,0.0,,,,,,
2019-10-11,373.0,376.94,370.08,374.85,3592201,0.0,,,,,,
2019-10-14,374.25,378.7,372.68,373.14,1969375,0.0,,,,,,
2019-10-15,372.58,373.5268,370.53,370.88,2595619,0.0,372.968,,,,,
2019-10-16,370.22,377.42,369.24,372.34,3362935,0.0,372.45000000000005,,,,,
2019-10-17,372.42,373.8,369.1,369.12,2168559,0.0,372.0660000000001,,,,,
2019-10-18,369.0,369.35,344.01,344.06,12918409,0.0,365.9080000000001,,,,,
2019-10-21,332.89,334.24,324.4,331.05,14299036,0.0,357.4900000000001,,,,,
2019-10-22,336.07,341.48,334.46,337.1,7400834,0.0,350.7340000000001,,,,,
2019-10-23,345.0,350.8,336.5,340.6,10084470,0.0,344.3860000000001,,,,,
2019-10-24,341.7,345.74,337.77,344.55,4874977,0.0,339.4720000000001,,,,,
2019-10-25,342.92,343.37,338.9,339.91,3671930,0.0,338.64200000000017,,,,,
2019-10-28,341.5,344.98,339.49,340.88,2954549,0.0,340.6080000000001,,,,,
2019-10-29,340.19,349.72,339.218,348.85,5693168,0.0,342.9580000000002,,34.0,,,
2019-10-30,346.63,350.0,343.27,346.07,3800155,0.0,344.05200000000025,,32.795287776988744,,,
2019-10-31,342.19,343.13,339.45,339.94,2482154,0.0,343.1300000000002,,30.250036496491802,,,
2019-11-01,340.59,345.11,339.5,345.09,2995583,0.0,344.1660000000002,,34.826418251844515,,,
2019-11-04,346.46,351.45,346.05,351.07,3272565,0.0,346.2040000000002,,39.76819137853961,,,
2019-11-05,355.23,361.61,353.1901,358.27,4954059,0.0,348.0880000000002,,45.15988908081299,,,
2019-11-06,358.86,359.4,353.13,354.05,3316303,0.0,349.68400000000025,,42.74472418685207,,,
2019-11-07,356.12,359.4,355.05,357.54,2534399,0.0,353.2040000000003,,45.34787101478523,,,
2019-11-08,356.4,357.0,350.55,350.69,2864466,0.0,354.3240000000003,,41.37193977248398,,,
2019-11-11,349.04,369.75,345.5643,366.96,11016488,0.0,357.5020000000003,,52.111668935414,,,
2019-11-12,366.49,367.11,360.01,362.88,5206524,0.0,358.42400000000026,,49.65520777918435,,,
