Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,165.96,168.57,164.09,166.05,10471103,0.0,,,,,,
2019-10-11,170.77,174.88,169.57,172.94,18288175,0.0,,,,,,
2019-10-14,172.84,173.34,170.93,171.17,7184722,0.0,,,,,,
2019-10-15,172.91,176.75,172.69,175.29,13202283,0.0,,,,,,
2019-10-16,175.8,177.35,174.12,177.1,9828433,0.0,172.51,,,,,
2019-10-17,178.0,178.59,175.23,176.81,7512654,0.0,174.66199999999998,,,,,
2019-10-18,176.0,176.23,169.0,169.15,13709360,0.0,173.904,,,,,
2019-10-21,172.64,173.91,170.87,173.53,8273182,0.0,174.376,,,,,
2019-10-22,174.53,175.3602,169.26,169.91,10099766,0.0,173.3,,,,,
2019-10-23,170.45,171.04,168.12,169.92,8349741,0.0,171.864,,,,,
2019-10-24,171.28,172.75,170.21,172.52,6789709,0.0,171.00600000000003,,,,,
2019-10-25,171.56,175.81,170.88,174.28,8748813,0.0,172.03200000000004,,,,,
2019-10-28,176.5,179.64,176.41,178.6617,9688937,0.0,173.05834000000004,,,,,
2019-10-29,177.06,177.74,175.44,176.9,7308919,0.0,174.45634000000007,,,,,
2019-10-30,175.42,177.88,173.9359,177.63,9285228,0.0,175.99834000000007,,63.85717773086919,,,
2019-10-31,176.35,177.78,175.5,176.57,9291937,0.0,176.8083400000001,,62.1589708833416,,,
2019-11-01,179.01,182.12,176.06,176.45,24062240,0.0,177.2423400000001,,61.95808984172296,,,
2019-11-04,180.66,182.4,178.02,179.64,42519799,0.0,177.43800000000013,,65.17962381187948,,,
2019-11-05,181.42,183.2,180.31,181.94,21968456,0.0,178.4460000000001,,67.32794256649173,,,
2019-11-06,183.61,185.0,182.2,184.08,13905400,0.0,179.73600000000013,,69.23016396868272,,,
2019-11-07,187.07,188.07,184.69,186.66,18865971,0.0,181.75400000000013,,71.39264775224619,,,
2019-11-08,187.9016,188.28,185.15,187.13,17162315,0.0,183.8900000000001,,71.78171186775482,,,
2019-11-11,184.82,187.2,181.37,186.7337,18943701,0.0,185.3087400000001,,70.90604748005397,,,
2019-11-12,185.91,187.65,185.14,186.96,9223464,0.0,186.31274000000008,,71.12268112653221,,,
2019-11-13,185.47,185.674,181.0,182.48,13964545,0.0,185.99274000000008,,61.379037300876576,,,
2019-11-14,182.87,184.5,181.3212,182.68,11488842,0.0,185.19674000000006,,61.631747034517105,4.913922423576281,,
2019-11-15,184.0,185.548,183.71,185.44,10176741,0.0,184.85874000000007,,65.03215848344644,4.796892149337708,,
2019-11-18,186.98,186.98,184.16,184.62,10202699,0.0,184.43600000000006,,63.23893890086133,4.5851232205258725,,
2019-11-19,186.31,186.71,183.87,185.26,11320149,0.0,184.09600000000006,,64.07164817916689,4.418009407690107,,
2019-11-20,183.67,183.7,181.06,182.35,14780836,0.0,184.07000000000002,,57.67449348929352,4.004595344554502,,
2019-11-21,181.77,184.89,181.6,184.85,9227775,0.0,184.504,,61.25367087578169,3.8344892227866296,,
2019-11-22,185.8,186.78,183.935,186.78,8594225,0.0,184.772,,63.798779131400224,3.8114774268399287,,
2019-11-25,188.32,190.72,187.88,190.43,17254391,0.0,185.934,,68.0703714907587,4.041180692957539,,
2019-11-26,190.39,195.0,189.04,194.87,22039149,0.0,187.856,,72.34514200938247,4.529282332303751,4.326108024508035,0.20317430779571577
2019-11-27,197.24,200.98,197.0,200.8604,29759008,0.0,191.55808,,76.84866613674976,5.337949060198326,4.528476231646094,0.8094728285522326
2019-11-29,199.81,200.43,198.3502,199.9,15950446,0.0,194.56807999999998,,74.74703712209168,5.83407542467188,4.7895960702512514,1.0444793544206288
2019-12-02,197.475,197.55,193.51,196.23,16807320,0.0,196.45807999999997,,67.18575378873601,5.8635296939924615,5.0043827949994935,0.859146898992968
2019-12-03,190.97,194.9,189.85,194.83,15753325,0.0,197.33807999999993,,64.50509105404015,5.708104637830644,5.145127163565723,0.5629774742649207
2019-12-04,195.53,196.66,193.23,193.72,10796915,0.0,197.10807999999994,,62.37994114832922,5.432736236133138,5.202648978079207,0.23008725805393127
2019-12-05,196.93,200.94,196.43,200.07,20109741,0.0,196.94999999999996,,68.72734050555543,5.661632944362935,5.294445771335953,0.36718717302698245
2019-12-06,201.11,202.0,199.51,201.9,12150636,0.0,197.34999999999997,,70.2834385462519,5.92243084460722,5.420042785990207,0.5023880586170133
2019-12-09,200.32,203.43,198.55,198.71,11540645,0.0,197.84599999999995,,64.27908694506692,5.804794659959782,5.496993160784122,0.30780149917566035
