Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,27.83,28.07,27.75,27.9,32103292,0.0,,,,,,
2019-10-10,28.04,28.75,28.04,28.45,42346081,0.0,,,,,,
2019-10-11,28.99,29.34,28.86,28.89,59727002,0.0,,,,,,
2019-10-14,28.74,29.16,28.73,29.15,30735541,0.0,,,,,,
2019-10-15,29.34,30.24,29.11,29.74,67443871,0.0,28.826,,,,,
2019-10-16,30.37,30.72,30.15,30.18,76052400,0.0,29.282,,,,,
2019-10-17,30.3,30.54,30.0,30.27,50211989,0.0,29.646000000000004,,,,,
2019-10-18,30.13,30.49,30.1,30.36,44846276,0.0,29.94000000000001,,,,,
2019-10-21,30.67,31.15,30.63,31.02,54015763,0.0,30.31400000000001,,,,,
2019-10-22,30.97,31.37,30.75,31.19,52738394,0.0,30.604000000000006,,,,,
2019-10-23,31.13,31.44,31.09,31.425,41413779,0.0,30.85300000000001,,,,,
2019-10-24,31.45,31.52,31.2,31.35,34203196,0.0,31.069000000000006,,,,,
2019-10-25,31.36,31.85,31.34,31.69,36653332,0.0,31.335,,,,,
2019-10-28,31.97,32.23,31.74,31.84,52070443,0.0,31.499000000000002,,,,,
2019-10-29,31.94,32.14,31.81,32.06,42934719,0.0,31.673000000000002,,98.25986078886312,,,
2019-10-30,32.01,32.01,31.53,31.63,40562060,0.0,31.714,,88.726833199033,,,
2019-10-31,30.925,31.28,30.92,31.28,25424555,0.0,31.7,,81.77263638960298,,,
2019-11-01,31.7,31.84,31.3738,31.805,36050906,0.0,31.723000000000003,,83.82105259052099,,,
2019-11-04,32.24,32.5,32.1,32.4,46415716,0.0,31.835,,85.7725333223713,,,
2019-11-05,32.51,33.09,32.5,32.815,54932744,0.0,31.986,,86.95446335390923,,,
2019-11-06,32.76,33.06,32.67,32.785,39288787,0.0,32.217,,86.39571758413588,,,
2019-11-07,33.11,33.6,33.01,33.21,56539879,0.0,32.603,,87.61032172349222,,,
2019-11-08,33.07,33.27,32.9342,33.255,34164148,0.0,32.893,,87.73518319551043,,,
2019-11-11,33.03,33.25,32.97,33.19,25078101,0.0,33.051,,86.3810161023718,,,
2019-11-12,33.13,33.32,32.99,33.1,32746090,0.0,33.108,,84.43767703321292,,,
2019-11-13,32.72,32.89,32.48,32.77,36053200,0.0,33.105000000000004,,77.54861007977942,1.180375855774848,,
2019-11-14,32.69,32.86,32.49,32.74,30555474,0.0,33.011,,76.93409158652713,1.1137894322039692,,
2019-11-15,32.92,32.9597,32.7,32.92,30426697,0.0,32.944,,78.05761149594196,1.0632867991247394,,
2019-11-18,32.86,33.03,32.75,32.95,26568897,0.0,32.896,,78.24778375023675,1.0139951430185086,,
2019-11-19,33.12,33.15,32.82,32.93,27199232,0.0,32.86200000000001,,77.76390700477809,0.9622253823310807,,
2019-11-20,32.79,32.83,32.42,32.68,36201503,0.0,32.84400000000001,,71.78793108424576,0.8907564771505463,,
2019-11-21,32.78,33.04,32.63,32.84,35544837,0.0,32.864000000000004,,73.20704121378026,0.8373747824689275,,
2019-11-22,32.96,33.32,32.94,33.18,32778129,0.0,32.91600000000001,,75.9728779243624,0.8131312919637388,,
2019-11-25,33.33,33.51,33.255,33.46,38197744,0.0,33.01800000000001,,77.98811818371502,0.8072068331125095,0.964682444127652,-0.1574756110151425
2019-11-26,33.26,33.39,33.1248,33.34,33388241,0.0,33.10000000000001,,75.08164221208133,0.7837935752306393,0.9285046703482496,-0.14471109511761027
2019-11-27,33.49,33.6,33.31,33.43,27887866,0.0,33.25000000000001,,75.80979707472255,0.7636972213319524,0.8955431805449903,-0.13184595921303788
2019-11-29,33.37,33.52,33.24,33.34,16137689,0.0,33.35000000000001,,73.4968910428212,0.7320696252992818,0.8628484694958487,-0.13077884419656693
2019-12-02,33.42,33.75,33.34,33.46,40304589,0.0,33.406000000000006,,74.60921723654744,0.7085201454981984,0.8319828046963187,-0.12346265919812027
2019-12-03,32.87,32.9,32.55,32.85,48310073,0.0,33.284000000000006,,60.66988977501833,0.6333344260472273,0.7922531289665005,-0.15891870291927312
2019-12-04,33.08,33.3,32.85,33.16,39561116,0.0,33.248000000000005,,64.31835908598288,0.591940093986814,0.7521905219705632,-0.16025042798374922
2019-12-05,33.16,33.22,33.0,33.1,32033353,0.0,33.182,,63.09830945586011,0.5479765564011672,0.7113477288566841,-0.1633711724555169
2019-12-06,33.68,33.8,33.57,33.66,40276216,0.0,33.245999999999995,,69.00741563383531,0.5519598069377523,0.6794701444728978,-0.1275103375351455
2019-12-09,33.5,33.7,33.435,33.515,26668882,0.0,33.257,,66.05780735303618,0.5372234954557342,0.651020814669465,-0.11379731921373082
2019-12-10,33.4,33.63,33.3,33.53,33750236,0.0,33.393,,66.2186692827527,0.5207523283919784,0.6249671174139677,-0.10421478902198933
2019-12-11,33.48,33.76,33.48,33.63,34925829,0.0,33.487,,67.33027874142806,0.5098902763802897,0.6019517492072322,-0.09206147282694244
2019-12-12,33.78,34.805,33.677,34.67,55301697,0.0,33.801,,76.1281792674626,0.578532369232903,0.5972678732123663,-0.01873550397946333
2019-12-13,34.69,34.96,34.345,34.44,40189996,0.0,33.95700000000001,,71.53978797399257,0.6073712468896986,0.5992885479478327,0.008082698941865862
2019-12-16,34.95,35.09,34.7,34.7,39413819,0.0,34.194,,73.48529164163958,0.6437849402459932,0.6081878264074648,0.03559711383852837
2019-12-17,34.85,35.27,34.74,35.03,37848535,0.0,34.49400000000001,,75.75104305866827,0.6913023929867279,0.6248107397233175,0.06649165326341044
2019-12-18,35.11,35.27,35.05,35.11,36454427,0.0,34.790000000000006,,76.28021509078727,0.7270348429347493,0.6452555603656038,0.08177928256914546
2019-12-19,35.14,35.23,34.89,34.945,31572945,0.0,34.845000000000006,,72.75376351169699,0.7335826616355092,0.662920980619585,0.07066168101592418
2019-12-20,35.24,35.24,34.91,34.97,55586481,0.0,34.95100000000001,,72.95775381609708,0.732347104644532,0.6768062054245745,0.05554089921995753
2019-12-23,35.04,35.19,34.95,35.17,30652394,0.0,35.045,,74.5963565785605,0.7389876556670529,0.6892424954730703,0.049745160193982674
2019-12-24,35.19,35.2799,35.12,35.23,12355584,0.0,35.085,,75.08412425286858,0.7405551796229588,0.699505032303048,0.04105014731991086
2019-12-26,35.32,35.56,35.29,35.51,23467931,0.0,35.165,,77.27681634266082,0.7556801037522547,0.7107400465928894,0.04494005715936533
2019-12-27,35.7,35.72,35.26,35.35,22173168,0.0,35.245999999999995,,73.30679917087741,0.7461548436968357,0.7178230060136787,0.028331837683157057
2019-12-30,35.57,35.65,35.09,35.16,25229962,0.0,35.284,,68.78750098490372,0.715032148853453,0.7172648345816335,-0.0022326857281804724
2019-12-31,35.03,35.26,34.97,35.2,23425646,0.0,35.29,,69.21774832936734,0.6856906398011873,0.7109499956255443,-0.02525935582435701
2020-01-02,35.35,35.66,35.29,35.65,30804474,0.0,35.374,,73.6228395288623,0.690785575560227,0.7069171116124808,-0.016131536052253814
2020-01-03,34.98,35.15,34.76,34.9,40963905,0.0,35.252,,58.57703713817653,0.6270760742254566,0.690948904135076,-0.0638728299096194
2020-01-06,34.41,34.9,34.37,34.86,29681514,0.0,35.154,,57.897449247067144,0.566824173473421,0.666123958002745,-0.09929978452932409
2020-01-07,34.7,34.92,34.53,34.62,28047535,0.0,35.04600000000001,,53.85988378494643,0.4940134344400775,0.6317018532902116,-0.13768841885013405
2020-01-08,34.72,35.19,34.71,34.98,34012914,0.0,35.001999999999995,,58.53137681189571,0.46005614961976704,0.5973727125561227,-0.13731656293635564
2020-01-09,35.3,35.315,34.94,35.04,30896509,0.0,34.879999999999995,,59.27150813226209,0.43299495895291784,0.5644971618354817,-0.13150220288256387
2020-01-10,35.0,35.07,34.66,34.75,33198402,0.0,34.849999999999994,,54.233188289680605,0.3837248527728718,0.5283427000229598,-0.14461784725008797
2020-01-13,34.84,35.07,34.66,35.04,30279095,0.0,34.88599999999999,,58.071447567134186,0.3638838880702977,0.4954509376324274,-0.13156704956212972
2020-01-14,35.3,35.67,35.11,35.32,56071048,0.0,35.02599999999999,,61.434455086699586,0.3665283301059432,0.4696664161271306,-0.1031380860211874
2020-01-15,34.765,34.79,34.34,34.68,61792135,0.0,34.965999999999994,,51.30503497543404,0.3133690943206986,0.4384069517658442,-0.12503785744514562
2020-01-16,34.9,34.99,34.6005,34.73,43456716,0.0,34.90399999999999,,51.971301668724976,0.2721375666334467,0.40515307473936474,-0.13301550810591806
2020-01-17,34.92,34.95,34.6,34.71,43117425,0.0,34.895999999999994,,51.66677866510562,0.23513693876869013,0.37114984754522984,-0.1360129087765397
2020-01-21,34.42,34.52,34.22,34.25,70387147,0.0,34.73799999999999,,45.118545690788835,0.16677306293426142,0.33027449062303615,-0.16350142768877474
2020-01-22,34.37,34.45,34.23,34.37,54076548,0.0,34.547999999999995,,47.00545909440111,0.12088372360034327,0.28839633721849756,-0.16751261361815428
2020-01-23,34.09,34.26,33.73,34.12,72526506,0.0,34.43599999999999,,43.63920687268796,0.06360992527775977,0.24343905483035,-0.17982912955259023
2020-01-24,34.12,34.14,33.27,33.55,81979180,0.0,34.199999999999996,,37.11321584802567,-0.02745769363911421,0.18925970513645715,-0.21671739877557136
2020-01-27,32.57,33.13,32.47,32.84,42034535,0.0,33.82599999999999,,30.912142046031676,-0.15513223616783733,0.12038131687559826,-0.2755135530434356
2020-01-28,33.02,33.49,32.945,33.24,29910290,0.0,33.623999999999995,,37.27118451503539,-0.22148542776535152,0.052007967947408314,-0.2734933957127598
2020-01-29,33.395,33.44,32.98,33.02,29320055,0.0,33.354,,35.34429550337245,-0.2884973536293316,-0.016093096367939666,-0.27240425726139195
2020-01-30,32.7,33.52,32.67,33.47,44186436,0.0,33.224,,41.9546596359753,-0.30181441972072065,-0.07323736103849586,-0.22857705868222478
2020-01-31,33.07,33.17,32.65,32.82,42527439,0.0,33.077999999999996,,36.19779317348574,-0.3606603897954983,-0.13072196678989634,-0.22993842300560197
2020-02-03,33.12,33.4,32.915,32.96,39147790,0.0,33.102,,38.16583276963739,-0.39148660122393864,-0.18287489367670481,-0.20861170754723382
2020-02-04,33.56,33.9,33.53,33.62,35200713,0.0,33.178,,46.538100365825194,-0.3585272329559217,-0.21800536153254818,-0.14052187142337352
2020-02-05,34.1,34.81,34.07,34.7,46367835,0.0,33.513999999999996,,56.836997787794324,-0.24246473949287406,-0.22289723712461337,-0.019567502368260686
2020-02-06,34.94,35.01,34.6,34.66,31053748,0.0,33.751999999999995,,56.40361247859678,-0.15196033875125892,-0.20870985744994247,0.056749518698683554
2020-02-07,34.32,34.655,34.245,34.61,25115615,0.0,34.10999999999999,,55.83053996298212,-0.0833091947086615,-0.18362972490168628,0.10032053019302478
2020-02-10,34.44,34.69,34.38,34.68,20000707,0.0,34.45399999999999,,56.49694026144782,-0.022989247727039697,-0.15150162946675697,0.12851238173971727
2020-02-11,34.85,35.04,34.76,34.775,27636963,0.0,34.68499999999999,,57.435518940213335,0.032110303301031706,-0.11477924291319924,0.14688954621423095
2020-02-12,35.08,35.45,34.785,34.92,31663682,0.0,34.729,,58.893300878996286,0.08648048939652142,-0.07452729645125511,0.16100778584777653
2020-02-13,34.76,35.03,34.55,34.91,23036253,0.0,34.778999999999996,,58.743875454631265,0.1272949601049902,-0.034162845140006046,0.16145780524499626
2020-02-14,34.88,34.96,34.7,34.85,20837176,0.0,34.827,,57.796341281318014,0.1530351299181234,0.0032767498716198447,0.14975838004650355
2020-02-18,34.77,34.83,34.01,34.275,31438676,0.0,34.745999999999995,,49.548112797291175,0.1255889936757839,0.02773919863245266,0.09784979504333124
2020-02-19,34.45,34.85,34.41,34.72,23756584,0.0,34.735,,54.91110072019252,0.1381529724753605,0.049821953401034236,0.08833101907432628
2020-02-20,34.46,35.08,34.46,34.85,37249917,0.0,34.72099999999999,,56.37018636755815,0.15679252313059067,0.07121606734694552,0.08557645578364514
2020-02-21,34.53,34.635,34.135,34.3601,38071730,0.0,34.61101999999999,,49.82652892018112,0.1305290084230748,0.08307865556217138,0.04745035286090342
2020-02-24,33.18,33.21,32.52,32.73,62374735,0.0,34.18701999999999,,35.188958672443135,-0.021571796643186758,0.06214856512109975,-0.08372036176428652
2020-02-25,32.69,32.76,30.84,31.1,74456724,0.0,33.552019999999985,,26.7322419658892,-0.27052175164789105,-0.004385498232698411,-0.26613625341519265
2020-02-26,31.39,31.6,30.56,30.615,68412320,0.0,32.73101999999999,,24.820845592835198,-0.5011746024162704,-0.10374331906941282,-0.3974312833468576
2020-02-27,29.55,30.3,28.91,29.13,101089953,0.0,31.58701999999999,,20.085361119774788,-0.7946356723639596,-0.2419217897283222,-0.5527138826356374
2020-02-28,28.0,28.75,27.7,28.5,139582562,0.0,30.414999999999985,,18.474973417410638,-1.0657560471393452,-0.40668864121052684,-0.6590674059288184
2020-03-02,28.35,29.38,27.44,29.38,128520447,0.0,29.744999999999987,,27.249317823059286,-1.1958274969247356,-0.5645164123533686,-0.631311084571367
2020-03-03,29.37,29.74,27.62,27.73,117004358,0.0,29.070999999999987,,22.384587417099155,-1.4157315957944903,-0.734759449041593,-0.6809721467528973
2020-03-04,28.25,28.42,27.395,28.38,93484575,0.0,28.623999999999985,,27.84918844384967,-1.5200355866947852,-0.8918146765722315,-0.6282209101225538
2020-03-05,27.24,27.35,26.4,26.78,91582375,0.0,28.153999999999986,,23.468969501758053,-1.7120682224520536,-1.0558653857481959,-0.6562028367038577
2020-03-06,25.47,26.21,25.1,25.71,100873816,0.0,27.595999999999986,,21.08102871595638,-1.9283665185872145,-1.2303656123159996,-0.6980009062712149
2020-03-09,22.23,23.49,21.51,21.72,123679882,0.0,26.063999999999986,,14.965894299605836,-2.394145907085278,-1.4631216712698554,-0.9310242358154226
2020-03-10,23.25,23.675,21.585,23.61,111628923,0.0,25.239999999999988,,25.926854195299967,-2.581019833605584,-1.6867013037370011,-0.894318529868583
2020-03-11,22.84,23.96,22.26,22.66,111936249,0.0,24.095999999999993,,24.235793599893498,-2.7738011739436494,-1.904121277778331,-0.8696798961653185
2020-03-12,20.59,22.87,20.15,20.505,122262480,0.0,22.84099999999999,,20.90486671404912,-3.065139247724826,-2.13632487176763,-0.9288143759571956
2020-03-13,22.19,24.25,21.48,24.15,109127291,0.0,22.52899999999999,,36.74146574980831,-2.967695980770195,-2.3025990935681433,-0.6650968872020515
2020-03-16,19.85,21.726999999999997,19.58,20.44,101675914,0.0,22.27299999999999,,30.129068657941517,-3.1534860595861396,-2.4727764867717426,-0.680709572814397
2020-03-17,21.06,22.685,20.03,21.98,102422824,0.0,21.94699999999999,,35.331725882224134,-3.140261921227278,-2.60627357366285,-0.5339883475644283
2020-03-18,20.27,20.97,19.7,20.78,114801972,0.0,21.570999999999987,,33.253867017117855,-3.1898411641515096,-2.722987091760582,-0.4668540723909276
2020-03-19,20.26,21.75,19.0,21.2,111301842,0.0,21.709999999999987,,34.701332577872805,-3.158829560583296,-2.810155585525125,-0.3486739750581713
