Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,65.84,67.15899999999999,65.84,66.75,1623029,0.0,,,,,,
2019-10-11,67.84,70.18,67.84,69.51,2456902,0.0,,,,,,
2019-10-14,68.96,68.96,68.05,68.71,1159635,0.0,,,,,,
2019-10-15,68.78,69.05,67.95,67.96,1754545,0.0,,,,,,
2019-10-16,67.73,69.04,67.5,68.41,1906798,0.0,68.26799999999999,,,,,
2019-10-17,68.9,70.09,68.67,69.88,1633340,0.0,68.89399999999998,,,,,
2019-10-18,69.48,70.96,69.24,70.54,2095244,0.0,69.1,,,,,
2019-10-21,71.13,72.08,71.06,71.48,1321432,0.0,69.654,,,,,
2019-10-22,71.7,72.755,71.29,72.41,1308586,0.0,70.544,,,,,
2019-10-23,72.4,72.75,71.85,72.09,1370815,0.0,71.28,,,,,
2019-10-24,72.61,72.96,70.8,72.12,1417099,0.0,71.728,,,,,
2019-10-25,71.85,73.94,71.48,73.17,1243366,0.0,72.25399999999999,,,,,
2019-10-28,74.29,75.49,74.04,74.37,1725205,0.0,72.832,,,,,
2019-10-29,74.13,74.76,73.81,73.92,1871206,0.0,73.13399999999999,,,,,
2019-10-30,73.83,73.92,71.2,72.7,1622830,0.0,73.256,,72.83192632386798,,,
2019-10-31,71.69,72.27,71.4,71.8,1253278,0.0,73.192,,67.78943898016371,,,
2019-11-01,72.4,73.495,72.12,72.95,2125797,0.0,73.148,,70.59125448139326,,,
2019-11-04,73.65,74.95,73.6,74.81,1307420,0.0,73.23599999999999,,74.46070994461249,,,
2019-11-05,75.0,76.0,74.545,74.84,2623352,0.0,73.41999999999999,,74.5189449009088,,,
2019-11-06,74.97,75.28,73.61,75.04,2213246,0.0,73.888,,74.92936971496445,,,
2019-11-07,75.97,76.885,75.8,76.02,1671256,0.0,74.732,,76.89333678219162,,,
2019-11-08,75.68,76.86,75.41,76.84,1643601,0.0,75.51,,78.4168828044346,,,
2019-11-11,76.5,76.95,75.65,76.26,2132462,0.0,75.8,,74.66676834981305,,,
2019-11-12,76.19,76.19,74.98,75.19,2012073,0.0,75.87,,68.18812374950603,,,
2019-11-13,74.73,75.42,74.19,75.02,1388861,0.0,75.866,,67.19061832474804,,,
2019-11-14,74.92,75.99,74.869,75.6,1639372,0.0,75.782,,68.86413928788062,2.092604521316275,,
2019-11-15,75.93,77.11,75.91,77.1,1991277,0.0,75.83399999999999,,72.73717823510387,2.127215879202751,,
2019-11-18,76.66,77.69,76.3,77.29,2372524,0.0,76.03999999999999,,73.19206301690352,2.145247958695549,,
2019-11-19,76.42,76.605,74.8,75.33,1867075,0.0,76.068,,61.74665692751028,1.9785751097660125,,
2019-11-20,74.92,75.34,73.8,74.15,1842300,0.0,75.894,,56.062687301876444,1.7313120502370083,,
2019-11-21,74.32,74.495,72.03,72.22,3112946,0.0,75.218,,48.24078091610894,1.3638972651332182,,
2019-11-22,72.29,72.8,71.89,72.63,2126602,0.0,74.324,,49.84178345178173,1.0932002424435439,,
2019-11-25,73.25,74.49,72.14,74.27,3746818,0.0,73.72,,55.739277102689,0.9994837689123983,,
2019-11-26,77.2,83.6299,77.04,81.53,12582490,0.0,74.96000000000001,,71.63747136286676,1.4938143521126506,1.669483460868823,-0.17566910875617237
2019-11-27,82.29,82.48,80.11,80.74,5517751,0.0,76.27799999999999,,68.74387174140557,1.8010669246813507,1.6958001536313285,0.10526677105002213
2019-11-29,80.27,81.44,79.51,80.64,2683314,0.0,77.96199999999999,,68.36742373804726,2.0132896875237094,1.7592980604098047,0.25399162711390466
2019-12-02,80.01,80.21,78.36,79.1927,3810658,0.0,79.27453999999999,,62.9910083489236,2.0411634796363956,1.815671144255123,0.22549233538127256
