Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,120.54,122.85,119.61,122.57,374861,0.0,,,,,,
2019-10-11,123.83,125.566,123.83,124.4,321824,0.0,,,,,,
2019-10-14,124.41,124.85,123.45,123.57,185289,0.0,,,,,,
2019-10-15,124.01,125.56,123.76,125.23,267020,0.0,,,,,,
2019-10-16,124.89,125.26,123.6,125.22,393923,0.0,124.19800000000001,,,,,
2019-10-17,125.48,126.49,125.04,125.41,279703,0.0,124.76599999999999,,,,,
2019-10-18,125.08,125.14,122.13,122.98,408801,0.0,124.482,,,,,
2019-10-21,123.38,123.81,121.99,123.66,295287,0.0,124.5,,,,,
2019-10-22,124.39,124.66,121.56,121.67,377700,0.0,123.78799999999998,,,,,
2019-10-23,121.65,123.43,121.51,123.1,411692,0.0,123.36399999999999,,,,,
2019-10-24,123.6,125.49,122.566,124.84,414520,0.0,123.25,,,,,
2019-10-25,124.55,125.18,123.38,123.53,353689,0.0,123.35999999999999,,,,,
2019-10-28,124.26,125.23,124.085,124.74,236730,0.0,123.576,,,,,
2019-10-29,124.63,126.09,124.06,124.59,374111,0.0,124.16000000000001,,,,,
2019-10-30,124.61,124.97,123.85,124.85,391522,0.0,124.51000000000002,,57.25190839694657,,,
2019-10-31,125.02,125.36,124.49,125.22,178859,0.0,124.58600000000001,,58.30867614775224,,,
2019-11-01,125.63,126.77,125.36,125.81,307021,0.0,125.042,,60.00647964897208,,,
2019-11-04,126.21,126.26,123.335,123.48,371825,0.0,124.79,,51.14800353736285,,,
2019-11-05,123.76,124.26,122.37,123.5,394455,0.0,124.572,,51.2145783097868,,,
2019-11-06,118.47,119.66,115.1487,116.79,1413823,0.0,122.96,,34.31727561129844,,,
2019-11-07,117.21,120.97,116.83,120.48,588046,0.0,122.01199999999999,,45.05351584845412,,,
2019-11-08,119.99,120.5,117.64,119.61,391637,0.0,120.77199999999998,,43.258175343480666,,,
2019-11-11,119.06,119.81,118.01,118.6,315948,0.0,119.79599999999998,,41.20532049645504,,,
2019-11-12,118.4,119.12,117.81,118.22,411049,0.0,118.73999999999998,,40.42796647638094,,,
2019-11-13,118.03,119.33,117.95,118.87,269179,0.0,119.15599999999999,,42.428685677289145,,,
2019-11-14,119.04,119.41,118.36,119.41,321695,0.0,118.94199999999998,,44.10809933198732,-2.1242196051122875,,
2019-11-15,119.84,119.84,118.715,119.77,301245,0.0,118.97399999999998,,45.25464727177939,-2.031609006210516,,
2019-11-18,120.2,121.41,119.8,120.56,333438,0.0,119.36599999999996,,47.78592724771867,-1.8728786622708213,,
2019-11-19,120.38,122.42,119.8,122.07,483108,0.0,120.13599999999997,,52.32357850774417,-1.6067180946568698,,
2019-11-20,121.81,123.48,121.35,122.47,377806,0.0,120.85599999999997,,53.47697653391161,-1.3479687257894426,,
2019-11-21,122.39,122.63,120.56,121.36,533331,0.0,121.24599999999998,,49.871399492593234,-1.2184304028786102,,
2019-11-22,121.59,121.59,119.75,121.21,347408,0.0,121.53399999999999,,49.38681234245514,-1.1150208290552683,,
2019-11-25,121.47,122.09,121.22,121.52,275518,0.0,121.72599999999997,,50.45820144657474,-0.9965657973810806,,
2019-11-26,121.32,123.59,121.3,123.39,504076,0.0,121.98999999999997,,56.44732127826882,-0.743228484275889,-1.4507377341811984,0.7075092499053095
2019-11-27,123.81,123.81,122.45,123.14,287511,0.0,122.12399999999995,,55.4816622978988,-0.556218014073508,-1.2718337901596606,0.7156157760861526
2019-11-29,122.89,124.28,122.39,123.62,206552,0.0,122.57599999999995,,57.00259028577697,-0.36507057429588485,-1.0904811469869056,0.7254105726910207
2019-12-02,123.56,123.57,121.1126,122.24,294223,0.0,122.78199999999995,,51.549795069524926,-0.3212363058171803,-0.9366321787529606,0.6153958729357802
2019-12-03,121.07,121.75,120.8199,121.46,307785,0.0,122.76999999999995,,48.71335977798012,-0.3454546275980448,-0.8183966685219775,0.47294204092393266
2019-12-04,121.27,122.5,121.24,121.84,340359,0.0,122.45999999999997,,50.15237080570142,-0.3301789010434675,-0.7207531150262755,0.390574213982808
2019-12-05,121.79,122.41,121.38,121.89,345933,0.0,122.20999999999997,,50.34977310243712,-0.3104594127053275,-0.6386943745620859,0.3282349618567584
2019-12-06,122.74,124.95,122.43,123.01,340405,0.0,122.08799999999997,,54.679268718752006,-0.20212694277995524,-0.5513808882056598,0.34925394542570454
