Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,120.04,123.03,119.76,122.73,2749356,0.0,,,,,,
2019-10-11,125.61,130.38,125.4,128.4,6110715,0.0,,,,,,
2019-10-14,126.81,128.56,126.01,128.38,2584687,0.0,,,,,,
2019-10-15,127.99,131.68,127.65,131.03,2961641,0.0,,,,,,
2019-10-16,131.0,132.81,130.11,130.19,2550185,0.0,128.14600000000002,,,,,
2019-10-17,130.97,132.86,130.18,132.09,3037517,0.0,130.018,,,,,
2019-10-18,130.15,132.03,129.99,130.67,3953936,0.0,130.472,,,,,
2019-10-21,131.95,133.45,131.5,132.25,3755362,0.0,131.246,,,,,
2019-10-22,132.59,134.26,130.94,133.69,4337777,0.0,131.77800000000002,,,,,
2019-10-23,134.23,135.99,130.7,135.35,9630676,0.0,132.81000000000003,,,,,
2019-10-24,135.09,135.29,132.3834,133.83,3615474,0.0,133.15800000000004,,,,,
2019-10-25,135.0,139.98,134.85,139.7,7898827,0.0,134.96400000000006,,,,,
2019-10-28,139.97,141.63,138.87,140.0702,5656168,0.0,136.52804000000006,,,,,
2019-10-29,139.38,141.45,138.7701,141.33,3839096,0.0,138.05604000000008,,,,,
2019-10-30,141.0,141.0,139.61,140.35,3552924,0.0,139.05604000000008,,82.41353936718167,,,
2019-10-31,136.83,137.83,136.57,137.81,2067589,0.0,139.85204000000004,,74.87786063255332,,,
2019-11-01,139.37,144.61,139.23,144.47,5390316,0.0,140.80604000000008,,80.03320201350085,,,
2019-11-04,145.35,147.0,145.02,146.92,4658478,0.0,142.17600000000007,,81.53440894294991,,,
2019-11-05,146.86,148.0,145.665,146.37,3156067,0.0,143.18400000000005,,80.07884520828345,,,
2019-11-06,146.47,146.47,144.66,145.45,2859411,0.0,144.20400000000006,,77.58384036093223,,,
2019-11-07,147.39,148.405,146.7508,147.06,3318573,0.0,146.0540000000001,,78.82708603529849,,,
2019-11-08,146.66,148.18,145.8,148.18,2483952,0.0,146.7960000000001,,79.67172871757853,,,
2019-11-11,146.74,148.15,146.61,147.98,1921786,0.0,147.0080000000001,,79.0651680490462,,,
2019-11-12,148.11,148.4699,146.02,146.41,2550949,0.0,147.0160000000001,,74.28414875538714,,,
2019-11-13,144.36,145.86,143.69,144.46,2819437,0.0,146.81800000000013,,68.72545717998887,,,
2019-11-14,144.21,145.34,143.21,143.46,2254598,0.0,146.09800000000013,,65.99800402461159,5.471540358738537,,
2019-11-15,144.56,145.88,144.51,145.33,2435136,0.0,145.52800000000016,,68.51439433635899,5.181879142031448,,
2019-11-18,144.24,144.78,143.02,143.6,2142978,0.0,144.65200000000016,,63.80951775749569,4.757878141568256,,
2019-11-19,144.35,144.76,142.76,143.17,1755094,0.0,144.00400000000016,,62.65779341870309,4.337160797711704,,
2019-11-20,142.45,142.7,140.1018,141.52,3060148,0.0,143.41600000000014,,58.308719787440836,3.82648868161084,,
2019-11-21,141.55,143.94,140.95,143.34,2625296,0.0,143.39200000000014,,61.48435741380581,3.527967921912335,,
2019-11-22,143.5685,144.46,143.03,143.88,1618159,0.0,143.10200000000015,,62.39949509866655,3.296956296257804,,
2019-11-25,144.75,146.57,143.8,146.42,2330898,0.0,143.6660000000001,,66.43883965169317,3.281013212952928,,
2019-11-26,146.0,146.65,145.49,146.035,1534283,0.0,144.23900000000012,,65.29385094593908,3.200419478592039,4.097922670152877,-0.8975031915608378
2019-11-27,145.02,145.72,143.7,145.68,1718955,0.0,145.07100000000014,,64.19526393579848,3.0724851342512807,3.892835162972558,-0.8203500287212773
2019-11-29,144.19,145.46,143.79,144.76,1121062,0.0,145.35500000000013,,61.31600841095336,2.863847284591145,3.6870375872962757,-0.8231903027051306
2019-12-02,145.02,146.04,142.84,143.02,2110848,0.0,145.18300000000013,,56.18347352248451,2.528944726770902,3.455419015191201,-0.926474288420299
2019-12-03,140.05,140.43,138.5604,140.07,3176168,0.0,143.91300000000012,,48.7351609940165,2.0024091646408237,3.1648170450811257,-1.162407880440302
2019-12-04,140.98,142.28,140.0,140.13,1974702,0.0,142.73200000000014,,48.88359163203195,1.5718481496996901,2.8462232660048388,-1.2743751163051487
2019-12-05,140.58,141.12,139.53,141.12,1602544,0.0,141.8200000000001,,51.38477145042392,1.2955755807321907,2.536093728950309,-1.2405181482181185
2019-12-06,142.91,143.42,142.17,142.68,1922958,0.0,141.40400000000014,,55.112023008300426,1.1888027636694858,2.2666355358941446,-1.0778327722246588
2019-12-09,142.97,143.28,142.37,142.82,1111324,0.0,141.36400000000012,,55.44218598411481,1.102769328493082,2.0338622944139324,-0.9310929659208504
2019-12-10,142.69,143.59,141.75,142.93,1458243,0.0,141.93600000000015,,55.717784586135224,1.0315719724034125,1.8334042300118285,-0.801832257608416
2019-12-11,143.77,144.62,143.29,143.99,1916440,0.0,142.70800000000014,,58.38871240732116,1.0485931666647161,1.6764420173424062,-0.62784885067769
2019-12-12,143.54,147.4,143.0,146.76,3223536,0.0,143.83600000000015,,64.42697738435699,1.270947741465875,1.5953431621671001,-0.3243954207012252
2019-12-13,146.8,148.3999,145.15,145.57,2634510,0.0,144.41400000000013,,60.373749367591856,1.3357446562933717,1.5434234609923545,-0.2076788046989828
2019-12-16,147.71,148.3,145.23,145.4,1799577,0.0,144.93000000000012,,59.79500757150421,1.357728055018157,1.5062843797975152,-0.1485563247793582
2019-12-17,145.5,146.99,145.46,146.36,2133876,0.0,145.61600000000013,,62.00971444362717,1.4360600277510116,1.4922395093882146,-0.05617948163720299
2019-12-18,146.5,147.3,145.6,147.2,1764304,0.0,146.25800000000012,,63.88438114790385,1.5480744220260192,1.5034064919157755,0.044667930110243725
2019-12-19,146.98,146.98,144.3,144.99,2668019,0.0,145.90400000000014,,56.04809897470795,1.4418968172896314,1.4911045569905468,-0.04920773970091541
2019-12-20,147.38,147.77,145.24,147.57,4609685,0.0,146.30400000000014,,61.920535390376706,1.548089328481467,1.5025015112887308,0.04558781719273619
2019-12-23,147.68,148.53,146.78,148.5,1643914,0.0,146.92400000000015,,63.798202996394295,1.6878345799453598,1.5395681250200566,0.14826645492530321
2019-12-24,148.7,148.8,147.29,147.5,889752,0.0,147.15200000000013,,60.352146930331884,1.6983149384433602,1.5713174877047174,0.12699745073864288
2019-12-26,147.9,148.23,146.99,148.22,1181592,0.0,147.35600000000014,,61.94594048332691,1.74460792657203,1.6059755754781802,0.13863235109384986
2019-12-27,148.64,148.9299,147.99,148.28,1055456,0.0,148.01400000000012,,62.082730023181185,1.7657821146891308,1.6379368833203702,0.12784523136876058
2019-12-30,148.42,148.47,147.01,147.55,1453686,0.0,148.01000000000013,,59.29024143196546,1.7040150869781314,1.6511525240519225,0.052862562926208945
2019-12-31,147.43,148.23,146.79,147.63,1462295,0.0,147.83600000000013,,59.505208325460735,1.642584907580897,1.6494390007577175,-0.006854093176820619
2020-01-02,149.0,150.55,147.977,150.54,2516690,0.0,148.44400000000013,,66.44594742563108,1.80787368545964,1.681125937698102,0.12674774776153797
2020-01-03,148.77,149.96,147.45,148.39,2420047,0.0,148.47800000000012,,58.471817648313895,1.7452609195759123,1.6939529340736643,0.05130798550224802
