Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,121.34,122.85,120.995,122.54,2084344,0.0,,,,,,
2019-10-11,123.97,125.41,123.24,124.42,1388575,0.0,,,,,,
2019-10-14,123.62,124.4,123.2,123.29,864411,0.0,,,,,,
2019-10-15,123.33,124.34,123.0,123.36,1600863,0.0,,,,,,
2019-10-16,123.37,124.925,123.01,123.66,1248692,0.0,123.454,,,,,
2019-10-17,123.92,124.75,122.78,123.96,1161783,0.0,123.73800000000001,,,,,
2019-10-18,124.43,125.0,122.7,123.89,1461287,0.0,123.63200000000002,,,,,
2019-10-21,124.3,125.215,123.93,124.06,495045,0.0,123.78600000000002,,,,,
2019-10-22,124.89,124.98,122.21,122.41,754635,0.0,123.596,,,,,
2019-10-23,122.1,123.26,121.75,123.07,573112,0.0,123.478,,,,,
2019-10-24,124.03,124.5116,122.94,124.44,617338,0.0,123.57399999999998,,,,,
2019-10-25,123.85,125.0575,123.54,124.84,626672,0.0,123.76399999999998,,,,,
2019-10-28,126.08,127.01,125.6538,125.99,703678,0.0,124.15,,,,,
2019-10-29,125.12,127.25,125.11,126.2,863553,0.0,124.90800000000002,,,,,
2019-10-30,126.15,127.51,124.91,127.39,927544,0.0,125.77200000000002,,72.98578199052133,,,
2019-10-31,131.5,132.35,127.42,127.92,1529760,0.0,126.46800000000003,,74.37227640589334,,,
2019-11-01,128.96,131.4,128.47,131.19,987614,0.0,127.73800000000003,,80.88940733951507,,,
2019-11-04,132.34,133.44,131.41,131.79,1103205,0.0,128.89800000000002,,81.80376505091877,,,
2019-11-05,131.99,136.31,131.59,135.81,1059973,0.0,130.82000000000002,,86.47345738278742,,,
2019-11-06,135.2,135.605,132.35,132.96,1111863,0.0,131.93400000000003,,72.30620065124627,,,
2019-11-07,132.81,134.04,132.41,132.9,841455,0.0,132.93000000000004,,72.03861711932446,,,
2019-11-08,132.48,134.1,132.0073,133.51,630198,0.0,133.39400000000006,,73.12743737472289,,,
2019-11-11,132.98,134.53,132.6,134.11,786967,0.0,133.85800000000006,,74.1919688763064,,,
2019-11-12,133.77,134.45,132.25,133.86,855200,0.0,133.46800000000007,,72.89619935216467,,,
2019-11-13,133.25,135.57,133.125,135.5,759300,0.0,133.97600000000006,,75.87307907918046,,,
2019-11-14,134.81,135.2528,132.5501,132.82,967773,0.0,133.96000000000006,,63.583164551203396,4.182848805973322,,
2019-11-15,134.19,136.63,133.4,136.55,901099,0.0,134.56800000000007,,70.69737096495636,4.2278586981948365,,
2019-11-18,136.1,137.9,135.71,137.64,504671,0.0,135.27400000000006,,72.3945271015363,4.301893699813462,,
2019-11-19,138.78,138.88,137.55,137.79,511307,0.0,136.06000000000006,,72.62946224475765,4.322839713049518,,
2019-11-20,137.35,138.79,136.7,137.72,436486,0.0,136.50400000000008,,72.32014541513576,4.28440323096325,,
2019-11-21,137.6,137.81,136.35,137.59,529596,0.0,137.45800000000008,,71.7093489754051,4.195093699631144,,
2019-11-22,137.79,137.84,136.18,136.45,540831,0.0,137.4380000000001,,66.41232348058669,3.986374338050382,,
2019-11-25,137.04,138.49,136.36,138.02,471300,0.0,137.5140000000001,,69.72872070517141,3.9026611705662617,,
2019-11-26,137.92,138.38,136.81,136.98,543243,0.0,137.35200000000012,,65.14038414178874,3.709636196946917,4.123734394798788,-0.41409819785187096
2019-11-27,137.25,137.25,133.98,136.45,654418,0.0,137.0980000000001,,62.86992482664003,3.473851545855439,3.9937578250101184,-0.5199062791546796
2019-11-29,136.04,136.88,134.84,135.09,381142,0.0,136.5980000000001,,57.346388628964,3.141041901315333,3.8232146402711615,-0.6821727389558285
2019-12-02,134.68,135.41,133.24,134.08,988028,0.0,136.1240000000001,,53.58146641862446,2.763928454438428,3.6113574031046154,-0.8474289486661872
