Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,17.37,17.56,17.23,17.5,3854274,0.0,,,,,,
2019-10-11,17.67,17.85,17.55,17.56,3826163,0.0,,,,,,
2019-10-14,17.56,17.6,17.28,17.57,4523654,0.0,,,,,,
2019-10-15,17.59,18.34,17.55,17.99,5753653,0.0,,,,,,
2019-10-16,17.88,18.16,17.82,17.86,3771925,0.0,17.696,,,,,
2019-10-17,17.95,18.03,17.68,17.9,3920931,0.0,17.776,,,,,
2019-10-18,17.92,18.2,17.915,17.96,3611389,0.0,17.856,,,,,
2019-10-21,17.89,18.3,17.65,18.24,5826006,0.0,17.99,,,,,
2019-10-22,18.23,18.81,18.22,18.52,5823297,0.0,18.095999999999997,,,,,
2019-10-23,18.48,18.765,16.699,18.51,6784865,0.0,18.226,,,,,
2019-10-24,18.6,18.61,18.04,18.45,6258208,0.0,18.336000000000002,,,,,
2019-10-25,18.51,19.34,18.33,18.805,8591398,0.0,18.505000000000003,,,,,
2019-10-28,18.48,19.01,18.11,18.12,6372281,0.0,18.481,,,,,
2019-10-29,18.17,19.13,18.08,18.955,6130370,0.0,18.568000000000005,,,,,
2019-10-30,19.11,19.11,18.455,18.49,5582574,0.0,18.564,,63.41463414634146,,,
2019-10-31,18.5,18.715,18.475,18.64,4229840,0.0,18.602,,64.94907130017977,,,
2019-11-01,18.63,18.73,18.39,18.44,5868917,0.0,18.529000000000003,,61.259799162452396,,,
2019-11-04,18.7,19.01,18.6,18.74,6885082,0.0,18.653,,64.51576016654025,,,
2019-11-05,18.72,18.85,18.055,18.1,10037185,0.0,18.482000000000003,,54.074493456698555,,,
2019-11-06,17.98,18.59,17.91,18.38,5852187,0.0,18.46,,57.32828836277448,,,
2019-11-07,18.5,18.58,18.16,18.35,5363091,0.0,18.402,,56.86343368300017,,,
2019-11-08,18.22,18.53,18.17,18.37,3946446,0.0,18.388,,57.11310363330515,,,
2019-11-11,18.01,18.15,17.7,17.74,5377686,0.0,18.188000000000002,,47.73973055175144,,,
2019-11-12,17.81,17.84,17.63,17.81,7781066,0.0,18.130000000000003,,48.74626316364319,,,
2019-11-13,17.76,18.0,17.74,17.9,4895663,0.0,18.034000000000002,,50.077578699134754,,,
2019-11-14,17.81,18.055,17.77,17.85,4511753,0.0,17.934000000000005,,49.311252493428725,-0.08083489541862932,,
2019-11-15,17.81,18.22,17.595,18.17,7611700,0.0,17.894000000000002,,54.14739436255739,-0.06941124944363963,,
2019-11-18,18.05,18.1,17.1,17.175,7052672,0.0,17.781000000000002,,41.03688316163871,-0.13904330744678361,,
2019-11-19,17.18,17.27,16.85,16.89,6970964,0.0,17.597,,38.184941390390655,-0.21474884226466884,,
2019-11-20,16.8,16.87,16.31,16.39,7493110,0.0,17.295000000000005,,33.753049747508086,-0.31150105510187487,,
2019-11-21,16.4,16.46,15.96,16.05,8835693,0.0,16.935000000000002,,31.10896055182515,-0.41087670840621726,,
2019-11-22,16.15,16.54,15.92,16.4,10540536,0.0,16.581000000000003,,36.6136478329109,-0.4561325426656708,,
2019-11-25,16.09,16.81,16.08,16.69,7309312,0.0,16.484,,40.83225937855108,-0.46325739808073507,,
2019-11-26,16.68,16.72,15.91,16.0,9232572,0.0,16.306000000000004,,34.88346250255766,-0.5186029982141278,-0.29604544411581635,-0.22255755409831146
2019-11-27,16.0,16.425,15.95,16.25,9514925,0.0,16.278000000000002,,38.38598428486928,-0.5361119100198977,-0.3440587372966326,-0.19205317272326505
2019-11-29,16.02,16.16,15.85,15.94,3116335,0.0,16.256000000000004,,35.813555541355754,-0.5684495257079547,-0.38893689497889705,-0.17951263072905765
2019-12-02,16.01,16.09,15.72,16.01,9897233,0.0,16.178000000000004,,36.842790747786275,-0.5817231616378216,-0.427494148310682,-0.15422901332713956
2019-12-03,16.0,16.0,15.61,15.71,12576343,0.0,15.982000000000005,,34.30401595212338,-0.6094250340998215,-0.4638803254685099,-0.14554470863131164
2019-12-04,15.7,16.13,15.62,16.1,6392070,0.0,16.002000000000002,,40.084192591126055,-0.5930726545860061,-0.4897187912920091,-0.10335386329399698
