Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,80.65,80.77,78.07,80.465,3109264,0.0,,,,,,
2019-10-10,80.64,81.74,80.4,81.05,1614239,0.0,,,,,,
2019-10-11,81.85,82.81,81.35,81.39,1489426,0.0,,,,,,
2019-10-14,81.39,82.06,81.32,81.69,1177839,0.0,,,,,,
2019-10-15,81.95,82.48,81.505,81.745,1585242,0.0,81.268,,,,,
2019-10-16,81.72,81.72,80.66,81.37,1624066,0.0,81.449,,,,,
2019-10-17,81.92,82.03,80.915,81.01,1836178,0.0,81.441,,,,,
2019-10-18,81.44,82.43,80.99,82.31,4069399,0.0,81.625,,,,,
2019-10-21,83.04,84.33,82.715,83.64,4009407,0.0,82.015,,,,,
2019-10-22,84.65,85.9,83.06,83.13,1265740,0.0,82.292,,,,,
2019-10-23,82.79,83.21,82.14,83.035,894169,0.0,82.625,,,,,
2019-10-24,83.49,84.72,83.21,84.62,1504655,0.0,83.34700000000001,,,,,
2019-10-25,84.7,85.1,83.76,83.94,1169166,0.0,83.673,,,,,
2019-10-28,84.24,84.64,83.91,84.0,681108,0.0,83.745,,,,,
2019-10-29,83.75,85.31,83.61,84.68,686860,0.0,84.055,,75.52998182919438,,,
2019-10-30,84.68,84.68,83.89,84.01,777414,0.0,84.25,,69.45884570889922,,,
2019-10-31,83.85,84.4,82.42,82.64,1032586,0.0,83.854,,59.01330398671558,,,
2019-11-01,83.26,83.9,82.42,82.91,1355746,0.0,83.648,,60.28104092602641,,,
2019-11-04,83.43,84.19,81.985,82.125,1198516,0.0,83.273,,54.95858188334045,,,
2019-11-05,82.14,82.68,81.56,82.25,682913,0.0,82.78699999999999,,55.63038541254098,,,
2019-11-06,82.48,82.48,80.71,81.85,992116,0.0,82.35499999999999,,52.91076121464746,,,
2019-11-07,81.95,82.24,81.3,81.65,795296,0.0,82.157,,51.55366371636832,,,
2019-11-08,81.6,82.14,81.32,81.45,689259,0.0,81.86499999999998,,50.16793583287375,,,
2019-11-11,81.21,83.0,81.1,82.99,1001359,0.0,82.03799999999998,,59.25063065056205,,,
2019-11-12,83.01,83.37,82.1,82.31,1160911,0.0,82.04999999999998,,54.524853606639006,,,
2019-11-13,81.9,83.9,81.66,83.59,1198779,0.0,82.39799999999998,,60.854103399017156,0.06220542584802047,,
2019-11-14,83.43,85.86,83.43,85.82,992430,0.0,83.23199999999997,,68.95967973970583,0.31487073179907554,,
2019-11-15,86.5,86.55,85.52,85.99,1196830,0.0,84.13999999999997,,69.47851802403956,0.522800863449632,,
2019-11-18,86.08,86.73,85.7156,86.0,1358312,0.0,84.74199999999998,,69.51080204221563,0.6805489624527752,,
2019-11-19,86.24,86.79,85.85,86.39,1617493,0.0,85.55799999999996,,70.80768216908099,0.8274963452905411,,
2019-11-20,85.95,86.555,83.5441,84.86,3008349,0.0,85.81199999999997,,60.02140660526893,0.8111446213566893,,
2019-11-21,89.74,91.73,86.87,87.85,4740197,0.0,86.21799999999998,,69.72681286572717,1.027608146806159,,
2019-11-22,87.69,89.36,86.1,89.29,2333183,0.0,86.87799999999997,,73.11226318560766,1.3003632377217968,,
2019-11-25,90.02,92.41,89.58,89.94,2654211,0.0,87.66599999999998,,74.49856704451129,1.5510931438497408,0.7886812753971589,0.7624118684525819
2019-11-26,89.95,90.95,89.76,90.75,1665162,0.0,88.53799999999998,,76.14889065399701,1.7944730629659489,0.9898396329109169,0.804633430055032
2019-11-27,91.15,91.22,89.76,90.19,1322232,0.0,89.60399999999997,,72.64848188620974,1.9200331356300069,1.175878333454735,0.744154802175272
2019-11-29,90.05,90.19,88.845,89.0,815686,0.0,89.83399999999997,,65.73357909133142,1.9015969175106306,1.3210220502659142,0.5805748672447164
2019-12-02,88.61,88.78,87.51,87.95,1590807,0.0,89.56599999999997,,60.281402600223146,1.7817212831719758,1.4131618968471265,0.3685593863248493
2019-12-03,87.55,87.89,86.61,87.32,997188,0.0,89.04199999999997,,57.21500477303948,1.6172407003348752,1.4539776575446763,0.16326304279019888
2019-12-04,87.81,88.97,86.92,87.08,1781587,0.0,88.30799999999996,,56.04539639485757,1.450798754233631,1.4533418768824673,-0.0025431226488363823
2019-12-05,87.05,88.36,86.66,88.25,1648762,0.0,87.91999999999997,,60.30550008963368,1.3971955343054958,1.442112608367073,-0.04491707406157719
2019-12-06,88.97,89.51,88.34,88.57,781483,0.0,87.83399999999997,,61.40721868818626,1.3648033188711253,1.4266507504678834,-0.061847431596758096
2019-12-09,88.53,88.66,87.26,88.19,1628941,0.0,87.88199999999998,,59.30232405190253,1.293558098016618,1.4000322199776305,-0.10647412196101258
2019-12-10,88.09,88.71,87.86,88.38,1045607,0.0,88.094,,60.039875724106075,1.2381544851190256,1.3676566730059094,-0.12950218788688383
2019-12-11,88.59,88.8,88.02,88.27,1043797,0.0,88.33200000000001,,59.3690545796597,1.1718621446993183,1.3284977673445912,-0.15663562264527298
2019-12-12,88.26,89.29,87.8661,88.45,931489,0.0,88.372,,60.15360435923457,1.1209281213539697,1.286983838146467,-0.16605571679249742
2019-12-13,88.25,88.98,87.93,88.63,899996,0.0,88.384,,60.96531078907579,1.0826074122218188,1.2461085529615374,-0.16350114073971866
2019-12-16,89.62,90.49,89.5312,90.19,1301377,0.0,88.784,,67.20127581393622,1.1646911026485185,1.2298250628989336,-0.06513396025041507
2019-12-17,90.47,91.5935,89.63,90.4,1219438,0.0,89.18800000000002,,67.94368931840627,1.2324809899896962,1.2303562483170862,0.002124741672610009
2019-12-18,90.1,90.2946,89.25,89.9,1227102,0.0,89.51400000000001,,64.21658529853661,1.2316613177927138,1.2306172622122118,0.0010440555805020235
2019-12-19,89.6,89.94,88.9,89.39,1289763,0.0,89.70200000000001,,60.56700168146204,1.1762993373786372,1.2197536772454969,-0.04345433986685965
2019-12-20,89.39,90.82,89.1,90.75,2268734,0.0,90.126,,66.09987608013503,1.2280094742350798,1.2214048366434136,0.006604637591666185
2019-12-23,90.72,91.1912,89.53,89.86,938246,0.0,90.06,,60.151813636972676,1.183531553262398,1.2138301799672107,-0.030298626704812648
2019-12-24,90.05,91.1,89.75,90.94,466562,0.0,90.168,,64.34473722202918,1.2213504863662763,1.2153342412470238,0.006016245119252472
2019-12-26,90.88,91.03,90.41,91.01,546672,0.0,90.39000000000001,,64.60470106012261,1.2426462261329334,1.220796638224206,0.021849587908727486
2019-12-27,91.24,91.44,90.4819,90.84,741513,0.0,90.68000000000002,,63.39581477286307,1.2316084584158347,1.2229590022625316,0.008649456153303037
2019-12-30,91.01,91.285,89.5,90.85,843541,0.0,90.70000000000002,,63.43915321918339,1.2097229314760511,1.2203117881052357,-0.010588856629184518
2019-12-31,90.74,91.34,90.31,90.92,777955,0.0,90.912,,63.76258487788722,1.1843741803810701,1.2131242665604025,-0.02875008617933239
2020-01-02,91.4,93.57,91.36,93.48,2307663,0.0,91.42000000000002,,73.12585491011825,1.3552334303165452,1.241546099311631,0.11368733100491424
2020-01-03,92.62,92.78,91.12,92.62,985114,0.0,91.742,,66.87450133476929,1.4050492708037012,1.2742467336100451,0.1308025371936561
2020-01-06,92.26,93.63,92.01,93.5,1362553,0.0,92.274,,69.72641193972099,1.4982662481562699,1.3190506365192902,0.17921561163697963
