Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,32.49,33.33,32.48,33.15,2679373,0.0,,,,,,
2019-10-11,33.4,34.56,33.4,34.05,2977402,0.0,,,,,,
2019-10-14,33.97,33.97,33.25,33.64,1354386,0.0,,,,,,
2019-10-15,33.75,34.5,33.67,34.37,1666716,0.0,,,,,,
2019-10-16,34.16,34.84,34.0,34.77,2672152,0.0,33.995999999999995,,,,,
2019-10-17,34.83,34.95,34.265,34.88,1763610,0.0,34.342,,,,,
2019-10-18,34.86,35.19,34.73,34.78,1964498,0.0,34.488,,,,,
2019-10-21,34.95,35.2,34.404,34.62,883404,0.0,34.684000000000005,,,,,
2019-10-22,34.71,35.42,34.55,35.13,1031235,0.0,34.836,,,,,
2019-10-23,35.17,35.59,34.54,34.94,925507,0.0,34.87,,,,,
2019-10-24,34.94,35.0655,33.685,34.15,1673094,0.0,34.724000000000004,,,,,
2019-10-25,34.15,35.26,34.15,34.76,1058883,0.0,34.72,,,,,
2019-10-28,34.98,35.27,34.65,34.93,1209902,0.0,34.782,,,,,
2019-10-29,34.79,34.85,34.3,34.33,924139,0.0,34.622,,,,,
2019-10-30,34.28,34.5,33.965,34.36,1218112,0.0,34.50600000000001,,60.595446584938685,,,
2019-10-31,34.2,34.51,33.435,34.39,1645454,0.0,34.554,,60.81714668452778,,,
2019-11-01,34.68,35.1233,34.23,34.86,1144551,0.0,34.574,,64.21412236370307,,,
2019-11-04,34.86,35.19,34.73,34.99,1227487,0.0,34.586,,65.11499894496379,,,
2019-11-05,35.11,35.48,34.49,34.64,1294061,0.0,34.648,,60.6855633809408,,,
2019-11-06,34.68,35.0,33.2,33.53,2283746,0.0,34.482000000000006,,49.24453614975268,,,
2019-11-07,35.99,36.0,33.67,34.69,5074259,0.0,34.54200000000001,,58.12868667182782,,,
2019-11-08,34.55,35.49,34.0,35.31,1989541,0.0,34.632000000000005,,61.961156906415994,,,
2019-11-11,35.06,36.32,34.9,35.97,2393856,0.0,34.828,,65.57352270992492,,,
2019-11-12,36.05,36.54,35.83,36.02,2403244,0.0,35.104000000000006,,65.8381995409793,,,
2019-11-13,35.6,35.952,35.13,35.66,1393307,0.0,35.53000000000001,,62.13419752628292,,,
2019-11-14,35.63,36.04,35.3301,35.66,822615,0.0,35.724000000000004,,62.13419752628291,0.4711881628709236,,
2019-11-15,35.66,35.95,35.47,35.95,1184686,0.0,35.85200000000001,,64.02505283435535,0.4972468763630573,,
2019-11-18,35.94,36.84,35.66,36.79,1531055,0.0,36.016000000000005,,68.87354564627468,0.5790051632715674,,
2019-11-19,36.96,36.98,35.585,35.84,1243820,0.0,35.980000000000004,,59.16219044678144,0.5606789759403767,,
2019-11-20,35.56,35.9,35.07,35.46,1259585,0.0,35.94000000000001,,55.77447030014469,0.5096179576502351,,
2019-11-21,36.45,36.81,35.66,35.92,3331989,0.0,35.99200000000001,,58.84652347809487,0.5005004309824557,,
2019-11-22,36.1,36.58,35.67,36.31,2738059,0.0,36.06400000000001,,61.30093625342414,0.5187644721289928,,
2019-11-25,36.3,36.3883,35.15,35.49,1952227,0.0,35.804000000000016,,54.0075460826252,0.46174895482637623,,
2019-11-26,35.34,35.67,34.64,34.87,1468442,0.0,35.610000000000014,,49.2375172286238,0.36235789192744505,0.4956787651068255,-0.13332087317938046
2019-11-27,34.96,35.08,34.35,34.75,1622177,0.0,35.46800000000001,,48.34746697845564,0.27078531681371487,0.45070007544820345,-0.17991475863448858
2019-11-29,34.65,34.65,33.87,34.16,1566924,0.0,35.11600000000001,,44.12418102956282,0.1488890221597856,0.3903378647905199,-0.2414488426307343
2019-12-02,34.19,34.78,33.55,33.66,2489085,0.0,34.586000000000006,,40.86623374539334,0.011803446323696676,0.31463098109715526,-0.3028275347734586
2019-12-03,33.3,33.54,33.11,33.38,2311980,0.0,34.164,,39.1240885839585,-0.11807047715272034,0.22809068944718017,-0.3461611665999005
2019-12-04,33.47,33.67,33.43,33.48,1793810,0.0,33.886,,40.10612765983616,-0.21050081062109882,0.14037238943352437,-0.3508732000546232
2019-12-05,33.49,33.65,33.39,33.6,2029578,0.0,33.656,,41.32925265763703,-0.27094621934281093,0.058108667678257314,-0.3290548870210682
2019-12-06,33.65,33.7222,33.56,33.58,2511975,0.0,33.540000000000006,,41.17831747651942,-0.31681146869067334,-0.016875359595528813,-0.2999361090951445
2019-12-09,33.59,33.97,33.4551,33.52,2294770,0.0,33.51200000000001,,40.69812727726517,-0.3539217185365473,-0.08428463138373252,-0.26963708715281476
2019-12-10,33.5,33.78,33.11,33.55,1520111,0.0,33.54600000000001,,41.06816783361767,-0.3765702422786177,-0.14274175356270957,-0.2338284887159081
2019-12-11,33.66,34.2175,33.56,33.89,2412145,0.0,33.628,,45.23874940804416,-0.36290090626710025,-0.18677358410358771,-0.17612732216351254
2019-12-12,33.92,34.47,33.85,34.22,2133503,0.0,33.752,,49.01053371484389,-0.3217309033376452,-0.21376504795039925,-0.10796585538724596
2019-12-13,34.2,34.36,33.955,34.13,1104274,0.0,33.862,,48.03873064245667,-0.2929882411754008,-0.22960968659539957,-0.06337855458000122
2019-12-16,34.51,34.71,34.39,34.46,1235584,0.0,34.05,,51.811726402191674,-0.24080537775853372,-0.23184882482802643,-0.008956552930507289
2019-12-17,34.53,34.615,34.27,34.46,1224663,0.0,34.232000000000006,,51.811726402191674,-0.19717714712984247,-0.22491448928838967,0.0277373421585472
2019-12-18,34.77,36.31,34.71,35.61,3577272,0.0,34.57600000000001,,62.74488680439151,-0.06901056020274154,-0.19373370347126007,0.12472314326851852
2019-12-19,35.47,35.835,34.8386,35.8,2075533,0.0,34.89200000000001,,64.19047104344864,0.047347997192595415,-0.145517363338489,0.1928653605310844
2019-12-20,35.94,36.34,35.6,36.04,2664663,0.0,35.274000000000015,,65.98586308950985,0.15711782994172552,-0.0849903246824461,0.24210815462417162
2019-12-23,36.05,36.4,35.68,35.75,909821,0.0,35.53200000000001,,61.94443876922337,0.21819541594242509,-0.02435317655747187,0.24254859249989696
2019-12-24,35.87,35.96,35.7,35.82,360220,0.0,35.80400000000001,,62.54082347897438,0.269145713624539,0.0343466014789303,0.23479911214560867
2019-12-26,35.89,36.27,35.89,36.14,881045,0.0,35.910000000000004,,65.22385875080695,0.3315239159267733,0.09378206436849891,0.23774185155827443
2019-12-27,36.33,36.5,35.9,35.96,901442,0.0,35.94200000000001,,62.5115708973502,0.3622587021643966,0.14747739192767845,0.21478131023671815
2019-12-30,36.07,36.07,35.295,35.385,956112,0.0,35.81100000000001,,54.688057811088775,0.3363414127247637,0.18525019608709553,0.15109121663766817
2019-12-31,35.29,35.59,35.03,35.46,1435213,0.0,35.75300000000001,,55.47088086457301,0.3181857994860309,0.2118373167668826,0.10634848271914826
2020-01-02,35.87,36.13,35.295,35.735,1403687,0.0,35.73600000000001,,58.31462645515521,0.32227258911965606,0.2339243712374373,0.08834821788221875
2020-01-03,35.28,35.95,35.28,35.86,1089989,0.0,35.68000000000002,,59.5782670451471,0.33177337770303694,0.2534941725305573,0.07827920517247966
2020-01-06,35.57,35.78,35.43,35.64,1278305,0.0,35.616000000000014,,56.34111809756509,0.31788626473898773,0.26637259097224336,0.05151367376674437
2020-01-07,35.36,36.08,35.36,35.54,1562804,0.0,35.64700000000001,,54.8814228935955,0.29540620455644984,0.27217931368908466,0.02322689086736518
2020-01-08,35.44,35.63,34.97,35.48,1518725,0.0,35.65100000000001,,53.97779875596143,0.2696408445324465,0.27167161985775706,-0.002030775325310541
2020-01-09,35.68,35.7,35.27,35.58,1139306,0.0,35.620000000000005,,55.298835006942326,0.2543586867411989,0.26820903323444545,-0.013850346493246568
2020-01-10,35.68,35.745,35.205,35.37,1188628,0.0,35.522000000000006,,51.927887558830584,0.22273467494758847,0.25911416157707406,-0.03637948662948559
2020-01-13,35.46,36.118,35.26,36.06,856698,0.0,35.60600000000001,,60.457262585231575,0.25046247567968294,0.2573838243975959,-0.006921348717912945
2020-01-14,35.89,36.85,35.815,36.59,1588439,0.0,35.81600000000001,,65.51814337355529,0.31161146513441196,0.2682293525449591,0.04338211258945285
2020-01-15,36.66,36.72,36.33,36.66,1321180,0.0,36.05200000000001,,66.13462776307387,0.3615531353324499,0.2868941091024573,0.07465902622999265
2020-01-16,36.68,37.0355,36.21,36.82,1132221,0.0,36.30000000000001,,67.56217281789452,0.40932449363197065,0.3113801860083599,0.09794430762361073
2020-01-17,36.75,36.9,36.22,36.79,3123008,0.0,36.58400000000001,,66.99195266468536,0.43969436701613773,0.3370430222099155,0.10265134480622223
2020-01-21,36.75,36.94,36.33,36.77,4438334,0.0,36.72600000000001,,66.58846396560206,0.4568822237471295,0.3610108625173583,0.09587136122977119
2020-01-22,36.85,36.87,36.33,36.76,3793718,0.0,36.760000000000005,,66.37320748668874,0.4643441374395394,0.3816775175017945,0.08266661993774488
2020-01-23,36.6,36.94,36.26,36.9,3328170,0.0,36.80800000000001,,67.93595310249697,0.4760667862020824,0.40055537124185214,0.07551141496023028
2020-01-24,36.9,36.9,36.24,36.76,7121500,0.0,36.79600000000001,,64.69794440622283,0.46865784393681764,0.4141758657808453,0.05448197815597233
2020-01-27,36.27,36.84,36.21,36.76,3277944,0.0,36.790000000000006,,64.69794440622282,0.45751228696047974,0.4228431500167722,0.034669136943707546
2020-01-28,36.84,37.3517,36.63,36.76,1976878,0.0,36.788000000000004,,64.69794440622282,0.4435661977401466,0.42698775956144713,0.016578438178699473
2020-01-29,36.75,37.15,36.35,36.76,2224324,0.0,36.788000000000004,,64.69794440622282,0.42758488911749737,0.4271071854726572,0.00047770364484017724
2020-01-30,36.64,37.16,36.35,37.1,1706751,0.0,36.828,,69.45376669032026,0.43731366567676133,0.42914848151347806,0.008165184163283268
2020-01-31,37.03,37.08,36.61,36.76,1784248,0.0,36.828,,60.654024852905245,0.4128297878735978,0.42588474278550204,-0.013054954911904226
2020-02-03,37.12,37.42,36.67,36.75,1652168,0.0,36.82600000000001,,60.411587161633975,0.38814492876429796,0.41833677998126123,-0.030191851216963272
2020-02-04,37.03,37.16,36.66,36.78,1876053,0.0,36.830000000000005,,60.916297443570045,0.3667747977953155,0.4080243835440721,-0.04124958574875659
2020-02-05,37.12,38.25,37.05,37.93,2576363,0.0,37.06400000000001,,74.39321122122607,0.4375899396538472,0.41393749476602715,0.023652444887820034
2020-02-06,38.13,38.47,36.81,36.9,1842357,0.0,37.024000000000015,,55.82572244261362,0.4059198662990937,0.41233396907264047,-0.006414102773546759
2020-02-07,36.79,36.9399,36.52,36.78,2345201,0.0,37.02800000000001,,54.1306365730055,0.3669086137698869,0.40324889801208974,-0.036340284242202814
2020-02-10,36.75,36.9,36.36,36.84,2213042,0.0,37.046000000000014,,54.86852645076245,0.33694927217269566,0.38998897284421097,-0.05303970067151531
2020-02-11,41.39,41.5,38.1741,39.48,14128071,0.0,37.58600000000001,,74.39008114897005,0.5202352663951544,0.4160382315543997,0.10419703484075471
2020-02-12,40.07,42.01,39.6,40.11,8790886,0.0,38.02200000000001,,76.95212779030115,0.7081632075506903,0.4744632267536578,0.23369998079703247
2020-02-13,39.98,40.55,39.83,40.18,4153927,0.0,38.67800000000001,,77.22476421946244,0.8529140080850794,0.5501533830199421,0.30276062506513735
2020-02-14,40.09,40.26,39.69,39.96,2957192,0.0,39.314000000000014,,74.25193377103844,0.9390530796367003,0.6279333223432937,0.3111197572934066
2020-02-18,39.89,41.56,39.82,41.25,4497230,0.0,40.19600000000001,,79.28702872634699,1.0987454795174614,0.7220957537781272,0.3766497257393342
2020-02-19,42.0,42.62,40.89,41.26,4201707,0.0,40.552000000000014,,79.32078791558499,1.212137012420996,0.820104005506701,0.392033006914295
2020-02-20,41.76,41.85,40.83,41.0,2682433,0.0,40.73000000000002,,75.85889104518087,1.2664222645542935,0.9093676573162195,0.35705460723807403
2020-02-21,40.82,40.88,40.43,40.74,2217311,0.0,40.84200000000002,,72.45346876971954,1.2737805417008374,0.9822502341931432,0.29153030750769426
2020-02-24,39.84,39.98,38.32,38.34,3430905,0.0,40.518000000000015,,50.09715760380243,1.0735765646310327,1.0005155002807211,0.07306106435031157
2020-02-25,38.57,38.975,37.12,37.64,2969274,0.0,39.796000000000014,,45.67075757063642,0.8486466502358141,0.9701417302717398,-0.12149508003592568
2020-02-26,37.87,38.48,36.275,36.34,2114443,0.0,38.81200000000002,,38.812159165643884,0.559044618726908,0.8879223079627735,-0.32887768923586547
2020-02-27,35.78,35.78,33.48,33.48,5816967,0.0,37.308000000000014,,28.626783074356112,0.0976294132002451,0.7298637290102679,-0.6322343158100228
2020-02-28,32.47,33.71,31.685,33.55,6689672,0.0,35.87000000000002,,29.117089402602033,-0.25940676677876695,0.5320096298524609,-0.7914163966312279
2020-03-02,33.42,34.33,32.42,34.33,2955838,0.0,35.06800000000001,,34.515340097147515,-0.4739575429243885,0.33081619529709105,-0.8047737382214796
2020-03-03,34.28,35.41,32.7,32.83,3179882,0.0,34.106000000000016,,29.813145048697947,-0.7563097744581384,0.11339100134604518,-0.8697007758041836
2020-03-04,33.14,33.92,32.56,33.86,3291422,0.0,33.61000000000002,,36.23689448439341,-0.886741753301294,-0.08663554958342265,-0.8001062037178713
2020-03-05,32.87,33.15,31.17,31.43,5874920,0.0,33.200000000000024,,29.400319359484286,-1.1726728848359471,-0.30384301663392754,-0.8688298682020196
2020-03-06,30.8,31.0,28.51,29.21,5805915,0.0,32.33200000000003,,24.797473440226057,-1.5604232256698154,-0.5551590584411051,-1.0052641672287104
2020-03-09,26.98,27.16,24.88,24.92,5786422,0.0,30.450000000000035,,18.703651161910898,-2.188655849107519,-0.8818584165743879,-1.3067974325331313
2020-03-10,25.88,26.47,24.39,26.33,6286166,0.0,29.150000000000034,,25.20910479440795,-2.5434403164834123,-1.2141747965561929,-1.3292655199272194
