Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,248.43,256.12,247.5,254.81,939569,0.0,,,,,,
2019-10-11,256.12,259.1,252.5,257.76,839138,0.0,,,,,,
2019-10-14,257.78,257.99,251.16,252.23,504348,0.0,,,,,,
2019-10-15,253.22,257.23,251.8,255.72,635872,0.0,,,,,,
2019-10-16,254.89,257.61,253.08,255.96,490233,0.0,255.296,,,,,
2019-10-17,256.12,259.96,255.78,256.45,415397,0.0,255.62400000000002,,,,,
2019-10-18,257.45,258.4,254.23,255.92,542330,0.0,255.25600000000003,,,,,
2019-10-21,256.61,259.84,255.67,257.38,403433,0.0,256.28600000000006,,,,,
2019-10-22,257.27,259.4674,255.38,258.87,309944,0.0,256.91600000000005,,,,,
2019-10-23,258.74,259.62,255.46,256.135,585462,0.0,256.951,,,,,
2019-10-24,256.65,264.1,255.77,263.51,798118,0.0,258.363,,,,,
2019-10-25,263.03,276.57,263.03,271.66,1375796,0.0,261.511,,,,,
2019-10-28,272.36,274.2,268.73,269.11,557573,0.0,263.85699999999997,,,,,
2019-10-29,267.45,267.67,262.258,263.19,1107017,0.0,264.721,,,,,
2019-10-30,263.32,271.99,263.32,270.91,635683,0.0,267.67600000000004,,65.89966423069325,,,
2019-10-31,271.67,271.845,268.09,271.57,430194,0.0,269.288,,66.3717543412792,,,
2019-11-01,272.93,274.75,268.48,269.32,499753,0.0,268.82,,63.16148236540574,,,
2019-11-04,268.06,270.72,265.01,269.23,764529,0.0,268.84399999999994,,63.030156101887236,,,
2019-11-05,266.98,276.75,265.51,276.12,705540,0.0,271.42999999999995,,68.44013750276616,,,
2019-11-06,276.83,278.96,273.33,277.78,495977,0.0,272.8039999999999,,69.59458103971598,,,
2019-11-07,279.16,283.47,277.62,282.74,643774,0.0,275.0379999999999,,72.7965680364456,,,
2019-11-08,282.68,287.18,278.66,280.75,625815,0.0,277.32399999999996,,69.62838002528086,,,
2019-11-11,279.76,282.92,278.35,280.73,624594,0.0,279.6239999999999,,69.59559742405162,,,
2019-11-12,281.43,281.73,276.43,277.83,495368,0.0,279.9659999999999,,64.82930001664965,,,
2019-11-13,276.99,280.38,276.01,279.4,388221,0.0,280.2899999999999,,66.17970221350274,,,
2019-11-14,278.69,281.7,276.815,278.72,438656,0.0,279.48599999999993,,65.01532998454218,8.490494629593854,,
2019-11-15,280.04,282.35,277.12,281.38,591738,0.0,279.6119999999999,,67.42940173112294,8.325849170471542,,
2019-11-18,281.22,285.57,280.215,284.61,646710,0.0,280.3879999999999,,70.12517481688695,8.359635786025649,,
2019-11-19,284.62,288.305,283.65,285.68,458565,0.0,281.95799999999997,,70.98199768084305,8.376196401789969,,
2019-11-20,286.49,289.81,285.76,288.1,545449,0.0,283.698,,72.87671421882362,8.486764446599182,,
2019-11-21,288.24,290.76,283.06,284.13,994419,0.0,284.78,,65.33947655115199,8.159981411089575,,
2019-11-22,284.38,287.35,283.214,285.69,352539,0.0,285.642,,66.7928390455987,7.935408019609497,,
2019-11-25,288.8,293.09,287.9671,293.06,474617,0.0,287.332,,72.63154590305885,8.256948433468608,,
2019-11-26,292.96,296.25,287.56,289.08,980454,0.0,288.01199999999994,,65.89358723250419,8.097278405199063,8.276506300427437,-0.17922789522837412
2019-11-27,290.4,295.89,288.54,295.29,517657,0.0,289.44999999999993,,70.49317350680423,8.37528874310533,8.296262788963016,0.07902595414231328
2019-11-29,295.42,297.1813,293.8,294.38,311311,0.0,291.4999999999999,,69.02418469995013,8.425065631856853,8.322023357541784,0.10304227431506874
2019-12-02,296.26,298.98,293.14,294.05,871815,0.0,293.1719999999999,,68.46698629160107,8.341727688492881,8.325964223732004,0.015763464760876644
2019-12-03,290.0,292.315,283.7,284.3,875751,0.0,291.4199999999999,,54.47495363445249,7.403594226444284,8.141490224274461,-0.7378959978301776
2019-12-04,283.85,288.9,282.66,286.03,983110,0.0,290.8099999999999,,56.185912392728284,6.722223631090515,7.857636905637672,-1.1354132745471572
2019-12-05,287.88,288.88,285.6,286.95,443238,0.0,289.14199999999994,,57.10908074211821,6.185170046342307,7.523143533778599,-1.337973487436292
2019-12-06,288.58,289.08,286.41,286.64,358533,0.0,287.5939999999999,,56.67574657459062,5.669185955199453,7.15235201806277,-1.4831660628633179
2019-12-09,286.61,288.64,285.16,286.32,653767,0.0,286.0479999999999,,56.20167924822829,5.174791741851664,6.75683996282055,-1.5820482209688862
2019-12-10,287.05,287.8,283.4,285.35,788724,0.0,286.25799999999987,,54.70785702238861,4.651094945162072,6.335690959288854,-1.6845960141267824
2019-12-11,285.26,294.4,285.26,293.81,1264554,0.0,287.81399999999985,,63.756160119332066,4.862659050944671,6.041084577620018,-1.1784255266753467
