Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,34.04,34.115,33.45,33.53,1176350,0.0,,,,,,
2019-10-10,33.46,33.58,33.29,33.32,2053594,0.0,,,,,,
2019-10-11,33.45,33.68,33.295,33.54,2873391,0.0,,,,,,
2019-10-14,33.55,33.55,33.18,33.35,1397442,0.0,,,,,,
2019-10-15,33.33,33.53,33.2,33.51,1656828,0.0,33.449999999999996,,,,,
2019-10-16,33.43,33.54,33.18,33.46,2322411,0.0,33.43599999999999,,,,,
2019-10-17,33.46,33.95,33.41,33.94,2110933,0.0,33.559999999999995,,,,,
2019-10-18,33.96,34.04,33.72,33.96,1558151,0.0,33.644,,,,,
2019-10-21,33.95,34.31,33.9,34.29,764189,0.0,33.832,,,,,
2019-10-22,34.38,34.38,33.9,34.05,1064838,0.0,33.94,,,,,
2019-10-23,34.05,34.24,33.8628,34.19,1490199,0.0,34.086,,,,,
2019-10-24,34.27,34.49,34.1,34.47,1955841,0.0,34.19199999999999,,,,,
2019-10-25,34.52,34.605,34.31,34.565,1857369,0.0,34.312999999999995,,,,,
2019-10-28,34.69,35.43,34.69,35.25,5883460,0.0,34.504999999999995,,,,,
2019-10-29,35.2,35.72,35.075,35.14,2684548,0.0,34.72299999999999,,75.07788161993773,,,
2019-10-30,35.29,35.575,35.1604,35.49,2576737,0.0,34.98299999999999,,77.69676174136828,,,
2019-10-31,35.75,35.895,35.105,35.14,1684321,0.0,35.11699999999999,,69.79801123312438,,,
2019-11-01,35.23,35.33,34.89,35.31,2593610,0.0,35.26599999999999,,71.32296035719119,,,
2019-11-04,35.34,35.55,35.06,35.37,2254393,0.0,35.28999999999999,,71.86294994857799,,,
2019-11-05,35.21,35.28,34.6275,34.71,1615971,0.0,35.20399999999999,,58.756517642166976,,,
2019-11-06,34.82,35.05,34.66,34.9,1787729,0.0,35.086,,60.963720335357564,,,
2019-11-07,34.87,34.89,34.47,34.64,1575049,0.0,34.986000000000004,,56.50720745900887,,,
2019-11-08,34.55,34.81,34.49,34.59,1311468,0.0,34.842,,55.664487541493756,,,
2019-11-11,34.67,34.88,34.465,34.74,1376286,0.0,34.716,,57.702469627455145,,,
2019-11-12,34.74,35.2,34.715,34.89,2344136,0.0,34.752,,59.69756910488668,,,
2019-11-13,34.73,34.995,34.56,34.83,1434956,0.0,34.73800000000001,,58.50875197823932,0.345935103438606,,
2019-11-14,34.94,35.06,34.765,34.99,1595140,0.0,34.80800000000001,,60.75323188178155,0.3374020237511388,,
2019-11-15,35.01,35.17,34.91,35.15,1137153,0.0,34.92,,62.913744900636544,0.33963505791336956,,
2019-11-18,35.2,35.295,34.995,35.09,1572224,0.0,34.99,,61.54549566861781,0.3327277763263652,,
