Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,81.84,82.39,80.7501,81.54,2881508,0.0,,,,,,
2019-10-10,81.64,82.81,81.14,82.54,2420855,0.0,,,,,,
2019-10-11,83.49,84.675,82.96,83.66,2433725,0.0,,,,,,
2019-10-14,82.18,84.7,80.93,83.96,2261536,0.0,,,,,,
2019-10-15,83.02,85.94,82.66,84.76,4042574,0.0,83.292,,,,,
2019-10-16,84.04,85.47,83.34,83.45,2719857,0.0,83.67399999999999,,,,,
2019-10-17,83.82,85.11,83.15,84.07,3348780,0.0,83.97999999999999,,,,,
2019-10-18,84.26,84.87,81.94,81.94,2451854,0.0,83.636,,,,,
2019-10-21,82.205,83.04,81.7,82.74,1112039,0.0,83.392,,,,,
2019-10-22,83.31,87.07,82.829,85.67,1119621,0.0,83.574,,,,,
2019-10-23,85.47,87.87,84.1415,87.17,1154421,0.0,84.31800000000001,,,,,
2019-10-24,87.96,88.4,86.04,86.9,708091,0.0,84.884,,,,,
2019-10-25,86.84,88.255,86.184,87.44,824313,0.0,85.98400000000001,,,,,
2019-10-28,87.98,88.824,86.01,86.6,1094995,0.0,86.756,,,,,
2019-10-29,85.8,88.34,85.43,87.93,1416383,0.0,87.208,,70.62621045836025,,,
2019-10-30,87.13,88.24,84.09,84.41,1626895,0.0,86.656,,56.740474765609385,,,
2019-10-31,84.0,85.78,82.84,85.77,1193230,0.0,86.43000000000002,,60.011744647532886,,,
2019-11-01,86.54,87.4048,85.805,86.84,1364782,0.0,86.31000000000003,,62.419574903904135,,,
2019-11-04,88.19,90.87,88.01,90.36,2040295,0.0,87.06200000000001,,69.02684957959423,,,
2019-11-05,91.0,92.79,90.08,90.23,2230734,0.0,87.52200000000002,,68.54751609587156,,,
2019-11-06,80.03,80.7,76.505,77.19,13091791,0.0,86.07800000000002,,39.167018348786364,,,
2019-11-07,77.75,79.18,74.55,75.56,5432532,0.0,84.03600000000003,,37.030429894850286,,,
2019-11-08,74.85,76.53,74.25,75.43,2218203,0.0,81.75400000000002,,36.8577389812456,,,
2019-11-11,74.22,77.15,73.705,76.79,3125415,0.0,79.04000000000002,,40.00963910480396,,,
2019-11-12,77.81,79.55,77.1018,78.0,2698180,0.0,76.59400000000002,,42.74790036220392,,,
2019-11-13,77.31,78.54,76.22,77.01,2024966,0.0,76.55800000000002,,41.09510893759056,-2.8959741041202562,,
2019-11-14,76.86,78.01,75.88,76.28,1452207,0.0,76.70200000000001,,39.87096534940215,-3.0170668454982064,,
2019-11-15,76.55,77.87,76.075,77.12,1528374,0.0,77.04,,42.01151401205637,-3.0105490007601503,,
2019-11-18,76.69,76.71,75.3,75.71,1587971,0.0,76.824,,39.471429101004425,-3.083612809005146,,
2019-11-19,75.13,75.43,73.86,74.2,1504537,0.0,76.064,,36.89848165624166,-3.22617148715716,,
2019-11-20,74.25,76.18,73.175,75.29,1454232,0.0,75.72,,39.941848199501806,-3.2141457052288587,,
2019-11-21,75.55,76.12,74.15,75.54,1227577,0.0,75.572,,40.64888421172615,-3.1481523352824325,,
2019-11-22,75.56,76.59,74.94,75.33,1623050,0.0,75.214,,40.2205511882198,-3.077323884922336,,
2019-11-25,75.04,77.23,74.22,77.13,1735405,0.0,75.498,,45.519746686251445,-2.8431725476325482,-3.0573520799563436,0.21417953232379539
2019-11-26,77.32,77.6,76.07,77.11,1648591,0.0,76.08000000000001,,45.4715142025924,-2.628915260039335,-2.971664715972942,0.34274945593360684
2019-11-27,77.61,79.02,76.863,78.52,1639361,0.0,76.726,,49.53158195919053,-2.31861208303566,-2.8410541893854857,0.5224421063498257
2019-11-29,77.49,78.39,76.71,77.34,654293,0.0,77.086,,46.41676661289051,-2.143205182727513,-2.701484388053891,0.5582792053263779
2019-12-02,76.88,78.49,76.75,77.89,1300353,0.0,77.598,,48.056402799356434,-1.9374794895205412,-2.5486834083472214,0.6112039188266802
2019-12-03,76.87,77.442,76.215,76.93,1725675,0.0,77.558,,45.442587721348936,-1.8308000490931846,-2.405106736496414,0.5743066874032294
2019-12-04,77.31,81.08,77.16,80.55,2345522,0.0,78.24600000000001,,55.312842277200666,-1.4375805439253924,-2.2116014979822096,0.7740209540568173
2019-12-05,80.82,81.5,79.31,79.93,1785685,0.0,78.528,,53.526712688763205,-1.1625785892335188,-2.0017969162324714,0.8392183269989526
2019-12-06,80.37,83.515,80.33,83.23,1793157,0.0,79.70600000000002,,60.785169053003095,-0.6706245952243961,-1.7355624520308564,1.0649378568064602
