Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,3.69,3.7,3.3,3.56,7170475,0.0,,,,,,
2019-10-11,3.59,3.7,3.54,3.66,4015547,0.0,,,,,,
2019-10-14,3.66,3.665,3.56,3.65,2502277,0.0,,,,,,
2019-10-15,3.65,3.66,3.42,3.45,6016871,0.0,,,,,,
2019-10-16,3.45,3.86,3.45,3.739,8133493,0.0,3.6118,,,,,
2019-10-17,3.8,4.07,3.69,3.99,9406973,0.0,3.6978,,,,,
2019-10-18,4.03,4.06,3.805,3.85,4692238,0.0,3.7358000000000002,,,,,
2019-10-21,3.92,4.21,3.89,4.18,8806389,0.0,3.8418000000000005,,,,,
2019-10-22,4.18,4.45,4.05,4.375,12687544,0.0,4.026800000000001,,,,,
2019-10-23,4.38,4.53,4.29,4.49,7429092,0.0,4.1770000000000005,,,,,
2019-10-24,4.53,4.53,4.325,4.38,5848025,0.0,4.255,,,,,
2019-10-25,4.37,4.42,4.24,4.32,4587952,0.0,4.348999999999999,,,,,
2019-10-28,4.29,6.09,4.28,5.6254,62248611,0.0,4.6380799999999995,,,,,
2019-10-29,5.55,6.3,5.27,6.06,38227069,0.0,4.975079999999999,,,,,
2019-10-30,6.17,6.37,5.51,5.85,31190004,0.0,5.247079999999999,,80.53333333333333,,,
2019-10-31,6.005,6.37,5.93,6.18,20773724,0.0,5.607079999999998,,82.21847479857598,,,
2019-11-01,7.25,7.26,7.08,7.12,178496779,0.0,6.167079999999999,,85.94954729229543,,,
2019-11-04,7.14,7.17,7.02,7.035,46474409,0.0,6.448999999999998,,84.22847399829497,,,
2019-11-05,7.03,7.08,7.01,7.05,20866048,0.0,6.646999999999997,,84.28826515154954,,,
2019-11-06,7.03,7.08,7.0,7.03,14966965,0.0,6.882999999999997,,83.83191727642448,,,
2019-11-07,7.02,7.04,6.93,6.98,16669529,0.0,7.042999999999997,,82.62749659438634,,,
2019-11-08,6.96,7.06,6.94,7.06,12257558,0.0,7.030999999999997,,83.04717398847018,,,
2019-11-11,7.02,7.08,6.85,6.99,16231240,0.0,7.021999999999997,,81.19877640389367,,,
2019-11-12,6.99,7.01,6.95,6.96,9757534,0.0,7.003999999999998,,80.37313899520356,,,
2019-11-13,6.93,6.93,6.84,6.86,17549132,0.0,6.969999999999997,,77.5427601997207,,,
2019-11-14,6.84,6.87,6.76,6.8,10867438,0.0,6.9339999999999975,,75.8175605071498,1.1385004820871956,,
2019-11-15,6.78,6.89,6.76,6.8,8979397,0.0,6.881999999999996,,75.8175605071498,1.0724367217485549,,
2019-11-18,6.8,6.82,6.73,6.75,7734443,0.0,6.833999999999996,,74.22162011456177,1.0044672602667317,,
2019-11-19,6.75,6.76,6.67,6.695,6181783,0.0,6.780999999999996,,72.41586866034274,0.9353804484474493,,
2019-11-20,6.7,6.72,6.62,6.7,7481021,0.0,6.748999999999997,,72.48141457784527,0.8709918585782397,,
2019-11-21,6.7,6.745,6.65,6.68,4137735,0.0,6.724999999999997,,71.74701093521702,0.8090236829419277,,
2019-11-22,6.71,6.9,6.69,6.855,8268370,0.0,6.735999999999999,,74.20942934656807,0.7652135888343672,,
2019-11-25,6.85,6.86,6.745,6.78,4548831,0.0,6.741999999999999,,71.33972740272027,0.7161861522676531,,
2019-11-26,7.01,7.06,6.81,6.9,31936079,0.0,6.782999999999999,,73.13011930171695,0.6791853270114787,0.8879317246870664,-0.20874639767558767
2019-11-27,6.9,7.08,6.87,7.07,15845559,0.0,6.8569999999999975,,75.46815116697258,0.656017326289275,0.8415488450075082,-0.18553151871823315
2019-11-29,7.01,7.04,6.93,6.94,2981474,0.0,6.908999999999997,,70.42187096984479,0.6200194074751355,0.7972429575010336,-0.17722355002589807
2019-12-02,6.92,6.93,6.85,6.87,6668029,0.0,6.911999999999997,,67.79321790685349,0.5791661160113497,0.7536275892030969,-0.1744614731917472
2019-12-03,6.85,6.88,6.84,6.86,3844349,0.0,6.927999999999997,,67.40612809937748,0.539760647018225,0.7108542007661225,-0.17109355374789748
2019-12-04,6.88,6.9,6.81,6.86,8858892,0.0,6.919999999999997,,67.40612809937748,0.5027362978410679,0.6692306201811116,-0.1664943223400437
2019-12-05,6.86,6.895,6.75,6.775,7405760,0.0,6.860999999999997,,63.814172798187855,0.4612188015018015,0.6276282564452496,-0.16640945494344805
2019-12-06,6.82,6.83,6.71,6.74,6752875,0.0,6.820999999999998,,62.34104832249667,0.42064277101945,0.5862311593600896,-0.1655883883406396
2019-12-09,6.74,6.74,6.69,6.71,6544489,0.0,6.788999999999999,,61.04034815234714,0.3816656215416021,0.5453180517963921,-0.16365243025479004
2019-12-10,6.72,6.81,6.6,6.78,9363035,0.0,6.772999999999999,,62.98117671260489,0.3523625486282844,0.5067269511627706,-0.15436440253448613
2019-12-11,6.74,6.775,6.71,6.72,2461139,0.0,6.744999999999999,,60.21235120623492,0.320602448213255,0.4695020505728675,-0.14889960235961247
2019-12-12,6.73,6.75,6.66,6.67,4573931,0.0,6.723999999999999,,57.92691727549407,0.28807698551528915,0.4332170375613519,-0.14514005204606273
2019-12-13,6.66,6.7,6.55,6.6,6338350,0.0,6.696,,54.7914068064131,0.2537270989511802,0.3973190498393176,-0.14359195088813742
2019-12-16,6.6,6.65,6.56,6.62,6836784,0.0,6.677999999999999,,55.53202072850937,0.22551875934737886,0.3629589917409299,-0.13744023239355102
2019-12-17,6.63,6.65,6.6,6.62,5124941,0.0,6.645999999999998,,55.53202072850937,0.20084819402420262,0.33053683219758445,-0.12968863817338183
2019-12-18,6.64,6.65,6.59,6.6,5694423,0.0,6.621999999999998,,54.49661684941941,0.17763509362542607,0.2999564844831528,-0.12232139085772675
2019-12-19,6.58,6.6,6.555,6.56,4129289,0.0,6.599999999999999,,52.39259195522725,0.15423297686142234,0.27081178295880676,-0.11657880609738441
2019-12-20,6.56,6.57,6.53,6.54,4221712,0.0,6.587999999999998,,51.32557855620333,0.13254490273735708,0.24315840691451684,-0.11061350417715976
2019-12-23,6.54,6.6,6.49,6.49,4053689,0.0,6.561999999999999,,48.65764059184034,0.1100537346602426,0.216537472463662,-0.10648373780341941
2019-12-24,6.49,6.51,6.42,6.465,2905168,0.0,6.530999999999999,,47.33281444765748,0.08918397352107554,0.19106677267514474,-0.1018827991540692
2019-12-26,6.49,6.67,6.49,6.64,3550734,0.0,6.538999999999999,,56.30198490003857,0.0857767934431406,0.1700087768287439,-0.08423198338560331
2019-12-27,6.64,6.65,6.41,6.48,4953662,0.0,6.522999999999999,,48.21700388396217,0.06936630428301349,0.14988028231959782,-0.08051397803658433
2019-12-30,6.46,6.495,6.41,6.44,4169832,0.0,6.502999999999998,,46.42224492787955,0.05252770104607052,0.13040976606489238,-0.07788206501882186
2019-12-31,6.41,6.58,6.41,6.57,4617385,0.0,6.518999999999998,,52.59775536697645,0.049106827273011966,0.1141491783065163,-0.06504235103350434
2020-01-02,6.54,6.62,6.45,6.47,6108646,0.0,6.519999999999999,,48.013266406252924,0.03788982557305953,0.09889730775982496,-0.061007482186765424
2020-01-03,6.43,6.475,6.4,6.43,6773346,0.0,6.477999999999999,,46.275777195006526,0.02547890030303268,0.08421362626846651,-0.05873472596543383
2020-01-06,6.41,6.51,6.4,6.5,5922213,0.0,6.481999999999999,,49.705833219736775,0.021048928649273435,0.07158068674462789,-0.050531758095354457
2020-01-07,6.46,6.59,6.4,6.55,8483845,0.0,6.504,,52.06025072510112,0.021326883294912946,0.06152992605468491,-0.04020304275977196
2020-01-08,6.55,6.61,6.52,6.605,3432600,0.0,6.511,,54.57908232678569,0.02568907701107115,0.05436175624596216,-0.02867267923489101
2020-01-09,6.59,6.65,6.56,6.64,3212485,0.0,6.545,,56.15773432183488,0.031606019928161366,0.049810608982402006,-0.01820458905424064
2020-01-10,6.65,6.65,6.53,6.57,4046576,0.0,6.573,,52.24659598131634,0.03029757326858107,0.04590800183963782,-0.015610428571056753
2020-01-13,6.57,6.59,6.49,6.52,4785383,0.0,6.577000000000001,,49.58989058752113,0.02493856151798468,0.0417141137753072,-0.016775552257322517
2020-01-14,6.53,6.69,6.48,6.58,3645333,0.0,6.583000000000001,,52.69823190509565,0.025242030243096458,0.038419697068865055,-0.013177666825768597
2020-01-15,6.57,6.62,6.54,6.58,4097507,0.0,6.578,,52.69823190509565,0.02519213217595606,0.03577418409028326,-0.0105820519143272
2020-01-16,6.56,6.66,6.56,6.6,3807190,0.0,6.57,,53.79953168176984,0.02646139001878378,0.03391162527598336,-0.007450235257199581
2020-01-17,6.63,6.7,6.6,6.68,4103304,0.0,6.5920000000000005,,58.010778307234304,0.03353603488118395,0.03383650719702348,-0.00030047231583953116
2020-01-21,6.66,6.71,6.65,6.66,9247840,0.0,6.620000000000002,,56.62124673840338,0.03710122917644121,0.034489451592907026,0.002611777583534182
2020-01-22,6.68,6.7,6.59,6.59,7122496,0.0,6.6220000000000026,,51.93255042016137,0.03388762095561493,0.034369085465448604,-0.00048146450983367617
2020-01-23,6.58,6.75,6.56,6.68,6804180,0.0,6.642000000000003,,56.8769269062549,0.03816314020191225,0.03512789641274133,0.003035243789170916
2020-01-24,6.71,6.72,6.66,6.69,6434112,0.0,6.660000000000002,,57.40125059135975,0.04187571921024169,0.0364774609722414,0.005398258238000289
2020-01-27,6.61,6.72,6.6,6.71,3333503,0.0,6.666000000000002,,58.488362658355136,0.04590266037961488,0.0383625008537161,0.0075401595258987805
2020-01-28,6.71,6.7255,6.62,6.625,6726246,0.0,6.659000000000003,,52.37128101005242,0.041753937245880834,0.03904078813214905,0.002713149113731786
