Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,9.71,9.71,9.39,9.7,2662,0.0,,,,,,
2019-10-11,9.46,9.6,9.11,9.41,11527,0.0,,,,,,
2019-10-14,8.88,9.31,8.8,9.29,10506,0.0,,,,,,
2019-10-15,9.23,9.61,9.1,9.61,17048,0.0,,,,,,
2019-10-16,9.52,9.94,9.47,9.53,10635,0.0,9.508,,,,,
2019-10-17,9.725,9.725,9.4221,9.55,6235,0.0,9.478,,,,,
2019-10-18,9.43,9.94,9.43,9.88,26467,0.0,9.572,,,,,
2019-10-21,9.88,9.88,9.66,9.73,5977,0.0,9.66,,,,,
2019-10-22,9.7698,9.92,9.62,9.7,3494,0.0,9.678,,,,,
2019-10-23,9.2,9.7,9.2,9.68,2184,0.0,9.708,,,,,
2019-10-24,9.429,9.6,9.429,9.48,2580,0.0,9.693999999999999,,,,,
2019-10-25,9.5,9.74,9.34,9.67,6615,0.0,9.652,,,,,
2019-10-28,9.8,9.89,9.74,9.89,4817,0.0,9.684000000000001,,,,,
2019-10-29,9.41,9.9994,9.41,9.91,13842,0.0,9.725999999999999,,,,,
2019-10-30,9.88,9.9046,9.66,9.84,6593,0.0,9.758,,53.3980582524272,,,
2019-10-31,9.65,9.72,9.46,9.58,5620,0.0,9.778,,47.00854700854703,,,
2019-11-01,9.7,9.8,9.48,9.49,20482,0.0,9.742,,45.00121036068751,,,
2019-11-04,9.81,10.11,9.73,9.89,11231,0.0,9.742,,54.33448259867965,,,
2019-11-05,9.96,10.02,9.82,9.89,19792,0.0,9.738,,54.33448259867965,,,
2019-11-06,9.8,9.98,9.54,9.7,7790,0.0,9.709999999999999,,49.689262182140084,,,
2019-11-07,9.31,9.89,9.31,9.81,8307,0.0,9.756,,52.23528197847134,,,
2019-11-08,9.6398,9.9047,8.89,9.8,45788,0.0,9.818,,51.977762155299516,,,
2019-11-11,9.19,9.58,9.07,9.58,16823,0.0,9.755999999999998,,46.541566457690436,,,
2019-11-12,9.51,9.715,9.42,9.54,11884,0.0,9.685999999999998,,45.60758853873024,,,
2019-11-13,9.39,9.69,9.15,9.55,31560,0.0,9.655999999999997,,45.89988160957552,,,
2019-11-14,9.4317,9.805,9.0727,9.805,12229,0.0,9.654999999999998,,52.856900782884836,0.01758770607917093,,
2019-11-15,9.78,9.812000000000001,9.46,9.7,14184,0.0,9.634999999999996,,50.0053863517004,0.017014274199359747,,
2019-11-18,9.01,9.6,9.01,9.31,28258,0.0,9.580999999999998,,41.12991070412884,-0.01474000176572865,,
2019-11-19,9.4,9.41,8.7,9.27,78258,0.0,9.526999999999997,,40.33908467204696,-0.042641613968964265,,
2019-11-20,9.04,9.48,8.9003,9.36,18558,0.0,9.488999999999995,,42.994936404754135,-0.056836419951910244,,
2019-11-21,9.1,9.67,9.1,9.46,10125,0.0,9.419999999999996,,45.87784686390991,-0.05933279022399773,,
2019-11-22,9.27,9.6,9.01,9.399,15369,0.0,9.359799999999996,,44.40267910351105,-0.06547857559131387,,
2019-11-25,9.42,9.9354,9.2,9.43,16715,0.0,9.383799999999995,,45.36414236020608,-0.06707452053047724,,
2019-11-26,9.39,9.6,9.39,9.49,11818,0.0,9.427799999999996,,47.26501024493779,-0.06277419795540062,-0.037141793301029104,-0.02563240465437152
2019-11-27,9.63,9.91,9.32,9.91,25026,0.0,9.537799999999995,,58.22226547331324,-0.025185350377144644,-0.03475050471625221,0.009565154339107568
2019-11-29,9.78,9.87,9.55,9.87,2298,0.0,9.619799999999994,,57.00739632774164,0.0013607307782077527,-0.027528257617360222,0.028888988395567975
2019-12-02,9.68,9.93,9.62,9.93,20507,0.0,9.725999999999996,,58.40928251609392,0.026929760392476965,-0.016636654015392785,0.04356641440786975
2019-12-03,9.6804,9.91,9.5452,9.87,10247,0.0,9.813999999999995,,56.427771054315336,0.04186925925958285,-0.004935471360397658,0.04680473061998051
2019-12-04,9.86,10.0,9.68,9.98,26430,0.0,9.911999999999994,,59.16300579514611,0.061871781058489006,0.008425979123379675,0.05344580193510933
2019-12-05,9.65,9.65,9.65,9.65,287,0.0,9.859999999999994,,49.18729777515295,0.05051339464955795,0.01684346222861533,0.03366993242094262
2019-12-06,9.69,9.9,9.42,9.69,6983,0.0,9.823999999999995,,50.28161009752483,0.044229605928606475,0.02232069096861356,0.021908914959992913
2019-12-09,9.87,9.87,9.34,9.73,13569,0.0,9.783999999999994,,51.40858242115688,0.04199325173494195,0.02625520312187924,0.01573804861306271
2019-12-10,9.7,9.95,9.6583,9.93,14399,0.0,9.795999999999994,,56.69421312707118,0.05571698276001946,0.032147559049507286,0.023569423710512176
2019-12-11,9.82,9.98,9.6192,9.94,7092,0.0,9.787999999999993,,56.9463878368203,0.06663196310434039,0.03904443986047391,0.02758752324386648
2019-12-12,9.9426,9.98,9.63,9.7,36528,0.0,9.797999999999995,,49.49685370752586,0.055278948125055294,0.04229134151339019,0.012987606611665106
2019-12-13,9.76,9.76,9.62,9.69,1728,0.0,9.797999999999995,,49.20800387341889,0.0449564554988342,0.04282436431047899,0.002132091188355209
2019-12-16,9.6,9.7,9.4982,9.59,6343,0.0,9.769999999999992,,46.298328589043834,0.02837950024468583,0.03993539149732036,-0.01155589125263453
2019-12-17,9.1159,9.81,9.1159,9.8,11237,0.0,9.743999999999993,,52.63254382957201,0.031820580883234584,0.0383124293745032,-0.0064918484912686175
2019-12-18,9.89,9.95,9.57,9.94,15811,0.0,9.743999999999993,,56.330616955002334,0.04532204769824233,0.03971435303925103,0.005607694658991302
2019-12-19,9.045,10.2266,9.045,9.855,19417,0.0,9.774999999999991,,53.59476029896174,0.048603002636516734,0.04149208295870417,0.007110919677812563
2019-12-20,9.9,9.99,9.6616,9.99,23540,0.0,9.834999999999992,,57.15401062181895,0.06138890177463452,0.04547144672189024,0.015917455052744278
2019-12-23,9.75,9.88,9.65,9.86,13221,0.0,9.888999999999992,,52.94292823542516,0.06033638512472983,0.04844443440245816,0.011891950722271671
2019-12-24,9.95,9.95,9.95,9.95,472,0.0,9.918999999999993,,55.393294562312036,0.06600365686483656,0.05195627889493384,0.01404737796990272
2019-12-26,10.45,10.45,10.25,10.25,492,0.0,9.980999999999995,,62.41829049254031,0.09362327253739977,0.060289677623427025,0.033333594913972746
2019-12-27,10.7,11.71,10.35,10.4,23054,0.0,10.089999999999995,,65.35612345117094,0.12616145265080547,0.07346403262890272,0.05269742002190275
2019-12-30,10.4835,10.4835,9.94,9.94,6715,0.0,10.079999999999995,,51.945480710099766,0.11352143476073095,0.08147551305526837,0.03204592170546258
2019-12-31,10.04,10.05,9.97,10.05,5304,0.0,10.117999999999995,,54.35734962686873,0.11109952405185908,0.08740031525458652,0.023699208797272553
2020-01-02,10.04,10.15,10.0,10.0,5349,0.0,10.127999999999995,,53.0538867350404,0.10394732023092779,0.09070971624985479,0.013237603981073001
2020-01-03,10.01,10.0668,9.82,9.82,4623,0.0,10.041999999999994,,48.541172383356994,0.08280018253383581,0.089127809506651,-0.006327626972815192
2020-01-06,9.88,9.95,9.7,9.7,5755,0.0,9.901999999999994,,45.74746390518013,0.05571567086193774,0.08244538177770835,-0.026729710915770616
2020-01-07,9.75,9.75,9.3387,9.61,8740,0.0,9.835999999999995,,43.71533800169042,0.026681188260170074,0.0712925430742007,-0.044611354814030627
2020-01-08,9.43,9.43,9.1,9.12,2676,0.0,9.649999999999995,,34.68236772406823,-0.03545900395785395,0.04994223366778977,-0.08540123762564372
2020-01-09,9.05,9.05,8.74,8.87,3128,0.0,9.423999999999994,,31.146217806940456,-0.10368326847103049,0.019217133240025722,-0.1229004017110562
2020-01-10,8.93,9.04,8.67,8.69,6814,0.0,9.197999999999993,,28.86429930641333,-0.17031272621245286,-0.018688838650469997,-0.15162388756198286
2020-01-13,8.91,8.92,8.4,8.5,6144,0.0,8.957999999999993,,26.645186608711114,-0.23573110220687177,-0.06209729136175035,-0.17363381084512142
2020-01-14,8.83,8.84,8.51,8.68,11261,0.0,8.771999999999993,,31.980447910631725,-0.2699394469066956,-0.10366572247073941,-0.16627372443595617
2020-01-15,8.7,8.88,8.33,8.55,13115,0.0,8.657999999999994,,30.268190453172593,-0.3040349939289886,-0.14373957676238924,-0.16029541716659934
2020-01-16,8.55,9.35,8.4948,9.34,16795,0.0,8.751999999999994,,48.361763833828014,-0.2642633000697696,-0.16784432142386532,-0.09641897864590429
2020-01-17,9.7,9.86,8.985,9.03,26596,0.0,8.819999999999995,,43.582858695290895,-0.2548209382134612,-0.1852396447817845,-0.06958129343167668
2020-01-21,9.16,9.39,8.68,9.22,36298,0.0,8.963999999999995,,47.03726391576625,-0.22936243888771024,-0.19406420360296966,-0.035298235284740576
2020-01-22,9.0,9.07,8.34,8.34,39224,0.0,8.895999999999994,,36.032701393932264,-0.27700193441440035,-0.2106517497652558,-0.06635018464914455
2020-01-23,8.6387,8.6387,7.42,7.7,32442,0.0,8.725999999999994,,30.452654257255105,-0.3622237393493908,-0.2409661476820828,-0.12125759166730798
2020-01-24,7.61,8.0793,7.61,7.83,37698,0.0,8.423999999999992,,32.731428550207085,-0.4144946835081509,-0.2756718548472964,-0.1388228286608545
2020-01-27,7.9,8.0496,6.84,7.29,26997,0.0,8.075999999999992,,28.547166710016782,-0.4938010393760326,-0.3192976917530436,-0.17450334762298897
2020-01-28,7.3335,7.7678,7.3335,7.47,19832,0.0,7.725999999999992,,31.68226237891868,-0.5359493120431651,-0.36262801581106796,-0.17332129623209713
2020-01-29,7.65,7.7388,6.885,7.01,17767,0.0,7.459999999999991,,28.26870457894198,-0.5995589352206263,-0.41001419969297964,-0.18954473552764667
2020-01-30,6.93,7.0654,6.83,6.93,10881,0.0,7.30599999999999,,27.709543058059722,-0.648944720499598,-0.4578003038543033,-0.19114441664529463
2020-01-31,6.7975,7.0,6.53,6.83,22961,0.0,7.10599999999999,,26.990851324638513,-0.6882191138606206,-0.5038840658555668,-0.18433504800505385
2020-02-03,6.61,7.29,6.61,6.89,23356,0.0,7.025999999999991,,28.19424703689363,-0.7063603723188514,-0.5443793271482238,-0.1619810451706276
2020-02-04,6.72,7.09,6.52,6.71,41781,0.0,6.873999999999991,,26.768753470669708,-0.7268828925089874,-0.5808800402203765,-0.14600285228861087
2020-02-05,6.79,6.91,6.64,6.65,43893,0.0,6.801999999999991,,26.291570735282264,-0.7394645491535794,-0.6125969420070171,-0.1268676071465623
2020-02-06,6.8193,7.0908,6.31,6.43,36174,0.0,6.701999999999991,,24.56260230020203,-0.7584448835713813,-0.64176653031989,-0.11667835325149134
2020-02-07,6.5,6.59,6.265,6.31,9577,0.0,6.597999999999992,,23.649062021290632,-0.7742449189862235,-0.6682622080531566,-0.10598271093306688
2020-02-10,6.53,6.53,6.12,6.22,12149,0.0,6.4639999999999915,,22.95936377755531,-0.7849800473712296,-0.6916057759167713,-0.09337427145445831
2020-02-11,6.38,6.38,5.66,5.66,26575,0.0,6.2539999999999925,,19.20606024479946,-0.8291174836002657,-0.7191081174534703,-0.11000936614679546
2020-02-12,5.94,6.1,5.18,5.71,34825,0.0,6.065999999999993,,20.4563934850395,-0.8502608597500769,-0.7453386659127916,-0.1049221938372853
2020-02-13,5.88,6.2311,5.53,6.22,15605,0.0,6.023999999999992,,32.01362314245584,-0.8164528398133193,-0.7595615006928972,-0.0568913391204221
2020-02-14,6.3397,6.3397,5.9802,5.99,9484,0.0,5.959999999999993,,29.903477168903493,-0.7990083473863621,-0.7674508700315903,-0.03155747735477177
2020-02-18,6.06,6.2962,5.75,6.0,10101,0.0,5.915999999999994,,30.11914864265367,-0.7754377809847703,-0.7690482522222264,-0.00638952876254395
