Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,34.45,34.82,34.22,34.67,8551856,0.0,,,,,,
2019-10-11,35.22,36.0,35.21,35.57,10027604,0.0,,,,,,
2019-10-14,35.39,35.56,35.265,35.5,4494488,0.0,,,,,,
2019-10-15,35.47,36.56,35.17,36.25,8444855,0.0,,,,,,
2019-10-16,36.46,37.2187,36.45,36.65,11148734,0.0,35.728,,,,,
2019-10-17,36.81,36.82,35.87,36.205,7264119,0.0,36.035000000000004,,,,,
2019-10-18,36.09,36.37,36.01,36.165,5678974,0.0,36.154,,,,,
2019-10-21,36.44,36.72,35.63,35.93,5846706,0.0,36.24,,,,,
2019-10-22,35.77,36.58,35.56,36.32,5793100,0.0,36.254000000000005,,,,,
2019-10-23,36.25,36.64,35.83,36.61,5341577,0.0,36.245999999999995,,,,,
2019-10-24,36.62,36.77,35.745,35.81,5957385,0.0,36.166999999999994,,,,,
2019-10-25,35.78,36.82,35.76,36.73,7270109,0.0,36.279999999999994,,,,,
2019-10-28,37.21,37.3,36.49,36.64,9127194,0.0,36.42199999999999,,,,,
2019-10-29,37.6,38.7,37.6,38.21,16240183,0.0,36.8,,,,,
2019-10-30,38.26,38.26,37.415,37.91,6439015,0.0,37.05999999999999,,72.5,,,
2019-10-31,36.98,37.25,36.96,37.15,3603363,0.0,37.32799999999999,,65.0997697620875,,,
2019-11-01,37.21,38.07,37.21,37.975,6715181,0.0,37.57699999999999,,68.82029509104576,,,
2019-11-04,38.35,38.49,38.22,38.4,5984302,0.0,37.928999999999995,,70.56135401434341,,,
2019-11-05,38.61,38.89,38.21,38.22,5724109,0.0,37.931,,68.80886965450446,,,
2019-11-06,38.37,38.48,37.76,38.42,5886848,0.0,38.033,,69.70907573861334,,,
2019-11-07,38.6,38.9,38.46,38.51,4991051,0.0,38.30499999999999,,70.12689493904743,,,
2019-11-08,38.42,38.67,37.82,38.665,4933539,0.0,38.443,,70.87207175855632,,,
2019-11-11,38.6,38.8,38.38,38.72,3094914,0.0,38.50699999999999,,71.14710428054892,,,
2019-11-12,38.74,38.955,38.36,38.59,5422623,0.0,38.580999999999996,,69.47723555400393,,,
2019-11-13,38.4,38.4,37.09,37.19,10309752,0.0,38.334999999999994,,54.61171062471311,,,
2019-11-14,37.1,37.45,36.69,36.8,10838369,0.0,37.992999999999995,,51.31769171579235,0.6725378739401293,,
2019-11-15,37.0,37.11,36.725,36.89,10865913,0.0,37.63799999999999,,52.03666420602967,0.5547422159287336,,
2019-11-18,36.68,36.83,36.39,36.62,7931154,0.0,37.217999999999996,,49.66685329390892,0.4345918603251846,,
2019-11-19,36.67,36.7,36.005,36.39,8746943,0.0,36.77799999999999,,47.67506006986082,0.3171567741933359,,
2019-11-20,36.21,36.26,35.18,35.27,11284313,0.0,36.39399999999999,,39.39090162712135,0.13219017652087928,,
2019-11-21,35.53,35.58,34.59,34.68,12298129,0.0,35.96999999999999,,35.8562939264112,-0.061298641330985504,,
2019-11-22,35.27,35.5,34.93,35.33,11768281,0.0,35.657999999999994,,42.028056189940855,-0.16034203262426416,,
2019-11-25,35.5,35.89,35.35,35.83,7889118,0.0,35.499999999999986,,46.307707797222854,-0.1962268316987803,,
2019-11-26,35.7,35.93,35.51,35.91,4978454,0.0,35.40399999999998,,46.98210797437761,-0.2157237331765458,0.16418085134196522,-0.37990458451851106
2019-11-27,36.01,36.27,35.85,36.14,4754518,0.0,35.57799999999998,,48.966746949011004,-0.21019311486794123,0.08930605809998395,-0.29949917296792516
