Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-08,197.6,198.93,195.92,197.25,2229776,0.0,,,,,,
2019-10-09,198.19,198.98,196.68,196.84,1867933,0.0,,,,,,
2019-10-10,197.59,201.32,197.54,199.92,1786777,0.0,,,,,,
2019-10-11,203.72,207.29,203.72,204.7,2802749,0.0,,,,,,
2019-10-14,204.18,206.165,202.92,205.88,1901122,0.0,200.918,,,,,
2019-10-15,202.0,208.24,198.61,206.41,7733620,0.0,202.75,,,,,
2019-10-16,206.17,208.62,206.1,207.42,2614061,0.0,204.86600000000004,,,,,
2019-10-17,208.29,208.93,204.39,206.52,2438501,0.0,206.186,,,,,
2019-10-18,204.99,208.06,204.99,206.49,1985103,0.0,206.544,,,,,
2019-10-21,208.67,210.86,207.68,209.24,1768884,0.0,207.21599999999998,,,,,
2019-10-22,209.59,211.65,208.31,209.6,1677826,0.0,207.85399999999996,,,,,
2019-10-23,209.22,212.0193,209.0,211.35,1403216,0.0,208.63999999999993,,,,,
2019-10-24,211.61,213.145,209.775,211.03,1142396,0.0,209.54199999999992,,,,,
2019-10-25,210.18,215.42,210.18,214.23,2420159,0.0,211.08999999999992,,,,,
2019-10-28,216.32,218.92,215.69,217.68,2209308,0.0,212.77799999999993,,93.01052631578959,,,
2019-10-29,217.22,219.28,216.45,217.62,1842590,0.0,214.38199999999998,,92.75816402338587,,,
2019-10-30,217.02,217.05,213.81,215.81,1450550,0.0,215.27399999999997,,85.24419844591655,,,
2019-10-31,211.97,213.44,211.75,213.39,1172067,0.0,215.74599999999995,,76.34007607309195,,,
2019-11-01,215.26,217.89,214.75,217.45,1817919,0.0,216.38999999999996,,80.09632897218272,,,
2019-11-04,219.7,220.69,218.57,219.9,2321045,0.0,216.83399999999997,,81.95779777100552,,,
2019-11-05,220.8,221.78,218.47,218.61,2298774,0.0,217.03199999999998,,77.83036550001887,,,
2019-11-06,218.01,219.07,216.55,218.54,1504706,0.0,217.57799999999997,,77.60198683558454,,,
2019-11-07,220.77,224.77,220.41,223.28,3366448,0.0,219.55599999999995,,81.54991929444003,,,
2019-11-08,223.0,223.23,221.1,222.97,1458381,0.0,220.65999999999994,,80.54993438748708,,,
2019-11-11,220.9,221.41,218.52,218.99,2044438,0.0,220.47799999999992,,68.87308892701691,,,
2019-11-12,218.56,221.11,217.9264,220.41,1700516,0.0,220.8379999999999,,70.51536459716007,6.000308047997777,,
2019-11-13,218.39,219.84,217.01,219.31,1559259,0.0,220.9919999999999,,67.54249304679763,5.661759669804837,,
2019-11-14,218.79,220.47,218.0301,219.51,1169440,0.0,220.23799999999991,,67.80823442286382,5.34794815219152,,
2019-11-15,220.0,221.09,219.06,220.3,1379791,0.0,219.7039999999999,,68.89166856446116,5.10415909249798,,
2019-11-18,219.73,219.95,218.04,219.72,1197689,0.0,219.8499999999999,,67.105984758295,4.80872140649879,,
2019-11-19,220.56,220.68,218.31,220.02,1462114,0.0,219.77199999999988,,67.57415850501822,4.546384513975227,,
2019-11-20,218.36,219.4709,216.4,217.89,1833535,0.0,219.48799999999991,,60.94206879078328,4.119124731924302,,
2019-11-21,218.6,219.32,216.82,218.23,1386543,0.0,219.2319999999999,,61.59010146398207,3.764557954170158,,
2019-11-22,218.0,220.71,218.0,220.26,1334295,0.0,219.22399999999993,,65.29272831777948,3.6057998467653647,4.773195935091773,-1.1673960883264085
2019-11-25,220.89,223.95,220.89,222.8,1818028,0.0,219.83999999999992,,69.28271930808597,3.6429460606589146,4.547145960205202,-0.9041998995462874
2019-11-26,222.68,222.76,221.113,222.45,1388807,0.0,220.32599999999994,,68.12060473994624,3.6026139369497514,4.358239555554112,-0.7556256186043608
2019-11-27,223.45,224.28,221.86,222.95,1437350,0.0,221.3379999999999,,68.92257036883589,3.56984530513256,4.200560705469802,-0.6307154003372419
2019-11-29,220.88,222.0,220.41,221.4,547793,0.0,221.97199999999992,,63.58269648288345,3.3798431542201968,4.036417195219881,-0.6565740409996845
