Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,91.39,92.97,91.3,91.58,1307960,0.0,,,,,,
2019-10-11,92.96,94.66,92.96,93.4,1922400,0.0,,,,,,
2019-10-14,93.01,93.12,91.0,91.53,953115,0.0,,,,,,
2019-10-15,91.61,92.4,90.81,91.66,1265506,0.0,,,,,,
2019-10-16,91.79,92.65,91.615,92.2,846336,0.0,92.07399999999998,,,,,
2019-10-17,92.42,94.79,91.83,92.2,1262552,0.0,92.198,,,,,
2019-10-18,90.89,91.74,90.5,91.15,2461106,0.0,91.748,,,,,
2019-10-21,91.76,92.43,91.52,92.39,1522610,0.0,91.92,,,,,
2019-10-22,92.25,92.7,90.75,90.75,1884752,0.0,91.73800000000001,,,,,
2019-10-23,91.5,95.95,89.85,95.75,3617432,0.0,92.44800000000001,,,,,
2019-10-24,95.56,97.36,94.81,96.9,2119710,0.0,93.38800000000002,,,,,
2019-10-25,96.73,98.62,96.49,97.7,1363183,0.0,94.69800000000002,,,,,
2019-10-28,97.87,98.54,96.36,97.18,1052157,0.0,95.65600000000002,,,,,
2019-10-29,97.1,97.81,96.55,97.33,916679,0.0,96.97200000000002,,,,,
2019-10-30,97.35,97.35,95.89,97.29,958200,0.0,97.28000000000002,,67.8996865203762,,,
2019-10-31,96.72,97.33,96.54,97.0,1029474,0.0,97.30000000000003,,66.5957144884348,,,
2019-11-01,97.85,98.5,96.15,96.3,1353961,0.0,97.02000000000001,,63.42924869954565,,,
2019-11-04,96.81,98.685,96.45,97.99,1082224,0.0,97.182,,67.45284910170406,,,
2019-11-05,97.8,100.47,97.37,100.16,1429159,0.0,97.74800000000002,,71.75065721613822,,,
2019-11-06,100.44,100.44,99.13,99.58,941049,0.0,98.206,,69.12334471879005,,,
2019-11-07,100.0,100.73,98.6,98.93,1022014,0.0,98.59200000000001,,66.19784702807306,,,
2019-11-08,98.62,99.1,97.86,99.08,741412,0.0,99.14800000000001,,66.54968107498128,,,
2019-11-11,98.26,98.8802,97.85,98.13,686293,0.0,99.17600000000002,,62.13834436414324,,,
2019-11-12,98.29,99.335,97.95,98.09,700751,0.0,98.76200000000003,,61.952134974556316,,,
2019-11-13,97.85,98.09,96.78,97.75,1074156,0.0,98.39600000000004,,60.29808351481037,,,
2019-11-14,97.9,99.001,97.5,98.86,809125,0.0,98.38200000000003,,63.70504874939596,2.052698082842582,,
2019-11-15,99.49,100.5,99.17,99.71,1623953,0.0,98.50800000000002,,66.10381372168304,2.0485617571455634,,
2019-11-18,99.52,100.52,99.52,100.17,824077,0.0,98.91600000000003,,67.36100636216814,2.0586707696946718,,
2019-11-19,100.58,100.82,100.11,100.2,626244,0.0,99.33800000000004,,67.44580834649909,2.0455234630628354,,
2019-11-20,99.61,100.11,98.7,99.25,769473,0.0,99.63800000000003,,61.95620347172326,1.93612858221951,,
2019-11-21,98.92,99.51,98.26,99.06,727550,0.0,99.67800000000004,,60.88877679864565,1.8131995036987405,,
2019-11-22,99.5,101.47,99.12,101.23,1600808,0.0,99.98200000000006,,67.72752148165655,1.8693297184907323,,
2019-11-25,101.86,103.49,101.85,103.11,1317167,0.0,100.57000000000004,,72.25397946657314,2.041974989698261,,
2019-11-26,103.3,105.42,103.05,105.29,1372069,0.0,101.58800000000005,,76.38937443305956,2.3278711424711247,2.021550889924891,0.30632025254623363
2019-11-27,105.56,106.42,105.04,106.36,1193995,0.0,103.01000000000003,,78.1136313212217,2.6106915340456283,2.1393790187490387,0.4713125152965896
2019-11-29,105.82,106.25,104.77,105.05,569406,0.0,104.20800000000004,,71.25291714780248,2.698021566942515,2.251107528387734,0.44691403855478073
2019-12-02,104.6,105.08,103.75,104.7,1368801,0.0,104.90200000000004,,69.49666095045508,2.70777562044357,2.3424411467989015,0.36533447364466864
2019-12-03,103.26,104.18,102.76,103.93,1051912,0.0,105.06600000000006,,65.66216917761497,2.623135341899456,2.3985799858190124,0.2245553560804434
2019-12-04,104.1,104.77,103.86,104.19,882804,0.0,104.84600000000005,,66.3375624621904,2.547669193844669,2.428397827424144,0.11927136642052538
2019-12-05,104.62,105.3,104.28,104.91,933014,0.0,104.55600000000004,,68.20272878214331,2.5169459246411208,2.446107446867539,0.07083847777358177
2019-12-06,105.86,106.25,105.31,105.48,786447,0.0,104.64200000000005,,69.63703924007648,2.509661928260684,2.4588183431461683,0.05084358511451548
2019-12-09,105.6,106.11,104.75,104.75,1093622,0.0,104.65200000000004,,65.55840836303301,2.4171213393214543,2.450478942381226,-0.033357603059771535
2019-12-10,104.92,105.58,104.52,104.69,919937,0.0,104.80400000000004,,65.22028911218632,2.3122861617842005,2.4228403862618206,-0.11055422447762009
2019-12-11,105.11,105.95,104.8,105.74,753288,0.0,105.11400000000003,,68.30138048490302,2.287560183237531,2.395784345656963,-0.108224162419432
2019-12-12,105.67,107.23,105.37,106.52,1118808,0.0,105.43600000000004,,70.39921770390359,2.3043411381284784,2.377495704151266,-0.07315456602278747
2019-12-13,106.54,107.44,106.17,107.18,1021603,0.0,105.77600000000002,,72.08281082624822,2.3438778846882826,2.3707721402586692,-0.026894255570386605
2019-12-16,108.04,109.3,107.7,108.46,2065052,0.0,106.51800000000003,,75.04700928162292,2.450251371198803,2.386667986446696,0.06358338475210701
2019-12-17,108.32,108.9,107.74,108.78,1706645,0.0,107.33600000000001,,75.74050228509385,2.531196394861496,2.4155736681296562,0.11562272673183971
2019-12-18,109.04,109.66,108.51,109.26,1772739,0.0,108.04,,76.78283095801407,2.6040599160232745,2.4532709177083802,0.15078899831489423
2019-12-19,109.27,110.665,109.18,110.34,1532485,0.0,108.80400000000002,,78.97203995669955,2.717624670027263,2.5061416681721567,0.21148300185510616
2019-12-20,111.18,111.72,110.3124,111.4,1768056,0.0,109.648,,80.87785743709448,2.8601882274944614,2.5769509800366177,0.28323724745784373
2019-12-23,111.06,111.68,111.04,111.27,944797,0.0,110.21,,79.9211741458502,2.928918214370526,2.6473444269033997,0.28157378746712647
2019-12-24,111.43,111.92,111.08,111.38,387525,0.0,110.72999999999999,,80.13529291247742,2.958163438112507,2.709508229145221,0.248655208967286
2019-12-26,111.43,111.98,111.3,111.94,1093646,0.0,111.26599999999999,,81.23253405031215,2.9920374631170716,2.7660140759395913,0.22602338717748038
2019-12-27,112.32,112.79,111.76,112.31,649034,0.0,111.65999999999997,,81.94224586059833,3.013995317885687,2.8156103243288104,0.19838499355687667
2019-12-30,112.5,112.69,110.97,111.36,777445,0.0,111.65199999999997,,74.18513736876675,2.921067764580357,2.83670181237912,0.084365952201237
2019-12-31,111.08,111.53,110.61,110.89,974447,0.0,111.57599999999998,,70.62310589921735,2.7774798779214223,2.824857425487581,-0.04737754756615864
2020-01-02,111.15,111.62,110.46,111.45,1627248,0.0,111.58999999999999,,72.32799571132264,2.6780024182550477,2.795486424041074,-0.11748400578602647
2020-01-03,110.0,110.405,108.64,109.98,1503588,0.0,111.19800000000001,,62.134215846327116,2.4522807342628283,2.726845286085425,-0.27456455182259676
2020-01-06,109.02,109.45,108.59,109.41,1226857,0.0,110.61799999999998,,58.68066352092319,2.2020169563855916,2.6218796201454584,-0.4198626637598668
2020-01-07,109.27,109.49,108.16,108.29,1021959,0.0,110.00399999999998,,52.5052531118869,1.8915024072636868,2.4758041775691044,-0.5843017703054176
2020-01-08,108.14,110.04,107.89,109.22,2357895,0.0,109.66999999999999,,56.59038732713337,1.7008542288090638,2.3208141878170965,-0.6199599590080327
2020-01-09,109.89,110.2,109.05,109.09,1189770,0.0,109.19799999999998,,55.86701596028325,1.5217326732812495,2.160997884909927,-0.6392652116286777
2020-01-10,109.45,109.45,108.39,108.58,1040442,0.0,108.91799999999998,,53.004531391380766,1.3233698286565385,1.9934722736592496,-0.6701024450027111
2020-01-13,108.94,109.33,108.21,109.27,1030195,0.0,108.88999999999999,,56.269197175887584,1.2079189409459445,1.8363616071165887,-0.6284426661706441
2020-01-14,109.14,109.5,108.59,109.1,916080,0.0,109.05199999999999,,55.25082615247714,1.0901392546661839,1.6871171366265079,-0.596977881960324
2020-01-15,108.94,109.86,108.59,109.6,745416,0.0,109.128,,57.676976796181236,1.0253245231972272,1.554758613940652,-0.5294340907434247
2020-01-16,110.32,111.65,110.19,111.57,902059,0.0,109.624,,65.59230943512912,1.1200101378788503,1.467808918728292,-0.3477987808494416
2020-01-17,112.17,113.96,111.98,113.89,1664790,0.0,110.68599999999999,,72.18887013751659,1.3665016008017403,1.4475474551429817,-0.08104585434124134
2020-01-21,112.49,112.62,109.93,110.64,5101599,0.0,110.96,,55.99382292661508,1.284789765760678,1.414995917266521,-0.13020615150584303
2020-01-22,110.98,112.605,110.54,110.83,2095382,0.0,111.306,,56.60672254430725,1.2212857381272357,1.376253881438664,-0.15496814331142827
2020-01-23,109.19,111.15,107.6526,110.91,1925104,0.0,111.56799999999998,,56.87904605542885,1.1639958505155477,1.3338022752540408,-0.16980642473849317
2020-01-24,111.45,111.45,107.48,108.45,3138900,0.0,110.944,,47.09222405170355,0.9096063847170228,1.2489630971466374,-0.3393567124296146
2020-01-27,104.3,105.965,103.53,104.91,3596146,0.0,109.148,,37.17854935010863,0.41753935157326794,1.0826783480319637,-0.6651389964586958
2020-01-28,106.0,108.04,105.56,107.85,1666894,0.0,108.59,,47.13264476116269,0.26178837857946746,0.9185003541414645,-0.656711975561997
2020-01-29,108.13,110.125,108.13,110.0,1567153,0.0,108.424,,52.997899968406614,0.30828789115035704,0.796457861543243,-0.488169970392886
2020-01-30,108.3,109.445,107.22,109.07,2125429,0.0,108.05600000000001,,50.39352655930828,0.2670178466842543,0.6905698585714454,-0.42355201188719105
2020-01-31,108.81,108.89,107.01,107.77,2691321,0.0,107.92,,46.922404112743116,0.12793712413463254,0.5780433116840829,-0.4501061875494503
2020-02-03,108.54,109.89,107.82,107.85,1339419,0.0,108.50800000000001,,47.16359437301251,0.023894539525826985,0.4672135572524317,-0.4433190177266047
2020-02-04,109.92,111.99,109.39,110.95,1301280,0.0,109.12800000000001,,55.5858149363224,0.18940083888331571,0.4116510135786085,-0.2222501746952928
2020-02-05,112.44,113.58,112.1483,113.26,1686769,0.0,109.78000000000002,,60.622825531051234,0.5011861065977854,0.4295580321824439,0.07162807441534147
