Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,145.95,146.63,144.88,145.65,467019,0.0,,,,,,
2019-10-10,145.5,146.8,144.47,144.81,544434,0.0,,,,,,
2019-10-11,146.73,148.97,145.9,146.02,522106,0.0,,,,,,
2019-10-14,146.28,147.93,145.855,146.35,450249,0.0,,,,,,
2019-10-15,147.21,148.69,146.23,146.57,767478,0.0,145.88000000000002,,,,,
2019-10-16,145.64,147.47,144.31,144.79,916873,0.0,145.70800000000003,,,,,
2019-10-17,145.65,146.075,142.99,143.36,969192,0.0,145.41800000000003,,,,,
2019-10-18,144.0,145.05,143.0,143.48,1327830,0.0,144.91000000000003,,,,,
2019-10-21,144.65,144.91,142.04,143.14,820840,0.0,144.26800000000003,,,,,
2019-10-22,143.51,145.42,142.78,142.86,948826,0.0,143.526,,,,,
2019-10-23,143.14,144.09,142.7,143.46,852310,0.0,143.26000000000005,,,,,
2019-10-24,143.7,146.7495,143.54,145.14,856753,0.0,143.61600000000004,,,,,
2019-10-25,144.87,148.57,143.95,147.46,870307,0.0,144.41200000000003,,,,,
2019-10-28,147.45,148.8,147.37,147.73,894624,0.0,145.33000000000004,,,,,
2019-10-29,146.73,150.27,146.73,149.91,1977672,0.0,146.74000000000004,,65.66176470588243,,,
2019-10-30,147.89,147.89,139.02,145.81,3052115,0.0,147.21000000000004,,49.56874466268146,,,
2019-10-31,143.805,144.5,143.43,144.43,641038,0.0,147.06800000000004,,45.52439156822759,,,
2019-11-01,145.76,147.58,145.1,146.76,814292,0.0,146.92800000000005,,52.56205551231409,,,
2019-11-04,147.76,147.76,145.64,146.5,647175,0.0,146.68200000000004,,51.75851030723938,,,
2019-11-05,146.26,146.7,139.78,139.9,1462627,0.0,144.68000000000004,,36.503122306129484,,,
2019-11-06,139.68,140.54,136.28,138.05,2194106,0.0,143.12800000000007,,33.52071320314819,,,
2019-11-07,138.58,139.27,137.14,137.86,1475958,0.0,141.81400000000008,,33.220513608690425,,,
2019-11-08,137.38,138.99,136.87,137.57,1337288,0.0,139.97600000000006,,32.73858157934275,,,
2019-11-11,136.73,140.52,136.73,140.5,1589404,0.0,138.77600000000007,,41.90815119745737,,,
2019-11-12,139.9,143.39,139.9,142.95,1104180,0.0,139.38600000000008,,48.25990035632804,,,
2019-11-13,142.28,144.06,142.175,143.55,769623,0.0,140.4860000000001,,49.7101031409734,-1.6848224718739004,,
2019-11-14,143.75,145.91,142.94,145.68,644998,0.0,142.05000000000013,,54.577386488093154,-1.293473496363191,,
2019-11-15,145.53,146.595,144.64,146.5,808080,0.0,143.8360000000001,,56.329696827944204,-0.9067075070443877,,
2019-11-18,146.24,146.24,141.7,142.12,1298671,0.0,144.1600000000001,,46.09957573017999,-0.9427545808596278,,
2019-11-19,142.32,143.75,142.0,142.86,640503,0.0,144.1420000000001,,47.82366297996634,-0.9012216092805829,,
2019-11-20,142.41,143.5445,141.78,142.33,1100374,0.0,143.89800000000008,,46.67218917715729,-0.9006904023821107,,
2019-11-21,142.51,144.36,141.81,143.46,877840,0.0,143.4540000000001,,49.46590955222051,-0.7998674864088571,,
2019-11-22,144.1,144.69,143.14,143.73,981589,0.0,142.9000000000001,,50.13806284505053,-0.6902214127955517,,
2019-11-25,144.43,146.51,143.535,146.46,1167103,0.0,143.7680000000001,,56.44610317707468,-0.378672820502544,-0.944270198612306,0.565597378109762
2019-11-26,146.06,148.37,145.71,147.98,993334,0.0,144.7920000000001,,59.51698949790258,-0.009013122033650234,-0.7572187832965749,0.7482056612629246
2019-11-27,148.07,148.94,146.83,147.5,1467208,0.0,145.82600000000008,,58.12328968606094,0.2424184151944928,-0.5572913435983613,0.7997097587928541
2019-11-29,147.14,147.4,145.8,146.04,631349,0.0,146.34200000000007,,53.982549516582495,0.32017909632548935,-0.3817972556135912,0.7019763519390805
2019-12-02,145.98,146.255,143.78,144.0,858921,0.0,146.39600000000007,,48.755969708181496,0.21471889953264167,-0.2624940245843447,0.47721292411698635
2019-12-03,143.74,144.77,142.69,143.41,1029723,0.0,145.78600000000006,,47.32873429686934,0.082580923133321,-0.19347903504081154,0.27605995817413254
2019-12-04,143.9,146.16,143.8,145.18,542066,0.0,145.22600000000006,,51.879685789704354,0.11930950660240569,-0.1309213267121681,0.2502308333145738
2019-12-05,145.29,145.88,143.32,145.38,643993,0.0,144.80200000000008,,52.38036085664352,0.1626802257693214,-0.0722010162158702,0.2348812419851916
2019-12-06,146.32,148.8999,145.965,148.47,780443,0.0,145.28800000000007,,59.40760928882303,0.4413019547374972,0.03049957797480328,0.41080237676269393
2019-12-09,148.23,148.94,146.28,146.44,1168816,0.0,145.77600000000007,,53.791505227761405,0.492628928091591,0.12292544799816083,0.3697034800934301
2019-12-10,146.7,146.98,145.02,146.08,1487917,0.0,146.3100000000001,,52.83755238125815,0.49851041515717043,0.19804244142996275,0.3004679737272077
2019-12-11,146.29,146.29,143.4306,143.81,908038,0.0,146.03600000000006,,47.15843745248023,0.31635476638911086,0.22170490642179239,0.09464985996731848
