Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,53.55,53.88,53.36,53.68,6746915,0.0,,,,,,
2019-10-11,53.65,53.7,53.195,53.29,7509785,0.0,,,,,,
2019-10-14,53.49,53.68,53.22,53.3,5910276,0.0,,,,,,
2019-10-15,53.43,53.68,53.27,53.51,6593375,0.0,,,,,,
2019-10-16,53.46,53.57,53.1341,53.49,7607532,0.0,53.45399999999999,,,,,
2019-10-17,53.69,54.12,53.58,53.81,9847221,0.0,53.48,,,,,
2019-10-18,55.0,55.39,54.45,54.78,16485212,0.0,53.777999999999984,,,,,
2019-10-21,54.45,54.56,53.68,54.24,10008681,0.0,53.96599999999999,,,,,
2019-10-22,54.23,54.42,53.74,53.87,7500372,0.0,54.03799999999999,,,,,
2019-10-23,54.06,54.66,54.01,54.65,7062294,0.0,54.26999999999998,,,,,
2019-10-24,54.57,54.817,54.485,54.62,5401347,0.0,54.43199999999998,,,,,
2019-10-25,54.55,54.56,53.67,53.73,7674501,0.0,54.22199999999998,,,,,
2019-10-28,53.74,53.95,53.37,53.56,7202344,0.0,54.08599999999998,,,,,
2019-10-29,53.39,53.66,53.26,53.41,6817797,0.0,53.993999999999986,,,,,
2019-10-30,53.52,54.05,53.16,53.94,6584984,0.0,53.85199999999999,,52.4163568773234,,,
2019-10-31,53.97,54.47,53.85,54.43,5840791,0.0,53.813999999999986,,56.666666666666664,,,
2019-11-01,54.63,54.74,53.85,53.9,7909515,0.0,53.84799999999998,,51.32634176434299,,,
2019-11-04,53.96,54.0,52.97,53.14,13238344,0.0,53.763999999999974,,44.80562994514801,,,
2019-11-05,52.89,52.89,52.12,52.42,15880191,0.0,53.56599999999999,,39.66448232930203,,,
2019-11-06,52.53,52.8,52.41,52.79,10297397,0.0,53.33599999999999,,43.26708600738264,,,
2019-11-07,52.88,53.0,51.96,52.3,10018569,0.0,52.90999999999999,,39.87171381460591,,,
2019-11-08,52.46,52.6,52.09,52.2,5792427,0.0,52.56999999999999,,39.19569816689279,,,
2019-11-11,52.33,52.37,51.775,51.84,6577735,0.0,52.30999999999999,,36.77818252280303,,,
2019-11-12,51.91,51.91,51.5831,51.71,9632046,0.0,52.167999999999985,,35.91668764193918,,,
2019-11-13,52.18,52.45,51.9612,52.39,9708851,0.0,52.08799999999998,,43.38684939533732,,,
2019-11-14,52.53,52.67,52.35,52.64,6904146,0.0,52.15599999999997,,45.88444955700397,-0.6977979617596759,,
2019-11-15,52.64,52.68,52.375,52.67,7475408,0.0,52.24999999999998,,46.19122783179874,-0.6463462481600146,,
2019-11-18,52.68,53.44,52.67,53.01,7873734,0.0,52.483999999999966,,49.67334163630466,-0.5715468002040325,,
2019-11-19,53.15,53.31,52.87,53.08,5301564,0.0,52.75799999999997,,50.3852183217106,-0.5008458446806401,,
2019-11-20,53.1,53.4,53.01,53.21,8190428,0.0,52.92199999999997,,51.75021640170575,-0.4293753428354705,,
2019-11-21,53.11,53.34,52.775,52.96,5270845,0.0,52.98599999999997,,48.96057241548027,-0.38842978904981607,,
2019-11-22,52.975,53.1878,52.75,53.03,5302403,0.0,53.05799999999996,,49.776933978984175,-0.34633934333114524,,
2019-11-25,53.28,53.39,52.77,53.2,6789559,0.0,53.09599999999996,,51.793524398594236,-0.29585435773012136,,
2019-11-26,53.31,53.94,53.22,53.88,8273916,0.0,53.25599999999996,,58.90204692817164,-0.19868402020533438,-0.45280218977291675,0.2541181695675824
2019-11-27,53.93,54.1,53.6,53.97,7597220,0.0,53.40799999999996,,59.748063789848935,-0.11310972134454289,-0.38486369608724197,0.2717539747426991
2019-11-29,53.7,53.725,53.22,53.43,5536699,0.0,53.50199999999997,,52.73377528416408,-0.0878522539026747,-0.32546140765032855,0.23760915374765385
2019-12-02,53.4001,53.75,52.85,53.74,8793842,0.0,53.64399999999996,,55.9321838179958,-0.04233312979405213,-0.2688357520790733,0.22650262228502116
2019-12-03,53.71,53.84,53.4,53.8,10715113,0.0,53.76399999999997,,56.545092940581206,-0.0014012447540352468,-0.2153488506140657,0.21394760586003045
2019-12-04,53.8,54.31,53.72,54.28,8850603,0.0,53.84399999999996,,61.194929649093645,0.06897446283861797,-0.15848418792352897,0.22745865076214694
2019-12-05,54.21,54.29,53.83,54.2,7379369,0.0,53.889999999999965,,60.04177948672942,0.11694432533612797,-0.10339848527159759,0.22034281060772556
2019-12-06,54.31,54.5,54.17,54.43,5752649,0.0,54.08999999999996,,62.24456607227374,0.1715424304229316,-0.04841030213269175,0.21995273255562336
2019-12-09,54.3,54.51,54.02,54.07,8608225,0.0,54.15599999999996,,56.952353195132616,0.18364587537217147,-0.0019990666317191083,0.1856449420038906
2019-12-10,54.04,54.07,53.73,53.77,6722879,0.0,54.149999999999956,,52.914815542944005,0.16710417696632618,0.031821582087889946,0.13528259487843625
2019-12-11,53.94,54.15,53.66,53.94,7148583,0.0,54.08199999999995,,54.86739046441113,0.16580108930401138,0.058617483531114234,0.10718360577289715
2019-12-12,54.01,54.45,53.94,54.13,9068423,0.0,54.06799999999995,,57.012996426666945,0.17804737573036533,0.08250346197096445,0.09554391375940088
2019-12-13,53.94,54.55,53.84,54.43,7467133,0.0,54.06799999999995,,60.22805363216278,0.20954463859168015,0.1079116972951076,0.10163294129657255
2019-12-16,54.69,54.83,54.37,54.42,6824554,0.0,54.137999999999955,,60.066785205544804,0.23103628740221183,0.13253661531652844,0.09849967208568339
2019-12-17,54.4,54.58,54.29,54.41,5680259,0.0,54.26599999999996,,59.894074577756484,0.24444386083038694,0.15491806441930014,0.0895257964110868
2019-12-18,54.53,54.75,53.885,53.92,9142430,0.0,54.261999999999965,,52.003667494014984,0.21307436581450645,0.1665493246983414,0.04652504111616504
2019-12-19,54.04,54.34,53.92,54.31,8578726,0.0,54.297999999999966,,56.8734894289103,0.21718003933978736,0.1766754676266306,0.040504571713156745
2019-12-20,54.94,55.2,54.47,54.97,16922668,0.0,54.40599999999996,,63.60366892225474,0.2705713215679708,0.19545463841489866,0.07511668315307216
2019-12-23,55.0,55.24,54.84,54.92,5273039,0.0,54.50599999999996,,62.804054241660666,0.30533006038985633,0.2174297228098902,0.08790033757996613
2019-12-24,54.8,55.0,54.64,54.71,2807036,0.0,54.56599999999996,,59.42495147254639,0.31233100892107046,0.23640998003212627,0.0759210288889442
2019-12-26,54.92,55.01,54.79,55.01,3236543,0.0,54.783999999999956,,62.52680368376066,0.33818837875126917,0.2567656597759549,0.08142271897531428
2019-12-27,55.01,55.445,55.0,55.35,5039620,0.0,54.99199999999996,,65.72484336259728,0.3817155103418628,0.2817556298891365,0.0999598804527263
2019-12-30,55.18,55.385,55.06,55.28,4933207,0.0,55.05399999999995,,64.50429346522252,0.40588388397733155,0.3065812807067755,0.09930260327055607
2019-12-31,55.2,55.38,54.98,55.33,5246559,0.0,55.135999999999946,,65.00421105198065,0.4241823660680524,0.33010149777903086,0.09408086828902151
2020-01-02,55.32,55.43,54.76,54.99,7894479,0.0,55.19199999999995,,58.92666765952431,0.4065622894602896,0.3453936561152826,0.061168633345006995
2020-01-03,54.32,54.99,54.09,54.68,6983904,0.0,55.125999999999955,,53.971916201073306,0.36339485292189266,0.34899389547660464,0.01440095744528802
2020-01-06,54.65,54.905,54.52,54.66,7466334,0.0,54.98799999999994,,53.65844255143079,0.32383751827874363,0.3439626200370325,-0.020125101758288855
2020-01-07,54.45,54.6,54.15,54.25,6700823,0.0,54.78199999999995,,47.56006651002628,0.25644829577167627,0.32645975518396125,-0.07001145941228498
2020-01-08,54.27,54.64,54.15,54.36,5927210,0.0,54.58799999999995,,49.22731294566203,0.20950291294395385,0.30306838673595976,-0.09356547379200592
2020-01-09,55.0,55.395,54.839,55.33,10684745,0.0,54.65599999999995,,61.00188253909996,0.24771376214794572,0.29199746181835695,-0.044283699670411236
2020-01-10,55.48,55.93,55.45,55.5289,9138509,0.0,54.82577999999995,,62.90171980359516,0.29069475497559694,0.291736920449805,-0.0010421654742080455
2020-01-13,55.55,56.23,55.54,56.13,9321811,0.0,55.11977999999995,,67.97872903163505,0.36900755841634236,0.3071910480431125,0.06181651037322988
2020-01-14,56.24,56.292,55.83,55.99,9977494,0.0,55.46777999999995,,65.72274580565936,0.4149904379392453,0.3287509260223391,0.08623951191690621
2020-01-15,56.0,56.98,56.0,56.71,13627400,0.0,55.93777999999994,,71.0447921968962,0.5037235721758293,0.36374545525303714,0.13997811692279216
2020-01-16,56.85,56.95,56.605,56.84,6612122,0.0,56.23977999999994,,71.89334208003137,0.5778737648435168,0.40657111717113315,0.17130264767238368
2020-01-17,56.87,57.15,56.8,56.92,10509918,0.0,56.51799999999994,,72.42881491507308,0.6357649555108793,0.4524098848390824,0.1833550706717969
2020-01-21,56.85,57.245,56.5745,57.17,15538736,0.0,56.72599999999994,,74.0900443234689,0.69381913674016,0.500691735219298,0.19312740152086205
2020-01-22,57.25,57.64,57.1799,57.61,16742497,0.0,57.04999999999994,,76.74571665103805,0.7664961261734717,0.5538526134101327,0.21264351276333904
2020-01-23,57.38,57.845,57.24,57.83,17130724,0.0,57.273999999999944,,77.96199979652923,0.8322516463713754,0.6095324200023813,0.2227192263689941
