Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,218.74,223.95,217.58,222.65,312304,0.0,,,,,,
2019-10-11,228.66,228.66,225.0,225.33,305063,0.0,,,,,,
2019-10-14,225.29,227.71,224.57,225.07,199313,0.0,,,,,,
2019-10-15,226.5,229.155,225.72,227.1,235559,0.0,,,,,,
2019-10-16,226.94,227.69,221.39,226.06,275957,0.0,225.24200000000002,,,,,
2019-10-17,226.69,229.29,226.07,228.9,193796,0.0,226.49200000000002,,,,,
2019-10-18,228.07,228.11,222.77,224.54,263321,0.0,226.334,,,,,
2019-10-21,225.8,226.375,222.5,226.19,232377,0.0,226.55800000000005,,,,,
2019-10-22,226.15,226.8899,215.49,216.38,438443,0.0,224.41400000000004,,,,,
2019-10-23,216.16,218.725,214.115,218.38,766287,0.0,222.87800000000007,,,,,
2019-10-24,219.18,224.11,218.8629,222.6,236747,0.0,221.61800000000002,,,,,
2019-10-25,221.86,224.25,221.28,222.11,187104,0.0,221.13200000000006,,,,,
2019-10-28,224.4,226.46,222.72,225.0,278846,0.0,220.89400000000006,,,,,
2019-10-29,224.47,230.555,224.47,228.07,387857,0.0,223.23200000000006,,,,,
2019-10-30,227.0,228.98,223.82,228.98,424755,0.0,225.35200000000003,,58.27450980392155,,,
2019-10-31,232.68,235.235,231.33,234.6,504137,0.0,227.75200000000004,,63.97478860278157,,,
2019-11-01,236.83,246.0,236.83,245.9,459761,0.0,232.51000000000005,,72.19881899300033,,,
2019-11-04,247.88,249.25,243.575,245.9,389178,0.0,236.69000000000005,,72.19881899300033,,,
2019-11-05,245.8,246.73,236.39,238.47,519067,0.0,238.77000000000007,,61.49376232659355,,,
2019-11-06,239.31,241.365,238.52,241.23,279336,0.0,241.22000000000008,,63.64986696227412,,,
2019-11-07,242.58,247.69,242.115,246.75,442833,0.0,243.6500000000001,,67.56195080066419,,,
2019-11-08,246.53,247.15,243.845,245.0,315153,0.0,243.47000000000008,,65.16744178943799,,,
2019-11-11,242.68,246.93,240.06,245.0,186236,0.0,243.29000000000005,,65.16744178943799,,,
2019-11-12,245.0,247.85,244.29,246.25,334351,0.0,244.84600000000006,,66.16095517234251,,,
2019-11-13,245.31,250.45,245.13,249.2,223475,0.0,246.44000000000005,,68.44818292369945,,,
2019-11-14,247.47,250.07,244.84,250.0,433952,0.0,247.09000000000006,,69.05895468882908,9.760754987646436,,
2019-11-15,250.01,251.01,247.3548,250.04,488254,0.0,248.09800000000004,,69.09117218604705,9.625596100658072,,
2019-11-18,249.4,253.0,248.98,252.58,371492,0.0,249.61400000000003,,71.14576069963002,9.612630065545744,,
2019-11-19,254.07,258.37,253.9634,257.5,541272,0.0,251.86400000000003,,74.65952866192734,9.885404481733588,,
2019-11-20,257.07,261.36,253.7906,256.26,905670,0.0,253.276,,72.27079597069212,9.887545070123082,,
2019-11-21,257.66,259.32,253.8,255.63,336868,0.0,254.40200000000004,,71.02739347571395,9.726287182734552,,
2019-11-22,256.47,258.71,255.29,257.99,319353,0.0,255.99200000000005,,72.90779010910285,9.677366761757952,,
2019-11-25,258.69,264.57,258.69,263.93,501887,0.0,258.26200000000006,,76.96088534150564,10.002601568551142,,
2019-11-26,264.21,265.605,259.04,259.78,589681,0.0,258.7180000000001,,69.17451857044902,9.812371271097902,9.776728609983163,0.03564266111473913
2019-11-27,261.04,261.05,252.265,258.18,543398,0.0,259.1020000000001,,66.38585006467665,9.423873217297256,9.706157531445982,-0.28228431414872546
2019-11-29,257.76,260.75,256.8,259.4,190043,0.0,259.85600000000005,,67.46294388539286,9.10942177096004,9.586810379348794,-0.47738860838875397
2019-12-02,259.63,260.235,255.505,256.58,548932,0.0,259.574,,62.479358279837754,8.534288338405702,9.376305971160177,-0.8420176327544748
2019-12-03,252.45,255.53,251.54,254.35,382229,0.0,257.658,,58.78144012988378,7.808536636679008,9.062752104263943,-1.2542154675849346
2019-12-04,255.53,259.81,254.92,259.03,324273,0.0,257.508,,63.64456827601555,7.5242749143953915,8.755056666290233,-1.2307817518948418
2019-12-05,259.53,261.09,258.01,260.41,208889,0.0,257.954,,64.95748180592986,7.325901486231373,8.469225630278462,-1.1433241440470887
2019-12-06,263.03,267.51,261.905,266.38,417297,0.0,259.35,,70.00418150126389,7.563233968595966,8.288027297941964,-0.7247933293459976
2019-12-09,266.23,267.01,263.36,263.54,306825,0.0,260.742,,65.19413396817043,7.436434814111266,8.117708801175825,-0.681273987064559
2019-12-10,264.14,264.14,260.51,261.43,304265,0.0,262.158,,61.796785689485866,7.084025963000897,7.910972233540839,-0.826946270539942
2019-12-11,262.54,262.54,260.14,260.79,198289,0.0,262.51000000000005,,60.76247922781026,6.676138390615279,7.664005464955728,-0.987867074340449
2019-12-12,260.92,262.01,258.07,259.87,262951,0.0,262.402,,59.227855542194625,6.207096692699309,7.372623710504444,-1.1655270178051342
2019-12-13,258.95,261.03,256.57,260.07,287532,0.0,261.14,,59.46751605393464,5.784832152250033,7.0550653988535625,-1.2702332466035298
2019-12-16,262.41,264.41,260.88,261.03,288796,0.0,260.638,,60.66277651109357,5.464655294037641,6.736983377890379,-1.272328083852738
2019-12-17,262.93,262.93,258.45,258.49,528078,0.0,260.04999999999995,,55.960700536168446,4.948908122571652,6.379368326826635,-1.4304602042549828
2019-12-18,259.84,260.97,257.05,257.46,335619,0.0,259.38399999999996,,54.128465167603146,4.406269647804038,5.984748591022116,-1.5784789432180784
2019-12-19,256.98,260.29,256.98,259.78,550551,0.0,259.366,,57.50356095974258,4.1159828695923295,5.610995446736159,-1.4950125771438296
2019-12-20,261.0,261.99,257.22,259.04,613302,0.0,259.15999999999997,,56.08605102018182,3.7826130818812373,5.245318973765174,-1.462705891883937
2019-12-23,261.72,266.28,258.21,258.72,241763,0.0,258.698,,55.44950183877264,3.452792158952235,4.886813610802587,-1.4340214518503522
2019-12-24,258.54,261.185,257.54,260.56,67607,0.0,259.11199999999997,,58.37489959163421,3.3018180209429033,4.56981449283065,-1.2679964718877468
2019-12-26,260.5,262.85,259.655,260.58,122211,0.0,259.736,,58.4068701937997,3.14750132568264,4.2853518594010485,-1.1378505337184084
2019-12-27,260.9,261.27,258.83,259.98,133528,0.0,259.77599999999995,,56.9926395876146,2.942865723120576,4.0168546321449545,-1.0739889090243784
2019-12-30,260.08,261.08,255.93,256.94,146192,0.0,259.356,,50.34158923854741,2.5064946302514954,3.714782631766263,-1.2082880015147675
2019-12-31,256.64,258.63,255.5571,258.18,129303,0.0,259.248,,52.76309593713433,2.2349617839266784,3.418818462198346,-1.1838566782716677
2020-01-02,260.09,266.06,259.74,266.06,436945,0.0,260.348,,64.58258971596479,2.62535671305767,3.260126112370211,-0.6347693993125412
2020-01-03,262.2,263.58,259.27,260.79,374998,0.0,260.39,,54.721122618867525,2.4809042306040965,3.1042817360169885,-0.623377505412892
2020-01-06,258.58,262.15,256.8,262.08,324972,0.0,260.81,,56.47317405282786,2.442362778760298,2.971897944565651,-0.5295351658053526
2020-01-07,260.86,265.36,260.74,262.33,401717,0.0,261.888,,56.82187247887326,2.4042763104637856,2.858373617745278,-0.4540973072814922
2020-01-08,263.04,269.23,263.04,266.57,411126,0.0,263.5659999999999,,62.33326670092295,2.685270942875775,2.8237530827713773,-0.13848213989560243
2020-01-09,270.49,271.63,266.27,267.73,337869,0.0,263.9,,63.698476327233024,2.967357666926432,2.8524739996023882,0.11488366732404387
2020-01-10,267.97,268.36,264.08,265.64,288608,0.0,264.87,,59.51316820882767,2.9878260955482006,2.879544418791551,0.10828167675664968
2020-01-13,266.11,273.34,265.97,272.0,332364,0.0,266.854,,66.68640824817975,3.4771637408153993,2.9990682831963205,0.4780954576190788
2020-01-14,271.27,273.0,266.32,266.67,263599,0.0,267.72200000000004,,57.49309541006455,3.3957369530239703,3.0784020171618507,0.3173349358621196
2020-01-15,266.54,271.16,266.54,269.8,263564,0.0,268.36800000000005,,60.901828317858424,3.5429297893352896,3.1713075715965386,0.3716222177387509
2020-01-16,272.44,277.32,270.69,277.23,290984,0.0,270.26800000000003,,67.55349624000348,4.210583096538301,3.3791626765848912,0.8314204199534094
2020-01-17,279.26,279.93,276.37,278.95,409941,0.0,272.93,,68.8736561418145,4.822897418745356,3.6679096250169843,1.1549877937283717
2020-01-21,277.61,281.675,276.38,277.97,701562,0.0,274.124,,67.1960700493288,5.1694924299475815,3.968226186003104,1.2012662439444775
2020-01-22,279.53,283.42,278.29,279.21,594461,0.0,276.632,,68.24986836975775,5.481047012172041,4.270790351236892,1.2102566609351495
2020-01-23,277.95,280.1099,276.21,279.15,362158,0.0,278.502,,68.13581153692408,5.657894083576764,4.548211097704867,1.1096829858718973
2020-01-24,280.58,281.0,274.23,276.01,329746,0.0,278.258,,62.27082289251532,5.4814877254627845,4.734866423256451,0.7466213022063339
2020-01-27,270.0,275.496,269.3,273.95,296304,0.0,277.258,,58.70090060165385,5.116480034912399,4.81118914558764,0.305290889324759
2020-01-28,275.15,279.09,273.96,278.18,207641,0.0,277.3,,63.34750340603842,5.109633781234322,4.870878072716977,0.2387557085173455
2020-01-29,279.84,284.74,278.5,282.43,363469,0.0,277.944,,67.32527756490569,5.385071801500885,4.973716818473759,0.4113549830271266
2020-01-30,282.11,293.08,279.0,292.7,533069,0.0,280.654,,74.52113867142326,6.358761739869294,5.250725802752866,1.1080359371164281
2020-01-31,292.05,295.07,285.12,285.78,654401,0.0,282.608,,64.25314506348857,6.497136913920087,5.50000802498631,0.9971288889337773
2020-02-03,287.22,294.54,287.2,292.68,431943,0.0,286.354,,68.86044225706162,7.081936415938003,5.816393703176649,1.2655427127613539
2020-02-04,297.39,303.12,296.3951,301.09,416254,0.0,290.936,,73.36624680292006,8.13029002673909,6.279172967889137,1.8511170588499528
2020-02-05,304.45,304.45,292.04,295.25,316931,0.0,293.49999999999994,,66.20256540791726,8.39312786965462,6.701963948242234,1.691163921412386
