Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,56.48,57.37,56.01,56.88,1394936,0.0,,,,,,
2019-10-11,57.75,58.68,57.69,57.72,3075589,0.0,,,,,,
2019-10-14,57.71,57.77,57.26,57.68,1481769,0.0,,,,,,
2019-10-15,57.78,58.7,57.75,58.53,1678937,0.0,,,,,,
2019-10-16,58.05,58.72,57.51,57.74,2023790,0.0,57.71,,,,,
2019-10-17,58.22,58.52,57.53,58.14,1053724,0.0,57.962,,,,,
2019-10-18,58.01,58.37,57.4,57.72,1798799,0.0,57.96199999999999,,,,,
2019-10-21,58.36,58.6,57.96,58.53,1169952,0.0,58.131999999999984,,,,,
2019-10-22,58.81,59.02,58.32,58.615,977470,0.0,58.14899999999998,,,,,
2019-10-23,56.995,57.7,56.05,56.495,2339202,0.0,57.89999999999998,,,,,
2019-10-24,56.96,57.41,56.69,57.13,1456345,0.0,57.69799999999998,,,,,
2019-10-25,57.25,57.74,56.965,57.16,1637678,0.0,57.58599999999997,,,,,
2019-10-28,57.63,58.15,57.6,57.98,2058744,0.0,57.47599999999998,,,,,
2019-10-29,58.19,59.38,58.18,58.33,3324281,0.0,57.41899999999997,,,,,
2019-10-30,62.0,62.11,58.7,58.86,3151934,0.0,57.891999999999975,,61.35321100917428,,,
2019-10-31,58.7,58.87,57.05,58.68,1701883,0.0,58.20199999999998,,60.01898515705901,,,
2019-11-01,59.11,60.5954,59.11,60.55,1331058,0.0,58.879999999999974,,67.84287971980177,,,
2019-11-04,61.38,61.5488,60.32,60.54,1535103,0.0,59.391999999999975,,67.76650891535579,,,
2019-11-05,60.69,61.15,60.14,60.86,1565384,0.0,59.89799999999998,,68.97025786007463,,,
2019-11-06,60.64,60.64,59.3,59.62,1443099,0.0,60.049999999999976,,59.671000178155396,,,
2019-11-07,60.3,60.39,59.255,59.6,1294672,0.0,60.23399999999998,,59.53157961499802,,,
2019-11-08,59.25,59.63,58.95,59.54,1157308,0.0,60.03199999999998,,59.085563209852126,,,
2019-11-11,59.06,59.12,58.765,59.09,1097268,0.0,59.741999999999976,,55.71412878329809,,,
2019-11-12,59.12,59.49,58.26,58.39,2114989,0.0,59.24799999999997,,50.85317368855739,,,
2019-11-13,58.18,58.62,57.67,58.45,1937722,0.0,59.01399999999997,,51.245824030159284,,,
2019-11-14,58.44,58.58,57.71,57.77,2809377,0.0,58.64799999999995,,46.692773039239256,0.34721014259238103,,
2019-11-15,58.38,58.42,56.98,57.8,3289860,0.0,58.299999999999955,,46.91685027722009,0.23918000450343158,,
2019-11-18,57.59,57.74,56.53,56.61,1751054,0.0,57.80399999999995,,39.77470041358188,0.056886534439406944,,
2019-11-19,56.9,57.08,55.85,56.0,3609296,0.0,57.32599999999995,,36.69129449595168,-0.135245233097244,,
2019-11-20,55.85,56.33,55.24,55.47,1801930,0.0,56.72999999999996,,34.20984410387345,-0.32651376626017736,,
2019-11-21,55.24,55.625,54.27,54.94,2203349,0.0,56.163999999999966,,31.887394587154176,-0.5149262778122221,,
2019-11-22,55.305,55.49,54.78,55.29,1608852,0.0,55.66199999999996,,35.02444875795433,-0.6287545842668152,,
2019-11-25,55.3,57.01,55.3,56.96,2266524,0.0,55.73199999999996,,47.45890399427695,-0.577551638221081,,
2019-11-26,56.5,57.01,56.16,56.9,1269718,0.0,55.911999999999956,,47.110077014808006,-0.5356399096869993,-0.23059496975659105,-0.3050449399304082
2019-11-27,57.08,57.71,56.98,57.29,1104469,0.0,56.275999999999954,,49.69813776461855,-0.46558781571088304,-0.2775935389474495,-0.18799427676343355
2019-11-29,57.15,57.41,56.58,56.68,515180,0.0,56.62399999999995,,45.91376144306323,-0.4540588211061021,-0.31288659537918,-0.14117222572692206
2019-12-02,56.8,56.97,55.94,56.46,1969007,0.0,56.85799999999995,,44.59484763661902,-0.4574015310755044,-0.34178958251844493,-0.11561194855705947
2019-12-03,55.55,55.575,54.465,55.21,1583531,0.0,56.507999999999946,,37.92819624248343,-0.554523010042125,-0.38433626802318094,-0.17018674201894407
