Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,10.38,10.8041,10.22,10.42,267604,0.0,,,,,,
2019-10-11,10.48,10.9,10.2,10.21,247196,0.0,,,,,,
2019-10-14,10.25,10.55,10.01,10.25,295302,0.0,,,,,,
2019-10-15,10.26,10.52,9.9328,9.96,302412,0.0,,,,,,
2019-10-16,10.0,10.39,9.95,10.26,352143,0.0,10.22,,,,,
2019-10-17,10.57,10.98,10.31,10.89,385276,0.0,10.314,,,,,
2019-10-18,10.77,11.4499,10.76,11.15,542014,0.0,10.501999999999999,,,,,
2019-10-21,11.325999999999999,12.3588,11.325999999999999,11.74,222095,0.0,10.8,,,,,
2019-10-22,11.91,12.48,11.89,12.08,117862,0.0,11.224,,,,,
2019-10-23,12.15,12.73,11.75,12.44,248957,0.0,11.66,,,,,
2019-10-24,12.61,13.0,12.035,12.87,140374,0.0,12.056000000000001,,,,,
2019-10-25,12.86,13.9,12.86,13.2488,182764,0.0,12.475760000000001,,,,,
2019-10-28,13.32,13.7285,13.0,13.05,55456,0.0,12.737760000000002,,,,,
2019-10-29,13.19,13.55,12.77,12.93,71135,0.0,12.907760000000001,,,,,
2019-10-30,12.99,13.62,12.93,13.56,62211,0.0,13.131760000000003,,82.86168787675824,,,
2019-10-31,13.5,13.5,12.69,12.96,313465,0.0,13.149760000000004,,72.990038122901,,,
2019-11-01,13.01,13.63,13.0,13.38,130395,0.0,13.176000000000002,,75.21587003110517,,,
2019-11-04,11.32,12.87,11.21,12.31,611328,0.0,13.028000000000002,,61.345962956740145,,,
2019-11-05,12.37,12.89,12.105,12.68,179559,0.0,12.978000000000003,,63.82977060927296,,,
2019-11-06,12.75,13.33,12.5,13.02,78723,0.0,12.870000000000001,,65.99230103386691,,,
2019-11-07,13.15,13.44,12.8,12.91,130942,0.0,12.860000000000003,,64.645669280703,,,
2019-11-08,12.81,13.08,12.53,12.63,145092,0.0,12.71,,61.2210941707364,,,
2019-11-11,12.6,12.99,12.0,12.89,155564,0.0,12.825999999999999,,63.172038770442256,,,
2019-11-12,12.81,13.45,12.345,13.02,164451,0.0,12.894,,64.14338348248737,,,
2019-11-13,13.2,13.2,12.05,12.95,143238,0.0,12.88,,63.17712146497882,,,
2019-11-14,12.88,14.4,12.72,14.14,226538,0.0,13.126000000000001,,71.13716775920554,0.7151551842857149,,
2019-11-15,14.25,15.05,13.92,14.53,156269,0.0,13.506000000000004,,73.18317665777224,0.7887028197517321,,
2019-11-18,14.43,14.43,13.0501,13.85,116081,0.0,13.698000000000002,,64.58634765966602,0.7830925305042875,,
2019-11-19,13.98,14.95,13.95,14.53,115269,0.0,14.000000000000004,,68.56328600816873,0.824017887583878,,
2019-11-20,14.54,15.68,14.29,14.74,212297,0.0,14.358,,69.69512763829263,0.8634435333005506,,
2019-11-21,14.82,15.0,13.76,14.26,150580,0.0,14.382000000000001,,64.02125804729991,0.8462021613315542,,
2019-11-22,14.44,15.18,14.2053,15.04,179031,0.0,14.484000000000004,,68.50785650071587,0.8852728566683048,,
2019-11-25,14.81,16.14,14.81,15.65,321807,0.0,14.844000000000005,,71.50095775879863,0.9544561894060077,,
2019-11-26,15.73,16.25,15.45,16.1,252654,0.0,15.158000000000005,,73.50175748974266,1.0336800975121143,0.8548914733715716,0.17878862414054275
2019-11-27,16.12,16.95,16.05,16.43,317580,0.0,15.496000000000006,,74.89376340848678,1.1102950671392673,0.9059721921251108,0.20432287501415647
2019-11-29,16.38,17.79,16.16,16.5,115462,0.0,15.944000000000006,,75.19147364150885,1.1632521508398685,0.9574281838680624,0.20582396697180616
2019-12-02,16.52,17.55,16.28,17.55,296719,0.0,16.446000000000005,,79.17966355771067,1.2752469924760668,1.0209919455896634,0.2542550468864033
2019-12-03,17.24,18.49,17.01,17.26,261118,0.0,16.768000000000004,,75.56642114059761,1.3253256063793426,1.0818586777475994,0.24346692863174324
2019-12-04,17.3,17.715,16.33,16.77,238867,0.0,16.902000000000005,,69.77277200407839,1.3103692428405491,1.1275607907661893,0.1828084520743598
2019-12-05,16.76,17.5,16.22,16.43,212258,0.0,16.902000000000005,,65.99198633997777,1.256595804252143,1.1533677934633801,0.10322801078876287
2019-12-06,16.66,17.49,16.66,17.18,157989,0.0,17.038000000000004,,69.87041857807442,1.2599744970475264,1.1746891341802095,0.08528536286731692
2019-12-09,16.99,17.41,16.44,16.63,160363,0.0,16.854000000000006,,64.09741817557565,1.2043882934308332,1.1806289660303344,0.023759327400498798
2019-12-10,16.76,17.5,16.55,17.5,214073,0.0,16.902000000000005,,68.52722266051235,1.2165143356863481,1.187806039961537,0.02870829572481104
2019-12-11,17.29,17.5,17.11,17.31,166981,0.0,17.010000000000005,,66.59473035092688,1.1969946897533603,1.1896437699199018,0.00735091983345848
2019-12-12,17.24,18.5,17.24,18.3,198515,0.0,17.384000000000004,,71.15863653371457,1.2470349137118095,1.2011219986782835,0.045912915033526014
2019-12-13,18.2,19.84,18.14,18.66,362597,0.0,17.68,,72.6233543072272,1.3007469420130242,1.2210469873452316,0.07969995466779256
2019-12-16,18.5,18.5,17.3,18.13,254216,0.0,17.98,,67.21157256820257,1.2857264862146796,1.2339828871191214,0.051743599095558146
2019-12-17,18.16,19.27,18.04,18.7,192953,0.0,18.220000000000002,,69.81661930653078,1.3047762546209363,1.2481415606194846,0.05663469400145171
2019-12-18,18.72,20.5,18.72,19.26,312948,0.0,18.610000000000003,,72.15711089176148,1.3495044064535229,1.2684141297862923,0.08109027666723057
2019-12-19,19.27,19.785,17.11,18.68,505128,0.0,18.686000000000003,,66.41307138836837,1.3229010563912666,1.2793115151072874,0.043589541283979294
2019-12-20,18.7,20.16,18.07,19.08,1197560,0.0,18.770000000000003,,68.2879749696838,1.3188910122525606,1.287227414536342,0.03166359771621852
2019-12-23,19.18,20.17,18.75,19.16,441370,0.0,18.976000000000006,,68.6647280353246,1.3071009091552561,1.291202113460125,0.015898795695131085
2019-12-24,19.2,20.37,19.2,20.23,157266,0.0,19.282000000000004,,73.2434242120575,1.368324037393485,1.3066264982467972,0.06169753914668785
2019-12-26,19.53,20.45,19.53,19.57,223941,0.0,19.344,,66.7631957648043,1.3480478667836273,1.3149107719541633,0.03313709482946403
