Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,1.73,1.76,1.575,1.635,34114585,0.0,,,,,,
2019-10-10,1.64,1.64,1.5,1.52,31701934,0.0,,,,,,
2019-10-11,1.55,1.59,1.5,1.56,24574333,0.0,,,,,,
2019-10-14,1.56,1.57,1.52,1.53,11691856,0.0,,,,,,
2019-10-15,1.63,1.64,1.54,1.56,23515202,0.0,1.561,,,,,
2019-10-16,1.46,1.52,1.4,1.46,35551730,0.0,1.5260000000000002,,,,,
2019-10-17,1.46,1.5,1.42,1.465,17048891,0.0,1.5150000000000001,,,,,
2019-10-18,1.45,1.55,1.44,1.52,20128230,0.0,1.5070000000000001,,,,,
2019-10-21,1.52,1.77,1.49,1.7197,36275802,0.0,1.54494,,,,,
2019-10-22,1.7,1.77,1.52,1.54,36128209,0.0,1.5409399999999998,,,,,
2019-10-23,1.58,1.595,1.52,1.55,11611545,0.0,1.55894,,,,,
2019-10-24,1.57,1.6,1.53,1.54,20213498,0.0,1.57394,,,,,
2019-10-25,1.54,1.555,1.5,1.52,19927960,0.0,1.57394,,,,,
2019-10-28,1.4289,1.5,1.38,1.47,28078428,0.0,1.5240000000000002,,,,,
2019-10-29,1.45,1.45,1.39,1.4,20542141,0.0,1.4960000000000002,,37.150043744531935,,,
2019-10-30,1.42,1.45,1.36,1.45,19490473,0.0,1.4760000000000004,,40.645258675479845,,,
2019-10-31,1.5,1.54,1.46,1.4751,12843948,0.0,1.4630200000000004,,42.37765880446055,,,
2019-11-01,1.49,1.55,1.49,1.53,15892374,0.0,1.4650200000000004,,46.084386224627394,,,
2019-11-04,1.65,1.9,1.58,1.72,57230249,0.0,1.5150200000000007,,56.51103535604221,,,
2019-11-05,1.88,2.38,1.8,2.355,175947633,0.0,1.7060200000000005,,74.35854629106194,,,
2019-11-06,2.46,2.46,1.96,2.045,107678032,0.0,1.8250200000000008,,61.16218412268464,,,
2019-11-07,2.11,2.2,2.05,2.065,37885076,0.0,1.9430000000000007,,61.63523608736255,,,
2019-11-08,2.13,2.13,1.94,1.99,36298690,0.0,2.035000000000001,,58.74558608249672,,,
2019-11-11,1.9,1.96,1.78,1.8559,32520329,0.0,2.0621800000000006,,53.88143011207905,,,
2019-11-12,1.9,2.05,1.83,1.955,26390423,0.0,1.9821800000000007,,56.73259700816063,,,
2019-11-13,1.9,1.99,1.85,1.89,23961403,0.0,1.9511800000000008,,54.35881321532697,0.17865269166357467,,
2019-11-14,1.86,1.89,1.66,1.7487,43450489,0.0,1.8879200000000007,,49.509191957149426,0.1577503928365247,,
2019-11-15,1.75,1.84,1.66,1.8179,30190938,0.0,1.8535000000000008,,51.77816933504826,0.14509645053229425,,
2019-11-18,1.88,1.9,1.73,1.79,24693652,0.0,1.8403200000000008,,50.78721188153056,0.13130323134200217,,
2019-11-19,1.78,1.89,1.78,1.849,25017195,0.0,1.819120000000001,,52.84258557685162,0.12370679771608106,,
2019-11-20,1.85,1.87,1.77,1.84,19361142,0.0,1.8091200000000007,,52.482502640729216,0.11562746313490546,,
2019-11-21,1.87,2.04,1.82,1.98,38490331,0.0,1.855380000000001,,57.35102621299019,0.11914789942446968,,
2019-11-22,2.04,2.05,1.88,1.94,23985260,0.0,1.8798000000000008,,55.59826953091918,0.11735738199407719,,
2019-11-25,1.99,2.12,1.96,2.065,34819929,0.0,1.9348000000000005,,59.73919658611744,0.12458865885637294,0.1348034408333669,-0.010214781976993964
2019-11-26,2.12,2.29,2.12,2.29,49842372,0.0,2.0230000000000006,,65.90326760264716,0.1467830933341676,0.13719937133352705,0.00958372200064056
2019-11-27,2.32,2.5,2.28,2.47,74472698,0.0,2.1490000000000005,,69.87667239985248,0.17685812783005583,0.14513112263283282,0.03172700519722302
