Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,116.01,119.46,114.0001,118.12,5568465,0.0,,,,,,
2019-10-10,117.0,118.19,113.81,114.57,4620142,0.0,,,,,,
2019-10-11,115.86,118.02,114.62,116.17,3823323,0.0,,,,,,
2019-10-14,117.95,120.62,115.62,115.85,3755672,0.0,,,,,,
2019-10-15,116.15,117.24,114.4794,115.9,3159540,0.0,116.122,,,,,
2019-10-16,112.74,113.0,106.22,106.45,8256027,0.0,113.78800000000001,,,,,
2019-10-17,107.0,107.99,104.6,105.0,4404362,0.0,111.87400000000002,,,,,
2019-10-18,104.5,104.87,96.35,98.56,9538810,0.0,108.35200000000002,,,,,
2019-10-21,98.31,101.62,96.0,101.17,2380884,0.0,105.41600000000001,,,,,
2019-10-22,102.22,104.62,98.12,99.15,2914291,0.0,102.066,,,,,
2019-10-23,98.35,103.23,97.66,100.79,1985419,0.0,100.934,,,,,
2019-10-24,102.38,108.16,102.3575,108.0,2224753,0.0,101.53400000000002,,,,,
2019-10-25,106.94,108.54,104.89,108.0,1395263,0.0,103.42200000000003,,,,,
2019-10-28,108.4,109.4,106.74,107.24,1234584,0.0,104.63600000000004,,,,,
2019-10-29,107.61,109.3054,105.81,107.58,1579487,0.0,106.32200000000005,,35.92414529914531,,,
2019-10-30,109.0,112.99,107.25,112.26,1847344,0.0,108.61600000000006,,43.52636534839925,,,
2019-10-31,111.71,112.5669,107.72,109.0,1290127,0.0,108.81600000000006,,39.969020526778955,,,
2019-11-01,109.56,111.87,108.3,111.05,1270634,0.0,109.42600000000004,,43.117309825150485,,,
2019-11-04,112.0,112.25,106.73,107.2,1714315,0.0,109.41800000000005,,38.9824577915808,,,
2019-11-05,107.59,108.9579,104.33,106.81,1518205,0.0,109.26400000000005,,38.57886231193318,,,
2019-11-06,106.9,109.3803,106.15,108.26,1005012,0.0,108.46400000000006,,41.02366024711312,,,
2019-11-07,107.45,108.63,104.93,105.23,1005964,0.0,107.71000000000006,,37.65108306914443,,,
2019-11-08,106.0,110.31,104.54,109.65,1951230,0.0,107.43000000000006,,44.782394224273546,,,
2019-11-11,109.71,112.49,107.66,110.9,1260918,0.0,108.17000000000004,,46.64113771411222,,,
2019-11-12,111.11,114.05,111.045,113.49,1321400,0.0,109.50600000000004,,50.36907575720372,,,
2019-11-13,114.31,117.42,113.67,116.71,1631004,0.0,111.19600000000005,,54.61449056622288,1.5403681194413963,,
2019-11-14,116.71,117.55,115.775,116.06,802465,0.0,113.36200000000004,,53.61744264611192,1.8693099516027303,,
2019-11-15,116.78,117.55,114.6,117.52,783915,0.0,114.93600000000004,,55.579084989902675,2.2221924702293876,,
2019-11-18,115.0,122.99,114.9,121.23,2535469,0.0,117.00200000000004,,60.18691744087684,2.7692976632248474,,
2019-11-19,122.89,128.17,122.72,126.08,3313803,0.0,119.52000000000005,,65.26019952865876,3.5532769721161657,,
2019-11-20,125.94,129.7892,125.1835,129.41,2239987,0.0,122.06000000000003,,68.25158533506922,4.3926536161522165,,
2019-11-21,129.49,130.21,126.75,127.88,1158085,0.0,124.42400000000002,,65.46245211218704,4.878174877249947,,
2019-11-22,128.58,129.79,125.62,127.63,1119313,0.0,126.44600000000003,,64.99507202434305,5.183034271246754,,
2019-11-25,128.39,129.66,127.43,128.73,1005466,0.0,127.94600000000003,,66.14057156462911,5.450567593936583,3.5398750594666697,1.9106925344699133
2019-11-26,129.66,131.525,129.01,130.32,1317569,0.0,128.79400000000004,,67.78175359100612,5.724896349959252,3.9768793175651864,1.7480170323940656
2019-11-27,130.02,131.105,127.86,129.92,949043,0.0,128.89600000000002,,66.90319338638645,5.842676471060088,4.350038748264167,1.492637722795921
2019-11-29,130.0,131.55,129.3767,129.8,505982,0.0,129.28000000000003,,66.62419823169336,5.858798486497392,4.651790695910812,1.2070077905865801
2019-12-02,129.24,129.295,118.85,121.84,2563608,0.0,128.12200000000004,,51.33241820468222,5.169677005868536,4.755367957902356,0.41430904796617973
2019-12-03,118.46,125.17,117.6318,124.78,1356801,0.0,127.33200000000004,,55.40380873186149,4.805383230380187,4.765371012397923,0.040012217982264175
