Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,103.32,104.17,103.08,103.61,454244,0.0,,,,,,
2019-10-10,103.92,106.29,103.92,106.0,629350,0.0,,,,,,
2019-10-11,107.43,110.35,107.37,109.34,911086,0.0,,,,,,
2019-10-14,108.945,109.02,107.22,107.27,683740,0.0,,,,,,
2019-10-15,107.5,107.95,107.04,107.13,378621,0.0,106.67,,,,,
2019-10-16,107.18,108.15,106.6,106.81,507749,0.0,107.31000000000002,,,,,
2019-10-17,106.99,107.65,106.005,106.4,586920,0.0,107.39000000000001,,,,,
2019-10-18,106.11,108.59,106.11,108.21,584496,0.0,107.16400000000002,,,,,
2019-10-21,109.22,109.87,108.3,108.52,551705,0.0,107.41400000000002,,,,,
2019-10-22,108.43,109.47,107.91,108.56,515862,0.0,107.70000000000002,,,,,
2019-10-23,108.5,111.23,108.5,110.01,1106922,0.0,108.34,,,,,
2019-10-24,109.43,110.26,105.52,108.52,1163286,0.0,108.76400000000001,,,,,
2019-10-25,108.46,111.16,108.46,110.93,490745,0.0,109.30799999999999,,,,,
2019-10-28,111.36,112.72,111.36,112.5,768632,0.0,110.104,,,,,
2019-10-29,111.76,112.7,111.04,111.56,480924,0.0,110.704,,71.26805778491172,,,
2019-10-30,111.35,111.39,109.36,110.44,597500,0.0,110.79,,66.94761260390487,,,
2019-10-31,108.9467,109.61,108.63,109.45,345862,0.0,110.97600000000003,,63.294990285365635,,,
2019-11-01,110.4,111.36,109.67,111.31,485147,0.0,111.05199999999999,,66.94405589910517,,,
2019-11-04,111.98,112.5526,110.79,112.05,811128,0.0,110.96199999999999,,68.29455303655057,,,
2019-11-05,112.23,113.68,111.93,113.25,839069,0.0,111.3,,70.40600818964542,,,
2019-11-06,113.13,113.13,111.4,112.36,470109,0.0,111.68400000000001,,66.85015482811232,,,
2019-11-07,112.86,113.44,111.75,112.91,570377,0.0,112.376,,67.9281468389159,,,
2019-11-08,112.81,113.95,112.25,113.91,624821,0.0,112.896,,69.84801721837572,,,
2019-11-11,113.27,114.12,113.01,113.66,287770,0.0,113.218,,68.7401617766491,,,
2019-11-12,113.67,114.78,112.88,113.73,369947,0.0,113.31400000000001,,68.88895608247935,,,
2019-11-13,113.49,113.72,112.605,112.77,581318,0.0,113.396,,64.36413511984634,2.2163421928024007,,
2019-11-14,112.49,113.6,112.15,112.92,481682,0.0,113.398,,64.75369134211968,2.104588473900975,,
2019-11-15,113.05,113.345,112.19,112.65,390578,0.0,113.146,,63.41000525708886,1.9715097656573874,,
2019-11-18,113.0,113.76,112.21,113.64,448316,0.0,113.14200000000001,,66.18108529078515,1.9237528316698729,,
2019-11-19,113.79,113.82600000000001,112.84,113.66,375832,0.0,113.128,,66.2367155257729,1.8660087628002202,,
2019-11-20,113.44,113.44,111.61,112.1,301723,0.0,112.994,,58.19552903069237,1.6750581816311154,,
