Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,73.91,74.8,73.56,74.34,9078848,0.0,,,,,,
2019-10-10,74.35,75.9656,74.2,74.98,8256904,0.0,,,,,,
2019-10-11,76.19,77.82,76.01,76.63,12791959,0.0,,,,,,
2019-10-14,76.65,77.37,76.28,76.3,8195393,0.0,,,,,,
2019-10-15,76.88,77.98,76.3,77.82,9128460,0.0,76.014,,,,,
2019-10-16,77.49,78.32,77.28,78.24,10555471,0.0,76.79400000000001,,,,,
2019-10-17,78.7,79.96,78.4,79.0,10803090,0.0,77.598,,,,,
2019-10-18,78.62,79.22,77.6725,77.68,10912090,0.0,77.808,,,,,
2019-10-21,78.16,79.09,78.13,78.96,3942376,0.0,78.34,,,,,
2019-10-22,78.93,79.07,78.2405,78.46,4190328,0.0,78.46799999999999,,,,,
2019-10-23,77.21,78.13,76.87,77.25,5230876,0.0,78.27,,,,,
2019-10-24,78.06,79.02,77.59,78.97,4465286,0.0,78.26399999999998,,,,,
2019-10-25,78.83,80.23,78.83,80.19,5816385,0.0,78.76599999999999,,,,,
2019-10-28,80.61,83.13,80.54,83.07,8852081,0.0,79.588,,,,,
2019-10-29,82.75,82.85,81.44,81.65,3946784,0.0,80.22599999999998,,71.6656787196207,,,
2019-10-30,82.1,82.2482,80.85,81.41,3544022,0.0,81.05799999999999,,70.58427269052862,,,
2019-10-31,81.44,81.47,79.84,80.46,4374802,0.0,81.356,,66.31839294234496,,,
2019-11-01,81.59,83.65,81.25,83.58,7699577,0.0,82.03399999999999,,72.25007821964078,,,
2019-11-04,84.54,85.87,84.3082,85.12,7490940,0.0,82.44399999999999,,74.62546431315846,,,
2019-11-05,85.2,85.74,84.73,85.45,5913537,0.0,83.204,,75.11699781797596,,,
2019-11-06,85.34,85.605,84.2242,84.63,6658691,0.0,83.848,,71.41505753659581,,,
2019-11-07,89.83,92.5,88.32,89.97,27712304,0.0,85.75000000000001,,78.75710234988098,,,
2019-11-08,89.98,94.11,89.6,94.04,15339229,0.0,87.84200000000001,,82.45581605314297,,,
2019-11-11,91.71,92.5244,90.89,91.84,10597547,0.0,89.186,,74.86753434787502,,,
2019-11-12,92.18,92.25,90.17,90.96,8194123,0.0,90.28800000000003,,72.0127315714892,,,
2019-11-13,90.7,91.9,89.62,90.46,8574257,0.0,91.45400000000002,,70.37082944445214,5.3736412635940525,,
2019-11-14,90.31,90.58,89.43,90.48,7099753,0.0,91.55600000000001,,70.3999015048063,5.225051264242097,,
2019-11-15,92.6,93.94,90.5801,90.88,12884053,0.0,90.924,,71.01250805710137,5.080998686239923,,
2019-11-18,90.81,91.975,89.28,90.47,8744103,0.0,90.65,,69.42643961474356,4.8775273081899115,,
2019-11-19,91.25,91.39,86.68,87.94,16563592,0.0,90.04600000000002,,60.453587703045514,4.460704692245429,,
2019-11-20,87.82,88.36,85.31,85.62,11523267,0.0,89.07800000000003,,53.61112171332987,3.8982288000696173,,
2019-11-21,84.79,86.3,84.55,85.11,10050791,0.0,88.00400000000002,,52.21208698510337,3.3724345392473083,,
2019-11-22,84.83,85.82,84.53,84.89,4975910,0.0,86.80600000000001,,51.586700430931565,2.9045053088110535,,
2019-11-25,85.76,86.29,85.08,85.28,7041516,0.0,85.768,,52.66900558197352,2.535905423895912,4.192110809615034,-1.6562053857191223
2019-11-26,85.1,85.545,84.14,84.64,7413805,0.0,85.108,,50.66724388917692,2.167163002108879,3.7871212481138032,-1.6199582460049244
2019-11-27,85.16,85.31,84.4713,84.81,4678234,0.0,84.946,,51.19782292047126,1.8671264835907522,3.4031222952091933,-1.5359958116184411
2019-11-29,84.51,85.1,83.42,83.55,3377951,0.0,84.634,,47.15016134875353,1.5102645219757846,3.0245507405625114,-1.5142862185867267
2019-12-02,83.98,84.29,82.31,82.47,6618270,0.0,84.15,,43.94327881672406,1.127306979149509,2.645101988279911,-1.5177950091304022
2019-12-03,81.38,81.39,79.81,80.59,9624861,0.0,83.21200000000002,,38.97399734219691,0.6644507050930315,2.2489717316425355,-1.584521026549504
2019-12-04,80.92,82.44,80.45,82.07,7447391,0.0,82.69800000000001,,44.31281348154582,0.4123046133953068,1.8816383079930898,-1.469333694597783
2019-12-05,82.65,83.4409,81.78,82.585,5682695,0.0,82.25300000000001,,46.08050332886952,0.2511382496618211,1.555538296326836,-1.304400046665015
2019-12-06,83.45,84.25,83.42,83.82,5461016,0.0,82.307,,50.16579211948475,0.22052485072916284,1.2885356072073013,-1.0680107564781385
2019-12-09,84.0,85.3,83.8401,84.94,6465217,0.0,82.801,,53.599293854870794,0.2833716196482783,1.0875028096954968,-0.8041311900472186
2019-12-10,85.04,85.33,83.69,84.12,5819774,0.0,83.50699999999999,,50.837601622857264,0.2639681295461713,0.9227958736656319,-0.6588277441194605
2019-12-11,84.84,87.1,84.76,87.1,8324275,0.0,84.513,,59.087669542045376,0.4834785788445686,0.8349324147014192,-0.35145383585685064
2019-12-12,86.84,89.229,86.37,89.05,10514503,0.0,85.80600000000001,,63.414202524755076,0.8055055282510608,0.8290470374113476,-0.023541509160286744
2019-12-13,88.91,89.7,87.564,87.85,10501858,0.0,86.612,,59.26097332655792,0.9528997988316519,0.8538175896954084,0.09908220913624344
2019-12-16,89.28,90.46,88.35,88.43,7128936,0.0,87.31,,60.603994870671556,1.1037881897556616,0.9038117097074592,0.19997648004820245
2019-12-17,89.0,89.04,87.68,88.28,5079601,0.0,88.14200000000001,,60.052613369592514,1.197460995297206,0.9625415668254086,0.23491942847179736
2019-12-18,88.43,88.65,87.59,87.99,4141950,0.0,88.32000000000001,,58.936201355475184,1.2340711877266557,1.0168474910056582,0.2172236967209975
2019-12-19,88.36,88.70100000000001,87.62,88.49,4728226,0.0,88.208,,60.30635802064427,1.2885769374907454,1.0711933803026756,0.2173835571880698
2019-12-20,88.82,89.85,88.18,88.62,8517347,0.0,88.36200000000001,,60.67376844097216,1.3269666053971747,1.1223480253215756,0.20461858007559908
2019-12-23,89.01,89.33,88.245,88.44,4477201,0.0,88.364,,59.84774541891603,1.3275628796213255,1.1633909961815256,0.16417188343979983
2019-12-24,88.62,88.81,87.98,88.79,1915433,0.0,88.46600000000001,,60.960689996100996,1.340821352251396,1.1988770673954998,0.14194428485589627
2019-12-26,88.92,88.96,87.9965,88.4,4157313,0.0,88.548,,58.99830426759466,1.3048179179615573,1.2200652375087113,0.08475268045284601
2019-12-27,88.9,88.95,88.09,88.79,4584244,0.0,88.60799999999999,,60.372094134919635,1.2928514903218087,1.2346224880713308,0.05822900225047789
2019-12-30,88.71,88.78,87.31,88.43,5758896,0.0,88.57000000000001,,58.42607208152128,1.2400247850163453,1.2357029474603336,0.004321837556011676
