Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,131.8,132.65,131.6365,132.23,264878,0.0,,,,,,
2019-10-10,131.56,131.56,128.89,130.48,402315,0.0,,,,,,
2019-10-11,130.99,131.86,129.59,129.63,418482,0.0,,,,,,
2019-10-14,129.95,130.19,128.99,129.22,313379,0.0,,,,,,
2019-10-15,130.01,131.03,129.87,130.42,351275,0.0,130.396,,,,,
2019-10-16,132.0,132.0,130.34,131.17,534935,0.0,130.18399999999997,,,,,
2019-10-17,131.2,132.715,131.2,131.6,314245,0.0,130.40799999999996,,,,,
2019-10-18,130.99,131.9234,129.95,131.19,379565,0.0,130.71999999999997,,,,,
2019-10-21,131.81,131.83,130.12,130.53,304637,0.0,130.98199999999994,,,,,
2019-10-22,131.09,131.4594,126.32,126.54,478777,0.0,130.20599999999996,,,,,
2019-10-23,127.0,127.8,126.26,126.77,301059,0.0,129.32599999999996,,,,,
2019-10-24,127.45,129.24,126.415,127.76,424632,0.0,128.55799999999994,,,,,
2019-10-25,145.0,147.37,141.29,144.15,1521619,0.0,131.14999999999995,,,,,
2019-10-28,144.11,145.585,141.73,145.44,698600,0.0,134.13199999999998,,,,,
2019-10-29,145.0,147.63,144.01,146.63,506256,0.0,138.14999999999998,,73.57563850687626,,,
2019-10-30,145.97,147.9,145.36,147.25,379511,0.0,142.24599999999998,,74.1409908799606,,,
2019-10-31,147.74,148.85,146.92,147.92,412203,0.0,146.27799999999996,,74.7692131231246,,,
2019-11-01,148.92,149.96,147.38,147.43,333197,0.0,146.934,,73.36543367578486,,,
2019-11-04,147.85,148.78,146.15,147.5,492898,0.0,147.346,,73.44214433575516,,,
2019-11-05,147.5,147.5,144.08,144.39,447162,0.0,146.898,,64.5473566988298,,,
2019-11-06,143.74,144.47,142.78,143.24,335837,0.0,146.096,,61.57750699134521,,,
2019-11-07,143.78,143.97,141.38,142.21,621010,0.0,144.954,,58.96086720744394,,,
2019-11-08,141.81,144.7,141.81,143.85,303063,0.0,144.238,,61.748057609197915,,,
2019-11-11,143.6,145.14,143.0676,143.89,197878,0.0,143.51600000000002,,61.81617354646885,,,
2019-11-12,143.6,145.75,143.36,144.17,290782,0.0,143.472,,62.321958938828914,,,
2019-11-13,143.82,145.565,143.37,145.25,260256,0.0,143.874,,64.28696546059183,5.169391247080853,,
2019-11-14,145.46,146.01,145.0,145.44,254079,0.0,144.51999999999998,,64.63638474248737,4.958829630720828,,
2019-11-15,145.6,147.38,145.6,147.12,483620,0.0,145.17399999999998,,67.65029808063662,4.8713659184077756,,
2019-11-18,146.7,148.49,146.575,147.78,360152,0.0,145.95199999999997,,68.77614654723453,4.7999756490068535,,
2019-11-19,148.58,149.94,148.0,149.36,305950,0.0,146.98999999999998,,71.34700147111212,4.81538241059863,,
2019-11-20,148.64,151.46,148.13,149.59,358808,0.0,147.858,,71.71213081528913,4.790924660727825,,
2019-11-21,148.35,148.73,145.75,146.35,517862,0.0,148.04000000000002,,60.09459702224968,4.458703635493123,,
2019-11-22,146.63,146.63,144.56,145.25,484461,0.0,147.666,,56.734141415514664,4.059855782269409,,
2019-11-25,145.08,146.94,145.01,146.35,285674,0.0,147.38000000000002,,59.19165752768723,3.7888512729657293,4.634808911919003,-0.8459576389532737
2019-11-26,147.43,149.76,146.7,149.58,550903,0.0,147.42400000000004,,65.40540765821902,3.7910118280928486,4.466049495153772,-0.6750376670609235
2019-11-27,149.95,151.14,149.15,150.83,341398,0.0,147.67200000000003,,67.46976199898259,3.8492172564335476,4.342683047409727,-0.49346579097617926
2019-11-29,150.6,151.3,148.84,149.73,166845,0.0,148.348,,63.858475616878785,3.7632047885360294,4.226787395634988,-0.4635826070989584
2019-12-02,149.67,149.85,147.73,149.04,226615,0.0,149.10600000000002,,61.630108340761666,3.5978878431629084,4.101007485140572,-0.5031196419776638
2019-12-03,147.39,150.0,147.17,149.48,363424,0.0,149.73200000000003,,62.52807961663132,3.462464164102329,3.973298820932924,-0.5108346568305953
2019-12-04,149.46,150.56,148.85,150.13,330234,0.0,149.842,,63.87315693050856,3.368756561828633,3.852390369112066,-0.4836338072834332
2019-12-05,150.29,150.57,149.39,150.19,244986,0.0,149.714,,64.00161072665807,3.2617348613369472,3.7342592675570425,-0.4725244062200953
2019-12-06,151.46,151.6,150.48,150.59,214650,0.0,149.88600000000002,,64.89768923616536,3.172624014953584,3.6219322170363513,-0.4493082020827672
2019-12-09,150.84,151.34,149.04,149.32,294951,0.0,149.942,,59.807358214026884,2.965342024026995,3.4906141784344804,-0.5252721544074852
2019-12-10,149.63,149.92,148.56,148.97,227913,0.0,149.84,,58.44677119628181,2.7412283043662455,3.3407370036208337,-0.5995086992545882
2019-12-11,149.11,150.55,148.615,150.48,284448,0.0,149.91000000000003,,62.418994752065835,2.6548574037275614,3.2035610836421795,-0.5487036799146181
2019-12-12,150.8,152.53,150.37,152.3,298173,0.0,150.33200000000002,,66.56737457953489,2.7021182946376996,3.103272525841284,-0.4011542312035843
2019-12-13,151.43,153.96,151.31,153.63,296470,0.0,150.94,,69.2395657206721,2.814449553389096,3.0455079313508464,-0.23105837796175033
2019-12-16,154.71,156.2,154.26,155.97,431383,0.0,152.27000000000004,,73.28529096672673,3.0570515418309014,3.0478166534468576,0.009234888384043849
2019-12-17,156.48,156.74,154.52,156.43,379401,0.0,153.76200000000003,,74.0089831007865,3.24898128728438,3.088049580214362,0.1609317070700178
2019-12-18,156.66,157.25,155.07,155.98,407134,0.0,154.86200000000002,,71.95542813884964,3.3264307313031054,3.135725810432111,0.19070492087099433
2019-12-19,156.65,156.67,155.14,156.03,300152,0.0,155.60800000000003,,72.04823355590416,3.3531910566020713,3.1792188596661033,0.173972196935968
2019-12-20,157.36,157.86,155.56,155.95,636390,0.0,156.07200000000006,,71.63974189888032,3.3295623535559002,3.209287558444063,0.12027479511183703
2019-12-23,155.53,156.42,155.0,155.69,258645,0.0,156.01600000000002,,70.24578870614351,3.252365365658733,3.2179031198869974,0.0344622457717354
2019-12-24,155.66,156.93,154.9,156.67700000000002,91279,0.0,156.06540000000004,,72.43823840552801,3.2335544450480143,3.221033384919201,0.012521060128813044
2019-12-26,156.66,156.66,155.0704,155.83,173980,0.0,156.03540000000004,,67.81986486192176,3.1143999694122897,3.199706701817819,-0.08530673240552922
2019-12-27,156.23,156.38,155.085,156.14,233392,0.0,156.05740000000006,,68.60871275177564,3.010282930445129,3.1618219475432814,-0.15153901709815232
2019-12-30,156.21,156.69,154.16,154.58,223545,0.0,155.78340000000009,,60.563067881957245,2.769960088742181,3.0834495757830616,-0.31348948704088064
2019-12-31,154.22,155.16,153.57,155.01,199648,0.0,155.64740000000006,,61.88970587050649,2.5844084596160144,2.983641352549652,-0.39923289293363773
2020-01-02,155.4,156.17,154.04,156.08,296390,0.0,155.52800000000008,,65.04112894869455,2.4949374287095623,2.8859005677816345,-0.39096313907207225
2020-01-03,154.09,155.94,153.12,155.3,297488,0.0,155.42200000000005,,61.0762298493239,2.334184485079618,2.7755573512412313,-0.4413728661616134
2020-01-06,154.96,156.12,153.85,156.04,283847,0.0,155.40200000000004,,63.35836180023961,2.2406693926620562,2.668579759525396,-0.42791036686333994
2020-01-07,155.01,156.09,154.7315,155.18,264352,0.0,155.52200000000005,,59.026967331036474,2.0732638998259745,2.549516587585512,-0.47625268775953744
2020-01-08,155.73,157.5,154.18,156.27,297707,0.0,155.77400000000006,,62.52392685891454,2.005430378090267,2.440699345686463,-0.4352689675961958
2020-01-09,157.08,158.43,156.57,157.59,286845,0.0,156.07600000000005,,66.27749605846563,2.0347296943589583,2.359505415420962,-0.3247757210620037
2020-01-10,158.0,158.46,155.87,156.88,255770,0.0,156.39200000000005,,62.64309653275015,1.977859019705022,2.283176136277774,-0.30531711657275196
2020-01-13,157.4,158.58,156.445,158.25,310599,0.0,156.83400000000006,,66.4644634193647,2.0200502686831783,2.230550962758855,-0.21050069407567662
2020-01-14,157.48,158.42,156.95,158.29,202617,0.0,157.45600000000005,,66.57198177250606,2.0332764578406284,2.1910960617752098,-0.1578196039345814
2020-01-15,158.43,159.73,157.9,158.74,327552,0.0,157.95000000000005,,67.82188156430415,2.056365050965809,2.1641498596133295,-0.1077848086475206
2020-01-16,159.52,160.75,158.2,160.73,318802,0.0,158.57800000000003,,72.68572407011676,2.2097664837451987,2.1732731844397035,0.036493299305495164
2020-01-17,160.98,161.98,160.24,160.57,356938,0.0,159.31600000000006,,71.7467092769853,2.2920067346835538,2.1970198944884736,0.09498684019508019
2020-01-21,160.39,162.31,160.01,161.95,790798,0.0,160.05600000000004,,74.77375953398935,2.440405714937981,2.245697058578375,0.1947086563596061
2020-01-22,162.9,165.0,161.84,164.45,533114,0.0,161.28800000000007,,79.13503783180167,2.728292030351696,2.3422160529330394,0.3860759774186566
2020-01-23,163.56,164.13,160.89,161.44,740514,0.0,161.82800000000006,,64.64396809051928,2.6826383796889104,2.4103005182842137,0.27233786140469673
2020-01-24,161.53,163.0994,160.81,162.39,933918,0.0,162.16000000000005,,66.71560703248372,2.6920819482045033,2.466656804268272,0.22542514393623136
2020-01-27,160.0,161.8,159.57,160.53,343645,0.0,162.15200000000004,,59.37956842787934,2.5204256905092564,2.477410581516469,0.043015108992787265
2020-01-28,161.24,164.42,161.24,163.31,387640,0.0,162.42400000000004,,65.48789383344169,2.5789807513975234,2.49772461549268,0.08125613590484315
2020-01-29,164.14,167.05,164.11,165.84,511525,0.0,162.70200000000006,,69.92094041073382,2.797290491393767,2.5576377906728975,0.2396527007208693
2020-01-30,164.31,165.52,162.99,165.44,474139,0.0,163.50200000000004,,68.42447575859018,2.904544099751007,2.6270190524885195,0.2775250472624875
2020-01-31,164.38,166.03,158.16,158.96,956844,0.0,162.81600000000006,,49.821709628165756,2.438551410005232,2.589325523991862,-0.1507741139866301
2020-02-03,159.46,163.99,159.23,163.15,595712,0.0,163.34000000000006,,57.809156092225976,2.379912676899494,2.5474429545733885,-0.16753027767389472
2020-02-04,165.44,167.65,164.92,166.86,623966,0.0,164.05000000000004,,63.36925393528086,2.602803553504401,2.5585150743595912,0.044288479144809934
2020-02-05,168.31,169.05,166.96,167.71,455579,0.0,164.42400000000004,,64.52282139201976,2.8155778465309993,2.609927628793873,0.20565021773712644
2020-02-06,168.18,170.57,167.13,170.54,316792,0.0,165.44400000000005,,68.12227622173396,3.175949980993096,2.7231320992337174,0.4528178817593784
2020-02-07,170.25,171.64,168.76,171.43,306615,0.0,167.93800000000005,,69.18126348747464,3.4930968102042357,2.8771250414278216,0.6159717687764141
2020-02-10,171.07,173.29,170.815,173.17,399738,0.0,169.94200000000006,,71.19592154373593,3.840569718444243,3.0698139768311057,0.7707557416131374
2020-02-11,174.18,174.9,173.04,174.35,284875,0.0,171.44000000000003,,72.50843400842335,4.163170205316675,3.28848522252822,0.8746849827884549
2020-02-12,173.51,174.73,172.4683,172.73,319365,0.0,172.44400000000002,,67.9318584395954,4.239245570184636,3.4786372920595032,0.7606082781251327
2020-02-13,172.59,175.16,172.28,174.97,400141,0.0,173.33,,70.68691968284082,4.429227744138927,3.6687553824753882,0.7604723616635392
2020-02-14,175.05,176.7,173.95,176.51,235784,0.0,174.346,,72.43997059016742,4.650447649725464,3.8650938359254035,0.7853538138000609
2020-02-18,176.14,176.86,174.18,174.79,511026,0.0,174.67000000000002,,67.5788512361823,4.633563556954471,4.018787780131217,0.6147757768232536
2020-02-19,175.53,177.99,175.02,176.63,304926,0.0,175.126,,69.90544223876812,4.714311762823883,4.1578925766697505,0.5564191861541321
2020-02-20,176.4,176.53,172.51,175.95,205323,0.0,175.76999999999998,,67.96433951450916,4.669606661863156,4.260235393708432,0.40937126815472435
2020-02-21,175.37,175.69,173.54,173.88,317514,0.0,175.552,,62.29375104322559,4.416238202000926,4.29143595536693,0.12480224663399575
2020-02-24,169.92,171.45,168.26,169.87,322400,0.0,174.22400000000002,,53.05828259545584,3.847516608638756,4.2026520860212955,-0.3551354773825395
2020-02-25,170.25,170.9,164.79,165.81,311812,0.0,172.42800000000003,,45.674855771438075,3.034216025706712,3.968964873958379,-0.934748848251667
2020-02-26,165.96,169.72,165.55,165.93,379649,0.0,170.28800000000004,,45.91442230847258,2.372009403458435,3.6495737798583905,-1.2775643763999556
2020-02-27,164.03,168.05,162.66,162.66,468543,0.0,167.63000000000002,,40.65336581730114,1.5653004042216594,3.232719104731044,-1.6674187005093848
2020-02-28,158.85,160.15,153.03,158.96,885456,0.0,164.64600000000002,,35.672588560578305,0.6202685626062703,2.7102289963060895,-2.089960433699819
2020-03-02,160.5,168.91,160.05,168.76,1043557,0.0,164.42400000000004,,52.331344058514766,0.6545567942454511,2.2990945558939617,-1.6445377616485106
2020-03-03,168.68,171.91,162.6391,165.22,693679,0.0,164.30600000000004,,47.54190223010191,0.39156829431323104,1.9175893035778158,-1.5260210092645847
2020-03-04,168.3,175.26,167.52,174.81,695878,0.0,166.08200000000002,,58.596844597744756,0.9460751015536175,1.723286463172976,-0.7772113616193586
2020-03-05,172.16,172.8675,168.16,170.76,833742,0.0,167.70200000000003,,53.471884006852555,1.0466593510832638,1.5879610407550335,-0.5413016896717697
2020-03-06,166.99,168.0099,161.43,166.14,1358468,0.0,169.138,,48.283990080604035,0.7449899243491132,1.4193668174738496,-0.6743768931247365
2020-03-09,156.5,157.94,151.61,154.25,1188198,0.0,166.23600000000002,,38.05185997018689,-0.44834070826993866,1.045825312325092,-1.4941660205950307
2020-03-10,158.18,161.94,152.89,161.75,1413614,0.0,165.542,,45.847401586260844,-0.7798864664954976,0.6806829565609742,-1.4605694230564719
