Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,36.2,36.58,36.03,36.16,10241334,0.0,,,,,,
2019-10-11,36.99,37.71,36.82,37.28,10044996,0.0,,,,,,
2019-10-14,37.03,37.83,37.03,37.75,7656501,0.0,,,,,,
2019-10-15,38.97,40.23,38.27,39.74,11332429,0.0,,,,,,
2019-10-16,38.68,39.57,38.67,39.03,11757096,0.0,37.992000000000004,,,,,
2019-10-17,39.56,39.725,39.2,39.46,5691943,0.0,38.652,,,,,
2019-10-18,39.43,40.05,39.43,39.95,7057942,0.0,39.18600000000001,,,,,
2019-10-21,40.53,41.01,40.23,40.91,6152863,0.0,39.818000000000005,,,,,
2019-10-22,40.89,41.435,40.635,40.925,6411735,0.0,40.05500000000001,,,,,
2019-10-23,40.77,41.535,40.65,41.39,4670386,0.0,40.527,,,,,
2019-10-24,41.42,41.48,40.58,40.99,5695746,0.0,40.833000000000006,,,,,
2019-10-25,40.75,41.26,40.61,40.98,3409697,0.0,41.039,,,,,
2019-10-28,41.18,41.77,41.05,41.46,4653684,0.0,41.149,,,,,
2019-10-29,41.18,41.595,40.865,40.95,5125863,0.0,41.153999999999996,,,,,
2019-10-30,40.75,41.66,40.45,41.3,4486192,0.0,41.136,,80.59523809523807,,,
2019-10-31,40.24,40.73,40.17,40.72,4148851,0.0,41.082,,75.01704739174906,,,
2019-11-01,41.21,42.02,41.19,41.79,5419456,0.0,41.244,,78.0370976666974,,,
2019-11-04,42.26,43.315,42.1,43.25,7425270,0.0,41.602,,81.34996355377777,,,
2019-11-05,43.25,43.695,42.67,43.43,8163205,0.0,42.098,,81.71613664323694,,,
2019-11-06,43.28,43.56,42.97,43.08,4206833,0.0,42.45399999999999,,78.48915413863311,,,
2019-11-07,43.53,43.85,43.29,43.5,4823501,0.0,43.01,,79.53362342816804,,,
2019-11-08,43.47,43.7759,43.34,43.54,3706013,0.0,43.36,,79.63504190686113,,,
2019-11-11,43.11,43.54,43.06,43.23,3051738,0.0,43.355999999999995,,76.47227960652008,,,
2019-11-12,43.34,43.9,43.12,43.48,3416551,0.0,43.366,,77.25675228099458,,,
2019-11-13,43.01,43.01,42.405,42.8,3905940,0.0,43.31,,70.38263295172487,,,
2019-11-14,42.7,43.41,42.44,43.4,4737063,0.0,43.29,,72.691532161073,1.4965099761353997,,
2019-11-15,43.78,44.44,43.63,44.35,6000784,0.0,43.452000000000005,,75.89566634908486,1.5197227740212114,,
2019-11-18,44.27,44.35,43.555,44.17,5941190,0.0,43.64,,74.12111373241761,1.506231686620957,,
2019-11-19,44.43,44.775,44.21,44.41,4593480,0.0,43.82600000000001,,74.96173346595874,1.4976420120296368,,
2019-11-20,44.07,44.81,43.63,44.75,4855596,0.0,44.215999999999994,,76.14397039903812,1.5009675716856705,,
2019-11-21,50.02,50.97,47.5,48.03,36230245,0.0,45.142,,83.99510840424841,1.7481204452431314,,
2019-11-22,47.68,48.595,47.41,48.19,15199271,0.0,45.91,,84.26711143016112,1.9346006687397903,,
2019-11-25,47.7,49.49,47.39,49.3,33297632,0.0,46.93599999999999,,86.03968364676858,2.1472036852258967,,
2019-11-26,49.05,49.79,48.66,49.21,14520407,0.0,47.89599999999999,,85.20148520243372,2.2821239552907855,1.737013641665831,0.5451103136249544
2019-11-27,49.59,50.05,49.19,49.85,10634472,0.0,48.91599999999998,,86.22888460965929,2.412877740039171,1.872186461340499,0.5406912786986722
