Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,191.3,191.94,188.94,190.69,548257,0.0,,,,,,
2019-10-10,192.09,196.05,190.828,192.41,789419,0.0,,,,,,
2019-10-11,197.93,204.94,197.45,202.11,1434272,0.0,,,,,,
2019-10-14,199.52,200.98,198.7425,199.56,678114,0.0,,,,,,
2019-10-15,200.75,208.45,198.71,206.77,741969,0.0,198.308,,,,,
2019-10-16,205.91,209.2489,204.01,205.23,804373,0.0,201.21599999999998,,,,,
2019-10-17,207.58,207.58,202.87,204.85,647917,0.0,203.70399999999998,,,,,
2019-10-18,203.66,205.87,202.85,204.68,808394,0.0,204.21799999999996,,,,,
2019-10-21,207.595,211.37,207.59,210.51,305981,0.0,206.408,,,,,
2019-10-22,209.44,212.79,206.34,210.16,372063,0.0,207.086,,,,,
2019-10-23,209.86,211.31,208.935,210.14,274682,0.0,208.06800000000004,,,,,
2019-10-24,210.99,211.88,206.62,207.95,455080,0.0,208.68800000000005,,,,,
2019-10-25,208.43,221.745,208.4,219.84,607929,0.0,211.72000000000003,,,,,
2019-10-28,222.26,228.36,221.0,227.28,583517,0.0,215.074,,,,,
2019-10-29,224.55,229.81,224.49,229.16,410737,0.0,218.87400000000002,,86.3816909400416,,,
2019-10-30,227.94,229.1,223.83,226.77,440333,0.0,222.2,,82.37163033977552,,,
2019-10-31,224.17,224.81,218.36,221.48,411563,0.0,224.906,,74.16490100270492,,,
2019-11-01,225.0,230.99,224.11,230.97,357778,0.0,227.132,,78.335000004029,,,
2019-11-04,233.02,238.69,233.02,237.96,584946,0.0,229.26800000000003,,80.79405159352486,,,
2019-11-05,238.5,241.11,234.32,239.59,358581,0.0,231.35399999999998,,81.32632391131261,,,
2019-11-06,239.15,239.53,231.36,231.47,618444,0.0,232.294,,70.79983629281918,,,
2019-11-07,235.5,241.94,234.335,239.51,529226,0.0,235.9,,74.34122045251826,,,
2019-11-08,237.05,239.84,236.2,238.46,228369,0.0,237.398,,73.09443986913118,,,
2019-11-11,236.62,238.58,234.325,237.1,209774,0.0,237.22599999999997,,71.4235941996093,,,
2019-11-12,237.58,241.11,235.39,238.59,305065,0.0,237.02599999999998,,72.17406500927082,,,
2019-11-13,234.94,235.57,231.65,234.14,267894,0.0,237.56,,66.55259831760634,12.833537913075958,,
2019-11-14,232.66,233.91,231.3,232.96,205823,0.0,236.25,,65.10453876985376,11.962395328158294,,
2019-11-15,234.01,234.36,231.33,234.12,192317,0.0,235.38199999999998,,65.89024583871415,11.236088227973113,,
2019-11-18,234.14,234.14,228.73,229.18,489830,0.0,233.798,,59.72305515468204,10.144923540044886,,
2019-11-19,230.16,231.26,227.13,229.35,420235,0.0,231.95,,59.86228283036164,9.187972020556458,,
2019-11-20,228.17,229.7,224.18,228.36,366575,0.0,230.79400000000004,,58.592063256930004,8.254543086250067,,
2019-11-21,230.0,230.63,226.6847,227.87599999999998,237687,0.0,229.77720000000005,,57.944720565008005,7.390545566935913,,
2019-11-22,228.57,232.17,228.01,231.09,428483,0.0,229.17120000000006,,61.024189367451996,6.885789156454052,,
2019-11-25,232.42,236.33,230.8,235.75,171886,0.0,230.48520000000002,,65.02326220822006,6.78359209232778,9.40882077019739,-2.625228677869611
2019-11-26,235.37,235.825,232.2,233.0,138897,0.0,231.21520000000004,,61.042829599640065,6.406844055279208,8.808425427213756,-2.4015813719345473
2019-11-27,234.48,235.73,233.31,234.87,109765,0.0,232.51720000000006,,62.714295314626476,6.187832413086966,8.284306824388398,-2.0964744113014326
2019-11-29,233.3,234.24,231.27,231.79,97769,0.0,233.30000000000004,,58.2790625352729,5.70002748073594,7.767450955657907,-2.0674234749219664
2019-12-02,232.66,235.1,229.315,229.79,248638,0.0,233.04000000000005,,55.53267133213347,5.093342391506695,7.232629242827665,-2.1392868513209695
2019-12-03,222.88,225.56,220.06,225.27,271997,0.0,230.94400000000005,,49.818731890225045,4.199405727392502,6.6259845397406325,-2.42657881234813
2019-12-04,228.11,232.12,226.94,230.13,229447,0.0,230.37000000000006,,55.16099806939054,3.838863831264348,6.068560398045376,-2.229696566781028
2019-12-05,232.32,233.41,228.99,229.38,176298,0.0,229.2720000000001,,54.20201920779213,3.4528111909216648,5.545410556620634,-2.0925993656989696
2019-12-06,235.0,240.25,233.695,237.41,384568,0.0,230.39600000000013,,61.84946660383417,3.751569820956064,5.186642409487721,-1.435072588531657
2019-12-09,236.15,237.32,234.61,236.37,340191,0.0,231.71200000000016,,60.4417676048747,3.8599240772968813,4.921298743049554,-1.0613746657526724
2019-12-10,235.76,239.89,235.76,238.63,320324,0.0,234.38400000000019,,62.44224326237195,4.081114174688736,4.75326182937739,-0.6721476546886542
2019-12-11,240.0,241.68,238.495,239.49,536245,0.0,236.25600000000023,,63.20478296030753,4.2765068245007285,4.657910828402058,-0.3814040039013298
2019-12-12,240.5,252.33,240.0,251.14,441914,0.0,240.60800000000017,,71.61285892734692,5.310201842735154,4.788369031268678,0.5218328114664761
2019-12-13,250.89,257.07,249.12,249.43,674624,0.0,243.01200000000017,,69.11630673555949,5.923151479896234,5.015325520994189,0.9078259589020448
2019-12-16,253.25,254.96,250.46,251.12,276183,0.0,245.96200000000016,,70.22122890307293,6.47069719015181,5.306399854825713,1.164297335326097
2019-12-17,251.49,254.5,250.2,254.13,291067,0.0,249.06200000000018,,72.13349956723557,7.06605981567796,5.6583318469961625,1.4077279686817974
2019-12-18,254.53,255.815,251.62,251.75,316744,0.0,251.51400000000018,,68.39365502745245,7.262129567122315,5.979091391021393,1.2830381761009217
2019-12-19,250.25,251.975,248.12,250.11,289243,0.0,251.30800000000016,,65.8597619896736,7.202159947118645,6.223705102240844,0.9784548448778008
2019-12-20,251.61,252.9,248.558,250.79,543890,0.0,251.58000000000015,,66.41536280435838,7.127344319513298,6.404432945695335,0.7229113738179631
2019-12-23,252.0,252.81,248.7701,252.11,198336,0.0,251.77800000000016,,67.52035031093179,7.092803935269615,6.542107143610191,0.5506967916594236
2019-12-24,252.37,252.41,249.6368,251.91,62191,0.0,251.3340000000002,,67.15979919554962,6.968958290232337,6.627477372934621,0.3414809172977158
2019-12-26,253.23,253.28,251.055,253.18,89113,0.0,251.6200000000002,,68.31676387115766,6.893820439673391,6.680745986282376,0.21307445339101516
2019-12-27,254.21,254.21,249.94,250.31,170938,0.0,251.66000000000022,,62.92191725273552,6.527443828099649,6.65008555464583,-0.12264172654618122
2019-12-30,251.93,251.93,249.1,249.96,131097,0.0,251.49400000000023,,62.27604935189064,6.138089573127587,6.547686358342181,-0.4095967852145943
2019-12-31,250.06,252.03,249.82,251.03,180053,0.0,251.27800000000025,,63.50922587216482,5.848446329794768,6.407838352632699,-0.5593920228379305
2020-01-02,252.65,254.28,249.67,254.27,167298,0.0,251.75000000000023,,67.02439896354318,5.813330440234324,6.2889367701530245,-0.47560632991870033
2020-01-03,247.96,251.12,246.8,250.27,361538,0.0,251.1680000000002,,59.41485944343195,5.40048089211453,6.111245594545326,-0.7107647024307964
2020-01-06,246.84,249.8,245.06,249.21,342229,0.0,250.94800000000023,,57.5501861998485,4.930920922594851,5.875180660155232,-0.9442597375603814
2020-01-07,248.66,251.12,247.58,250.4,431803,0.0,251.03600000000023,,59.1019859043773,4.601768001488608,5.620498128421907,-1.0187301269332991
2020-01-08,249.82,254.115,249.29,252.74,421510,0.0,251.37800000000024,,62.04053868274649,4.478109524821463,5.3920204077018195,-0.9139108828803568
2020-01-09,256.35,257.94,254.755,256.11,365351,0.0,251.74600000000027,,65.84650668737547,4.599025424585733,5.233421411078602,-0.6343959864928692
2020-01-10,255.91,256.48,251.2,251.78,318567,0.0,252.0480000000003,,57.82423011691408,4.295936452325947,5.045924419328071,-0.7499879670021246
2020-01-13,253.32,254.06,250.52,253.85,280316,0.0,252.97600000000025,,60.31351530749168,4.174645246682815,4.87166858479902,-0.6970233381162059
2020-01-14,253.66,256.86,252.3,253.59,361692,0.0,253.6140000000002,,59.83580953050525,4.011301478766626,4.699595163592542,-0.6882936848259158
2020-01-15,250.81,252.07,248.39,250.68,288951,0.0,253.20200000000023,,54.62131377943645,3.6054760027209625,4.480771331418226,-0.8752953286972636
