Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,10.32,10.45,9.54,9.79,7173910,0.0,,,,,,
2019-10-10,9.74,10.06,9.65,9.78,4474306,0.0,,,,,,
2019-10-11,9.92,10.08,9.73,9.98,5121739,0.0,,,,,,
2019-10-14,9.93,10.01,9.64,9.66,4908355,0.0,,,,,,
2019-10-15,9.65,9.71,9.28,9.46,5340591,0.0,9.734,,,,,
2019-10-16,9.46,9.57,9.12,9.28,4649019,0.0,9.632000000000001,,,,,
2019-10-17,9.3,9.61,9.1,9.46,4855800,0.0,9.568000000000001,,,,,
2019-10-18,9.41,9.73,9.325,9.55,4184817,0.0,9.482,,,,,
2019-10-21,9.4696,10.33,9.43,10.18,3273868,0.0,9.585999999999999,,,,,
2019-10-22,10.18,10.24,9.14,9.315,4492943,0.0,9.556999999999999,,,,,
2019-10-23,9.28,9.7,9.28,9.3596,2306218,0.0,9.572919999999998,,,,,
2019-10-24,9.44,9.54,9.2,9.25,2022554,0.0,9.530919999999998,,,,,
2019-10-25,9.16,9.26,8.75,9.21,3190584,0.0,9.462919999999997,,,,,
2019-10-28,9.27,9.5656,9.235,9.31,1967061,0.0,9.288919999999997,,,,,
2019-10-29,9.36,9.595,9.18,9.415,2377594,0.0,9.308919999999997,,43.90085225424501,,,
2019-10-30,9.33,9.39,8.37,8.39,7030516,0.0,9.114999999999998,,32.302180260924345,,,
2019-10-31,9.55,10.48,8.72,8.7691,8822451,0.0,9.018819999999998,,38.74789304983872,,,
2019-11-01,8.8,8.97,8.165,8.83,5161957,0.0,8.942819999999998,,39.74048352208959,,,
2019-11-04,8.88,8.94,8.28,8.305,4674015,0.0,8.741819999999997,,34.543596077284604,,,
2019-11-05,8.3,8.63,8.035,8.54,3831966,0.0,8.566819999999996,,38.42515962698603,,,
2019-11-06,8.49,8.88,8.45,8.72,2473526,0.0,8.632819999999997,,41.296646255951174,,,
2019-11-07,8.79,8.875,8.46,8.48,2170534,0.0,8.574999999999996,,38.704897798660824,,,
