Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,62.25,62.63,61.56,62.01,3551936,0.0,,,,,,
2019-10-11,62.76,63.56,61.5,61.53,8429864,0.0,,,,,,
2019-10-14,61.52,62.29,61.4,61.83,3513271,0.0,,,,,,
2019-10-15,62.22,64.49,62.22,64.29,5921035,0.0,,,,,,
2019-10-16,63.82,63.88,62.56,63.01,3988849,0.0,62.534000000000006,,,,,
2019-10-17,63.02,64.55,63.02,63.38,4963997,0.0,62.80800000000001,,,,,
2019-10-18,63.17,63.43899999999999,59.7825,60.46,7229285,0.0,62.59400000000001,,,,,
2019-10-21,60.7,61.48,59.8301,61.15,5146863,0.0,62.458000000000006,,,,,
2019-10-22,61.28,61.49,58.55,58.82,6622409,0.0,61.364,,,,,
2019-10-23,58.9,59.69,57.62,58.34,6638894,0.0,60.42999999999999,,,,,
2019-10-24,59.62,61.77,59.59,61.69,7491185,0.0,60.092,,,,,
2019-10-25,61.48,63.25,61.11,62.8701,4778462,0.0,60.57402,,,,,
2019-10-28,62.82,63.43,61.91,62.82,5728913,0.0,60.90802,,,,,
2019-10-29,62.8,63.6168,62.38,62.41,3882295,0.0,61.626020000000004,,,,,
2019-10-30,62.51,62.73,61.475,62.1859,4591440,0.0,62.3952,,50.532246449168795,,,
2019-10-31,61.24,61.8,61.04,61.46,2674577,0.0,62.349199999999996,,48.24963274268431,,,
2019-11-01,61.57,62.8143,61.46,62.61,5726454,0.0,62.297180000000004,,51.95251737195449,,,
2019-11-04,63.3,63.83,62.36,62.39,5681347,0.0,62.21118,,51.197794483062445,,,
2019-11-05,62.5,62.55,59.91,61.05,7526146,0.0,61.93918000000001,,46.74359337792961,,,
2019-11-06,61.33,61.93,60.5779,61.34,8996255,0.0,61.77000000000002,,47.80199466425701,,,
2019-11-07,61.91,66.6,60.54,64.41,22907678,0.0,62.36000000000003,,57.44394556867401,,,
2019-11-08,63.18,63.4507,61.33,62.49,11205833,0.0,62.33600000000003,,51.08803544437544,,,
2019-11-11,61.88,64.895,61.88,63.77,11499800,0.0,62.61200000000002,,54.68755399534433,,,
2019-11-12,63.88,63.99,60.82,61.53,10632757,0.0,62.70800000000003,,48.026634351889925,,,
2019-11-13,61.3,62.14,60.85,61.54,4516877,0.0,62.748000000000026,,48.05705083266699,,,
2019-11-14,61.65,63.0,61.35,62.99,7030723,0.0,62.464000000000034,,52.40644670976293,0.31927735363394305,,
2019-11-15,63.2,64.72,63.1,64.7,7324499,0.0,62.90600000000003,,56.981254647810275,0.4843887491520107,,
