Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,31.09,31.285,31.052,31.22,99236,0.0,,,,,,
2019-10-11,31.36,31.66,31.28,31.53,137982,0.0,,,,,,
2019-10-14,31.54,31.615,31.35,31.54,104475,0.0,,,,,,
2019-10-15,31.7,31.96,31.495,31.84,153279,0.0,,,,,,
2019-10-16,31.85,32.15,31.74,31.76,144469,0.0,31.577999999999996,,,,,
2019-10-17,31.78,32.17,31.78,32.14,100583,0.0,31.761999999999993,,,,,
2019-10-18,32.19,32.49,32.105,32.49,133377,0.0,31.953999999999997,,,,,
2019-10-21,32.67,32.67,32.34,32.38,180976,0.0,32.122,,,,,
2019-10-22,32.33,32.63,32.25,32.31,204864,0.0,32.215999999999994,,,,,
2019-10-23,32.3,32.82,32.23,32.7,165839,0.0,32.403999999999996,,,,,
2019-10-24,32.75,32.89,32.51,32.67,163865,0.0,32.510000000000005,,,,,
2019-10-25,32.69,32.88,32.5,32.74,131499,0.0,32.56,,,,,
2019-10-28,32.85,32.99,32.71,32.78,225214,0.0,32.64,,,,,
2019-10-29,32.88,33.25,32.7,33.11,215842,0.0,32.8,,,,,
2019-10-30,33.35,33.54,33.075,33.36,266493,0.0,32.932,,89.33823529411767,,,
2019-10-31,33.32,33.6,33.16,33.57,267002,0.0,33.112,,90.1566579634465,,,
2019-11-01,33.74,34.09,33.62,33.86,621841,0.0,33.336,,91.16523055845984,,,
2019-11-04,33.54,33.54,32.7834,33.0,569252,0.0,33.38,,68.68847594828796,,,
2019-11-05,33.0,33.0,31.91,32.3,359003,0.0,33.217999999999996,,56.481805665311775,,,
2019-11-06,32.3,32.8,31.81,32.8,198937,0.0,33.105999999999995,,61.715336798686195,,,
2019-11-07,32.45,32.99,31.9,32.4,356088,0.0,32.872,,55.92136497754982,,,
2019-11-08,32.23,32.45,31.64,31.83,242891,0.0,32.465999999999994,,48.879189835957895,,,
2019-11-11,31.87,31.89,31.52,31.76,136134,0.0,32.217999999999996,,48.078457345961645,,,
2019-11-12,31.83,31.9,31.22,31.32,189742,0.0,32.02199999999999,,43.2791208413238,,,
2019-11-13,31.22,31.96,31.09,31.75,258688,0.0,31.81199999999999,,48.67160439357157,,,
2019-11-14,31.79,31.85,31.5,31.78,134939,0.0,31.687999999999988,,49.035645050766696,-0.2046160271128059,,
2019-11-15,31.85,32.38,31.79,32.34,277910,0.0,31.789999999999985,,55.39518113568978,-0.17344345401764372,,
2019-11-18,32.41,32.41,31.16,31.51,306987,0.0,31.739999999999988,,46.19443032510567,-0.21325476052124515,,
2019-11-19,31.76,31.9,31.12,31.261999999999997,279221,0.0,31.728399999999986,,43.850810421139386,-0.26179917717766443,,
2019-11-20,31.19,31.8,31.19,31.51,236279,0.0,31.680399999999985,,46.75967144363415,-0.2770656098608697,,
2019-11-21,31.5,31.75,31.33,31.66,105713,0.0,31.656399999999984,,48.497597250989635,-0.27390323535499306,,
2019-11-22,31.6,31.725,31.23,31.27,214490,0.0,31.442399999999985,,44.43611449342362,-0.29941529823096147,,
2019-11-25,31.31,31.4784,31.26,31.33,126724,0.0,31.406399999999984,,45.19651758516665,-0.31120491674368367,,
2019-11-26,31.375,31.4599,31.1225,31.15,136665,0.0,31.383999999999986,,43.28282234601711,-0.33125427692609577,-0.26066186177177364,-0.07059241515432213
2019-11-27,31.14,31.15,30.7,30.7,293601,0.0,31.221999999999987,,38.853634079847744,-0.37908492348580225,-0.28434647411457936,-0.09473844937122289
2019-11-29,30.67,31.19,30.59,31.13,126717,0.0,31.115999999999985,,44.679194231826735,-0.37793702636322735,-0.30306458456430896,-0.07487244179891839
2019-12-02,31.15,31.2,30.57,30.65,174357,0.0,30.991999999999983,,40.087874519681726,-0.41102130039695695,-0.32465592773083857,-0.08636537266611838
2019-12-03,30.67,30.92,30.364,30.72,220355,0.0,30.869999999999983,,41.039432690664974,-0.4266739789088909,-0.34505953796644906,-0.08161444094244186
2019-12-04,30.74,30.76,30.21,30.31,199769,0.0,30.70199999999998,,37.30239222873427,-0.4667816446500481,-0.3694039593031689,-0.09737768534687924
2019-12-05,30.37,30.49,30.04,30.14,228093,0.0,30.589999999999986,,35.8449086272021,-0.5064468341093544,-0.396812534264406,-0.10963429984494844
2019-12-06,30.24,30.4653,30.03,30.23,234058,0.0,30.409999999999986,,37.24291146053281,-0.5245725884252295,-0.42236454509657073,-0.10220804332865874
2019-12-09,30.29,30.5954,30.17,30.5,184423,0.0,30.379999999999985,,41.37052356834076,-0.5112571812547593,-0.44014307232820843,-0.07111410892655085
2019-12-10,30.51,30.71,30.03,30.37,366539,0.0,30.309999999999985,,40.00616876389152,-0.505368959896078,-0.4531882498417824,-0.05218071005429559
2019-12-11,30.43,30.55,30.01,30.04,347214,0.0,30.255999999999982,,36.69767634099961,-0.5213212769524276,-0.4668148552639115,-0.054506421688516105
2019-12-12,30.06,30.38,30.04,30.21,556259,0.0,30.269999999999982,,39.47457905619054,-0.5143172942820158,-0.4763153430675323,-0.038001951214483465
2019-12-13,30.27,30.7,30.18,30.68,280591,0.0,30.359999999999985,,46.4665535713286,-0.46547580023218416,-0.4741474345004627,0.00867163426827855
2019-12-16,30.79,30.89,30.61,30.8,233316,0.0,30.419999999999987,,48.11462139227811,-0.4123324553187011,-0.4617844386641104,0.04945198334540929
2019-12-17,30.88,31.29,30.82,31.13,369610,0.0,30.571999999999985,,52.44991532407601,-0.33967219984154085,-0.4373619908995965,0.09768979105805564
2019-12-18,31.44,31.44,31.06,31.15,238939,0.0,30.79399999999999,,52.70782260741057,-0.2772782993982794,-0.40534525259933313,0.1280669532010537
