Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,120.93,122.85,120.04,121.85,2288494,0.0,,,,,,
2019-10-10,121.31,122.53,120.29,122.41,2134386,0.0,,,,,,
2019-10-11,123.4,124.34,122.28,122.41,2128298,0.0,,,,,,
2019-10-14,122.27,122.51,121.01,121.13,1349364,0.0,,,,,,
2019-10-15,121.95,124.09,121.7,123.95,1830593,0.0,122.35,,,,,
2019-10-16,123.17,123.95,120.25,121.09,2421260,0.0,122.19800000000001,,,,,
2019-10-17,122.31,123.92,121.8806,122.75,1179480,0.0,122.266,,,,,
2019-10-18,122.83,123.18,120.95,122.73,1633152,0.0,122.33000000000001,,,,,
2019-10-21,123.22,123.88,121.475,123.07,709157,0.0,122.718,,,,,
2019-10-22,123.87,124.43,121.77,122.01,1053398,0.0,122.33,,,,,
2019-10-23,122.36,123.91,121.46,122.68,662998,0.0,122.64799999999998,,,,,
2019-10-24,123.6,125.53,123.45,124.36,982117,0.0,122.96999999999998,,,,,
2019-10-25,124.38,125.59,123.42,125.35,584053,0.0,123.49399999999999,,,,,
2019-10-28,125.81,126.35,122.55,122.76,1051346,0.0,123.43199999999997,,,,,
2019-10-29,122.79,122.79,120.71,121.04,695953,0.0,123.23799999999997,,47.78082191780825,,,
2019-10-30,122.02,123.76,121.11,123.11,766718,0.0,123.32399999999998,,53.46504901776662,,,
2019-10-31,123.01,123.25,119.96,120.36,1031516,0.0,122.52399999999997,,46.26061565153913,,,
2019-11-01,121.28,121.74,116.8,116.85,1816018,0.0,120.82399999999998,,39.03123266404688,,,
2019-11-04,118.27,118.4,116.62,117.17,1561763,0.0,119.70599999999997,,39.95255563259577,,,
2019-11-05,117.99,118.48,116.22,117.25,1386421,0.0,118.94799999999998,,40.19586587005868,,,
2019-11-06,116.99,117.71,115.31,116.64,1390277,0.0,117.65399999999997,,38.90150092248837,,,
2019-11-07,117.86,118.41,115.45,116.87,2296399,0.0,116.95599999999997,,39.690082762997264,,,
2019-11-08,117.69,122.57,116.57,116.96,3269091,0.0,116.97799999999998,,40.01633132883632,,,
2019-11-11,115.99,119.92,115.37,119.69,1724257,0.0,117.482,,49.02431817095614,,,
2019-11-12,119.22,119.38,117.33,119.0,1375819,0.0,117.832,,47.09910637820448,,,
2019-11-13,119.56,120.89,118.64,120.28,1182927,0.0,118.55999999999999,,50.94745212667982,-1.6842471829250627,,
2019-11-14,120.18,122.5,119.12,122.3,761009,0.0,119.64599999999999,,56.34471959418061,-1.3145865380832191,,
2019-11-15,122.77,123.86,121.96,123.82,1019678,0.0,121.01799999999999,,59.91854060854302,-0.8887317703229769,,
2019-11-18,123.51,124.0251,122.36,123.15,918225,0.0,121.71,,57.67715914716039,-0.5984041685698145,,
2019-11-19,123.62,124.09,122.455,123.65,829758,0.0,122.63999999999999,,58.912382220656646,-0.32423406271112754,,
