Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-10,27.05,27.05,26.75,26.92,2768005,0.0,,,,,,
2019-10-11,27.03,27.415,26.93,27.08,3062279,0.0,,,,,,
2019-10-14,27.23,27.23,26.91,26.96,1884905,0.0,,,,,,
2019-10-15,27.0,27.15,26.805,26.89,2934938,0.0,,,,,,
2019-10-16,26.84,26.94,26.54,26.66,2468349,0.0,26.902000000000005,,,,,
2019-10-17,26.76,26.93,26.64,26.83,2276251,0.0,26.884000000000004,,,,,
2019-10-18,26.84,26.945,26.57,26.79,2729884,0.0,26.826,,,,,
2019-10-21,26.95,27.22,26.95,27.05,2139284,0.0,26.844,,,,,
2019-10-22,27.12,27.205,26.94,27.11,1857517,0.0,26.887999999999998,,,,,
2019-10-23,27.06,27.165,26.88,27.035,2086253,0.0,26.963,,,,,
2019-10-24,27.17,27.17,26.85,26.99,2221749,0.0,26.995000000000005,,,,,
2019-10-25,26.95,27.15,26.92,27.11,2261315,0.0,27.059000000000008,,,,,
2019-10-28,27.14,27.235,26.98,26.99,2152890,0.0,27.047000000000008,,,,,
2019-10-29,26.86,27.185,26.79,27.035,3899528,0.0,27.032000000000004,,,,,
2019-10-30,27.08,27.29,26.83,27.25,3443065,0.0,27.075000000000006,,59.53757225433523,,,
2019-10-31,27.185,27.205,26.98,27.02,2395952,0.0,27.081000000000007,,52.08090237261761,,,
2019-11-01,27.09,27.28,26.95,27.11,3067576,0.0,27.081000000000007,,54.48318981442006,,,
2019-11-04,27.13,27.52,27.07,27.36,4350088,0.0,27.15500000000001,,60.419062754856625,,,
2019-11-05,27.56,27.96,26.325,26.36,5089149,0.0,27.02000000000001,,38.686309357778235,,,
2019-11-06,26.44,26.58,25.65,25.75,3558387,0.0,26.72000000000001,,31.292124059764546,,,
2019-11-07,26.23,26.73,25.825,26.21,4269884,0.0,26.55800000000001,,40.5239540441487,,,
